iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971025,9.6965606e+15,7.9104704e+15,1.844626e+21,0,5.2931978e+18,3.4903335e+18,4.32e+12,3.0364004e+16,1.3591407e+18,1.8424373e+18,6.235428e+20,0,621317.45,761589.42,1382906.9,0,1.35e+21,76.166558,2.5247473e-08,76.166558,0,0,1.8712053e+08,-2.0950113e+12,8.7175802e+09,-5.2923424e+10,-3.4904645e+10,-1.3592077e+10,-1.8422257e+10,6.7960387e+08,9.2111287e+08,1.7972133e+10,1.7972133e+10,2.4274053e+11,1.5171283e+10,1978861
4000,20,0,67220989,1.9487134e+16,1.8175573e+16,1.8270175e+21,0,6.9176241e+18,3.2406633e+18,4.32e+12,3.128766e+16,1.2315018e+18,2.2544608e+18,6.3947308e+20,0,1679058.8,1800143.8,3479202.6,0,1.35e+21,180.03238,-2.8889275e-08,180.03238,0,0,1.7506546e+08,-1.4698533e+12,8.6052674e+09,-6.9168553e+10,-3.2407823e+10,-1.2315626e+10,-2.2542607e+10,6.1578128e+08,1.1271303e+09,2.0579516e+10,2.0579516e+10,2.3848026e+11,1.4905016e+10,3068632.7
6000,30,0,84702456,2.946607e+16,3.0440345e+16,1.8145451e+21,0,8.3684508e+18,3.0133195e+18,4.32e+12,3.1936575e+16,1.1158972e+18,2.6420572e+18,6.5042875e+20,0,3232908.7,3129266.4,6362175,0,1.35e+21,312.95793,2.3260611e-08,312.95793,0,0,1.6378786e+08,-1.0521477e+12,8.423252e+09,-8.3677683e+10,-3.0134281e+10,-1.1159522e+10,-2.6418699e+10,5.5797611e+08,1.3209349e+09,2.2917965e+10,2.2917965e+10,2.3261075e+11,1.4538172e+10,4444895.7
8000,40,0,1.0308192e+08,3.9717087e+16,4.4574161e+16,1.8055347e+21,0,9.6501199e+18,2.8056572e+18,4.32e+12,3.2382886e+16,1.011189e+18,3.0030677e+18,6.5808557e+20,0,5350090.4,4766813.6,10116904,0,1.35e+21,476.72903,2.1297865e-08,476.72903,0,0,1.5323758e+08,-7.6779887e+11,8.199002e+09,-9.64952e+10,-2.8057565e+10,-1.0112389e+10,-3.002894e+10,5.0561943e+08,1.501447e+09,2.4987396e+10,2.4987396e+10,2.2592594e+11,1.4120371e+10,6113093.1
10000,50,0,1.2206797e+08,5.0307209e+16,6.0438564e+16,1.7989015e+21,0,1.077173e+19,2.6154925e+18,4.32e+12,3.267462e+16,9.1634728e+17,3.3366602e+18,6.6352335e+20,0,8089558.3,6733035.1,14822593,0,1.35e+21,673.37085,9.4974439e-08,673.37085,0,0,1.4336773e+08,-5.7064777e+11,7.9500682e+09,-1.0771207e+11,-2.6155835e+10,-9.163924e+09,-3.3365003e+10,4.581962e+08,1.6682502e+09,2.6797792e+10,2.6797792e+10,2.189044e+11,1.3681525e+10,8072344.9
12000,60,0,1.4141013e+08,6.128892e+16,7.7892606e+16,1.7939305e+21,0,1.1744672e+19,2.4409846e+18,4.32e+12,3.2844993e+16,8.3043948e+17,3.6428414e+18,6.6744838e+20,0,11502245,9049738,20551983,0,1.35e+21,905.0643,-8.0252676e-09,905.0643,0,0,1.3413441e+08,-4.3146054e+11,7.6879638e+09,-1.1744221e+11,-2.4410682e+10,-8.3048035e+09,-3.6426951e+10,4.1524017e+08,1.8213475e+09,2.8364508e+10,2.8364508e+10,2.118349e+11,1.3239681e+10,10316800
14000,70,0,1.6089596e+08,7.2702088e+16,9.6796258e+16,1.7901431e+21,0,1.2581245e+19,2.2805581e+18,4.32e+12,3.2917893e+16,7.526215e+17,3.9221526e+18,6.7032911e+20,0,15631440,11739593,27371033,0,1.35e+21,1174.0767,0,1174.0767,0,9.765625e-08,1.2549658e+08,-3.3142776e+11,7.4204138e+09,-1.2580859e+11,-2.280635e+10,-7.5265852e+09,-3.9220196e+10,3.7632926e+08,1.9610098e+09,2.9705484e+10,2.9705484e+10,2.0489037e+11,1.2805648e+10,12836803
16000,80,0,1.8034745e+08,8.4575695e+16,1.1701261e+17,1.7872133e+21,0,1.3293839e+19,2.1328481e+18,4.32e+12,3.2911168e+16,6.8212913e+17,4.1754761e+18,6.724803e+20,0,20513240,14825567,35338807,0,1.35e+21,1482.7049,1.6034846e-08,1482.7049,0,0,1.1741582e+08,-2.5826246e+11,7.1526925e+09,-1.3293512e+11,-2.132919e+10,-6.8216267e+09,-4.1753558e+10,3.4108133e+08,2.0876779e+09,3.0839575e+10,3.0839575e+10,1.9817229e+11,1.2385768e+10,15619878
18000,90,0,1.996173e+08,9.6929381e+16,1.3840927e+17,1.784916e+21,0,1.3894476e+19,1.9966616e+18,4.32e+12,3.2838639e+16,6.1827051e+17,4.4039083e+18,6.7411601e+20,0,26177027,18330460,44507487,0,1.35e+21,1833.2293,0,1833.2293,0,9.765625e-08,1.0985622e+08,-2.0382033e+11,6.8884401e+09,-1.3894201e+11,-1.996727e+10,-6.1830089e+09,-4.4038001e+10,3.0915045e+08,2.2019001e+09,3.1785574e+10,3.1785574e+10,1.9173757e+11,1.1983598e+10,18651559
