iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971028,9.695933e+15,7.9099951e+15,1.844626e+21,0,5.2931978e+18,3.4903337e+18,4.32e+12,3.0364105e+16,1.3591407e+18,1.8424381e+18,6.235428e+20,0,730205.88,895056.93,1625262.8,0,1.35e+21,89.514645,9.9121095e-08,89.514645,0,0,1.8712053e+08,-2.0950113e+12,8.7176091e+09,-5.2923424e+10,-3.4904646e+10,-1.3592077e+10,-1.8422266e+10,6.7960387e+08,9.2111329e+08,1.7972135e+10,1.7972135e+10,2.4274053e+11,1.5171283e+10,1978861.1
4000,20,0,67221003,1.9484304e+16,1.8173161e+16,1.8270175e+21,0,6.9176241e+18,3.2406638e+18,4.32e+12,3.1287921e+16,1.2315018e+18,2.254465e+18,6.3947308e+20,0,1973177.4,2115446.2,4088623.5,0,1.35e+21,211.56577,6.712952e-09,211.56577,0,0,1.7506546e+08,-1.4698533e+12,8.6053393e+09,-6.9168553e+10,-3.2407829e+10,-1.2315626e+10,-2.2542648e+10,6.1578128e+08,1.1271324e+09,2.0579521e+10,2.0579521e+10,2.3848026e+11,1.4905016e+10,3068633.4
6000,30,0,84702498,2.9458968e+16,3.0433744e+16,1.8145451e+21,0,8.3684509e+18,3.013321e+18,4.32e+12,3.1937061e+16,1.1158972e+18,2.642068e+18,6.5042875e+20,0,3798893.6,3677017.6,7475911.2,0,1.35e+21,367.73854,0,367.73854,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.4233802e+09,-8.3677684e+10,-3.0134296e+10,-1.1159522e+10,-2.6418807e+10,5.5797611e+08,1.3209403e+09,2.2917978e+10,2.2917978e+10,2.3261076e+11,1.4538172e+10,4444898
8000,40,0,1.0308201e+08,3.9703124e+16,4.4560215e+16,1.8055347e+21,0,9.6501202e+18,2.8056601e+18,4.32e+12,3.2383668e+16,1.011189e+18,3.0030895e+18,6.5808557e+20,0,6286126.3,5600584.3,11886711,0,1.35e+21,560.11444,-4.2360398e-08,560.11444,0,0,1.5323758e+08,-7.6779883e+11,8.1992e+09,-9.6495202e+10,-2.8057594e+10,-1.0112389e+10,-3.0029158e+10,5.0561943e+08,1.5014579e+09,2.4987422e+10,2.4987422e+10,2.2592594e+11,1.4120371e+10,6113098.8
10000,50,0,1.2206816e+08,5.0283246e+16,6.0413106e+16,1.7989015e+21,0,1.077173e+19,2.6154974e+18,4.32e+12,3.2675777e+16,9.1634729e+17,3.3366983e+18,6.6352335e+20,0,9503853.2,7909733.4,17413587,0,1.35e+21,791.05244,1.0188069e-07,791.05244,0,0,1.4336773e+08,-5.706477e+11,7.9503496e+09,-1.0771208e+11,-2.6155884e+10,-9.163924e+09,-3.3365384e+10,4.581962e+08,1.6682692e+09,2.6797838e+10,2.6797838e+10,2.189044e+11,1.3681525e+10,8072357.4
12000,60,0,1.4141046e+08,6.1251233e+16,7.7850374e+16,1.7939305e+21,0,1.1744674e+19,2.4409922e+18,4.32e+12,3.284661e+16,8.3043949e+17,3.6429022e+18,6.6744839e+20,0,13511543,10629841,24141384,0,1.35e+21,1063.0904,-3.7318841e-09,1063.0904,0,0,1.3413441e+08,-4.3146042e+11,7.6883422e+09,-1.1744222e+11,-2.4410758e+10,-8.3048035e+09,-3.6427559e+10,4.1524018e+08,1.8213779e+09,2.8364581e+10,2.8364581e+10,2.118349e+11,1.3239681e+10,10316825
14000,70,0,1.608965e+08,7.2646331e+16,9.6730819e+16,1.7901431e+21,0,1.2581247e+19,2.2805691e+18,4.32e+12,3.2920062e+16,7.5262151e+17,3.9222436e+18,6.7032912e+20,0,18359598,13787253,32146851,0,1.35e+21,1378.8632,0,1378.8632,0,9.765625e-08,1.2549658e+08,-3.3142756e+11,7.4209025e+09,-1.2580861e+11,-2.280646e+10,-7.5265853e+09,-3.9221105e+10,3.7632926e+08,1.9610553e+09,2.9705592e+10,2.9705592e+10,2.0489037e+11,1.2805648e+10,12836846
16000,80,0,1.8034828e+08,8.4496866e+16,1.169163e+17,1.7872133e+21,0,1.3293842e+19,2.1328633e+18,4.32e+12,3.2913985e+16,6.8212914e+17,4.1756058e+18,6.7248031e+20,0,24089875,17408615,41498490,0,1.35e+21,1741.0356,4.7426511e-08,1741.0356,0,0,1.1741582e+08,-2.5826216e+11,7.1533046e+09,-1.3293515e+11,-2.1329342e+10,-6.8216267e+09,-4.1754854e+10,3.4108134e+08,2.0877427e+09,3.0839729e+10,3.0839729e+10,1.9817229e+11,1.2385768e+10,15619950
18000,90,0,1.9961854e+08,9.6821785e+16,1.3827316e+17,1.784916e+21,0,1.389448e+19,1.9966818e+18,4.32e+12,3.2842206e+16,6.1827052e+17,4.4040864e+18,6.7411604e+20,0,30736253,21520329,52256582,0,1.35e+21,2152.2481,2.5839654e-08,2152.2481,0,0,1.0985622e+08,-2.0381989e+11,6.8891882e+09,-1.3894206e+11,-1.9967472e+10,-6.183009e+09,-4.4039782e+10,3.0915045e+08,2.2019891e+09,3.1785785e+10,3.1785785e+10,1.9173758e+11,1.1983599e+10,18651675
