iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971287,9.630622e+15,7.8605246e+15,1.844626e+21,0,5.2931981e+18,3.4903466e+18,4.32e+12,3.0374566e+16,1.3591407e+18,1.8425269e+18,6.2354281e+20,0,12040572,14751698,26792270,0,1.35e+21,1475.3173,6.7241444e-08,1475.3173,0,0,1.8712053e+08,-2.0950112e+12,8.7206109e+09,-5.2923427e+10,-3.4904775e+10,-1.3592077e+10,-1.8423153e+10,6.7960387e+08,9.2115763e+08,1.7972241e+10,1.7972241e+10,2.4274053e+11,1.5171283e+10,1978871.2
4000,20,0,67222476,1.919133e+16,1.7923343e+16,1.8270175e+21,0,6.9176271e+18,3.2407245e+18,4.32e+12,3.1314895e+16,1.2315019e+18,2.2548947e+18,6.394731e+20,0,32290993,34573960,66864953,0,1.35e+21,3457.7417,-1.8571882e-09,3457.7417,0,0,1.7506546e+08,-1.4698528e+12,8.6127555e+09,-6.9168583e+10,-3.2408434e+10,-1.2315626e+10,-2.2546943e+10,6.1578129e+08,1.1273472e+09,2.0580037e+10,2.0580037e+10,2.3848027e+11,1.4905017e+10,3068700.6
6000,30,0,84706871,2.872858e+16,2.9754292e+16,1.8145451e+21,0,8.3684621e+18,3.0134729e+18,4.32e+12,3.1986724e+16,1.1158973e+18,2.6431794e+18,6.5042883e+20,0,61628039,59500366,1.211284e+08,0,1.35e+21,5950.6317,4.7048161e-09,5950.6317,0,0,1.6378786e+08,-1.0521461e+12,8.4364754e+09,-8.3677796e+10,-3.0135814e+10,-1.1159523e+10,-2.6429917e+10,5.5797614e+08,1.3214958e+09,2.291931e+10,2.291931e+10,2.3261078e+11,1.4538174e+10,4445127.4
8000,40,0,1.0309188e+08,3.8277805e+16,4.313432e+16,1.8055348e+21,0,9.6501491e+18,2.8059547e+18,4.32e+12,3.2462712e+16,1.0111892e+18,3.0053136e+18,6.5808575e+20,0,1.0096853e+08,89594901,1.9056343e+08,0,1.35e+21,8960.3862,4.2646207e-08,8960.3862,0,0,1.5323758e+08,-7.6779507e+11,8.2192092e+09,-9.6495492e+10,-2.8060539e+10,-1.011239e+10,-3.0051392e+10,5.0561949e+08,1.5025696e+09,2.4990084e+10,2.4990084e+10,2.2592601e+11,1.4120375e+10,6113684.1
10000,50,0,1.2208721e+08,4.7857354e+16,5.7829834e+16,1.7989016e+21,0,1.0771791e+19,2.6159926e+18,4.32e+12,3.2791288e+16,9.163475e+17,3.3405563e+18,6.6352374e+20,0,1.5095518e+08,1.2491516e+08,2.7587034e+08,0,1.35e+21,12492.765,1.3703902e-07,12492.765,0,0,1.4336773e+08,-5.7064032e+11,7.9784498e+09,-1.0771268e+11,-2.6160835e+10,-9.1639261e+09,-3.3403955e+10,4.581963e+08,1.6701977e+09,2.6802447e+10,2.6802447e+10,2.1890453e+11,1.3681533e+10,8073617.6
12000,60,0,1.4144365e+08,5.7470818e+16,7.3600688e+16,1.7939307e+21,0,1.1744785e+19,2.4417513e+18,4.32e+12,3.3005932e+16,8.3043981e+17,3.6490034e+18,6.674491e+20,0,2.1196001e+08,1.65496e+08,3.7745601e+08,0,1.35e+21,16551.255,9.3386916e-09,16551.255,0,0,1.3413441e+08,-4.3144764e+11,7.7256287e+09,-1.1744334e+11,-2.4418348e+10,-8.3048067e+09,-3.6488558e+10,4.1524034e+08,1.8244279e+09,2.8371856e+10,2.8371856e+10,2.1183512e+11,1.3239695e+10,10319246
14000,70,0,1.6095015e+08,6.7109269e+16,9.0206155e+16,1.7901434e+21,0,1.2581434e+19,2.2816593e+18,4.32e+12,3.313066e+16,7.5262196e+17,3.9312806e+18,6.703303e+20,0,2.8409432e+08,2.1133676e+08,4.9543108e+08,0,1.35e+21,21135.789,0,21135.789,0,1.953125e-07,1.2549658e+08,-3.3140728e+11,7.4683699e+09,-1.2581048e+11,-2.2817361e+10,-7.5265898e+09,-3.9311458e+10,3.7632949e+08,1.9655729e+09,2.9716347e+10,2.9716347e+10,2.0489074e+11,1.2805671e+10,12841127
16000,80,0,1.8043025e+08,7.6753407e+16,1.0740956e+17,1.7872139e+21,0,1.3294135e+19,2.1343544e+18,4.32e+12,3.3183312e+16,6.8212976e+17,4.1883473e+18,6.7248216e+20,0,3.6722376e+08,2.6239166e+08,6.2961542e+08,0,1.35e+21,26241.79,0,26241.79,0,9.765625e-08,1.1741582e+08,-2.5823191e+11,7.2118316e+09,-1.3293808e+11,-2.1344251e+10,-6.821633e+09,-4.1882249e+10,3.4108165e+08,2.0941124e+09,3.0854865e+10,3.0854865e+10,1.9817284e+11,1.2385802e+10,15627050
18000,90,0,1.9973827e+08,8.6375594e+16,1.2498193e+17,1.784917e+21,0,1.3894916e+19,1.9986446e+18,4.32e+12,3.3177563e+16,6.1827134e+17,4.4213686e+18,6.7411879e+20,0,4.6098725e+08,3.185634e+08,7.7955065e+08,0,1.35e+21,31859.526,3.8951839e-08,31859.526,0,0,1.0985622e+08,-2.0377694e+11,6.9595274e+09,-1.3894641e+11,-1.9987098e+10,-6.1830172e+09,-4.4212579e+10,3.0915086e+08,2.2106289e+09,3.1806279e+10,3.1806279e+10,1.9173836e+11,1.1983648e+10,18662862
