iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971306,9.6258624e+15,7.8569185e+15,1.844626e+21,0,5.2931982e+18,3.4903475e+18,4.32e+12,3.0375327e+16,1.3591407e+18,1.8425333e+18,6.2354281e+20,0,12863213,15759010,28622223,0,1.35e+21,1576.0586,-8.7270564e-09,1576.0586,0,0,1.8712053e+08,-2.0950112e+12,8.7208292e+09,-5.2923427e+10,-3.4904784e+10,-1.3592077e+10,-1.8423217e+10,6.7960387e+08,9.2116086e+08,1.7972249e+10,1.7972249e+10,2.4274053e+11,1.5171283e+10,1978871.9
4000,20,0,67222582,1.9170103e+16,1.7905232e+16,1.8270175e+21,0,6.9176273e+18,3.2407288e+18,4.32e+12,3.131684e+16,1.2315019e+18,2.2549259e+18,6.394731e+20,0,34478151,36912218,71390369,0,1.35e+21,3691.5909,-3.2225671e-08,3691.5909,0,0,1.7506546e+08,-1.4698528e+12,8.6132903e+09,-6.9168586e+10,-3.2408478e+10,-1.2315626e+10,-2.2547255e+10,6.157813e+08,1.1273627e+09,2.0580074e+10,2.0580074e+10,2.3848027e+11,1.4905017e+10,3068705.5
6000,30,0,84707185,2.8676024e+16,2.9705347e+16,1.8145451e+21,0,8.368463e+18,3.0134838e+18,4.32e+12,3.199027e+16,1.1158973e+18,2.6432594e+18,6.5042883e+20,0,65760485,63478414,1.292389e+08,0,1.35e+21,6348.4763,9.5842552e-09,6348.4763,0,0,1.6378786e+08,-1.052146e+12,8.4374105e+09,-8.3677804e+10,-3.0135923e+10,-1.1159523e+10,-2.6430717e+10,5.5797615e+08,1.3215358e+09,2.2919406e+10,2.2919406e+10,2.3261078e+11,1.4538174e+10,4445143.9
8000,40,0,1.0309259e+08,3.8176051e+16,4.3032346e+16,1.8055348e+21,0,9.6501512e+18,2.8059757e+18,4.32e+12,3.2468292e+16,1.0111892e+18,3.0054724e+18,6.5808577e+20,0,1.0766134e+08,95505627,2.0316696e+08,0,1.35e+21,9551.5179,1.1126758e-08,9551.5179,0,0,1.5323758e+08,-7.677948e+11,8.2206216e+09,-9.6495512e+10,-2.8060749e+10,-1.011239e+10,-3.005298e+10,5.056195e+08,1.502649e+09,2.4990275e+10,2.4990275e+10,2.2592601e+11,1.4120376e+10,6113725.9
10000,50,0,1.2208856e+08,4.7685708e+16,5.7646588e+16,1.7989016e+21,0,1.0771795e+19,2.6160277e+18,4.32e+12,3.2799337e+16,9.1634751e+17,3.3408295e+18,6.6352377e+20,0,1.6083159e+08,1.3303208e+08,2.9386368e+08,0,1.35e+21,13304.539,1.149474e-07,13304.539,0,0,1.4336773e+08,-5.7063979e+11,7.9804078e+09,-1.0771273e+11,-2.6161186e+10,-9.1639262e+09,-3.3406685e+10,4.5819631e+08,1.6703343e+09,2.6802773e+10,2.6802773e+10,2.1890454e+11,1.3681534e+10,8073706.8
12000,60,0,1.4144597e+08,5.7205976e+16,7.3301946e+16,1.7939307e+21,0,1.1744793e+19,2.4418046e+18,4.32e+12,3.3016874e+16,8.3043983e+17,3.6494311e+18,6.6744915e+20,0,2.2562606e+08,1.7606914e+08,4.0169521e+08,0,1.35e+21,17608.675,-2.8361683e-08,17608.675,0,0,1.3413441e+08,-4.3144674e+11,7.7281896e+09,-1.1744341e+11,-2.441888e+10,-8.3048069e+09,-3.6492834e+10,4.1524035e+08,1.8246417e+09,2.8372366e+10,2.8372366e+10,2.1183514e+11,1.3239696e+10,10319415
14000,70,0,1.6095387e+08,6.6725578e+16,8.9752034e+16,1.7901435e+21,0,1.2581447e+19,2.281735e+18,4.32e+12,3.3144895e+16,7.52622e+17,3.9319071e+18,6.7033039e+20,0,3.0211508e+08,2.2458804e+08,5.2670312e+08,0,1.35e+21,22461.05,0,22461.05,0,9.765625e-08,1.2549658e+08,-3.3140585e+11,7.4715784e+09,-1.2581061e+11,-2.2818117e+10,-7.5265901e+09,-3.9317722e+10,3.7632951e+08,1.9658861e+09,2.9717093e+10,2.9717093e+10,2.0489076e+11,1.2805673e+10,12841424
16000,80,0,1.8043587e+08,7.6223173e+16,1.0675505e+17,1.787214e+21,0,1.3294156e+19,2.1344567e+18,4.32e+12,3.3201201e+16,6.8212981e+17,4.1892199e+18,6.7248229e+20,0,3.9010184e+08,2.7851023e+08,6.6861208e+08,0,1.35e+21,27853.809,0,27853.809,0,9.765625e-08,1.1741582e+08,-2.5822981e+11,7.2157189e+09,-1.3293828e+11,-2.1345273e+10,-6.8216334e+09,-4.1890973e+10,3.4108167e+08,2.0945487e+09,3.0855902e+10,3.0855902e+10,1.9817288e+11,1.2385805e+10,15627536
18000,90,0,1.9974637e+08,8.5669436e+16,1.2407764e+17,1.7849171e+21,0,1.3894946e+19,1.9987775e+18,4.32e+12,3.3199414e+16,6.182714e+17,4.4225365e+18,6.7411898e+20,0,4.8914424e+08,3.3770113e+08,8.2684537e+08,0,1.35e+21,33773.491,-1.0310032e-08,33773.491,0,0,1.0985622e+08,-2.0377399e+11,6.9641107e+09,-1.3894672e+11,-1.9988426e+10,-6.1830178e+09,-4.4224256e+10,3.0915089e+08,2.2112128e+09,3.1807665e+10,3.1807665e+10,1.9173842e+11,1.1983651e+10,18663619
20000,100,0,2.1876694e+08,9.5029015e+16,1.41498e+17,1.7830948e+21,0,1.4395218e+19,1.8736463e+18,4.32e+12,3.3150244e+16,5.6042041e+17,4.6331422e+18,6.7538773e+20,0,5.9858017e+08,4.0196687e+08,1.000547e+09,0,1.35e+21,40200.707,3.3222022e-08,40200.707,0,0,1.0278416e+08,-1.62563e+11,6.7191256e+09,-1.4394992e+11,-1.8737064e+10,-5.6044793e+09,-4.6330423e+10,2.8022397e+08,2.3165212e+09,3.2590602e+10,3.2590602e+10,1.856164e+11,1.1601025e+10,21934286
22000,110,0,2.3740291e+08,1.0426235e+17,1.5880839e+17,1.7816344e+21,0,1.4805618e+19,1.7581305e+18,4.32e+12,3.306229e+16,5.0800976e+17,4.8223825e+18,6.7639091e+20,0,7.1755544e+08,4.710538e+08,1.1886092e+09,0,1.35e+21,47110.091,-3.5157427e-08,47110.091,0,0,96168198,-1.3086514e+11,6.4823437e+09,-1.4805434e+11,-1.758186e+10,-5.080347e+09,-4.822293e+10,2.5401735e+08,2.4111465e+09,3.3221965e+10,3.3221965e+10,1.798183e+11,1.1238644e+10,25423459
24000,120,0,2.5558025e+08,1.1332732e+17,1.7581706e+17,1.7804546e+21,0,1.5135982e+19,1.6513984e+18,4.32e+12,3.2942567e+16,4.6052603e+17,4.9916224e+18,6.7720034e+20,0,8.450534e+08,5.4465047e+08,1.3897039e+09,0,1.35e+21,54470.494,7.9890015e-09,54470.494,0,0,89978920,-1.0610287e+11,6.2547779e+09,-1.5135835e+11,-1.6514497e+10,-4.6054862e+09,-4.9915426e+10,2.3027431e+08,2.4957713e+09,3.3717871e+10,3.3717871e+10,1.7434459e+11,1.0896537e+10,29114830
26000,130,0,2.7324279e+08,1.2218076e+17,1.9234976e+17,1.7794954e+21,0,1.5395335e+19,1.552705e+18,4.32e+12,3.2796868e+16,4.1750436e+17,5.1422184e+18,6.7786688e+20,0,9.7992564e+08,6.2239155e+08,1.6023172e+09,0,1.35e+21,62245.379,8.2014594e-08,62245.379,0,0,84188806,-8.647239e+10,6.0370285e+09,-1.5395221e+11,-1.5527525e+10,-4.1752483e+09,-5.1421476e+10,2.0876241e+08,2.5710738e+09,3.4093245e+10,3.4093245e+10,1.6918895e+11,1.057431e+10,32992223
