iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.6999894e+15,7.9130669e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363454e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,26367.569,32321.273,58688.842,0,1.35e+21,3.2324505,1.6636901e-08,3.2324505,0,0,1.8712053e+08,-2.0950113e+12,8.7174223e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111054e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220911,1.9502605e+16,1.8188757e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286229e+16,1.2315018e+18,2.2544381e+18,6.3947308e+20,0,71284.452,76430.346,147714.8,0,1.35e+21,7.643799,3.2981263e-08,7.6437989,0,0,1.7506546e+08,-1.4698533e+12,8.604874e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.254238e+10,6.1578128e+08,1.127119e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702224,2.9504902e+16,3.047643e+16,1.8145451e+21,0,8.3684502e+18,3.0133114e+18,4.32e+12,3.1933914e+16,1.1158972e+18,2.6419981e+18,6.5042875e+20,0,137316.25,132931.67,270247.92,0,1.35e+21,13.294496,2.7670886e-08,13.294496,0,0,1.6378786e+08,-1.0521478e+12,8.4225504e+09,-8.3677677e+10,-3.01342e+10,-1.1159522e+10,-2.6418108e+10,5.5797611e+08,1.3209054e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.6
8000,40,0,1.0308139e+08,3.979346e+16,4.4650434e+16,1.8055347e+21,0,9.6501184e+18,2.8056415e+18,4.32e+12,3.2378603e+16,1.011189e+18,3.0029486e+18,6.5808556e+20,0,227361.86,202617.26,429979.12,0,1.35e+21,20.263753,-3.5440415e-08,20.263753,0,0,1.5323758e+08,-7.6779907e+11,8.197918e+09,-9.6495184e+10,-2.8057408e+10,-1.0112388e+10,-3.002775e+10,5.0561942e+08,1.5013875e+09,2.4987254e+10,2.4987254e+10,2.2592594e+11,1.4120371e+10,6113061.7
10000,50,0,1.2206694e+08,5.0438345e+16,6.0577861e+16,1.7989015e+21,0,1.0771727e+19,2.6154657e+18,4.32e+12,3.2668283e+16,9.1634727e+17,3.3364518e+18,6.6352333e+20,0,343984.26,286388.4,630372.66,0,1.35e+21,28.641705,1.1824053e-07,28.641704,0,0,1.4336773e+08,-5.7064817e+11,7.9485265e+09,-1.0771204e+11,-2.6155568e+10,-9.1639239e+09,-3.3362919e+10,4.5819619e+08,1.668146e+09,2.6797543e+10,2.6797543e+10,2.189044e+11,1.3681525e+10,8072276.9
12000,60,0,1.4140832e+08,6.1495281e+16,7.812381e+16,1.7939305e+21,0,1.1744666e+19,2.4409432e+18,4.32e+12,3.283613e+16,8.3043947e+17,3.6425085e+18,6.6744834e+20,0,489422.28,385220.82,874643.1,0,1.35e+21,38.525935,-4.7078494e-08,38.525935,0,0,1.3413441e+08,-4.3146123e+11,7.6858894e+09,-1.1744215e+11,-2.4410269e+10,-8.3048033e+09,-3.6423623e+10,4.1524017e+08,1.8211811e+09,2.8364112e+10,2.8364112e+10,2.1183488e+11,1.323968e+10,10316668
14000,70,0,1.60893e+08,7.3007585e+16,9.7154717e+16,1.7901431e+21,0,1.2581235e+19,2.280498e+18,4.32e+12,3.2905996e+16,7.5262148e+17,3.9216542e+18,6.7032905e+20,0,665607.56,500135.92,1165743.5,0,1.35e+21,50.018594,0,50.018594,0,9.765625e-08,1.2549658e+08,-3.3142887e+11,7.4177323e+09,-1.2580849e+11,-2.280575e+10,-7.526585e+09,-3.9215213e+10,3.7632925e+08,1.9607606e+09,2.9704891e+10,2.9704891e+10,2.0489035e+11,1.2805647e+10,12836567
16000,80,0,1.8034288e+08,8.5007902e+16,1.1754048e+17,1.7872133e+21,0,1.3293823e+19,2.132765e+18,4.32e+12,3.2895698e+16,6.821291e+17,4.174765e+18,6.7248019e+20,0,874184.27,632177.33,1506361.6,0,1.35e+21,63.224055,1.2149748e-08,63.224055,0,0,1.1741582e+08,-2.5826412e+11,7.1493308e+09,-1.3293496e+11,-2.1328359e+10,-6.8216263e+09,-4.1746448e+10,3.4108132e+08,2.0873224e+09,3.0838731e+10,3.0838731e+10,1.9817226e+11,1.2385766e+10,15619482
18000,90,0,1.9961054e+08,9.7519751e+16,1.3915582e+17,1.784916e+21,0,1.3894451e+19,1.9965509e+18,4.32e+12,3.2819028e+16,6.1827047e+17,4.4029314e+18,6.7411586e+20,0,1116530.1,782391.98,1898922.1,0,1.35e+21,78.247022,-3.1997317e-08,78.247022,0,0,1.0985622e+08,-2.0382272e+11,6.8843268e+09,-1.3894177e+11,-1.9966163e+10,-6.1830085e+09,-4.4028233e+10,3.0915042e+08,2.2014117e+09,3.1784417e+10,3.1784417e+10,1.9173753e+11,1.1983596e+10,18650928
20000,100,0,2.1857568e+08,1.105589e+17,1.6188108e+17,1.7830931e+21,0,1.4394513e+19,1.8708046e+18,4.32e+12,3.2687003e+16,5.6041922e+17,4.607374e+18,6.7538327e+20,0,1393777.4,951815.22,2345592.6,0,1.35e+21,95.191041,3.2341632e-08,95.191041,0,0,1.0278416e+08,-1.6262959e+11,6.6252415e+09,-1.4394287e+11,-1.870865e+10,-5.6044674e+09,-4.6072775e+10,2.8022337e+08,2.3036388e+09,3.2560096e+10,3.2560096e+10,1.8561517e+11,1.1600948e+10,21915109
22000,110,0,2.3714172e+08,1.2413458e+17,1.8560274e+17,1.781632e+21,0,1.4804647e+19,1.7545952e+18,4.32e+12,3.2508667e+16,5.0800827e+17,4.7893872e+18,6.7638474e+20,0,1706834.4,1141459.3,2848293.7,0,1.35e+21,114.15734,2.4715746e-08,114.15734,0,0,96168198,-1.3095333e+11,6.3738072e+09,-1.4804462e+11,-1.7546511e+10,-5.080332e+09,-4.7893016e+10,2.540166e+08,2.3946508e+09,3.3182961e+10,3.3182961e+10,1.7981666e+11,1.1238541e+10,25395488
