iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.6996584e+15,7.9128162e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363507e+16,1.3591407e+18,1.8424331e+18,6.235428e+20,0,83808.55,102731.97,186540.52,0,1.35e+21,10.274224,-1.4811043e-08,10.274224,0,0,1.8712053e+08,-2.0950113e+12,8.7174376e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422215e+10,6.7960387e+08,9.2111077e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220918,1.9501111e+16,1.8187484e+16,1.8270175e+21,0,6.9176239e+18,3.2406604e+18,4.32e+12,3.1286367e+16,1.2315018e+18,2.2544403e+18,6.3947308e+20,0,226566.87,242920.71,469487.58,0,1.35e+21,24.2945,-1.2827442e-08,24.2945,0,0,1.7506546e+08,-1.4698533e+12,8.604912e+09,-6.9168552e+10,-3.2407794e+10,-1.2315626e+10,-2.2542402e+10,6.1578128e+08,1.1271201e+09,2.0579491e+10,2.0579491e+10,2.3848026e+11,1.4905016e+10,3068629.5
6000,30,0,84702246,2.9501151e+16,3.0472944e+16,1.8145451e+21,0,8.3684503e+18,3.0133122e+18,4.32e+12,3.1934171e+16,1.1158972e+18,2.6420038e+18,6.5042875e+20,0,436419.62,422479.1,858898.72,0,1.35e+21,42.252136,0,42.252136,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4226182e+09,-8.3677677e+10,-3.0134208e+10,-1.1159522e+10,-2.6418166e+10,5.5797611e+08,1.3209083e+09,2.2917901e+10,2.2917901e+10,2.3261075e+11,1.4538172e+10,4444884.7
8000,40,0,1.0308144e+08,3.978608e+16,4.4643064e+16,1.8055347e+21,0,9.6501185e+18,2.805643e+18,4.32e+12,3.2379017e+16,1.011189e+18,3.0029601e+18,6.5808556e+20,0,722566.64,643914.02,1366480.7,0,1.35e+21,64.397842,2.3503844e-08,64.397842,0,0,1.5323758e+08,-7.6779905e+11,8.1980228e+09,-9.6495186e+10,-2.8057423e+10,-1.0112388e+10,-3.0027865e+10,5.0561942e+08,1.5013932e+09,2.4987268e+10,2.4987268e+10,2.2592594e+11,1.4120371e+10,6113064.7
10000,50,0,1.2206704e+08,5.0425669e+16,6.0564398e+16,1.7989015e+21,0,1.0771727e+19,2.6154683e+18,4.32e+12,3.2668896e+16,9.1634727e+17,3.336472e+18,6.6352333e+20,0,1093135.6,910077.25,2003212.8,0,1.35e+21,91.016826,7.8760294e-08,91.016826,0,0,1.4336773e+08,-5.7064813e+11,7.9486756e+09,-1.0771204e+11,-2.6155594e+10,-9.1639239e+09,-3.3363121e+10,4.5819619e+08,1.668156e+09,2.6797567e+10,2.6797567e+10,2.189044e+11,1.3681525e+10,8072283.4
12000,60,0,1.414085e+08,6.1475324e+16,7.8101454e+16,1.7939305e+21,0,1.1744667e+19,2.4409472e+18,4.32e+12,3.2836988e+16,8.3043947e+17,3.6425407e+18,6.6744835e+20,0,1555218.6,1224054.6,2779273.1,0,1.35e+21,122.4177,-1.396856e-08,122.4177,0,0,1.3413441e+08,-4.3146117e+11,7.6860902e+09,-1.1744216e+11,-2.4410309e+10,-8.3048033e+09,-3.6423945e+10,4.1524017e+08,1.8211972e+09,2.836415e+10,2.836415e+10,2.1183488e+11,1.323968e+10,10316681
14000,70,0,1.6089329e+08,7.2978027e+16,9.7120042e+16,1.7901431e+21,0,1.2581236e+19,2.2805038e+18,4.32e+12,3.2907148e+16,7.5262148e+17,3.9217025e+18,6.7032905e+20,0,2114926.1,1589074.2,3704000.4,0,1.35e+21,158.92331,0,158.92331,0,9.765625e-08,1.2549658e+08,-3.3142876e+11,7.417992e+09,-1.258085e+11,-2.2805808e+10,-7.526585e+09,-3.9215695e+10,3.7632925e+08,1.9607847e+09,2.9704948e+10,2.9704948e+10,2.0489035e+11,1.2805647e+10,12836590
16000,80,0,1.8034332e+08,8.4966062e+16,1.174894e+17,1.7872133e+21,0,1.3293825e+19,2.1327731e+18,4.32e+12,3.2897198e+16,6.821291e+17,4.1748339e+18,6.724802e+20,0,2777449.5,2008431.9,4785881.4,0,1.35e+21,200.86327,-5.1348081e-09,200.86327,0,0,1.1741582e+08,-2.5826396e+11,7.1496567e+09,-1.3293497e+11,-2.132844e+10,-6.8216263e+09,-4.1747136e+10,3.4108132e+08,2.0873568e+09,3.0838813e+10,3.0838813e+10,1.9817226e+11,1.2385766e+10,15619521
18000,90,0,1.996112e+08,9.7462569e+16,1.3908353e+17,1.784916e+21,0,1.3894454e+19,1.9965616e+18,4.32e+12,3.282093e+16,6.1827047e+17,4.403026e+18,6.7411587e+20,0,3547127.1,2485430.7,6032557.8,0,1.35e+21,248.56792,-2.1426729e-08,248.56792,0,0,1.0985622e+08,-2.0382248e+11,6.8847258e+09,-1.3894179e+11,-1.996627e+10,-6.1830085e+09,-4.4029179e+10,3.0915042e+08,2.201459e+09,3.1784529e+10,3.1784529e+10,1.9173753e+11,1.1983596e+10,18650989
