iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971035,9.6941899e+15,7.9086751e+15,1.844626e+21,0,5.2931978e+18,3.490334e+18,4.32e+12,3.0364384e+16,1.3591407e+18,1.8424405e+18,6.235428e+20,0,1032605.1,1265709.4,2298314.6,0,1.35e+21,126.5836,-3.9918632e-08,126.5836,0,0,1.8712053e+08,-2.0950113e+12,8.7176894e+09,-5.2923424e+10,-3.490465e+10,-1.3592077e+10,-1.842229e+10,6.7960387e+08,9.2111448e+08,1.7972137e+10,1.7972137e+10,2.4274053e+11,1.5171283e+10,1978861.4
4000,20,0,67221042,1.9476443e+16,1.8166461e+16,1.8270175e+21,0,6.9176242e+18,3.2406655e+18,4.32e+12,3.1288648e+16,1.2315018e+18,2.2544765e+18,6.3947308e+20,0,2789763.8,2990805.6,5780569.4,0,1.35e+21,299.11047,-4.0787313e-08,299.11047,0,0,1.7506546e+08,-1.4698533e+12,8.6055391e+09,-6.9168554e+10,-3.2407845e+10,-1.2315626e+10,-2.2542763e+10,6.1578128e+08,1.1271382e+09,2.0579535e+10,2.0579535e+10,2.3848026e+11,1.4905016e+10,3068635.2
6000,30,0,84702616,2.943925e+16,3.0415419e+16,1.8145451e+21,0,8.3684512e+18,3.0133251e+18,4.32e+12,3.1938411e+16,1.1158972e+18,2.642098e+18,6.5042876e+20,0,5369786.2,5197163.5,10566950,0,1.35e+21,519.76832,-1.924036e-08,519.76832,0,0,1.6378786e+08,-1.0521477e+12,8.4237362e+09,-8.3677687e+10,-3.0134336e+10,-1.1159522e+10,-2.6419107e+10,5.5797611e+08,1.3209553e+09,2.2918014e+10,2.2918014e+10,2.3261076e+11,1.4538172e+10,4444904.2
8000,40,0,1.0308228e+08,3.9664371e+16,4.4521507e+16,1.8055347e+21,0,9.650121e+18,2.8056681e+18,4.32e+12,3.2385839e+16,1.0111891e+18,3.0031499e+18,6.5808557e+20,0,8883152.8,7913538,16796691,0,1.35e+21,791.43295,7.8714493e-09,791.43295,0,0,1.5323758e+08,-7.6779873e+11,8.1997495e+09,-9.649521e+10,-2.8057674e+10,-1.0112389e+10,-3.0029762e+10,5.0561943e+08,1.5014881e+09,2.4987495e+10,2.4987495e+10,2.2592595e+11,1.4120372e+10,6113114.7
10000,50,0,1.2206868e+08,5.021676e+16,6.0342467e+16,1.7989015e+21,0,1.0771732e+19,2.6155109e+18,4.32e+12,3.2678986e+16,9.1634729e+17,3.336804e+18,6.6352336e+20,0,13426199,11172457,24598656,0,1.35e+21,1117.3574,6.1142373e-08,1117.3574,0,0,1.4336773e+08,-5.706475e+11,7.9511302e+09,-1.0771209e+11,-2.615602e+10,-9.1639241e+09,-3.3366441e+10,4.581962e+08,1.668322e+09,2.6797964e+10,2.6797964e+10,2.1890441e+11,1.3681525e+10,8072391.9
12000,60,0,1.4141138e+08,6.1146702e+16,7.7733224e+16,1.7939306e+21,0,1.1744677e+19,2.4410131e+18,4.32e+12,3.2851092e+16,8.3043949e+17,3.6430708e+18,6.6744841e+20,0,19081495,15008816,34090312,0,1.35e+21,1501.0317,3.9360657e-09,1501.0317,0,0,1.3413441e+08,-4.3146007e+11,7.6893911e+09,-1.1744225e+11,-2.4410968e+10,-8.3048036e+09,-3.6429244e+10,4.1524018e+08,1.8214622e+09,2.8364782e+10,2.8364782e+10,2.118349e+11,1.3239682e+10,10316891
14000,70,0,1.60898e+08,7.2491739e+16,9.6549355e+16,1.7901431e+21,0,1.2581252e+19,2.2805995e+18,4.32e+12,3.2926069e+16,7.5262152e+17,3.9224958e+18,6.7032915e+20,0,25918458,19458710,45377169,0,1.35e+21,1946.0656,0,1946.0656,0,9.765625e-08,1.2549658e+08,-3.31427e+11,7.4222565e+09,-1.2580866e+11,-2.2806764e+10,-7.5265854e+09,-3.9223627e+10,3.7632927e+08,1.9611813e+09,2.9705892e+10,2.9705892e+10,2.0489038e+11,1.2805649e+10,12836966
16000,80,0,1.8035059e+08,8.4278392e+16,1.1664934e+17,1.7872133e+21,0,1.329385e+19,2.1329053e+18,4.32e+12,3.2921784e+16,6.8212916e+17,4.1759653e+18,6.7248037e+20,0,33994077,24558473,58552549,0,1.35e+21,2456.0929,4.6161404e-09,2456.0929,0,0,1.1741582e+08,-2.5826132e+11,7.1549994e+09,-1.3293523e+11,-2.1329762e+10,-6.8216269e+09,-4.1758448e+10,3.4108135e+08,2.0879224e+09,3.0840156e+10,3.0840156e+10,1.9817231e+11,1.2385769e+10,15620151
18000,90,0,1.9962195e+08,9.6523712e+16,1.3789601e+17,1.7849161e+21,0,1.3894492e+19,1.9967377e+18,4.32e+12,3.2852076e+16,6.1827055e+17,4.4045796e+18,6.7411612e+20,0,43353708,30343896,73697603,0,1.35e+21,3034.693,-1.7607817e-09,3034.693,0,0,1.0985622e+08,-2.0381869e+11,6.8912584e+09,-1.3894218e+11,-1.9968031e+10,-6.1830092e+09,-4.4044713e+10,3.0915046e+08,2.2022357e+09,3.1786369e+10,3.1786369e+10,1.917376e+11,1.19836e+10,18651994
