iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9130214e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363444e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,36726.047,0,36726.047,0,1.35e+21,4.5024123,1.4391123e-07,4.5024121,0,0,1.8712053e+08,-2.0950113e+12,8.7174197e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.211105e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220910,1.950329e+16,1.8188525e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286208e+16,1.2315018e+18,2.2544378e+18,6.3947308e+20,0,99287.792,0,99287.792,0,1.35e+21,10.647094,-3.3431938e-08,10.647094,0,0,1.7506546e+08,-1.4698533e+12,8.6048682e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542376e+10,6.1578128e+08,1.1271188e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702220,2.9506624e+16,3.0475792e+16,1.8145451e+21,0,8.3684502e+18,3.0133113e+18,4.32e+12,3.1933879e+16,1.1158972e+18,2.6419972e+18,6.5042875e+20,0,191257.93,0,191257.93,0,1.35e+21,18.518415,-1.7997071e-08,18.518415,0,0,1.6378786e+08,-1.0521478e+12,8.4225413e+09,-8.3677677e+10,-3.0134199e+10,-1.1159522e+10,-2.64181e+10,5.5797611e+08,1.320905e+09,2.2917893e+10,2.2917893e+10,2.3261075e+11,1.4538172e+10,4444883.4
8000,40,0,1.0308138e+08,3.9796848e+16,4.4649083e+16,1.8055347e+21,0,9.6501184e+18,2.8056413e+18,4.32e+12,3.2378553e+16,1.011189e+18,3.002947e+18,6.5808556e+20,0,316673,0,316673,0,1.35e+21,28.226915,-1.4454425e-08,28.226915,0,0,1.5323758e+08,-7.6779907e+11,8.1979052e+09,-9.6495184e+10,-2.8057406e+10,-1.0112388e+10,-3.0027734e+10,5.0561942e+08,1.5013867e+09,2.4987252e+10,2.4987252e+10,2.2592594e+11,1.4120371e+10,6113061.3
10000,50,0,1.2206693e+08,5.0444166e+16,6.0575387e+16,1.7989015e+21,0,1.0771726e+19,2.6154654e+18,4.32e+12,3.2668215e+16,9.1634727e+17,3.3364492e+18,6.6352333e+20,0,479101.36,0,479101.36,0,1.35e+21,39.898406,5.3150835e-08,39.898406,0,0,1.4336773e+08,-5.7064818e+11,7.94851e+09,-1.0771204e+11,-2.6155564e+10,-9.1639239e+09,-3.3362894e+10,4.5819619e+08,1.6681447e+09,2.679754e+10,2.679754e+10,2.189044e+11,1.3681525e+10,8072276
12000,60,0,1.414083e+08,6.1504446e+16,7.8119692e+16,1.7939305e+21,0,1.1744666e+19,2.4409428e+18,4.32e+12,3.2836042e+16,8.3043947e+17,3.6425047e+18,6.6744834e+20,0,681659.4,0,681659.4,0,1.35e+21,53.66912,-4.669154e-09,53.66912,0,0,1.3413441e+08,-4.3146124e+11,7.6858689e+09,-1.1744215e+11,-2.4410264e+10,-8.3048033e+09,-3.6423585e+10,4.1524017e+08,1.8211792e+09,2.8364107e+10,2.8364107e+10,2.1183488e+11,1.323968e+10,10316667
14000,70,0,1.6089297e+08,7.3021162e+16,9.7148319e+16,1.7901431e+21,0,1.2581235e+19,2.2804974e+18,4.32e+12,3.2905887e+16,7.5262148e+17,3.9216489e+18,6.7032905e+20,0,927035.2,0,927035.2,0,1.35e+21,69.681711,0,69.681711,0,9.765625e-08,1.2549658e+08,-3.3142888e+11,7.4177077e+09,-1.2580849e+11,-2.2805743e+10,-7.526585e+09,-3.921516e+10,3.7632925e+08,1.960758e+09,2.9704885e+10,2.9704885e+10,2.0489035e+11,1.2805647e+10,12836565
16000,80,0,1.8034283e+08,8.5027125e+16,1.1753104e+17,1.7872133e+21,0,1.3293823e+19,2.1327642e+18,4.32e+12,3.2895565e+16,6.821291e+17,4.1747579e+18,6.7248019e+20,0,1217516,0,1217516,0,1.35e+21,88.081988,0,88.081988,0,9.765625e-08,1.1741582e+08,-2.5826414e+11,7.1493019e+09,-1.3293496e+11,-2.1328351e+10,-6.8216263e+09,-4.1746377e+10,3.4108132e+08,2.0873189e+09,3.0838723e+10,3.0838723e+10,1.9817226e+11,1.2385766e+10,15619478
18000,90,0,1.9961048e+08,9.7546029e+16,1.3914244e+17,1.784916e+21,0,1.3894451e+19,1.9965498e+18,4.32e+12,3.2818868e+16,6.1827047e+17,4.4029222e+18,6.7411586e+20,0,1555017.4,0,1555017.4,0,1.35e+21,109.01629,3.0625131e-08,109.01629,0,0,1.0985622e+08,-2.0382274e+11,6.8842934e+09,-1.3894177e+11,-1.9966152e+10,-6.1830085e+09,-4.4028141e+10,3.0915042e+08,2.2014071e+09,3.1784406e+10,3.1784406e+10,1.9173753e+11,1.1983596e+10,18650922
