iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9129597e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.036345e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,50851.053,0,50851.053,0,1.35e+21,6.2341093,-7.7695681e-09,6.2341093,0,0,1.8712053e+08,-2.0950113e+12,8.7174214e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111052e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220910,1.950329e+16,1.8188211e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286224e+16,1.2315018e+18,2.254438e+18,6.3947308e+20,0,137473.03,0,137473.03,0,1.35e+21,14.74213,-4.4822254e-08,14.74213,0,0,1.7506546e+08,-1.4698533e+12,8.6048727e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542379e+10,6.1578128e+08,1.1271189e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702223,2.9506624e+16,3.0474932e+16,1.8145451e+21,0,8.3684502e+18,3.0133114e+18,4.32e+12,3.1933911e+16,1.1158972e+18,2.6419979e+18,6.5042875e+20,0,264811.19,0,264811.19,0,1.35e+21,25.640882,0,25.640882,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225497e+09,-8.3677677e+10,-3.01342e+10,-1.1159522e+10,-2.6418107e+10,5.5797611e+08,1.3209053e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.5
8000,40,0,1.0308139e+08,3.9796849e+16,4.4647262e+16,1.8055347e+21,0,9.6501184e+18,2.8056415e+18,4.32e+12,3.2378607e+16,1.011189e+18,3.0029485e+18,6.5808556e+20,0,438452.43,0,438452.43,0,1.35e+21,39.083421,-5.4554832e-09,39.083421,0,0,1.5323758e+08,-7.6779907e+11,8.1979188e+09,-9.6495184e+10,-2.8057407e+10,-1.0112388e+10,-3.0027748e+10,5.0561942e+08,1.5013874e+09,2.4987254e+10,2.4987254e+10,2.2592594e+11,1.4120371e+10,6113061.7
10000,50,0,1.2206694e+08,5.0444167e+16,6.0572058e+16,1.7989015e+21,0,1.0771727e+19,2.6154657e+18,4.32e+12,3.2668297e+16,9.1634727e+17,3.3364518e+18,6.6352333e+20,0,663334.67,0,663334.67,0,1.35e+21,55.243947,5.9359536e-08,55.243947,0,0,1.4336773e+08,-5.7064817e+11,7.9485299e+09,-1.0771204e+11,-2.6155568e+10,-9.1639239e+09,-3.336292e+10,4.5819619e+08,1.668146e+09,2.6797543e+10,2.6797543e+10,2.189044e+11,1.3681525e+10,8072276.9
12000,60,0,1.4140832e+08,6.1504447e+16,7.8114162e+16,1.7939305e+21,0,1.1744666e+19,2.4409433e+18,4.32e+12,3.283616e+16,8.3043947e+17,3.642509e+18,6.6744834e+20,0,943769.27,0,943769.27,0,1.35e+21,74.31109,2.8336359e-08,74.31109,0,0,1.3413441e+08,-4.3146123e+11,7.6858965e+09,-1.1744215e+11,-2.4410269e+10,-8.3048033e+09,-3.6423627e+10,4.1524017e+08,1.8211814e+09,2.8364112e+10,2.8364112e+10,2.1183488e+11,1.323968e+10,10316669
14000,70,0,1.6089301e+08,7.3021164e+16,9.7139736e+16,1.7901431e+21,0,1.2581235e+19,2.2804982e+18,4.32e+12,3.2906049e+16,7.5262148e+17,3.9216554e+18,6.7032905e+20,0,1283473.8,0,1283473.8,0,1.35e+21,96.482372,0,96.482372,0,9.765625e-08,1.2549658e+08,-3.3142887e+11,7.4177441e+09,-1.2580849e+11,-2.2805751e+10,-7.526585e+09,-3.9215224e+10,3.7632925e+08,1.9607612e+09,2.9704892e+10,2.9704892e+10,2.0489035e+11,1.2805647e+10,12836568
16000,80,0,1.8034289e+08,8.5027128e+16,1.1751839e+17,1.7872133e+21,0,1.3293823e+19,2.1327653e+18,4.32e+12,3.2895779e+16,6.821291e+17,4.1747674e+18,6.724802e+20,0,1685609.9,0,1685609.9,0,1.35e+21,121.95968,-7.3920035e-09,121.95968,0,0,1.1741582e+08,-2.5826412e+11,7.1493484e+09,-1.3293496e+11,-2.1328362e+10,-6.8216263e+09,-4.1746471e+10,3.4108132e+08,2.0873236e+09,3.0838734e+10,3.0838734e+10,1.9817226e+11,1.2385766e+10,15619484
18000,90,0,1.9961057e+08,9.7546035e+16,1.3912453e+17,1.784916e+21,0,1.3894451e+19,1.9965513e+18,4.32e+12,3.2819143e+16,6.1827047e+17,4.4029353e+18,6.7411586e+20,0,2152823.8,0,2152823.8,0,1.35e+21,150.94564,7.1893282e-09,150.94564,0,0,1.0985622e+08,-2.0382271e+11,6.884351e+09,-1.3894177e+11,-1.9966167e+10,-6.1830085e+09,-4.4028273e+10,3.0915042e+08,2.2014136e+09,3.1784421e+10,3.1784421e+10,1.9173753e+11,1.1983596e+10,18650930
