iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001412e+15,7.9121707e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363525e+16,1.3591407e+18,1.8424332e+18,6.235428e+20,0,231362.68,0,231362.68,0,1.35e+21,28.366846,-2.4241853e-08,28.366846,0,0,1.8712053e+08,-2.0950113e+12,8.7174428e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422217e+10,6.7960387e+08,9.2111083e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220921,1.950329e+16,1.8184199e+16,1.8270175e+21,0,6.9176239e+18,3.2406605e+18,4.32e+12,3.1286433e+16,1.2315018e+18,2.2544412e+18,6.3947308e+20,0,625400.72,0,625400.72,0,1.35e+21,67.080593,-8.7050012e-10,67.080593,0,0,1.7506546e+08,-1.4698533e+12,8.6049302e+09,-6.9168552e+10,-3.2407795e+10,-1.2315626e+10,-2.254241e+10,6.1578128e+08,1.1271205e+09,2.0579492e+10,2.0579492e+10,2.3848026e+11,1.4905016e+10,3068629.7
6000,30,0,84702257,2.9506624e+16,3.0463938e+16,1.8145451e+21,0,8.3684503e+18,3.0133126e+18,4.32e+12,3.1934321e+16,1.1158972e+18,2.6420066e+18,6.5042875e+20,0,1204526.4,0,1204526.4,0,1.35e+21,116.6728,-2.4097332e-08,116.6728,0,0,1.6378786e+08,-1.0521478e+12,8.4226577e+09,-8.3677677e+10,-3.0134212e+10,-1.1159522e+10,-2.6418193e+10,5.5797611e+08,1.3209097e+09,2.2917904e+10,2.2917904e+10,2.3261075e+11,1.4538172e+10,4444885.3
8000,40,0,1.0308147e+08,3.9796849e+16,4.4623999e+16,1.8055347e+21,0,9.6501186e+18,2.8056439e+18,4.32e+12,3.2379293e+16,1.011189e+18,3.0029666e+18,6.5808556e+20,0,1994035.2,0,1994035.2,0,1.35e+21,177.83991,-3.4828901e-08,177.83991,0,0,1.5323758e+08,-7.6779904e+11,8.1980925e+09,-9.6495186e+10,-2.8057432e+10,-1.0112389e+10,-3.002793e+10,5.0561943e+08,1.5013965e+09,2.4987275e+10,2.4987275e+10,2.2592594e+11,1.4120371e+10,6113066.5
10000,50,0,1.220671e+08,5.0444171e+16,6.0529534e+16,1.7989015e+21,0,1.0771727e+19,2.6154699e+18,4.32e+12,3.2669345e+16,9.1634728e+17,3.3364847e+18,6.6352333e+20,0,3016229.5,0,3016229.5,0,1.35e+21,251.37459,1.2944935e-07,251.37459,0,0,1.4336773e+08,-5.7064811e+11,7.948785e+09,-1.0771204e+11,-2.615561e+10,-9.1639239e+09,-3.3363248e+10,4.581962e+08,1.6681624e+09,2.6797582e+10,2.6797582e+10,2.189044e+11,1.3681525e+10,8072287.6
12000,60,0,1.4140862e+08,6.1504458e+16,7.8043521e+16,1.7939305e+21,0,1.1744667e+19,2.44095e+18,4.32e+12,3.2837665e+16,8.3043947e+17,3.6425629e+18,6.6744835e+20,0,4290516.8,0,4290516.8,0,1.35e+21,338.13518,-3.0125307e-08,338.13518,0,0,1.3413441e+08,-4.3146112e+11,7.6862486e+09,-1.1744216e+11,-2.4410336e+10,-8.3048034e+09,-3.6424167e+10,4.1524017e+08,1.8212083e+09,2.8364176e+10,2.8364176e+10,2.1183489e+11,1.323968e+10,10316690
14000,70,0,1.608935e+08,7.3021187e+16,9.7030125e+16,1.7901431e+21,0,1.2581237e+19,2.2805081e+18,4.32e+12,3.290811e+16,7.5262149e+17,3.9217381e+18,6.7032906e+20,0,5833556.1,0,5833556.1,0,1.35e+21,439.02045,0,439.02045,0,9.765625e-08,1.2549658e+08,-3.3142869e+11,7.4182089e+09,-1.258085e+11,-2.280585e+10,-7.526585e+09,-3.9216051e+10,3.7632925e+08,1.9608025e+09,2.970499e+10,2.970499e+10,2.0489035e+11,1.2805647e+10,12836607
16000,80,0,1.8034367e+08,8.5027172e+16,1.1735685e+17,1.7872133e+21,0,1.3293826e+19,2.1327793e+18,4.32e+12,3.2898506e+16,6.8212911e+17,4.1748877e+18,6.7248021e+20,0,7659428.9,0,7659428.9,0,1.35e+21,554.9491,0,554.9491,0,9.765625e-08,1.1741582e+08,-2.5826385e+11,7.1499409e+09,-1.3293498e+11,-2.1328502e+10,-6.8216264e+09,-4.1747674e+10,3.4108132e+08,2.0873837e+09,3.0838876e+10,3.0838876e+10,1.9817226e+11,1.2385766e+10,15619550
18000,90,0,1.9961173e+08,9.7546113e+16,1.3889589e+17,1.784916e+21,0,1.3894455e+19,1.9965703e+18,4.32e+12,3.2822648e+16,6.1827048e+17,4.4031034e+18,6.7411588e+20,0,9779820.7,0,9779820.7,0,1.35e+21,686.84315,2.0991138e-09,686.84315,0,0,1.0985622e+08,-2.0382231e+11,6.8850861e+09,-1.3894181e+11,-1.9966357e+10,-6.1830086e+09,-4.4029954e+10,3.0915043e+08,2.2014977e+09,3.178462e+10,3.178462e+10,1.9173754e+11,1.1983596e+10,18651039
