iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9129703e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363449e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,48429.639,0,48429.639,0,1.35e+21,5.9372469,-4.8565453e-08,5.937247,0,0,1.8712053e+08,-2.0950113e+12,8.7174211e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111052e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220910,1.950329e+16,1.8188265e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286221e+16,1.2315018e+18,2.254438e+18,6.3947308e+20,0,130927.08,0,130927.08,0,1.35e+21,14.040124,-3.272282e-09,14.040124,0,0,1.7506546e+08,-1.4698533e+12,8.6048719e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542378e+10,6.1578128e+08,1.1271189e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702222,2.9506624e+16,3.047508e+16,1.8145451e+21,0,8.3684502e+18,3.0133114e+18,4.32e+12,3.1933906e+16,1.1158972e+18,2.6419978e+18,6.5042875e+20,0,252202.36,0,252202.36,0,1.35e+21,24.419888,0,24.419888,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225483e+09,-8.3677677e+10,-3.01342e+10,-1.1159522e+10,-2.6418106e+10,5.5797611e+08,1.3209053e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.5
8000,40,0,1.0308139e+08,3.9796848e+16,4.4647574e+16,1.8055347e+21,0,9.6501184e+18,2.8056414e+18,4.32e+12,3.2378597e+16,1.011189e+18,3.0029482e+18,6.5808556e+20,0,417576.66,0,417576.66,0,1.35e+21,37.222306,1.5168574e-08,37.222306,0,0,1.5323758e+08,-7.6779907e+11,8.1979165e+09,-9.6495184e+10,-2.8057407e+10,-1.0112388e+10,-3.0027746e+10,5.0561942e+08,1.5013873e+09,2.4987253e+10,2.4987253e+10,2.2592594e+11,1.4120371e+10,6113061.6
10000,50,0,1.2206694e+08,5.0444167e+16,6.0572629e+16,1.7989015e+21,0,1.0771727e+19,2.6154657e+18,4.32e+12,3.2668283e+16,9.1634727e+17,3.3364514e+18,6.6352333e+20,0,631753.25,0,631753.25,0,1.35e+21,52.613283,1.1159713e-07,52.613283,0,0,1.4336773e+08,-5.7064817e+11,7.9485265e+09,-1.0771204e+11,-2.6155567e+10,-9.1639239e+09,-3.3362915e+10,4.5819619e+08,1.6681458e+09,2.6797543e+10,2.6797543e+10,2.189044e+11,1.3681525e+10,8072276.7
12000,60,0,1.4140832e+08,6.1504447e+16,7.811511e+16,1.7939305e+21,0,1.1744666e+19,2.4409432e+18,4.32e+12,3.283614e+16,8.3043947e+17,3.6425082e+18,6.6744834e+20,0,898838.79,0,898838.79,0,1.35e+21,70.772467,-4.5119236e-08,70.772467,0,0,1.3413441e+08,-4.3146123e+11,7.6858918e+09,-1.1744215e+11,-2.4410268e+10,-8.3048033e+09,-3.642362e+10,4.1524017e+08,1.821181e+09,2.8364111e+10,2.8364111e+10,2.1183488e+11,1.323968e+10,10316668
14000,70,0,1.60893e+08,7.3021163e+16,9.7141207e+16,1.7901431e+21,0,1.2581235e+19,2.280498e+18,4.32e+12,3.2906021e+16,7.5262148e+17,3.9216543e+18,6.7032905e+20,0,1222374.5,0,1222374.5,0,1.35e+21,91.887973,0,91.887973,0,9.765625e-08,1.2549658e+08,-3.3142887e+11,7.4177379e+09,-1.2580849e+11,-2.280575e+10,-7.526585e+09,-3.9215213e+10,3.7632925e+08,1.9607607e+09,2.9704891e+10,2.9704891e+10,2.0489035e+11,1.2805647e+10,12836567
16000,80,0,1.8034288e+08,8.5027127e+16,1.1752056e+17,1.7872133e+21,0,1.3293823e+19,2.1327651e+18,4.32e+12,3.2895742e+16,6.821291e+17,4.1747657e+18,6.7248019e+20,0,1605372.4,0,1605372.4,0,1.35e+21,116.15208,1.3865488e-08,116.15208,0,0,1.1741582e+08,-2.5826412e+11,7.1493404e+09,-1.3293496e+11,-2.132836e+10,-6.8216263e+09,-4.1746455e+10,3.4108132e+08,2.0873228e+09,3.0838732e+10,3.0838732e+10,1.9817226e+11,1.2385766e+10,15619483
18000,90,0,1.9961055e+08,9.7546034e+16,1.391276e+17,1.784916e+21,0,1.3894451e+19,1.996551e+18,4.32e+12,3.2819096e+16,6.1827047e+17,4.4029331e+18,6.7411586e+20,0,2050353.7,0,2050353.7,0,1.35e+21,143.75775,-3.9884497e-08,143.75775,0,0,1.0985622e+08,-2.0382271e+11,6.8843411e+09,-1.3894177e+11,-1.9966164e+10,-6.1830085e+09,-4.402825e+10,3.0915042e+08,2.2014125e+09,3.1784419e+10,3.1784419e+10,1.9173753e+11,1.1983596e+10,18650929
