iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971050,9.7001395e+15,7.8957444e+15,1.844626e+21,0,5.2931978e+18,3.4903348e+18,4.32e+12,3.036508e+16,1.3591407e+18,1.8424458e+18,6.235428e+20,0,3986752.3,0,3986752.3,0,1.35e+21,489.82278,4.5439833e-08,489.82278,0,0,1.8712053e+08,-2.0950113e+12,8.7178889e+09,-5.2923424e+10,-3.4904657e+10,-1.3592077e+10,-1.8422343e+10,6.7960387e+08,9.2111715e+08,1.7972144e+10,1.7972144e+10,2.4274053e+11,1.5171283e+10,1978862
4000,20,0,67221147,1.9503285e+16,1.810082e+16,1.8270175e+21,0,6.9176244e+18,3.2406698e+18,4.32e+12,3.1290769e+16,1.2315019e+18,2.2545072e+18,6.3947308e+20,0,10749569,0,10749569,0,1.35e+21,1158.3099,-1.6227659e-09,1158.3099,0,0,1.7506546e+08,-1.4698532e+12,8.6061223e+09,-6.9168556e+10,-3.2407888e+10,-1.2315626e+10,-2.254307e+10,6.1578128e+08,1.1271535e+09,2.0579572e+10,2.0579572e+10,2.3848026e+11,1.4905016e+10,3068640
6000,30,0,84702964,2.9506622e+16,3.0235923e+16,1.8145451e+21,0,8.368452e+18,3.0133372e+18,4.32e+12,3.194279e+16,1.1158973e+18,2.6421865e+18,6.5042876e+20,0,20643445,0,20643445,0,1.35e+21,2014.6406,4.1470912e-08,2014.6406,0,0,1.6378786e+08,-1.0521475e+12,8.4248909e+09,-8.3677695e+10,-3.0134457e+10,-1.1159522e+10,-2.6419992e+10,5.5797612e+08,1.3209996e+09,2.291812e+10,2.291812e+10,2.3261076e+11,1.4538172e+10,4444922.4
8000,40,0,1.0308314e+08,3.9796869e+16,4.4142674e+16,1.8055347e+21,0,9.6501233e+18,2.8056936e+18,4.32e+12,3.2393439e+16,1.0111891e+18,3.0033429e+18,6.5808559e+20,0,34060557,0,34060557,0,1.35e+21,3070.8419,5.4383236e-09,3070.8418,0,0,1.5323758e+08,-7.6779843e+11,8.2016735e+09,-9.6495233e+10,-2.8057929e+10,-1.0112389e+10,-3.0031692e+10,5.0561945e+08,1.5015846e+09,2.4987725e+10,2.4987725e+10,2.2592595e+11,1.4120372e+10,6113165.4
10000,50,0,1.2207045e+08,5.0444254e+16,5.9651992e+16,1.7989015e+21,0,1.0771737e+19,2.6155568e+18,4.32e+12,3.2690878e+16,9.1634735e+17,3.337163e+18,6.6352339e+20,0,51327590,0,51327590,0,1.35e+21,4340.6033,1.080025e-07,4340.6033,0,0,1.4336773e+08,-5.7064686e+11,7.9540232e+09,-1.0771215e+11,-2.6156478e+10,-9.1639246e+09,-3.337003e+10,4.5819623e+08,1.6685015e+09,2.6798392e+10,2.6798392e+10,2.1890442e+11,1.3681526e+10,8072508.8
12000,60,0,1.4141464e+08,6.1504677e+16,7.6590008e+16,1.7939306e+21,0,1.1744687e+19,2.4410877e+18,4.32e+12,3.2868432e+16,8.3043958e+17,3.6436728e+18,6.6744847e+20,0,72706598,0,72706598,0,1.35e+21,5838.7504,-3.9125553e-08,5838.7504,0,0,1.3413441e+08,-4.3145889e+11,7.6934491e+09,-1.1744235e+11,-2.4411713e+10,-8.3048045e+09,-3.6435263e+10,4.1524022e+08,1.8217631e+09,2.8365498e+10,2.8365498e+10,2.1183492e+11,1.3239683e+10,10317130
14000,70,0,1.6090354e+08,7.3021661e+16,9.4782033e+16,1.7901431e+21,0,1.258127e+19,2.2807119e+18,4.32e+12,3.2950072e+16,7.5262165e+17,3.923433e+18,6.7032927e+20,0,98397002,0,98397002,0,1.35e+21,7580.8094,0,7580.8094,0,9.765625e-08,1.2549658e+08,-3.3142503e+11,7.4276666e+09,-1.2580884e+11,-2.2807888e+10,-7.5265866e+09,-3.9232997e+10,3.7632933e+08,1.9616498e+09,2.9707004e+10,2.9707004e+10,2.0489042e+11,1.2805651e+10,12837408
16000,80,0,1.8035944e+08,8.5028077e+16,1.140553e+17,1.7872134e+21,0,1.329388e+19,2.1330658e+18,4.32e+12,3.2953707e+16,6.8212933e+17,4.1773447e+18,6.7248055e+20,0,1.285383e+08,0,1.285383e+08,0,1.35e+21,9582.6533,0,9582.6533,0,9.765625e-08,1.1741582e+08,-2.5825824e+11,7.1619363e+09,-1.3293552e+11,-2.1331367e+10,-6.8216287e+09,-4.177224e+10,3.4108143e+08,2.088612e+09,3.0841789e+10,3.0841789e+10,1.9817236e+11,1.2385773e+10,15620916
18000,90,0,1.9963536e+08,9.75477e+16,1.3424086e+17,1.7849162e+21,0,1.3894537e+19,1.996957e+18,4.32e+12,3.2893191e+16,6.1827078e+17,4.4065223e+18,6.741164e+20,0,1.6321328e+08,0,1.6321328e+08,0,1.35e+21,11860.217,2.8683644e-08,11860.217,0,0,1.0985622e+08,-2.0381414e+11,6.8998819e+09,-1.3894263e+11,-1.9970224e+10,-6.1830116e+09,-4.4064137e+10,3.0915058e+08,2.2032068e+09,3.1788664e+10,3.1788664e+10,1.9173768e+11,1.1983605e+10,18653246
