iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971025,9.7001407e+15,7.90707e+15,1.844626e+21,0,5.2931978e+18,3.4903335e+18,4.32e+12,3.0364008e+16,1.3591407e+18,1.8424371e+18,6.235428e+20,0,1398035.8,0,1398035.8,0,1.35e+21,171.52046,-3.6181007e-08,171.52046,0,0,1.8712053e+08,-2.0950113e+12,8.7175814e+09,-5.2923424e+10,-3.4904645e+10,-1.3592077e+10,-1.8422256e+10,6.7960387e+08,9.2111279e+08,1.7972133e+10,1.7972133e+10,2.4274053e+11,1.5171283e+10,1978861
4000,20,0,67220992,1.9503289e+16,1.8158278e+16,1.8270175e+21,0,6.9176241e+18,3.2406634e+18,4.32e+12,3.1287783e+16,1.2315018e+18,2.2544617e+18,6.3947308e+20,0,3776103.9,0,3776103.9,0,1.35e+21,405.60355,1.9380934e-08,405.60355,0,0,1.7506546e+08,-1.4698533e+12,8.6053011e+09,-6.9168553e+10,-3.2407824e+10,-1.2315626e+10,-2.2542615e+10,6.1578128e+08,1.1271308e+09,2.0579517e+10,2.0579517e+10,2.3848026e+11,1.4905016e+10,3068632.9
6000,30,0,84702477,2.9506623e+16,3.0392956e+16,1.8145451e+21,0,8.3684508e+18,3.0133203e+18,4.32e+12,3.1936962e+16,1.1158972e+18,2.6420626e+18,6.5042875e+20,0,7266216.1,0,7266216.1,0,1.35e+21,705.4634,4.6267814e-08,705.4634,0,0,1.6378786e+08,-1.0521477e+12,8.423354e+09,-8.3677683e+10,-3.0134288e+10,-1.1159522e+10,-2.6418753e+10,5.5797611e+08,1.3209377e+09,2.2917971e+10,2.2917971e+10,2.3261076e+11,1.4538172e+10,4444896.9
8000,40,0,1.0308199e+08,3.9796856e+16,4.4473929e+16,1.8055347e+21,0,9.6501201e+18,2.8056594e+18,4.32e+12,3.2383714e+16,1.0111891e+18,3.003084e+18,6.5808557e+20,0,12016416,0,12016416,0,1.35e+21,1075.3113,-3.5237917e-08,1075.3113,0,0,1.5323758e+08,-7.6779885e+11,8.1992116e+09,-9.6495201e+10,-2.8057587e+10,-1.0112389e+10,-3.0029103e+10,5.0561943e+08,1.5014551e+09,2.4987416e+10,2.4987416e+10,2.2592594e+11,1.4120371e+10,6113097.3
10000,50,0,1.2206815e+08,5.0444197e+16,6.0255456e+16,1.7989015e+21,0,1.077173e+19,2.6154971e+18,4.32e+12,3.2676092e+16,9.163473e+17,3.3366966e+18,6.6352335e+20,0,18155098,0,18155098,0,1.35e+21,1519.9402,8.4149406e-08,1519.9402,0,0,1.4336773e+08,-5.7064772e+11,7.9504262e+09,-1.0771208e+11,-2.6155881e+10,-9.1639241e+09,-3.3365367e+10,4.5819621e+08,1.6682683e+09,2.6797835e+10,2.6797835e+10,2.189044e+11,1.3681525e+10,8072356.7
12000,60,0,1.414105e+08,6.1504527e+16,7.7588679e+16,1.7939305e+21,0,1.1744673e+19,2.4409931e+18,4.32e+12,3.2847332e+16,8.3043951e+17,3.6429103e+18,6.6744839e+20,0,25791482,0,25791482,0,1.35e+21,2044.5406,3.9889528e-08,2044.5406,0,0,1.3413441e+08,-4.3146043e+11,7.688511e+09,-1.1744222e+11,-2.4410767e+10,-8.3048037e+09,-3.642764e+10,4.1524019e+08,1.821382e+09,2.836459e+10,2.836459e+10,2.118349e+11,1.3239681e+10,10316828
14000,70,0,1.6089665e+08,7.3021336e+16,9.632515e+16,1.7901431e+21,0,1.2581247e+19,2.280572e+18,4.32e+12,3.2921337e+16,7.5262154e+17,3.9222698e+18,6.7032912e+20,0,35016417,0,35016417,0,1.35e+21,2654.5477,0,2654.5477,0,9.765625e-08,1.2549658e+08,-3.3142755e+11,7.4211899e+09,-1.2580861e+11,-2.280649e+10,-7.5265855e+09,-3.9221367e+10,3.7632928e+08,1.9610683e+09,2.9705622e+10,2.9705622e+10,2.0489037e+11,1.2805648e+10,12836858
16000,80,0,1.8034862e+08,8.5027457e+16,1.1631913e+17,1.7872133e+21,0,1.3293843e+19,2.1328694e+18,4.32e+12,3.2915965e+16,6.8212918e+17,4.1756604e+18,6.7248032e+20,0,45903345,0,45903345,0,1.35e+21,3355.5174,-2.5806457e-08,3355.5174,0,0,1.1741582e+08,-2.5826209e+11,7.1537349e+09,-1.3293515e+11,-2.1329403e+10,-6.8216271e+09,-4.17554e+10,3.4108136e+08,2.08777e+09,3.0839792e+10,3.0839792e+10,1.9817229e+11,1.2385768e+10,15619980
18000,90,0,1.9961918e+08,9.7546613e+16,1.3742908e+17,1.784916e+21,0,1.3894481e+19,1.9966922e+18,4.32e+12,3.2845044e+16,6.1827058e+17,4.4041815e+18,6.7411605e+20,0,58509370,0,58509370,0,1.35e+21,4153.0263,1.3687895e-09,4153.0263,0,0,1.0985622e+08,-2.0381974e+11,6.8897834e+09,-1.3894207e+11,-1.9967576e+10,-6.1830095e+09,-4.4040732e+10,3.0915048e+08,2.2020366e+09,3.1785895e+10,3.1785895e+10,1.9173758e+11,1.1983599e+10,18651735
