iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971017,9.700141e+15,7.9104132e+15,1.844626e+21,0,5.2931978e+18,3.4903332e+18,4.32e+12,3.0363691e+16,1.3591407e+18,1.8424345e+18,6.235428e+20,0,633416.46,0,633416.46,0,1.35e+21,77.678978,9.8205717e-08,77.678978,0,0,1.8712053e+08,-2.0950113e+12,8.7174906e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.842223e+10,6.7960387e+08,9.211115e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220946,1.950329e+16,1.8175264e+16,1.8270175e+21,0,6.917624e+18,3.2406615e+18,4.32e+12,3.1286898e+16,1.2315018e+18,2.2544483e+18,6.3947308e+20,0,1711738.7,0,1711738.7,0,1.35e+21,183.69162,-1.1930553e-08,183.69162,0,0,1.7506546e+08,-1.4698533e+12,8.6050581e+09,-6.9168552e+10,-3.2407805e+10,-1.2315626e+10,-2.2542481e+10,6.1578128e+08,1.1271241e+09,2.0579501e+10,2.0579501e+10,2.3848026e+11,1.4905016e+10,3068630.8
6000,30,0,84702333,2.9506624e+16,3.0439461e+16,1.8145451e+21,0,8.3684505e+18,3.0133152e+18,4.32e+12,3.1935232e+16,1.1158972e+18,2.6420259e+18,6.5042875e+20,0,3295791.8,0,3295791.8,0,1.35e+21,319.49353,-2.4139638e-08,319.49353,0,0,1.6378786e+08,-1.0521478e+12,8.4228979e+09,-8.3677679e+10,-3.0134238e+10,-1.1159522e+10,-2.6418386e+10,5.5797611e+08,1.3209193e+09,2.2917927e+10,2.2917927e+10,2.3261075e+11,1.4538172e+10,4444889.3
8000,40,0,1.0308165e+08,3.9796852e+16,4.4572228e+16,1.8055347e+21,0,9.6501191e+18,2.8056492e+18,4.32e+12,3.2380819e+16,1.011189e+18,3.0030071e+18,6.5808556e+20,0,5454076.5,0,5454076.5,0,1.35e+21,486.99187,-7.6880724e-09,486.99187,0,0,1.5323758e+08,-7.6779897e+11,8.1984788e+09,-9.6495191e+10,-2.8057485e+10,-1.0112389e+10,-3.0028335e+10,5.0561943e+08,1.5014167e+09,2.4987324e+10,2.4987324e+10,2.2592594e+11,1.4120371e+10,6113077.1
10000,50,0,1.2206746e+08,5.044418e+16,6.0434934e+16,1.7989015e+21,0,1.0771728e+19,2.6154793e+18,4.32e+12,3.2671676e+16,9.1634728e+17,3.3365578e+18,6.6352334e+20,0,8246651.8,0,8246651.8,0,1.35e+21,688.3573,1.4529212e-07,688.3573,0,0,1.4336773e+08,-5.7064798e+11,7.949352e+09,-1.0771205e+11,-2.6155703e+10,-9.163924e+09,-3.3363979e+10,4.581962e+08,1.668199e+09,2.679767e+10,2.679767e+10,2.189044e+11,1.3681525e+10,8072311.4
12000,60,0,1.4140927e+08,6.1504482e+16,7.7886439e+16,1.7939305e+21,0,1.1744669e+19,2.4409649e+18,4.32e+12,3.2841007e+16,8.3043948e+17,3.6426829e+18,6.6744836e+20,0,11725386,0,11725386,0,1.35e+21,925.94029,2.7147507e-08,925.94029,0,0,1.3413441e+08,-4.3146088e+11,7.6870309e+09,-1.1744218e+11,-2.4410485e+10,-8.3048035e+09,-3.6425366e+10,4.1524017e+08,1.8212683e+09,2.8364319e+10,2.8364319e+10,2.1183489e+11,1.3239681e+10,10316738
14000,70,0,1.6089459e+08,7.3021238e+16,9.6786506e+16,1.7901431e+21,0,1.258124e+19,2.2805302e+18,4.32e+12,3.2912688e+16,7.526215e+17,3.9219219e+18,6.7032908e+20,0,15934343,0,15934343,0,1.35e+21,1202.2022,0,1202.2022,0,9.765625e-08,1.2549658e+08,-3.314283e+11,7.4192406e+09,-1.2580854e+11,-2.2806071e+10,-7.5265852e+09,-3.9217888e+10,3.7632926e+08,1.9608944e+09,2.9705209e+10,2.9705209e+10,2.0489036e+11,1.2805648e+10,12836694
16000,80,0,1.8034538e+08,8.5027271e+16,1.1699799e+17,1.7872133e+21,0,1.3293832e+19,2.1328105e+18,4.32e+12,3.2904554e+16,6.8212913e+17,4.1751549e+18,6.7248025e+20,0,20910237,0,20910237,0,1.35e+21,1519.6589,4.731146e-08,1519.6589,0,0,1.1741582e+08,-2.5826324e+11,7.1512553e+09,-1.3293504e+11,-2.1328814e+10,-6.8216267e+09,-4.1750346e+10,3.4108133e+08,2.0875173e+09,3.0839193e+10,3.0839193e+10,1.9817227e+11,1.2385767e+10,15619699
18000,90,0,1.9961431e+08,9.7546286e+16,1.3838828e+17,1.784916e+21,0,1.3894464e+19,1.9966125e+18,4.32e+12,3.2830415e+16,6.1827051e+17,4.4034766e+18,6.7411594e+20,0,26682922,0,26682922,0,1.35e+21,1880.8354,-1.1172688e-08,1880.8354,0,0,1.0985622e+08,-2.0382142e+11,6.8867153e+09,-1.389419e+11,-1.9966779e+10,-6.1830089e+09,-4.4033685e+10,3.0915045e+08,2.2016842e+09,3.1785061e+10,3.1785061e+10,1.9173755e+11,1.1983597e+10,18651280
