iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971044,9.7001398e+15,7.8987937e+15,1.844626e+21,0,5.2931978e+18,3.4903345e+18,4.32e+12,3.0364791e+16,1.3591407e+18,1.8424435e+18,6.235428e+20,0,3290004.4,0,3290004.4,0,1.35e+21,404.06258,-4.9217306e-09,404.06258,0,0,1.8712053e+08,-2.0950113e+12,8.7178061e+09,-5.2923424e+10,-3.4904654e+10,-1.3592077e+10,-1.842232e+10,6.7960387e+08,9.2111598e+08,1.7972141e+10,1.7972141e+10,2.4274053e+11,1.5171283e+10,1978861.7
4000,20,0,67221105,1.9503286e+16,1.8116277e+16,1.8270175e+21,0,6.9176243e+18,3.2406681e+18,4.32e+12,3.1289966e+16,1.2315019e+18,2.2544949e+18,6.3947308e+20,0,8875059.5,0,8875059.5,0,1.35e+21,955.50825,-3.3636411e-08,955.50825,0,0,1.7506546e+08,-1.4698532e+12,8.6059016e+09,-6.9168555e+10,-3.2407871e+10,-1.2315626e+10,-2.2542947e+10,6.1578128e+08,1.1271474e+09,2.0579557e+10,2.0579557e+10,2.3848026e+11,1.4905016e+10,3068638.1
6000,30,0,84702833,2.9506622e+16,3.0278124e+16,1.8145451e+21,0,8.3684517e+18,3.0133326e+18,4.32e+12,3.1941226e+16,1.1158972e+18,2.6421532e+18,6.5042876e+20,0,17052868,0,17052868,0,1.35e+21,1661.9089,9.0858521e-09,1661.9089,0,0,1.6378786e+08,-1.0521476e+12,8.4244784e+09,-8.3677692e+10,-3.0134412e+10,-1.1159522e+10,-2.6419659e+10,5.5797612e+08,1.3209829e+09,2.291808e+10,2.291808e+10,2.3261076e+11,1.4538172e+10,4444915.5
8000,40,0,1.0308283e+08,3.9796866e+16,4.4231596e+16,1.8055347e+21,0,9.6501224e+18,2.8056844e+18,4.32e+12,3.2390833e+16,1.0111891e+18,3.0032734e+18,6.5808558e+20,0,28153683,0,28153683,0,1.35e+21,2533.1858,4.8233687e-08,2533.1858,0,0,1.5323758e+08,-7.6779854e+11,8.2010137e+09,-9.6495225e+10,-2.8057837e+10,-1.0112389e+10,-3.0030997e+10,5.0561944e+08,1.5015498e+09,2.4987642e+10,2.4987642e+10,2.2592595e+11,1.4120372e+10,6113147.1
10000,50,0,1.2206983e+08,5.0444238e+16,5.9813781e+16,1.7989015e+21,0,1.0771735e+19,2.6155408e+18,4.32e+12,3.2686923e+16,9.1634733e+17,3.337038e+18,6.6352338e+20,0,42455763,0,42455763,0,1.35e+21,3580.6313,-9.093128e-09,3580.6313,0,0,1.4336773e+08,-5.7064709e+11,7.9530611e+09,-1.0771213e+11,-2.6156318e+10,-9.1639245e+09,-3.336878e+10,4.5819622e+08,1.668439e+09,2.6798243e+10,2.6798243e+10,2.1890441e+11,1.3681526e+10,8072468.1
12000,60,0,1.4141354e+08,6.1504637e+16,7.6857373e+16,1.7939306e+21,0,1.1744683e+19,2.4410624e+18,4.32e+12,3.28628e+16,8.3043956e+17,3.6434687e+18,6.6744845e+20,0,60186170,0,60186170,0,1.35e+21,4816.4744,4.0919076e-08,4816.4744,0,0,1.3413441e+08,-4.314593e+11,7.6921311e+09,-1.1744232e+11,-2.441146e+10,-8.3048043e+09,-3.6433222e+10,4.1524021e+08,1.8216611e+09,2.8365255e+10,2.8365255e+10,2.1183492e+11,1.3239682e+10,10317049
14000,70,0,1.609017e+08,7.3021574e+16,9.5194514e+16,1.7901431e+21,0,1.2581264e+19,2.2806745e+18,4.32e+12,3.294242e+16,7.5262162e+17,3.9231222e+18,6.7032923e+20,0,81522447,0,81522447,0,1.35e+21,6253.5222,0,6253.5222,0,9.765625e-08,1.2549658e+08,-3.314257e+11,7.4259419e+09,-1.2580877e+11,-2.2807514e+10,-7.5265863e+09,-3.9229889e+10,3.7632932e+08,1.9614944e+09,2.9706634e+10,2.9706634e+10,2.0489041e+11,1.280565e+10,12837261
16000,80,0,1.8035655e+08,8.5027911e+16,1.1465939e+17,1.7872134e+21,0,1.329387e+19,2.1330134e+18,4.32e+12,3.2943682e+16,6.8212929e+17,4.1768954e+18,6.7248049e+20,0,1.0659484e+08,0,1.0659484e+08,0,1.35e+21,7904.867,0,7904.867,0,9.765625e-08,1.1741582e+08,-2.5825927e+11,7.1597579e+09,-1.3293542e+11,-2.1330843e+10,-6.8216282e+09,-4.1767748e+10,3.4108141e+08,2.0883874e+09,3.0841256e+10,3.0841256e+10,1.9817234e+11,1.2385772e+10,15620667
18000,90,0,1.9963105e+08,9.754741e+16,1.3509006e+17,1.7849161e+21,0,1.3894522e+19,1.9968865e+18,4.32e+12,3.2880439e+16,6.1827072e+17,4.4058991e+18,6.7411631e+20,0,1.3548885e+08,0,1.3548885e+08,0,1.35e+21,9783.6516,3.2965545e-08,9783.6516,0,0,1.0985622e+08,-2.0381564e+11,6.8972072e+09,-1.3894248e+11,-1.9969519e+10,-6.183011e+09,-4.4057906e+10,3.0915055e+08,2.2028953e+09,3.1787927e+10,3.1787927e+10,1.9173766e+11,1.1983604e+10,18652844
