iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.7001413e+15,7.9130785e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363439e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,23677.036,0,23677.036,0,1.35e+21,2.9026541,-4.6352386e-08,2.9026541,0,0,1.8712053e+08,-2.0950113e+12,8.7174182e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111048e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.950329e+16,1.8188815e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286193e+16,1.2315018e+18,2.2544375e+18,6.3947308e+20,0,64010.733,0,64010.733,0,1.35e+21,6.8640607,-3.5601468e-09,6.8640607,0,0,1.7506546e+08,-1.4698533e+12,8.6048641e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542374e+10,6.1578128e+08,1.1271187e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702218,2.9506624e+16,3.0476587e+16,1.8145451e+21,0,8.3684502e+18,3.0133112e+18,4.32e+12,3.193385e+16,1.1158972e+18,2.6419966e+18,6.5042875e+20,0,123305.03,0,123305.03,0,1.35e+21,11.938612,-2.3104803e-08,11.938612,0,0,1.6378786e+08,-1.0521478e+12,8.4225335e+09,-8.3677677e+10,-3.0134198e+10,-1.1159522e+10,-2.6418094e+10,5.5797611e+08,1.3209047e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.2
8000,40,0,1.0308138e+08,3.9796848e+16,4.4650765e+16,1.8055347e+21,0,9.6501183e+18,2.8056411e+18,4.32e+12,3.2378503e+16,1.011189e+18,3.0029457e+18,6.5808556e+20,0,204163.18,0,204163.18,0,1.35e+21,18.197572,-2.9629771e-08,18.197572,0,0,1.5323758e+08,-7.6779907e+11,8.1978926e+09,-9.6495184e+10,-2.8057404e+10,-1.0112388e+10,-3.0027721e+10,5.0561942e+08,1.501386e+09,2.498725e+10,2.498725e+10,2.2592594e+11,1.4120371e+10,6113061
10000,50,0,1.2206691e+08,5.0444166e+16,6.0578462e+16,1.7989015e+21,0,1.0771726e+19,2.6154651e+18,4.32e+12,3.2668139e+16,9.1634727e+17,3.3364469e+18,6.6352333e+20,0,308886.89,0,308886.89,0,1.35e+21,25.722049,1.2351446e-07,25.722049,0,0,1.4336773e+08,-5.7064818e+11,7.9484915e+09,-1.0771204e+11,-2.6155561e+10,-9.1639239e+09,-3.336287e+10,4.5819619e+08,1.6681435e+09,2.6797537e+10,2.6797537e+10,2.189044e+11,1.3681525e+10,8072275.2
12000,60,0,1.4140828e+08,6.1504446e+16,7.8124802e+16,1.7939305e+21,0,1.1744666e+19,2.4409423e+18,4.32e+12,3.2835933e+16,8.3043947e+17,3.6425008e+18,6.6744834e+20,0,439486.81,0,439486.81,0,1.35e+21,34.599872,0,34.599872,0,9.765625e-08,1.3413441e+08,-4.3146125e+11,7.6858434e+09,-1.1744215e+11,-2.4410259e+10,-8.3048033e+09,-3.6423546e+10,4.1524017e+08,1.8211773e+09,2.8364103e+10,2.8364103e+10,2.1183488e+11,1.323968e+10,10316665
14000,70,0,1.6089294e+08,7.302116e+16,9.7156249e+16,1.7901431e+21,0,1.2581235e+19,2.2804967e+18,4.32e+12,3.2905738e+16,7.5262148e+17,3.921643e+18,6.7032904e+20,0,597697.84,0,597697.84,0,1.35e+21,44.923007,0,44.923007,0,9.765625e-08,1.2549658e+08,-3.314289e+11,7.4176741e+09,-1.2580848e+11,-2.2805736e+10,-7.526585e+09,-3.92151e+10,3.7632925e+08,1.960755e+09,2.9704877e+10,2.9704877e+10,2.0489035e+11,1.2805647e+10,12836562
16000,80,0,1.8034278e+08,8.5027121e+16,1.1754273e+17,1.7872133e+21,0,1.3293823e+19,2.1327632e+18,4.32e+12,3.2895368e+16,6.821291e+17,4.1747492e+18,6.7248019e+20,0,784996.8,0,784996.8,0,1.35e+21,56.785455,0,56.785455,0,9.765625e-08,1.1741582e+08,-2.5826416e+11,7.149259e+09,-1.3293495e+11,-2.1328341e+10,-6.8216263e+09,-4.174629e+10,3.4108132e+08,2.0873145e+09,3.0838712e+10,3.0838712e+10,1.9817226e+11,1.2385766e+10,15619473
18000,90,0,1.9961039e+08,9.7546024e+16,1.3915899e+17,1.784916e+21,0,1.3894451e+19,1.9965484e+18,4.32e+12,3.2818614e+16,6.1827047e+17,4.40291e+18,6.7411586e+20,0,1002621.2,0,1002621.2,0,1.35e+21,70.28156,-3.7734935e-09,70.28156,0,0,1.0985622e+08,-2.0382277e+11,6.8842401e+09,-1.3894177e+11,-1.9966138e+10,-6.1830085e+09,-4.4028019e+10,3.0915042e+08,2.201401e+09,3.1784391e+10,3.1784391e+10,1.9173753e+11,1.1983596e+10,18650914
20000,100,0,2.1857547e+08,1.1059382e+17,1.618854e+17,1.7830931e+21,0,1.4394512e+19,1.8708015e+18,4.32e+12,3.2686496e+16,5.6041922e+17,4.6073459e+18,6.7538326e+20,0,1251588.6,0,1251588.6,0,1.35e+21,85.504666,8.2940375e-09,85.504666,0,0,1.0278416e+08,-1.6262966e+11,6.6251387e+09,-1.4394286e+11,-1.8708619e+10,-5.6044674e+09,-4.6072494e+10,2.8022337e+08,2.3036247e+09,3.2560062e+10,3.2560062e+10,1.8561517e+11,1.1600948e+10,21915088
22000,110,0,2.3714143e+08,1.2417994e+17,1.8560848e+17,1.781632e+21,0,1.4804645e+19,1.7545914e+18,4.32e+12,3.2508053e+16,5.0800827e+17,4.7893511e+18,6.7638473e+20,0,1532715,0,1532715,0,1.35e+21,102.54609,-1.6002389e-08,102.54609,0,0,96168198,-1.3095342e+11,6.3736869e+09,-1.4804461e+11,-1.7546472e+10,-5.080332e+09,-4.7892655e+10,2.540166e+08,2.3946327e+09,3.3182918e+10,3.3182918e+10,1.7981666e+11,1.1238541e+10,25395457
24000,120,0,2.5523237e+08,1.3830835e+17,2.1022113e+17,1.7804511e+21,0,1.513468e+19,1.6470894e+18,4.32e+12,3.2290864e+16,4.6052419e+17,4.9502537e+18,6.7719204e+20,0,1846633.9,0,1846633.9,0,1.35e+21,121.49434,-1.2275166e-08,121.49434,0,0,89978920,-1.0621676e+11,6.1310495e+09,-1.5134534e+11,-1.6471411e+10,-4.6054678e+09,-4.9501783e+10,2.3027339e+08,2.4750892e+09,3.3669036e+10,3.3669036e+10,1.7434246e+11,1.0896404e+10,29075200
26000,130,0,2.7279027e+08,1.5297851e+17,2.3562278e+17,1.7794907e+21,0,1.5393635e+19,1.5475545e+18,4.32e+12,3.2041388e+16,4.1750214e+17,5.0913886e+18,6.7785599e+20,0,2193813.5,0,2193813.5,0,1.35e+21,142.43457,1.281397e-07,142.43457,0,0,84188806,-8.6616118e+10,5.8979749e+09,-1.5393522e+11,-1.5476024e+10,-4.1752261e+09,-5.0913228e+10,2.087613e+08,2.5456614e+09,3.4033315e+10,3.4033315e+10,1.6918623e+11,1.057414e+10,32937585
28000,140,0,2.8977257e+08,1.6818621e+17,2.6171928e+17,1.7787061e+21,0,1.5589738e+19,1.455322e+18,4.32e+12,3.1765198e+16,3.7852125e+17,5.2140777e+18,6.7841282e+20,0,2574574.1,0,2574574.1,0,1.35e+21,165.44818,0,165.44818,0,1.953125e-07,78772115,-7.0873004e+10,5.6749027e+09,-1.5589654e+11,-1.4553664e+10,-3.7853979e+09,-5.2140207e+10,1.892699e+08,2.6070104e+09,3.4289467e+10,3.4289467e+10,1.6433752e+11,1.0271095e+10,36966264
30000,150,0,3.0614992e+08,1.8392424e+17,2.8842293e+17,1.7780635e+21,0,1.5730462e+19,1.3697933e+18,4.32e+12,3.1467143e+16,3.4320043e+17,5.3196156e+18,6.7888856e+20,0,2989103.9,0,2989103.9,0,1.35e+21,190.61261,-5.585548e-09,190.61261,0,0,73704762,-5.8069567e+10,5.4620412e+09,-1.5730404e+11,-1.3698345e+10,-3.4321724e+09,-5.3195669e+10,1.7160862e+08,2.6597835e+09,3.4450051e+10,3.4450051e+10,1.5978347e+11,9.9864671e+09,41145504
32000,160,0,3.2190426e+08,2.0018309e+17,3.156522e+17,1.7775372e+21,0,1.5822577e+19,1.2904278e+18,4.32e+12,3.115147e+16,3.1119467e+17,5.4092606e+18,6.7930206e+20,0,3437474.2,0,3437474.2,0,1.35e+21,218.00125,0,218.00125,0,9.765625e-08,68964219,-4.7538506e+10,5.2594251e+09,-1.5822542e+11,-1.290466e+10,-3.1120989e+09,-5.4092195e+10,1.5560495e+08,2.7046098e+09,3.4526522e+10,3.4526522e+10,1.5550998e+11,9.7193735e+09,45460367
34000,170,0,3.3702709e+08,2.1695141e+17,3.4333163e+17,1.7771069e+21,0,1.5872195e+19,1.2167362e+18,4.32e+12,3.082191e+16,2.8219152e+17,5.4842264e+18,6.7966702e+20,0,3919653.5,0,3919653.5,0,1.35e+21,247.68341,0,247.68341,0,9.765625e-08,64529407,-3.8788578e+10,5.0669586e+09,-1.587218e+11,-1.2167717e+10,-2.8220532e+09,-5.4841924e+10,1.4110266e+08,2.7420962e+09,3.4529296e+10,3.4529296e+10,1.515024e+11,9.4688997e+09,49896834
36000,180,0,3.5151796e+08,2.3421653e+17,3.7139158e+17,1.7767567e+21,0,1.5884821e+19,1.1482742e+18,4.32e+12,3.0481748e+16,2.5590812e+17,5.5456783e+18,6.7999347e+20,0,4435520.9,0,4435520.9,0,1.35e+21,279.72442,-3.3711217e-08,279.72442,0,0,60380610,-3.1453634e+10,4.8844488e+09,-1.5884823e+11,-1.1483072e+10,-2.5592063e+09,-5.5456507e+10,1.2796031e+08,2.7728254e+09,3.4467814e+10,3.4467814e+10,1.4774604e+11,9.2341277e+09,54441902
38000,190,0,3.6538314e+08,2.5196484e+17,3.9976797e+17,1.776474e+21,0,1.5865403e+19,1.0846376e+18,4.32e+12,3.0133875e+16,2.320883e+17,5.5947289e+18,6.8028879e+20,0,4984878.5,0,4984878.5,0,1.35e+21,314.18576,-4.2510351e-08,314.18576,0,0,56499381,-2.5257376e+10,4.7116316e+09,-1.586542e+11,-1.0846683e+10,-2.3209963e+09,-5.5947073e+10,1.1604982e+08,2.7973536e+09,3.4350617e+10,3.4350617e+10,1.4422648e+11,9.0141553e+09,59083642
40000,200,0,3.7863441e+08,2.7018213e+17,4.2840203e+17,1.7762485e+21,0,1.5818382e+19,1.0254581e+18,4.32e+12,2.9780836e+16,2.105001e+17,5.6324368e+18,6.8055843e+20,0,5567462.2,0,5567462.2,0,1.35e+21,351.1253,4.8780578e-08,351.1253,0,0,52868464,-1.998874e+10,4.5481917e+09,-1.5818411e+11,-1.0254866e+10,-2.1051037e+09,-5.6324206e+10,1.0525519e+08,2.8162103e+09,3.4185411e+10,3.4185411e+10,1.4092972e+11,8.8081077e+09,63811226
42000,210,0,3.9128809e+08,2.8885388e+17,4.5724007e+17,1.7760718e+21,0,1.574773e+19,9.7039898e+17,4.32e+12,2.9424868e+16,1.9093348e+17,5.6598053e+18,6.8080648e+20,0,6182952.9,0,6182952.9,0,1.35e+21,390.59745,0,390.59745,0,9.765625e-08,49471716,-1.5484538e+10,4.3937784e+09,-1.5747771e+11,-9.7042553e+09,-1.9094279e+09,-5.659794e+10,95471396,2.829897e+09,3.3979134e+10,3.3979134e+10,1.3784232e+11,8.615145e+09,68614944
44000,220,0,4.0336413e+08,3.0796551e+17,4.8623316e+17,1.7759367e+21,0,1.5657002e+19,9.1915226e+17,4.32e+12,2.9067929e+16,1.7319823e+17,5.6777818e+18,6.8103596e+20,0,6830985.4,0,6830985.4,0,1.35e+21,432.65349,-3.0217223e-08,432.65349,0,0,46294034,-1.1617078e+10,4.2480183e+09,-1.5657052e+11,-9.1917698e+09,-1.7320667e+09,-5.677775e+10,86603336,2.8388875e+09,3.3738021e+10,3.3738021e+10,1.3495145e+11,8.4344659e+09,73486190
46000,230,0,4.1488532e+08,3.2750253e+17,5.1533691e+17,1.7758376e+21,0,1.5549364e+19,8.7143563e+17,4.32e+12,2.871173e+16,1.571221e+17,5.6872586e+18,6.8124917e+20,0,7511157.6,0,7511157.6,0,1.35e+21,477.34181,0,477.34181,0,9.765625e-08,43321291,-8.2852736e+09,4.1105246e+09,-1.5549421e+11,-8.7145865e+09,-1.5712975e+09,-5.6872558e+10,78564873,2.8436279e+09,3.3467662e+10,3.3467662e+10,1.3224495e+11,8.2653094e+09,78417442
48000,240,0,4.2587663e+08,3.4745078e+17,5.4451118e+17,1.7757695e+21,0,1.5427636e+19,8.269899e+17,4.32e+12,2.8357756e+16,1.4254908e+17,5.6890733e+18,6.8144786e+20,0,8223038,0,8223038,0,1.35e+21,524.70819,-1.6030526e-08,524.70819,0,0,40540269,-5.4081809e+09,3.980905e+09,-1.54277e+11,-8.2701134e+09,-1.4255602e+09,-5.6890742e+10,71278008,2.8445371e+09,3.3173058e+10,3.3173058e+10,1.2971129e+11,8.1069559e+09,83402225
50000,250,0,4.3636461e+08,3.6779652e+17,5.7371984e+17,1.7757282e+21,0,1.5294324e+19,7.8557684e+17,4.32e+12,2.8007295e+16,1.2933791e+17,5.6840102e+18,6.8163338e+20,0,8966173.4,0,8966173.4,0,1.35e+21,574.79609,0,574.79609,0,9.765625e-08,37938603,-2.9202647e+09,3.8587676e+09,-1.5294393e+11,-7.8559683e+09,-1.293442e+09,-5.6840144e+10,64672099,2.8420072e+09,3.2858673e+10,3.2858673e+10,1.2733962e+11,7.958726e+09,88435072
52000,260,0,4.4637693e+08,3.8852654e+17,6.0293051e+17,1.77571e+21,0,1.5151647e+19,7.4697718e+17,4.32e+12,2.7661449e+16,1.1736064e+17,5.6728017e+18,6.8180679e+20,0,9740094.7,0,9740094.7,0,1.35e+21,627.64697,0,627.64697,0,9.765625e-08,35504727,-7.6789822e+08,3.7437255e+09,-1.515172e+11,-7.4699581e+09,-1.1736634e+09,-5.6728087e+10,58683170,2.8364044e+09,3.2528484e+10,3.2528484e+10,1.2511968e+11,7.8199801e+09,93511467
54000,270,0,4.559419e+08,4.0962823e+17,6.3211427e+17,1.7757119e+21,0,1.5001569e+19,7.1098885e+17,4.32e+12,2.7321161e+16,1.0650139e+17,5.6561297e+18,6.8196893e+20,0,10544323,0,10544323,0,1.35e+21,683.30049,0,683.30049,0,1.953125e-07,33227819,1.09325e+09,3.6354001e+09,-1.5001646e+11,-7.1100623e+09,-1.0650655e+09,-5.6561393e+10,53253277,2.8280697e+09,3.2186022e+10,3.2186022e+10,1.2304186e+11,7.6901165e+09,98627796
56000,280,0,4.6508816e+08,4.3108971e+17,6.6124552e+17,1.7757311e+21,0,1.4845822e+19,6.7742549e+17,4.32e+12,2.6987226e+16,9.6655195e+16,5.6346279e+18,6.8212048e+20,0,11378375,0,11378375,0,1.35e+21,741.79486,1.4997454e-08,741.79486,0,0,31097755,2.7001836e+09,3.5334236e+09,-1.4845901e+11,-6.774417e+09,-9.6659882e+08,-5.6346398e+10,48329941,2.8173199e+09,3.1834418e+10,3.1834418e+10,1.2109712e+11,7.5685701e+09,1.0378129e+08
58000,290,0,4.7384432e+08,4.5289976e+17,6.9030164e+17,1.7757652e+21,0,1.4685928e+19,6.4611501e+17,4.32e+12,2.6660309e+16,8.7727007e+16,5.6088835e+18,6.8226202e+20,0,12241767,0,12241767,0,1.35e+21,803.16708,-3.8732992e-08,803.16708,0,0,29105066,4.0840734e+09,3.4374411e+09,-1.4686009e+11,-6.4613013e+09,-8.7731256e+08,-5.6088973e+10,43865628,2.8044487e+09,3.1476433e+10,3.1476433e+10,1.1927697e+11,7.4548104e+09,1.0896994e+08
60000,300,0,4.8223875e+08,4.7504798e+17,7.1926286e+17,1.7758121e+21,0,1.4523221e+19,6.1689839e+17,4.32e+12,2.6340956e+16,7.9630715e+16,5.5794392e+18,6.8239404e+20,0,13134019,0,13134019,0,1.35e+21,867.45314,-2.8163413e-08,867.45314,0,0,27240891,5.2714036e+09,3.3471116e+09,-1.4523303e+11,-6.169125e+09,-7.9634568e+08,-5.5794547e+10,39817284,2.7897274e+09,3.1114501e+10,3.1114501e+10,1.1757344e+11,7.3483398e+09,1.1419249e+08
62000,310,0,4.9029932e+08,4.9752471e+17,7.4811199e+17,1.77587e+21,0,1.4358868e+19,5.8962858e+17,4.32e+12,2.602961e+16,7.2288327e+16,5.5467955e+18,6.8251698e+20,0,14054659,0,14054659,0,1.35e+21,934.68833,3.1801619e-09,934.68833,0,0,25496942,6.2848577e+09,3.262109e+09,-1.435895e+11,-5.8964176e+09,-7.2291822e+08,-5.5468125e+10,36145911,2.7734063e+09,3.0750756e+10,3.0750756e+10,1.1597907e+11,7.2486921e+09,1.1944832e+08
64000,320,0,4.9805326e+08,5.2032107e+17,7.7683425e+17,1.7759373e+21,0,1.4193883e+19,5.641695e+17,4.32e+12,2.572662e+16,6.5629194e+16,5.5114128e+18,6.8263123e+20,0,15003223,0,15003223,0,1.35e+21,1004.9074,8.9514742e-09,1004.9074,0,0,23865466,7.1440097e+09,3.1821223e+09,-1.4193965e+11,-5.6418179e+09,-6.5632364e+08,-5.5114311e+10,32816182,2.7557156e+09,3.038706e+10,3.038706e+10,1.1448688e+11,7.15543e+09,1.247374e+08
66000,330,0,5.0552701e+08,5.4342898e+17,8.0541708e+17,1.7760124e+21,0,1.4029144e+19,5.403951e+17,4.32e+12,2.5432249e+16,5.9589318e+16,5.4737135e+18,6.8273716e+20,0,15979262,0,15979262,0,1.35e+21,1078.1447,1.0710596e-07,1078.1447,0,0,22339209,7.8658675e+09,3.1068561e+09,-1.4029226e+11,-5.4040659e+09,-5.9592193e+08,-5.4737329e+10,29796097,2.7368665e+09,3.0025035e+10,3.0025035e+10,1.1309031e+11,7.0681441e+09,1.3006026e+08
68000,340,0,5.1274608e+08,5.6684111e+17,8.3384994e+17,1.7760942e+21,0,1.386541e+19,5.1818863e+17,4.32e+12,2.5146689e+16,5.4110725e+16,5.4340841e+18,6.8283511e+20,0,16982342,0,16982342,0,1.35e+21,1154.4347,1.2163355e-08,1154.4347,0,0,20911385,8.4653036e+09,3.03603e+09,-1.3865491e+11,-5.1819936e+09,-5.4113333e+08,-5.4341043e+10,27056666,2.7170522e+09,2.9666081e+10,2.9666081e+10,1.1178322e+11,6.9864511e+09,1.3541791e+08
70000,350,0,5.1973501e+08,5.905509e+17,8.6212416e+17,1.7761814e+21,0,1.3703327e+19,4.9744182e+17,4.32e+12,2.4870067e+16,4.9140892e+16,5.3928772e+18,6.8292542e+20,0,18012044,0,18012044,0,1.35e+21,1233.8116,6.2820163e-08,1233.8116,0,0,19575645,8.9553996e+09,2.9693789e+09,-1.3703408e+11,-4.9745185e+09,-4.9143258e+08,-5.3928982e+10,24571629,2.6964491e+09,2.9311401e+10,2.9311401e+10,1.1055987e+11,6.9099918e+09,1.4081177e+08
72000,360,0,5.2651726e+08,6.1455253e+17,8.9023278e+17,1.776273e+21,0,1.3543449e+19,4.7805429e+17,4.32e+12,2.4602452e+16,4.4632237e+16,5.3504139e+18,6.8300841e+20,0,19067968,0,19067968,0,1.35e+21,1316.3099,3.318678e-08,1316.3099,0,0,18326051,9.3477232e+09,2.9066524e+09,-1.3543528e+11,-4.7806366e+09,-4.4634384e+08,-5.3504354e+10,22317192,2.6752177e+09,2.8962022e+10,2.8962022e+10,1.0941488e+11,6.8384301e+09,1.4624364e+08
74000,370,0,5.3311518e+08,6.3884086e+17,9.1817038e+17,1.776368e+21,0,1.3386238e+19,4.5993287e+17,4.32e+12,2.434386e+16,4.0541652e+16,5.3069853e+18,6.830844e+20,0,20149735,0,20149735,0,1.35e+21,1401.9645,-8.0412974e-09,1401.9645,0,0,17157048,9.6525536e+09,2.8476141e+09,-1.3386316e+11,-4.5994163e+09,-4.05436e+08,-5.3070072e+10,20271800,2.6535036e+09,2.8618812e+10,2.8618812e+10,1.0834322e+11,6.7714513e+09,1.5171565e+08
76000,380,0,5.3954999e+08,6.6341146e+17,9.4593297e+17,1.7764658e+21,0,1.3232085e+19,4.4299107e+17,4.32e+12,2.4094268e+16,3.6830079e+16,5.262855e+18,6.831537e+20,0,21256984,0,21256984,0,1.35e+21,1490.8108,-1.1801831e-08,1490.8108,0,0,16063436,9.8790648e+09,2.7920414e+09,-1.3232161e+11,-4.4299926e+09,-3.6831846e+08,-5.2628772e+10,18415923,2.6314386e+09,2.8282496e+10,2.8282496e+10,1.0734018e+11,6.708761e+09,1.5723022e+08
