iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9127128e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363474e+16,1.3591407e+18,1.8424328e+18,6.235428e+20,0,107348.87,0,107348.87,0,1.35e+21,13.160897,4.5729879e-08,13.160897,0,0,1.8712053e+08,-2.0950113e+12,8.7174281e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422212e+10,6.7960387e+08,9.2111062e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220914,1.950329e+16,1.8186955e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.128629e+16,1.2315018e+18,2.254439e+18,6.3947308e+20,0,290200.81,0,290200.81,0,1.35e+21,31.122275,2.9613325e-08,31.122275,0,0,1.7506546e+08,-1.4698533e+12,8.6048907e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542389e+10,6.1578128e+08,1.1271194e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702234,2.9506624e+16,3.0471491e+16,1.8145451e+21,0,8.3684502e+18,3.0133118e+18,4.32e+12,3.193404e+16,1.1158972e+18,2.6420006e+18,6.5042875e+20,0,558982.73,0,558982.73,0,1.35e+21,54.130751,-8.859466e-09,54.130751,0,0,1.6378786e+08,-1.0521478e+12,8.4225835e+09,-8.3677677e+10,-3.0134204e+10,-1.1159522e+10,-2.6418134e+10,5.5797611e+08,1.3209067e+09,2.2917897e+10,2.2917897e+10,2.3261075e+11,1.4538172e+10,4444884.1
8000,40,0,1.0308141e+08,3.9796849e+16,4.463998e+16,1.8055347e+21,0,9.6501184e+18,2.8056422e+18,4.32e+12,3.2378821e+16,1.011189e+18,3.0029542e+18,6.5808556e+20,0,925470.85,0,925470.85,0,1.35e+21,82.509446,-4.3212211e-08,82.509446,0,0,1.5323758e+08,-7.6779906e+11,8.1979732e+09,-9.6495185e+10,-2.8057415e+10,-1.0112388e+10,-3.0027805e+10,5.0561942e+08,1.5013903e+09,2.498726e+10,2.498726e+10,2.2592594e+11,1.4120371e+10,6113063.2
10000,50,0,1.2206699e+08,5.0444168e+16,6.0558745e+16,1.7989015e+21,0,1.0771727e+19,2.6154671e+18,4.32e+12,3.2668625e+16,9.1634727e+17,3.3364621e+18,6.6352333e+20,0,1400065.4,0,1400065.4,0,1.35e+21,116.62611,5.4393581e-08,116.62611,0,0,1.4336773e+08,-5.7064815e+11,7.9486098e+09,-1.0771204e+11,-2.6155581e+10,-9.1639239e+09,-3.3363022e+10,4.5819619e+08,1.6681511e+09,2.6797556e+10,2.6797556e+10,2.189044e+11,1.3681525e+10,8072280.2
12000,60,0,1.4140842e+08,6.1504451e+16,7.8092044e+16,1.7939305e+21,0,1.1744667e+19,2.4409454e+18,4.32e+12,3.2836631e+16,8.3043947e+17,3.6425259e+18,6.6744834e+20,0,1991837.7,0,1991837.7,0,1.35e+21,156.87898,1.4905169e-08,156.87898,0,0,1.3413441e+08,-4.314612e+11,7.6860067e+09,-1.1744215e+11,-2.441029e+10,-8.3048033e+09,-3.6423796e+10,4.1524017e+08,1.8211898e+09,2.8364132e+10,2.8364132e+10,2.1183488e+11,1.323968e+10,10316675
14000,70,0,1.6089316e+08,7.3021171e+16,9.7105414e+16,1.7901431e+21,0,1.2581235e+19,2.2805013e+18,4.32e+12,3.2906694e+16,7.5262148e+17,3.9216813e+18,6.7032905e+20,0,2708598.5,0,2708598.5,0,1.35e+21,203.68503,0,203.68503,0,9.765625e-08,1.2549658e+08,-3.3142881e+11,7.4178897e+09,-1.2580849e+11,-2.2805782e+10,-7.526585e+09,-3.9215483e+10,3.7632925e+08,1.9607742e+09,2.9704923e+10,2.9704923e+10,2.0489035e+11,1.2805647e+10,12836580
16000,80,0,1.8034314e+08,8.5027142e+16,1.174678e+17,1.7872133e+21,0,1.3293824e+19,2.1327697e+18,4.32e+12,3.2896633e+16,6.821291e+17,4.174805e+18,6.724802e+20,0,3556978.2,0,3556978.2,0,1.35e+21,257.47048,2.8285115e-08,257.47048,0,0,1.1741582e+08,-2.5826403e+11,7.149534e+09,-1.3293497e+11,-2.1328406e+10,-6.8216264e+09,-4.1746848e+10,3.4108132e+08,2.0873424e+09,3.0838778e+10,3.0838778e+10,1.9817226e+11,1.2385766e+10,15619505
18000,90,0,1.9961093e+08,9.754606e+16,1.3905292e+17,1.784916e+21,0,1.3894453e+19,1.9965572e+18,4.32e+12,3.2820241e+16,6.1827047e+17,4.402988e+18,6.7411587e+20,0,4542511.2,0,4542511.2,0,1.35e+21,318.6631,2.3879352e-08,318.6631,0,0,1.0985622e+08,-2.0382258e+11,6.8845813e+09,-1.3894178e+11,-1.9966226e+10,-6.1830085e+09,-4.4028799e+10,3.0915043e+08,2.20144e+09,3.1784484e+10,3.1784484e+10,1.9173753e+11,1.1983596e+10,18650964
20000,100,0,2.1857625e+08,1.1059388e+17,1.6174009e+17,1.7830931e+21,0,1.4394515e+19,1.870813e+18,4.32e+12,3.2688539e+16,5.6041923e+17,4.6074514e+18,6.7538328e+20,0,5669723.1,0,5669723.1,0,1.35e+21,387.68614,-4.4973319e-08,387.68614,0,0,1.0278416e+08,-1.626294e+11,6.6255527e+09,-1.4394288e+11,-1.8708735e+10,-5.6044675e+09,-4.6073549e+10,2.8022337e+08,2.3036774e+09,3.2560187e+10,3.2560187e+10,1.8561518e+11,1.1600949e+10,21915166
22000,110,0,2.3714253e+08,1.2418003e+17,1.8541473e+17,1.781632e+21,0,1.4804649e+19,1.7546061e+18,4.32e+12,3.2510569e+16,5.0800828e+17,4.7894899e+18,6.7638476e+20,0,6942215.6,0,6942215.6,0,1.35e+21,464.95364,1.6055935e-08,464.95364,0,0,96168198,-1.3095307e+11,6.3741801e+09,-1.4804465e+11,-1.754662e+10,-5.0803321e+09,-4.7894042e+10,2.5401661e+08,2.3947021e+09,3.3183082e+10,3.3183082e+10,1.7981667e+11,1.1238542e+10,25395574
24000,120,0,2.5523387e+08,1.3830849e+17,2.0996865e+17,1.7804511e+21,0,1.5134686e+19,1.6471078e+18,4.32e+12,3.2293911e+16,4.605242e+17,4.9504322e+18,6.7719207e+20,0,8362750.3,0,8362750.3,0,1.35e+21,550.86695,-2.4173346e-08,550.86695,0,0,89978920,-1.062163e+11,6.131628e+09,-1.5134539e+11,-1.6471595e+10,-4.6054679e+09,-4.9503568e+10,2.302734e+08,2.4751784e+09,3.3669246e+10,3.3669246e+10,1.7434247e+11,1.0896404e+10,29075371
26000,130,0,2.7279227e+08,1.5297872e+17,2.3530011e+17,1.7794907e+21,0,1.5393642e+19,1.5475772e+18,4.32e+12,3.2045026e+16,4.1750216e+17,5.0916138e+18,6.7785603e+20,0,9933329.3,0,9933329.3,0,1.35e+21,645.81216,-8.4810381e-11,645.81216,0,0,84188806,-8.6615513e+10,5.8986444e+09,-1.5393529e+11,-1.5476251e+10,-4.1752263e+09,-5.0915479e+10,2.0876131e+08,2.5457739e+09,3.4033579e+10,3.4033579e+10,1.6918625e+11,1.057414e+10,32937826
28000,140,0,2.8977518e+08,1.681865e+17,2.6131388e+17,1.7787061e+21,0,1.5589747e+19,1.4553494e+18,4.32e+12,3.1769487e+16,3.7852127e+17,5.2143568e+18,6.7841288e+20,0,11655272,0,11655272,0,1.35e+21,750.15839,6.6267148e-08,750.15839,0,0,78772115,-7.0872237e+10,5.6756687e+09,-1.5589663e+11,-1.4553938e+10,-3.7853981e+09,-5.2142998e+10,1.8926991e+08,2.6071499e+09,3.4289794e+10,3.4289794e+10,1.6433754e+11,1.0271096e+10,36966597
30000,150,0,3.0615327e+08,1.8392465e+17,2.8792106e+17,1.7780636e+21,0,1.5730474e+19,1.3698258e+18,4.32e+12,3.1472144e+16,3.4320046e+17,5.3199566e+18,6.7888864e+20,0,13529288,0,13529288,0,1.35e+21,864.25683,9.2314849e-09,864.25683,0,0,73704762,-5.8068611e+10,5.4629091e+09,-1.5730416e+11,-1.369867e+10,-3.4321726e+09,-5.3199079e+10,1.7160863e+08,2.6599539e+09,3.445045e+10,3.445045e+10,1.5978349e+11,9.9864683e+09,41145955
