iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971025,9.7001407e+15,7.9072462e+15,1.844626e+21,0,5.2931978e+18,3.4903335e+18,4.32e+12,3.0363991e+16,1.3591407e+18,1.842437e+18,6.235428e+20,0,1357738.1,0,1357738.1,0,1.35e+21,166.57275,1.0002111e-08,166.57275,0,0,1.8712053e+08,-2.0950113e+12,8.7175766e+09,-5.2923424e+10,-3.4904644e+10,-1.3592077e+10,-1.8422254e+10,6.7960387e+08,9.2111272e+08,1.7972133e+10,1.7972133e+10,2.4274053e+11,1.5171283e+10,1978861
4000,20,0,67220989,1.9503289e+16,1.8159173e+16,1.8270175e+21,0,6.917624e+18,3.2406633e+18,4.32e+12,3.1287736e+16,1.2315018e+18,2.254461e+18,6.3947308e+20,0,3667358.6,0,3667358.6,0,1.35e+21,393.90345,3.7569748e-08,393.90345,0,0,1.7506546e+08,-1.4698533e+12,8.6052883e+09,-6.9168553e+10,-3.2407823e+10,-1.2315626e+10,-2.2542608e+10,6.1578128e+08,1.1271304e+09,2.0579516e+10,2.0579516e+10,2.3848026e+11,1.4905016e+10,3068632.8
6000,30,0,84702470,2.9506623e+16,3.0395405e+16,1.8145451e+21,0,8.3684508e+18,3.01332e+18,4.32e+12,3.1936871e+16,1.1158972e+18,2.6420607e+18,6.5042875e+20,0,7057182.3,0,7057182.3,0,1.35e+21,685.1135,4.543358e-08,685.1135,0,0,1.6378786e+08,-1.0521477e+12,8.42333e+09,-8.3677683e+10,-3.0134285e+10,-1.1159522e+10,-2.6418734e+10,5.5797611e+08,1.3209367e+09,2.2917969e+10,2.2917969e+10,2.3261076e+11,1.4538172e+10,4444896.5
8000,40,0,1.0308197e+08,3.9796856e+16,4.4479105e+16,1.8055347e+21,0,9.65012e+18,2.8056588e+18,4.32e+12,3.2383561e+16,1.0111891e+18,3.0030799e+18,6.5808557e+20,0,11671147,0,11671147,0,1.35e+21,1044.2927,1.1842303e-08,1044.2927,0,0,1.5323758e+08,-7.6779886e+11,8.199173e+09,-9.6495201e+10,-2.8057581e+10,-1.0112389e+10,-3.0029062e+10,5.0561943e+08,1.5014531e+09,2.4987411e+10,2.4987411e+10,2.2592594e+11,1.4120371e+10,6113096.2
10000,50,0,1.2206811e+08,5.0444196e+16,6.0264901e+16,1.7989015e+21,0,1.077173e+19,2.6154961e+18,4.32e+12,3.2675859e+16,9.163473e+17,3.3366893e+18,6.6352335e+20,0,17634156,0,17634156,0,1.35e+21,1476.0957,1.2244823e-07,1476.0957,0,0,1.4336773e+08,-5.7064773e+11,7.9503697e+09,-1.0771207e+11,-2.6155872e+10,-9.1639241e+09,-3.3365294e+10,4.5819621e+08,1.6682647e+09,2.6797827e+10,2.6797827e+10,2.189044e+11,1.3681525e+10,8072354.3
12000,60,0,1.4141044e+08,6.1504524e+16,7.760434e+16,1.7939305e+21,0,1.1744673e+19,2.4409916e+18,4.32e+12,3.2847e+16,8.304395e+17,3.6428983e+18,6.6744839e+20,0,25052552,0,25052552,0,1.35e+21,1985.5634,0,1985.5634,0,9.765625e-08,1.3413441e+08,-4.3146045e+11,7.6884332e+09,-1.1744222e+11,-2.4410752e+10,-8.3048037e+09,-3.642752e+10,4.1524018e+08,1.821376e+09,2.8364576e+10,2.8364576e+10,2.118349e+11,1.3239681e+10,10316823
14000,70,0,1.6089654e+08,7.302133e+16,9.6349401e+16,1.7901431e+21,0,1.2581247e+19,2.2805698e+18,4.32e+12,3.2920883e+16,7.5262153e+17,3.9222515e+18,6.7032912e+20,0,34014889,0,34014889,0,1.35e+21,2577.974,0,2577.974,0,9.765625e-08,1.2549658e+08,-3.3142759e+11,7.4210876e+09,-1.258086e+11,-2.2806468e+10,-7.5265855e+09,-3.9221184e+10,3.7632928e+08,1.9610592e+09,2.97056e+10,2.97056e+10,2.0489037e+11,1.2805648e+10,12836850
16000,80,0,1.8034845e+08,8.5027447e+16,1.1635479e+17,1.7872133e+21,0,1.3293842e+19,2.1328663e+18,4.32e+12,3.2915367e+16,6.8212918e+17,4.1756338e+18,6.7248031e+20,0,44592876,0,44592876,0,1.35e+21,3258.7233,0,3258.7233,0,9.765625e-08,1.1741582e+08,-2.5826215e+11,7.1536048e+09,-1.3293515e+11,-2.1329372e+10,-6.8216271e+09,-4.1755134e+10,3.4108136e+08,2.0877567e+09,3.0839761e+10,3.0839761e+10,1.9817229e+11,1.2385768e+10,15619965
18000,90,0,1.9961892e+08,9.7546596e+16,1.3747943e+17,1.784916e+21,0,1.389448e+19,1.996688e+18,4.32e+12,3.2844277e+16,6.1827057e+17,4.4041445e+18,6.7411604e+20,0,56842416,0,56842416,0,1.35e+21,4033.2268,3.6839083e-08,4033.2268,0,0,1.0985622e+08,-2.0381983e+11,6.8896227e+09,-1.3894206e+11,-1.9967534e+10,-6.1830095e+09,-4.4040362e+10,3.0915048e+08,2.2020181e+09,3.1785851e+10,3.1785851e+10,1.9173758e+11,1.1983599e+10,18651711
