iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9128933e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363456e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,66052.003,0,66052.003,0,1.35e+21,8.0977451,-1.3647758e-08,8.0977451,0,0,1.8712053e+08,-2.0950113e+12,8.7174232e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111055e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220911,1.950329e+16,1.8187873e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286242e+16,1.2315018e+18,2.2544383e+18,6.3947308e+20,0,178566.15,0,178566.15,0,1.35e+21,19.149169,-3.9452672e-08,19.149169,0,0,1.7506546e+08,-1.4698533e+12,8.6048776e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542381e+10,6.1578128e+08,1.1271191e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702226,2.9506624e+16,3.0474006e+16,1.8145451e+21,0,8.3684502e+18,3.0133115e+18,4.32e+12,3.1933946e+16,1.1158972e+18,2.6419986e+18,6.5042875e+20,0,343963.88,0,343963.88,0,1.35e+21,33.306013,0,33.306013,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225588e+09,-8.3677677e+10,-3.0134201e+10,-1.1159522e+10,-2.6418114e+10,5.5797611e+08,1.3209057e+09,2.2917895e+10,2.2917895e+10,2.3261075e+11,1.4538172e+10,4444883.7
8000,40,0,1.030814e+08,3.9796849e+16,4.4645302e+16,1.8055347e+21,0,9.6501184e+18,2.8056417e+18,4.32e+12,3.2378664e+16,1.011189e+18,3.00295e+18,6.5808556e+20,0,569499.2,0,569499.2,0,1.35e+21,50.76709,6.8367001e-09,50.76709,0,0,1.5323758e+08,-7.6779907e+11,8.1979334e+09,-9.6495184e+10,-2.805741e+10,-1.0112388e+10,-3.0027763e+10,5.0561942e+08,1.5013882e+09,2.4987255e+10,2.4987255e+10,2.2592594e+11,1.4120371e+10,6113062.1
10000,50,0,1.2206695e+08,5.0444167e+16,6.0568476e+16,1.7989015e+21,0,1.0771727e+19,2.6154661e+18,4.32e+12,3.2668385e+16,9.1634727e+17,3.3364546e+18,6.6352333e+20,0,861582.18,0,861582.18,0,1.35e+21,71.758673,8.8425992e-08,71.758672,0,0,1.4336773e+08,-5.7064817e+11,7.9485514e+09,-1.0771204e+11,-2.6155571e+10,-9.1639239e+09,-3.3362947e+10,4.5819619e+08,1.6681474e+09,2.6797547e+10,2.6797547e+10,2.189044e+11,1.3681525e+10,8072277.8
12000,60,0,1.4140835e+08,6.1504448e+16,7.810821e+16,1.7939305e+21,0,1.1744666e+19,2.4409438e+18,4.32e+12,3.2836287e+16,8.3043947e+17,3.6425135e+18,6.6744834e+20,0,1225808,0,1225808,0,1.35e+21,96.525783,-3.4041562e-08,96.525783,0,0,1.3413441e+08,-4.3146122e+11,7.6859262e+09,-1.1744215e+11,-2.4410275e+10,-8.3048033e+09,-3.6423673e+10,4.1524017e+08,1.8211836e+09,2.8364118e+10,2.8364118e+10,2.1183488e+11,1.323968e+10,10316670
14000,70,0,1.6089305e+08,7.3021166e+16,9.71305e+16,1.7901431e+21,0,1.2581235e+19,2.280499e+18,4.32e+12,3.2906222e+16,7.5262148e+17,3.9216624e+18,6.7032905e+20,0,1666999.3,0,1666999.3,0,1.35e+21,125.32499,0,125.32499,0,9.765625e-08,1.2549658e+08,-3.3142885e+11,7.4177833e+09,-1.2580849e+11,-2.2805759e+10,-7.526585e+09,-3.9215294e+10,3.7632925e+08,1.9607647e+09,2.9704901e+10,2.9704901e+10,2.0489035e+11,1.2805647e+10,12836571
16000,80,0,1.8034296e+08,8.5027132e+16,1.1750478e+17,1.7872133e+21,0,1.3293823e+19,2.1327665e+18,4.32e+12,3.2896009e+16,6.821291e+17,4.1747775e+18,6.724802e+20,0,2189255.6,0,2189255.6,0,1.35e+21,158.41853,4.1342787e-08,158.41853,0,0,1.1741582e+08,-2.582641e+11,7.1493983e+09,-1.3293496e+11,-2.1328374e+10,-6.8216263e+09,-4.1746573e+10,3.4108132e+08,2.0873286e+09,3.0838746e+10,3.0838746e+10,1.9817226e+11,1.2385766e+10,15619489
18000,90,0,1.9961067e+08,9.7546042e+16,1.3910526e+17,1.784916e+21,0,1.3894452e+19,1.9965529e+18,4.32e+12,3.2819438e+16,6.1827047e+17,4.4029495e+18,6.7411586e+20,0,2796005.5,0,2796005.5,0,1.35e+21,196.06962,0,196.06962,0,9.765625e-08,1.0985622e+08,-2.0382268e+11,6.884413e+09,-1.3894178e+11,-1.9966183e+10,-6.1830085e+09,-4.4028414e+10,3.0915042e+08,2.2014207e+09,3.1784438e+10,3.1784438e+10,1.9173753e+11,1.1983596e+10,18650939
