iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9128533e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.036346e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,75199.355,0,75199.355,0,1.35e+21,9.2192251,7.3117155e-08,9.219225,0,0,1.8712053e+08,-2.0950113e+12,8.7174243e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111056e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220912,1.950329e+16,1.818767e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286252e+16,1.2315018e+18,2.2544384e+18,6.3947308e+20,0,203294.02,0,203294.02,0,1.35e+21,21.801193,-3.0054917e-08,21.801193,0,0,1.7506546e+08,-1.4698533e+12,8.6048805e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542383e+10,6.1578128e+08,1.1271191e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702228,2.9506624e+16,3.0473449e+16,1.8145451e+21,0,8.3684502e+18,3.0133116e+18,4.32e+12,3.1933967e+16,1.1158972e+18,2.6419991e+18,6.5042875e+20,0,391593.26,0,391593.26,0,1.35e+21,37.918659,1.1258003e-08,37.918659,0,0,1.6378786e+08,-1.0521478e+12,8.4225643e+09,-8.3677677e+10,-3.0134201e+10,-1.1159522e+10,-2.6418118e+10,5.5797611e+08,1.3209059e+09,2.2917895e+10,2.2917895e+10,2.3261075e+11,1.4538172e+10,4444883.8
8000,40,0,1.030814e+08,3.9796849e+16,4.4644123e+16,1.8055347e+21,0,9.6501184e+18,2.8056418e+18,4.32e+12,3.2378699e+16,1.011189e+18,3.0029509e+18,6.5808556e+20,0,648353.66,0,648353.66,0,1.35e+21,57.79797,3.3915605e-08,57.79797,0,0,1.5323758e+08,-7.6779907e+11,8.1979422e+09,-9.6495184e+10,-2.8057411e+10,-1.0112388e+10,-3.0027773e+10,5.0561942e+08,1.5013886e+09,2.4987256e+10,2.4987256e+10,2.2592594e+11,1.4120371e+10,6113062.3
10000,50,0,1.2206696e+08,5.0444167e+16,6.056632e+16,1.7989015e+21,0,1.0771727e+19,2.6154663e+18,4.32e+12,3.2668438e+16,9.1634727e+17,3.3364563e+18,6.6352333e+20,0,980870.26,0,980870.26,0,1.35e+21,81.696738,1.0870542e-07,81.696737,0,0,1.4336773e+08,-5.7064816e+11,7.9485644e+09,-1.0771204e+11,-2.6155573e+10,-9.1639239e+09,-3.3362964e+10,4.5819619e+08,1.6681482e+09,2.6797549e+10,2.6797549e+10,2.189044e+11,1.3681525e+10,8072278.3
12000,60,0,1.4140836e+08,6.1504449e+16,7.8104629e+16,1.7939305e+21,0,1.1744667e+19,2.4409442e+18,4.32e+12,3.2836363e+16,8.3043947e+17,3.6425162e+18,6.6744834e+20,0,1395509.7,0,1395509.7,0,1.35e+21,109.89392,0,109.89392,0,9.765625e-08,1.3413441e+08,-4.3146122e+11,7.685944e+09,-1.1744215e+11,-2.4410278e+10,-8.3048033e+09,-3.64237e+10,4.1524017e+08,1.821185e+09,2.8364121e+10,2.8364121e+10,2.1183488e+11,1.323968e+10,10316672
14000,70,0,1.6089308e+08,7.3021167e+16,9.7124943e+16,1.7901431e+21,0,1.2581235e+19,2.2804995e+18,4.32e+12,3.2906327e+16,7.5262148e+17,3.9216666e+18,6.7032905e+20,0,1897758.2,0,1897758.2,0,1.35e+21,142.68161,0,142.68161,0,9.765625e-08,1.2549658e+08,-3.3142884e+11,7.4178069e+09,-1.2580849e+11,-2.2805764e+10,-7.526585e+09,-3.9215336e+10,3.7632925e+08,1.9607668e+09,2.9704905e+10,2.9704905e+10,2.0489035e+11,1.2805647e+10,12836573
16000,80,0,1.80343e+08,8.5027134e+16,1.1749659e+17,1.7872133e+21,0,1.3293824e+19,2.1327672e+18,4.32e+12,3.2896147e+16,6.821291e+17,4.1747836e+18,6.724802e+20,0,2492278.2,0,2492278.2,0,1.35e+21,180.35838,0,180.35838,0,9.765625e-08,1.1741582e+08,-2.5826408e+11,7.1494284e+09,-1.3293496e+11,-2.1328381e+10,-6.8216263e+09,-4.1746634e+10,3.4108132e+08,2.0873317e+09,3.0838753e+10,3.0838753e+10,1.9817226e+11,1.2385766e+10,15619493
18000,90,0,1.9961073e+08,9.7546046e+16,1.3909366e+17,1.784916e+21,0,1.3894452e+19,1.9965539e+18,4.32e+12,3.2819616e+16,6.1827047e+17,4.402958e+18,6.7411586e+20,0,3182967.1,0,3182967.1,0,1.35e+21,223.22387,-2.0838343e-08,223.22387,0,0,1.0985622e+08,-2.0382266e+11,6.8844503e+09,-1.3894178e+11,-1.9966193e+10,-6.1830085e+09,-4.40285e+10,3.0915042e+08,2.201425e+09,3.1784448e+10,3.1784448e+10,1.9173753e+11,1.1983596e+10,18650945
