iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971038,9.70014e+15,7.9012578e+15,1.844626e+21,0,5.2931978e+18,3.4903342e+18,4.32e+12,3.0364558e+16,1.3591407e+18,1.8424416e+18,6.235428e+20,0,2726853.6,0,2726853.6,0,1.35e+21,334.79471,3.7804512e-08,334.79471,0,0,1.8712053e+08,-2.0950113e+12,8.7177392e+09,-5.2923424e+10,-3.4904651e+10,-1.3592077e+10,-1.8422301e+10,6.7960387e+08,9.2111503e+08,1.7972139e+10,1.7972139e+10,2.4274053e+11,1.5171283e+10,1978861.5
4000,20,0,67221072,1.9503287e+16,1.8128774e+16,1.8270175e+21,0,6.9176242e+18,3.2406667e+18,4.32e+12,3.1289317e+16,1.2315019e+18,2.254485e+18,6.3947308e+20,0,7358692,0,7358692,0,1.35e+21,791.70687,-3.1347554e-08,791.70687,0,0,1.7506546e+08,-1.4698532e+12,8.605723e+09,-6.9168555e+10,-3.2407857e+10,-1.2315626e+10,-2.2542849e+10,6.1578128e+08,1.1271424e+09,2.0579545e+10,2.0579545e+10,2.3848026e+11,1.4905016e+10,3068636.5
6000,30,0,84702727,2.9506623e+16,3.0312268e+16,1.8145451e+21,0,8.3684514e+18,3.0133289e+18,4.32e+12,3.1939959e+16,1.1158972e+18,2.6421263e+18,6.5042876e+20,0,14145449,0,14145449,0,1.35e+21,1377.0103,3.9980478e-08,1377.0103,0,0,1.6378786e+08,-1.0521476e+12,8.4241443e+09,-8.3677689e+10,-3.0134375e+10,-1.1159522e+10,-2.641939e+10,5.5797612e+08,1.3209695e+09,2.2918048e+10,2.2918048e+10,2.3261076e+11,1.4538172e+10,4444910
8000,40,0,1.0308258e+08,3.9796863e+16,4.4303594e+16,1.8055347e+21,0,9.6501217e+18,2.805677e+18,4.32e+12,3.238872e+16,1.0111891e+18,3.0032171e+18,6.5808558e+20,0,23365302,0,23365302,0,1.35e+21,2098.9252,2.3469056e-08,2098.9252,0,0,1.5323758e+08,-7.6779863e+11,8.2004789e+09,-9.6495218e+10,-2.8057763e+10,-1.0112389e+10,-3.0030434e+10,5.0561944e+08,1.5015217e+09,2.4987575e+10,2.4987575e+10,2.2592595e+11,1.4120372e+10,6113132.3
10000,50,0,1.2206933e+08,5.0444226e+16,5.9944887e+16,1.7989015e+21,0,1.0771734e+19,2.6155278e+18,4.32e+12,3.2683713e+16,9.1634732e+17,3.3369367e+18,6.6352337e+20,0,35254728,0,35254728,0,1.35e+21,2966.8081,1.1119164e-07,2966.8081,0,0,1.4336773e+08,-5.7064728e+11,7.9522802e+09,-1.0771211e+11,-2.6156188e+10,-9.1639244e+09,-3.3367767e+10,4.5819622e+08,1.6683883e+09,2.6798122e+10,2.6798122e+10,2.1890441e+11,1.3681526e+10,8072435
12000,60,0,1.4141264e+08,6.1504604e+16,7.7074238e+16,1.7939306e+21,0,1.174468e+19,2.4410418e+18,4.32e+12,3.2858223e+16,8.3043954e+17,3.6433031e+18,6.6744843e+20,0,50009236,0,50009236,0,1.35e+21,3990.791,-3.2818662e-08,3990.791,0,0,1.3413441e+08,-4.3145963e+11,7.6910598e+09,-1.1744229e+11,-2.4411254e+10,-8.3048041e+09,-3.6431567e+10,4.1524021e+08,1.8215784e+09,2.8365058e+10,2.8365058e+10,2.1183491e+11,1.3239682e+10,10316983
14000,70,0,1.6090021e+08,7.3021503e+16,9.5529431e+16,1.7901431e+21,0,1.2581259e+19,2.2806442e+18,4.32e+12,3.2936191e+16,7.5262159e+17,3.9228697e+18,6.703292e+20,0,67784793,0,67784793,0,1.35e+21,5181.4848,0,5181.4848,0,9.765625e-08,1.2549658e+08,-3.3142625e+11,7.424538e+09,-1.2580873e+11,-2.2807211e+10,-7.5265861e+09,-3.9227365e+10,3.7632931e+08,1.9613683e+09,2.9706334e+10,2.9706334e+10,2.048904e+11,1.280565e+10,12837142
16000,80,0,1.8035421e+08,8.5027777e+16,1.1515045e+17,1.7872134e+21,0,1.3293862e+19,2.1329708e+18,4.32e+12,3.2935508e+16,6.8212926e+17,4.1765301e+18,6.7248044e+20,0,88699662,0,88699662,0,1.35e+21,6549.7365,-2.8811883e-08,6549.7365,0,0,1.1741582e+08,-2.582601e+11,7.1579817e+09,-1.3293534e+11,-2.1330417e+10,-6.8216279e+09,-4.1764096e+10,3.410814e+08,2.0882048e+09,3.0840823e+10,3.0840823e+10,1.9817233e+11,1.2385771e+10,15620463
18000,90,0,1.9962754e+08,9.7547174e+16,1.3578119e+17,1.7849161e+21,0,1.389451e+19,1.9968291e+18,4.32e+12,3.2870021e+16,6.1827068e+17,4.4053918e+18,6.7411623e+20,0,1.1283648e+08,0,1.1283648e+08,0,1.35e+21,8106.4346,2.2251697e-08,8106.4346,0,0,1.0985622e+08,-2.0381685e+11,6.8950222e+09,-1.3894236e+11,-1.9968945e+10,-6.1830106e+09,-4.4052833e+10,3.0915053e+08,2.2026417e+09,3.1787327e+10,3.1787327e+10,1.9173764e+11,1.1983602e+10,18652516
