iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001412e+15,7.9124764e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363496e+16,1.3591407e+18,1.8424329e+18,6.235428e+20,0,161422.06,0,161422.06,0,1.35e+21,19.790823,1.2190086e-07,19.790823,0,0,1.8712053e+08,-2.0950113e+12,8.7174345e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422214e+10,6.7960387e+08,9.2111071e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220917,1.950329e+16,1.8185754e+16,1.8270175e+21,0,6.9176239e+18,3.2406603e+18,4.32e+12,3.1286352e+16,1.2315018e+18,2.25444e+18,6.3947308e+20,0,436363.37,0,436363.37,0,1.35e+21,46.800414,3.5413585e-08,46.800414,0,0,1.7506546e+08,-1.4698533e+12,8.6049079e+09,-6.9168552e+10,-3.2407793e+10,-1.2315626e+10,-2.2542398e+10,6.1578128e+08,1.1271199e+09,2.0579491e+10,2.0579491e+10,2.3848026e+11,1.4905016e+10,3068629.5
6000,30,0,84702244,2.9506624e+16,3.0468197e+16,1.8145451e+21,0,8.3684502e+18,3.0133122e+18,4.32e+12,3.1934162e+16,1.1158972e+18,2.6420032e+18,6.5042875e+20,0,840484.71,0,840484.71,0,1.35e+21,81.399625,0,81.399625,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4226159e+09,-8.3677677e+10,-3.0134207e+10,-1.1159522e+10,-2.641816e+10,5.5797611e+08,1.320908e+09,2.29179e+10,2.29179e+10,2.3261075e+11,1.4538172e+10,4444884.6
8000,40,0,1.0308144e+08,3.9796849e+16,4.4633011e+16,1.8055347e+21,0,9.6501185e+18,2.8056429e+18,4.32e+12,3.2379027e+16,1.011189e+18,3.0029596e+18,6.5808556e+20,0,1391468.3,0,1391468.3,0,1.35e+21,124.07436,-4.0267835e-08,124.07436,0,0,1.5323758e+08,-7.6779905e+11,8.1980252e+09,-9.6495186e+10,-2.8057422e+10,-1.0112389e+10,-3.002786e+10,5.0561943e+08,1.501393e+09,2.4987267e+10,2.4987267e+10,2.2592594e+11,1.4120371e+10,6113064.6
10000,50,0,1.2206704e+08,5.0444169e+16,6.0546006e+16,1.7989015e+21,0,1.0771727e+19,2.6154683e+18,4.32e+12,3.2668939e+16,9.1634727e+17,3.336472e+18,6.6352333e+20,0,2104918.8,0,2104918.8,0,1.35e+21,175.37762,8.1780883e-08,175.37762,0,0,1.4336773e+08,-5.7064813e+11,7.9486862e+09,-1.0771204e+11,-2.6155594e+10,-9.1639239e+09,-3.3363121e+10,4.5819619e+08,1.668156e+09,2.6797567e+10,2.6797567e+10,2.189044e+11,1.3681525e+10,8072283.4
12000,60,0,1.414085e+08,6.1504454e+16,7.8070883e+16,1.7939305e+21,0,1.1744667e+19,2.4409474e+18,4.32e+12,3.2837082e+16,8.3043947e+17,3.642542e+18,6.6744835e+20,0,2994433.1,0,2994433.1,0,1.35e+21,235.90825,3.4125975e-08,235.90825,0,0,1.3413441e+08,-4.3146117e+11,7.6861122e+09,-1.1744216e+11,-2.441031e+10,-8.3048033e+09,-3.6423958e+10,4.1524017e+08,1.8211979e+09,2.8364152e+10,2.8364152e+10,2.1183488e+11,1.323968e+10,10316682
14000,70,0,1.6089331e+08,7.3021178e+16,9.7072578e+16,1.7901431e+21,0,1.2581236e+19,2.2805043e+18,4.32e+12,3.2907312e+16,7.5262148e+17,3.9217061e+18,6.7032905e+20,0,4071703.4,0,4071703.4,0,1.35e+21,306.2933,0,306.2933,0,9.765625e-08,1.2549658e+08,-3.3142876e+11,7.4180289e+09,-1.258085e+11,-2.2805812e+10,-7.526585e+09,-3.9215731e+10,3.7632925e+08,1.9607865e+09,2.9704952e+10,2.9704952e+10,2.0489035e+11,1.2805647e+10,12836592
16000,80,0,1.8034337e+08,8.5027155e+16,1.1741941e+17,1.7872133e+21,0,1.3293825e+19,2.1327739e+18,4.32e+12,3.289745e+16,6.8212911e+17,4.1748411e+18,6.7248021e+20,0,5346636,0,5346636,0,1.35e+21,387.17371,0,387.17371,0,9.765625e-08,1.1741582e+08,-2.5826395e+11,7.1497115e+09,-1.3293497e+11,-2.1328448e+10,-6.8216264e+09,-4.1747208e+10,3.4108132e+08,2.0873604e+09,3.0838821e+10,3.0838821e+10,1.9817226e+11,1.2385766e+10,15619525
18000,90,0,1.9961128e+08,9.7546083e+16,1.3898442e+17,1.784916e+21,0,1.3894454e+19,1.9965629e+18,4.32e+12,3.2821291e+16,6.1827048e+17,4.4030383e+18,6.7411587e+20,0,6827479.5,0,6827479.5,0,1.35e+21,479.19275,-3.4412665e-08,479.19275,0,0,1.0985622e+08,-2.0382246e+11,6.8848015e+09,-1.389418e+11,-1.9966283e+10,-6.1830086e+09,-4.4029303e+10,3.0915043e+08,2.2014651e+09,3.1784543e+10,3.1784543e+10,1.9173753e+11,1.1983596e+10,18650997
