iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9130285e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363444e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,35111.746,0,35111.746,0,1.35e+21,4.304504,1.8798264e-08,4.304504,0,0,1.8712053e+08,-2.0950113e+12,8.7174195e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.211105e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.950329e+16,1.8188561e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286206e+16,1.2315018e+18,2.2544377e+18,6.3947308e+20,0,94923.681,0,94923.681,0,1.35e+21,10.17909,2.5984024e-08,10.17909,0,0,1.7506546e+08,-1.4698533e+12,8.6048677e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542376e+10,6.1578128e+08,1.1271188e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702220,2.9506624e+16,3.0475891e+16,1.8145451e+21,0,8.3684502e+18,3.0133113e+18,4.32e+12,3.1933876e+16,1.1158972e+18,2.6419972e+18,6.5042875e+20,0,182851.57,0,182851.57,0,1.35e+21,17.704418,1.9795959e-08,17.704418,0,0,1.6378786e+08,-1.0521478e+12,8.4225403e+09,-8.3677677e+10,-3.0134199e+10,-1.1159522e+10,-2.6418099e+10,5.5797611e+08,1.320905e+09,2.2917893e+10,2.2917893e+10,2.3261075e+11,1.4538172e+10,4444883.4
8000,40,0,1.0308138e+08,3.9796848e+16,4.4649291e+16,1.8055347e+21,0,9.6501183e+18,2.8056412e+18,4.32e+12,3.2378547e+16,1.011189e+18,3.0029469e+18,6.5808556e+20,0,302754.72,0,302754.72,0,1.35e+21,26.986172,3.8986734e-09,26.986172,0,0,1.5323758e+08,-7.6779907e+11,8.1979036e+09,-9.6495184e+10,-2.8057405e+10,-1.0112388e+10,-3.0027732e+10,5.0561942e+08,1.5013866e+09,2.4987252e+10,2.4987252e+10,2.2592594e+11,1.4120371e+10,6113061.3
10000,50,0,1.2206692e+08,5.0444166e+16,6.0575767e+16,1.7989015e+21,0,1.0771726e+19,2.6154654e+18,4.32e+12,3.2668205e+16,9.1634727e+17,3.336449e+18,6.6352333e+20,0,458044.84,0,458044.84,0,1.35e+21,38.14463,1.0933432e-07,38.14463,0,0,1.4336773e+08,-5.7064818e+11,7.9485077e+09,-1.0771204e+11,-2.6155564e+10,-9.1639239e+09,-3.3362891e+10,4.5819619e+08,1.6681445e+09,2.679754e+10,2.679754e+10,2.189044e+11,1.3681525e+10,8072275.9
12000,60,0,1.414083e+08,6.1504446e+16,7.8120324e+16,1.7939305e+21,0,1.1744666e+19,2.4409427e+18,4.32e+12,3.2836029e+16,8.3043947e+17,3.6425042e+18,6.6744834e+20,0,651701.62,0,651701.62,0,1.35e+21,51.310038,0,51.310038,0,9.765625e-08,1.3413441e+08,-4.3146124e+11,7.6858658e+09,-1.1744215e+11,-2.4410263e+10,-8.3048033e+09,-3.642358e+10,4.1524017e+08,1.821179e+09,2.8364107e+10,2.8364107e+10,2.1183488e+11,1.323968e+10,10316667
14000,70,0,1.6089297e+08,7.3021162e+16,9.71493e+16,1.7901431e+21,0,1.2581235e+19,2.2804973e+18,4.32e+12,3.2905869e+16,7.5262148e+17,3.9216482e+18,6.7032904e+20,0,886295.35,0,886295.35,0,1.35e+21,66.618779,0,66.618779,0,9.765625e-08,1.2549658e+08,-3.3142888e+11,7.4177036e+09,-1.2580848e+11,-2.2805742e+10,-7.526585e+09,-3.9215152e+10,3.7632925e+08,1.9607576e+09,2.9704884e+10,2.9704884e+10,2.0489035e+11,1.2805647e+10,12836564
16000,80,0,1.8034283e+08,8.5027124e+16,1.1753249e+17,1.7872133e+21,0,1.3293823e+19,2.1327641e+18,4.32e+12,3.2895541e+16,6.821291e+17,4.1747569e+18,6.7248019e+20,0,1164013.1,0,1164013.1,0,1.35e+21,84.210252,1.8575761e-08,84.210252,0,0,1.1741582e+08,-2.5826414e+11,7.1492966e+09,-1.3293496e+11,-2.132835e+10,-6.8216263e+09,-4.1746366e+10,3.4108132e+08,2.0873183e+09,3.0838721e+10,3.0838721e+10,1.9817226e+11,1.2385766e+10,15619478
18000,90,0,1.9961047e+08,9.7546029e+16,1.3914449e+17,1.784916e+21,0,1.3894451e+19,1.9965496e+18,4.32e+12,3.2818837e+16,6.1827047e+17,4.4029207e+18,6.7411586e+20,0,1486686.8,0,1486686.8,0,1.35e+21,104.22436,-3.7762433e-08,104.22436,0,0,1.0985622e+08,-2.0382274e+11,6.8842868e+09,-1.3894177e+11,-1.996615e+10,-6.1830085e+09,-4.4028126e+10,3.0915042e+08,2.2014063e+09,3.1784404e+10,3.1784404e+10,1.9173753e+11,1.1983596e+10,18650921
