iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9129127e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363455e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,61612.814,0,61612.814,0,1.35e+21,7.5534975,1.0761033e-07,7.5534974,0,0,1.8712053e+08,-2.0950113e+12,8.7174227e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111054e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220911,1.950329e+16,1.8187972e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286237e+16,1.2315018e+18,2.2544382e+18,6.3947308e+20,0,166565.66,0,166565.66,0,1.35e+21,17.862158,6.548543e-09,17.862158,0,0,1.7506546e+08,-1.4698533e+12,8.6048761e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542381e+10,6.1578128e+08,1.127119e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702225,2.9506624e+16,3.0474276e+16,1.8145451e+21,0,8.3684502e+18,3.0133115e+18,4.32e+12,3.1933936e+16,1.1158972e+18,2.6419984e+18,6.5042875e+20,0,320848.99,0,320848.99,0,1.35e+21,31.067524,0,31.067524,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225562e+09,-8.3677677e+10,-3.0134201e+10,-1.1159522e+10,-2.6418112e+10,5.5797611e+08,1.3209056e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.6
8000,40,0,1.0308139e+08,3.9796849e+16,4.4645875e+16,1.8055347e+21,0,9.6501184e+18,2.8056416e+18,4.32e+12,3.2378647e+16,1.011189e+18,3.0029495e+18,6.5808556e+20,0,531230.1,0,531230.1,0,1.35e+21,47.355045,-1.7272406e-08,47.355045,0,0,1.5323758e+08,-7.6779907e+11,8.1979291e+09,-9.6495184e+10,-2.8057409e+10,-1.0112388e+10,-3.0027759e+10,5.0561942e+08,1.5013879e+09,2.4987255e+10,2.4987255e+10,2.2592594e+11,1.4120371e+10,6113062
10000,50,0,1.2206695e+08,5.0444167e+16,6.0569522e+16,1.7989015e+21,0,1.0771727e+19,2.615466e+18,4.32e+12,3.2668359e+16,9.1634727e+17,3.3364538e+18,6.6352333e+20,0,803689.31,0,803689.31,0,1.35e+21,66.935788,1.2345289e-07,66.935788,0,0,1.4336773e+08,-5.7064817e+11,7.9485452e+09,-1.0771204e+11,-2.615557e+10,-9.1639239e+09,-3.3362939e+10,4.5819619e+08,1.668147e+09,2.6797546e+10,2.6797546e+10,2.189044e+11,1.3681525e+10,8072277.5
12000,60,0,1.4140834e+08,6.1504448e+16,7.8109948e+16,1.7939305e+21,0,1.1744666e+19,2.4409437e+18,4.32e+12,3.283625e+16,8.3043947e+17,3.6425122e+18,6.6744834e+20,0,1143447.1,0,1143447.1,0,1.35e+21,90.038306,1.1991503e-08,90.038306,0,0,1.3413441e+08,-4.3146123e+11,7.6859175e+09,-1.1744215e+11,-2.4410273e+10,-8.3048033e+09,-3.6423659e+10,4.1524017e+08,1.821183e+09,2.8364116e+10,2.8364116e+10,2.1183488e+11,1.323968e+10,10316670
14000,70,0,1.6089304e+08,7.3021165e+16,9.7133197e+16,1.7901431e+21,0,1.2581235e+19,2.2804988e+18,4.32e+12,3.2906172e+16,7.5262148e+17,3.9216603e+18,6.7032905e+20,0,1555003.8,0,1555003.8,0,1.35e+21,116.90192,0,116.90192,0,9.765625e-08,1.2549658e+08,-3.3142886e+11,7.4177719e+09,-1.2580849e+11,-2.2805757e+10,-7.526585e+09,-3.9215274e+10,3.7632925e+08,1.9607637e+09,2.9704898e+10,2.9704898e+10,2.0489035e+11,1.2805647e+10,12836570
16000,80,0,1.8034294e+08,8.5027131e+16,1.1750875e+17,1.7872133e+21,0,1.3293823e+19,2.1327661e+18,4.32e+12,3.2895942e+16,6.821291e+17,4.1747745e+18,6.724802e+20,0,2042185.3,0,2042185.3,0,1.35e+21,147.77126,0,147.77126,0,9.765625e-08,1.1741582e+08,-2.582641e+11,7.1493837e+09,-1.3293496e+11,-2.132837e+10,-6.8216263e+09,-4.1746543e+10,3.4108132e+08,2.0873272e+09,3.0838742e+10,3.0838742e+10,1.9817226e+11,1.2385766e+10,15619488
18000,90,0,1.9961064e+08,9.754604e+16,1.3911089e+17,1.784916e+21,0,1.3894452e+19,1.9965524e+18,4.32e+12,3.2819352e+16,6.1827047e+17,4.4029454e+18,6.7411586e+20,0,2608192.1,0,2608192.1,0,1.35e+21,182.89182,0,182.89182,0,9.765625e-08,1.0985622e+08,-2.0382269e+11,6.8843949e+09,-1.3894177e+11,-1.9966178e+10,-6.1830085e+09,-4.4028373e+10,3.0915042e+08,2.2014187e+09,3.1784433e+10,3.1784433e+10,1.9173753e+11,1.1983596e+10,18650937
20000,100,0,2.1857583e+08,1.1059385e+17,1.618195e+17,1.7830931e+21,0,1.4394514e+19,1.8708067e+18,4.32e+12,3.2687423e+16,5.6041922e+17,4.6073937e+18,6.7538327e+20,0,3255649.1,0,3255649.1,0,1.35e+21,222.50651,-3.6113448e-08,222.50651,0,0,1.0278416e+08,-1.6262955e+11,6.6253265e+09,-1.4394287e+11,-1.8708671e+10,-5.6044674e+09,-4.6072972e+10,2.8022337e+08,2.3036486e+09,3.2560119e+10,3.2560119e+10,1.8561518e+11,1.1600948e+10,21915123
22000,110,0,2.3714193e+08,1.2417998e+17,1.855206e+17,1.781632e+21,0,1.4804647e+19,1.7545981e+18,4.32e+12,3.2509194e+16,5.0800827e+17,4.789414e+18,6.7638474e+20,0,3986654.3,0,3986654.3,0,1.35e+21,266.85298,4.5441766e-08,266.85298,0,0,96168198,-1.3095326e+11,6.3739107e+09,-1.4804463e+11,-1.7546539e+10,-5.080332e+09,-4.7893284e+10,2.540166e+08,2.3946642e+09,3.3182992e+10,3.3182992e+10,1.7981666e+11,1.1238541e+10,25395510
24000,120,0,2.5523305e+08,1.3830841e+17,2.1010661e+17,1.7804511e+21,0,1.5134683e+19,1.6470977e+18,4.32e+12,3.2292246e+16,4.605242e+17,4.9503347e+18,6.7719206e+20,0,4802827.3,0,4802827.3,0,1.35e+21,316.16156,4.4045294e-08,316.16156,0,0,89978920,-1.0621655e+11,6.1313119e+09,-1.5134536e+11,-1.6471494e+10,-4.6054679e+09,-4.9502593e+10,2.3027339e+08,2.4751296e+09,3.3669132e+10,3.3669132e+10,1.7434246e+11,1.0896404e+10,29075278
26000,130,0,2.7279118e+08,1.529786e+17,2.3547642e+17,1.7794907e+21,0,1.5393639e+19,1.5475648e+18,4.32e+12,3.2043039e+16,4.1750215e+17,5.0914908e+18,6.7785601e+20,0,5705355.1,0,5705355.1,0,1.35e+21,370.65382,1.0940141e-07,370.65382,0,0,84188806,-8.6615843e+10,5.8982786e+09,-1.5393525e+11,-1.5476127e+10,-4.1752262e+09,-5.0914249e+10,2.0876131e+08,2.5457125e+09,3.4033435e+10,3.4033435e+10,1.6918624e+11,1.057414e+10,32937694
28000,140,0,2.8977376e+08,1.6818634e+17,2.6153538e+17,1.7787061e+21,0,1.5589742e+19,1.4553344e+18,4.32e+12,3.1767144e+16,3.7852126e+17,5.2142043e+18,6.7841284e+20,0,6695036.5,0,6695036.5,0,1.35e+21,430.54162,-1.1447696e-08,430.54162,0,0,78772115,-7.0872656e+10,5.6752503e+09,-1.5589658e+11,-1.4553788e+10,-3.785398e+09,-5.2141473e+10,1.892699e+08,2.6070737e+09,3.4289616e+10,3.4289616e+10,1.6433753e+11,1.0271096e+10,36966415
30000,150,0,3.0615144e+08,1.8392443e+17,2.8819525e+17,1.7780635e+21,0,1.5730467e+19,1.3698081e+18,4.32e+12,3.1469413e+16,3.4320044e+17,5.3197703e+18,6.788886e+20,0,7772323.7,0,7772323.7,0,1.35e+21,496.0265,0,496.0265,0,9.765625e-08,73704762,-5.8069134e+10,5.4624351e+09,-1.573041e+11,-1.3698492e+10,-3.4321725e+09,-5.3197216e+10,1.7160862e+08,2.6598608e+09,3.4450232e+10,3.4450232e+10,1.5978348e+11,9.9864676e+09,41145709
32000,160,0,3.2190618e+08,2.0018334e+17,3.15374e+17,1.7775372e+21,0,1.5822584e+19,1.2904452e+18,4.32e+12,3.1154091e+16,3.1119468e+17,5.4094471e+18,6.7930211e+20,0,8937361.9,0,8937361.9,0,1.35e+21,567.29942,9.3451717e-09,567.29942,0,0,68964219,-4.7537973e+10,5.2598675e+09,-1.5822549e+11,-1.2904834e+10,-3.1120991e+09,-5.409406e+10,1.5560495e+08,2.704703e+09,3.4526741e+10,3.4526741e+10,1.5550999e+11,9.7193742e+09,45460639
34000,170,0,3.3702949e+08,2.1695174e+17,3.4299565e+17,1.7771069e+21,0,1.5872204e+19,1.2167563e+18,4.32e+12,3.0824911e+16,2.8219154e+17,5.4844487e+18,6.7966708e+20,0,10190026,0,10190026,0,1.35e+21,644.54077,1.0280814e-08,644.54077,0,0,64529407,-3.8787933e+10,5.0674517e+09,-1.5872188e+11,-1.2167918e+10,-2.8220534e+09,-5.4844147e+10,1.4110267e+08,2.7422073e+09,3.4529555e+10,3.4529555e+10,1.5150241e+11,9.4689005e+09,49897190
36000,180,0,3.5152093e+08,2.3421696e+17,3.7099004e+17,1.7767568e+21,0,1.5884831e+19,1.1482974e+18,4.32e+12,3.0485155e+16,2.5590814e+17,5.5459404e+18,6.7999354e+20,0,11529956,0,11529956,0,1.35e+21,727.92058,4.1889734e-08,727.92058,0,0,60380610,-3.1452861e+10,4.8849948e+09,-1.5884833e+11,-1.1483303e+10,-2.5592064e+09,-5.5459128e+10,1.2796032e+08,2.7729564e+09,3.446812e+10,3.446812e+10,1.4774606e+11,9.2341286e+09,54442361
38000,190,0,3.6538675e+08,2.519654e+17,3.9929256e+17,1.7764741e+21,0,1.5865416e+19,1.0846641e+18,4.32e+12,3.0137718e+16,2.3208832e+17,5.5950351e+18,6.8028887e+20,0,12956587,0,12956587,0,1.35e+21,817.59887,-2.5218469e-08,817.59887,0,0,56499381,-2.5256458e+10,4.7122324e+09,-1.5865433e+11,-1.0846947e+10,-2.3209965e+09,-5.5950135e+10,1.1604983e+08,2.7975067e+09,3.4350974e+10,3.4350974e+10,1.442265e+11,9.0141564e+09,59084226
40000,200,0,3.7863876e+08,2.7018285e+17,4.2784395e+17,1.7762486e+21,0,1.5818397e+19,1.025488e+18,4.32e+12,2.9785143e+16,2.1050012e+17,5.6327915e+18,6.8055854e+20,0,14469182,0,14469182,0,1.35e+21,913.72621,0,913.72621,0,9.765625e-08,52868464,-1.9987662e+10,4.5488494e+09,-1.5818426e+11,-1.0255165e+10,-2.105104e+09,-5.6327752e+10,1.052552e+08,2.8163876e+09,3.4185824e+10,3.4185824e+10,1.4092974e+11,8.808109e+09,63811960
42000,210,0,3.912933e+08,2.8885479e+17,4.5659001e+17,1.7760718e+21,0,1.5747748e+19,9.7043258e+17,4.32e+12,2.9429666e+16,1.9093351e+17,5.6602128e+18,6.808066e+20,0,16066856,0,16066856,0,1.35e+21,1016.4443,0,1016.4443,0,9.765625e-08,49471716,-1.5483281e+10,4.3944948e+09,-1.5747789e+11,-9.7045913e+09,-1.9094282e+09,-5.6602015e+10,95471410,2.8301008e+09,3.3979609e+10,3.3979609e+10,1.3784234e+11,8.6151466e+09,68615857
44000,220,0,4.033703e+08,3.0796663e+17,4.8548132e+17,1.7759368e+21,0,1.5657023e+19,9.1918977e+17,4.32e+12,2.9073246e+16,1.7319826e+17,5.6782469e+18,6.810361e+20,0,17748602,0,17748602,0,1.35e+21,1125.8865,-1.5472551e-08,1125.8865,0,0,46294034,-1.1615625e+10,4.2487953e+09,-1.5657072e+11,-9.1921449e+09,-1.732067e+09,-5.67824e+10,86603351,2.83912e+09,3.3738562e+10,3.3738562e+10,1.3495148e+11,8.4344677e+09,73487313
46000,230,0,4.1489257e+08,3.2750391e+17,5.14473e+17,1.7758377e+21,0,1.5549388e+19,8.7147726e+17,4.32e+12,2.8717593e+16,1.5712213e+17,5.6877858e+18,6.8124934e+20,0,19513315,0,19513315,0,1.35e+21,1242.1788,-8.8909928e-09,1242.1788,0,0,43321291,-8.2836056e+09,4.1113639e+09,-1.5549445e+11,-8.7150028e+09,-1.5712978e+09,-5.687783e+10,78564891,2.8438915e+09,3.3468275e+10,3.3468275e+10,1.3224498e+11,8.2653115e+09,78418812
48000,240,0,4.2588509e+08,3.4745247e+17,5.4352444e+17,1.7757696e+21,0,1.5427664e+19,8.2703587e+17,4.32e+12,2.8364193e+16,1.4254912e+17,5.6896675e+18,6.8144806e+20,0,21359811,0,21359811,0,1.35e+21,1365.4404,0,1365.4404,0,9.765625e-08,40540269,-5.4062779e+09,3.9818085e+09,-1.5427728e+11,-8.2705731e+09,-1.4255605e+09,-5.6896683e+10,71278027,2.8448342e+09,3.3173748e+10,3.3173748e+10,1.2971133e+11,8.1069583e+09,83403882
50000,250,0,4.3637442e+08,3.6779857e+17,5.7259902e+17,1.7757283e+21,0,1.5294356e+19,7.8562735e+17,4.32e+12,2.801433e+16,1.2933795e+17,5.6846761e+18,6.8163361e+20,0,23286848,0,23286848,0,1.35e+21,1495.7845,-1.4609213e-08,1495.7845,0,0,37938603,-2.9181063e+09,3.859737e+09,-1.5294425e+11,-7.8564733e+09,-1.2934424e+09,-5.6846802e+10,64672121,2.8423401e+09,3.2859447e+10,3.2859447e+10,1.2733966e+11,7.9587288e+09,88437060
52000,260,0,4.4638823e+08,3.88529e+17,6.0166389e+17,1.7757102e+21,0,1.5151684e+19,7.4703243e+17,4.32e+12,2.766911e+16,1.1736069e+17,5.6735442e+18,6.8180706e+20,0,25293138,0,25293138,0,1.35e+21,1633.3189,-3.7310429e-08,1633.3189,0,0,35504727,-7.6546331e+08,3.7447624e+09,-1.5151758e+11,-7.4705106e+09,-1.1736639e+09,-5.6735511e+10,58683194,2.8367756e+09,3.2529346e+10,3.2529346e+10,1.2511973e+11,7.8199832e+09,93513835
54000,270,0,4.5595485e+08,4.0963117e+17,6.306897e+17,1.7757121e+21,0,1.5001612e+19,7.1104905e+17,4.32e+12,2.7329474e+16,1.0650144e+17,5.6569536e+18,6.8196924e+20,0,27377368,0,27377368,0,1.35e+21,1778.147,0,1778.147,0,1.953125e-07,33227819,1.0959831e+09,3.6365063e+09,-1.5001688e+11,-7.1106642e+09,-1.0650661e+09,-5.6569632e+10,53253304,2.8284816e+09,3.2186979e+10,3.2186979e+10,1.2304192e+11,7.69012e+09,98630597
56000,280,0,4.6510291e+08,4.3109319e+17,6.5965038e+17,1.7757313e+21,0,1.484587e+19,6.7749083e+17,4.32e+12,2.6996217e+16,9.6655255e+16,5.6355381e+18,6.8212083e+20,0,29538210,0,29538210,0,1.35e+21,1930.3681,5.1085863e-08,1930.3681,0,0,31097755,2.7032371e+09,3.5346007e+09,-1.4845949e+11,-6.7750703e+09,-9.6659942e+08,-5.63555e+10,48329971,2.817775e+09,3.1835475e+10,3.1835475e+10,1.2109718e+11,7.568574e+09,1.0378458e+08
58000,290,0,4.7386105e+08,4.5290386e+17,6.8852289e+17,1.7757654e+21,0,1.4685981e+19,6.4618568e+17,4.32e+12,2.6670002e+16,8.7727073e+16,5.609885e+18,6.8226242e+20,0,31774333,0,31774333,0,1.35e+21,2090.0787,-3.3733158e-08,2090.0787,0,0,29105066,4.0874702e+09,3.4386908e+09,-1.4686062e+11,-6.462008e+09,-8.7731322e+08,-5.6098987e+10,43865661,2.8049494e+09,3.1477596e+10,3.1477596e+10,1.1927704e+11,7.4548147e+09,1.0897379e+08
