iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001412e+15,7.9125764e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363486e+16,1.3591407e+18,1.8424329e+18,6.235428e+20,0,138555.68,0,138555.68,0,1.35e+21,16.987123,1.2156314e-07,16.987123,0,0,1.8712053e+08,-2.0950113e+12,8.7174318e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422213e+10,6.7960387e+08,9.2111067e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220916,1.950329e+16,1.8186262e+16,1.8270175e+21,0,6.9176239e+18,3.2406603e+18,4.32e+12,3.1286326e+16,1.2315018e+18,2.2544396e+18,6.3947308e+20,0,374555.69,0,374555.69,0,1.35e+21,40.170355,-1.72125e-08,40.170355,0,0,1.7506546e+08,-1.4698533e+12,8.6049006e+09,-6.9168552e+10,-3.2407793e+10,-1.2315626e+10,-2.2542394e+10,6.1578128e+08,1.1271197e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.4
6000,30,0,84702240,2.9506624e+16,3.046959e+16,1.8145451e+21,0,8.3684502e+18,3.013312e+18,4.32e+12,3.193411e+16,1.1158972e+18,2.6420021e+18,6.5042875e+20,0,721449.01,0,721449.01,0,1.35e+21,69.868011,-4.0273704e-08,69.868012,0,0,1.6378786e+08,-1.0521478e+12,8.4226022e+09,-8.3677677e+10,-3.0134206e+10,-1.1159522e+10,-2.6418149e+10,5.5797611e+08,1.3209074e+09,2.2917899e+10,2.2917899e+10,2.3261075e+11,1.4538172e+10,4444884.4
8000,40,0,1.0308143e+08,3.9796849e+16,4.4635958e+16,1.8055347e+21,0,9.6501185e+18,2.8056426e+18,4.32e+12,3.237894e+16,1.011189e+18,3.0029573e+18,6.5808556e+20,0,1194422.4,0,1194422.4,0,1.35e+21,106.49715,3.4535503e-09,106.49715,0,0,1.5323758e+08,-7.6779906e+11,8.1980032e+09,-9.6495185e+10,-2.8057419e+10,-1.0112388e+10,-3.0027836e+10,5.0561942e+08,1.5013918e+09,2.4987264e+10,2.4987264e+10,2.2592594e+11,1.4120371e+10,6113064
10000,50,0,1.2206702e+08,5.0444169e+16,6.0551393e+16,1.7989015e+21,0,1.0771727e+19,2.6154678e+18,4.32e+12,3.2668806e+16,9.1634727e+17,3.3364678e+18,6.6352333e+20,0,1806882.7,0,1806882.7,0,1.35e+21,150.53245,8.891277e-08,150.53245,0,0,1.4336773e+08,-5.7064814e+11,7.9486539e+09,-1.0771204e+11,-2.6155588e+10,-9.1639239e+09,-3.3363079e+10,4.5819619e+08,1.668154e+09,2.6797562e+10,2.6797562e+10,2.189044e+11,1.3681525e+10,8072282.1
12000,60,0,1.4140847e+08,6.1504452e+16,7.8079831e+16,1.7939305e+21,0,1.1744667e+19,2.4409465e+18,4.32e+12,3.2836891e+16,8.3043947e+17,3.6425352e+18,6.6744835e+20,0,2570516.3,0,2570516.3,0,1.35e+21,202.48791,0,202.48791,0,9.765625e-08,1.3413441e+08,-4.3146118e+11,7.6860676e+09,-1.1744216e+11,-2.4410302e+10,-8.3048033e+09,-3.6423889e+10,4.1524017e+08,1.8211945e+09,2.8364143e+10,2.8364143e+10,2.1183488e+11,1.323968e+10,10316679
14000,70,0,1.6089325e+08,7.3021175e+16,9.7086462e+16,1.7901431e+21,0,1.2581236e+19,2.280503e+18,4.32e+12,3.2907051e+16,7.5262148e+17,3.9216956e+18,6.7032905e+20,0,3495378.5,0,3495378.5,0,1.35e+21,262.90174,0,262.90174,0,9.765625e-08,1.2549658e+08,-3.3142878e+11,7.41797e+09,-1.2580849e+11,-2.2805799e+10,-7.526585e+09,-3.9215626e+10,3.7632925e+08,1.9607813e+09,2.970494e+10,2.970494e+10,2.0489035e+11,1.2805647e+10,12836587
16000,80,0,1.8034327e+08,8.502715e+16,1.1743987e+17,1.7872133e+21,0,1.3293824e+19,2.1327721e+18,4.32e+12,3.2897105e+16,6.821291e+17,4.1748258e+18,6.724802e+20,0,4589995.5,0,4589995.5,0,1.35e+21,332.32408,-4.7011213e-09,332.32408,0,0,1.1741582e+08,-2.5826399e+11,7.1496364e+09,-1.3293497e+11,-2.132843e+10,-6.8216264e+09,-4.1747056e+10,3.4108132e+08,2.0873528e+09,3.0838803e+10,3.0838803e+10,1.9817226e+11,1.2385766e+10,15619516
18000,90,0,1.9961113e+08,9.7546073e+16,1.3901338e+17,1.784916e+21,0,1.3894453e+19,1.9965605e+18,4.32e+12,3.2820847e+16,6.1827048e+17,4.403017e+18,6.7411587e+20,0,5861474.2,0,5861474.2,0,1.35e+21,411.30706,-4.5597517e-08,411.30706,0,0,1.0985622e+08,-2.0382252e+11,6.8847084e+09,-1.3894179e+11,-1.9966259e+10,-6.1830085e+09,-4.402909e+10,3.0915043e+08,2.2014545e+09,3.1784518e+10,3.1784518e+10,1.9173753e+11,1.1983596e+10,18650983
