iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971023,9.7001407e+15,7.9078101e+15,1.844626e+21,0,5.2931978e+18,3.4903334e+18,4.32e+12,3.0363938e+16,1.3591407e+18,1.8424365e+18,6.235428e+20,0,1228773.3,0,1228773.3,0,1.35e+21,150.74009,1.0767633e-07,150.74009,0,0,1.8712053e+08,-2.0950113e+12,8.7175613e+09,-5.2923424e+10,-3.4904644e+10,-1.3592077e+10,-1.842225e+10,6.7960387e+08,9.2111251e+08,1.7972133e+10,1.7972133e+10,2.4274053e+11,1.5171283e+10,1978860.9
4000,20,0,67220981,1.9503289e+16,1.8162038e+16,1.8270175e+21,0,6.917624e+18,3.240663e+18,4.32e+12,3.1287587e+16,1.2315018e+18,2.2544587e+18,6.3947308e+20,0,3319301.3,0,3319301.3,0,1.35e+21,356.46313,-5.8763021e-09,356.46313,0,0,1.7506546e+08,-1.4698533e+12,8.6052474e+09,-6.9168553e+10,-3.240782e+10,-1.2315626e+10,-2.2542586e+10,6.1578128e+08,1.1271293e+09,2.0579513e+10,2.0579513e+10,2.3848026e+11,1.4905016e+10,3068632.4
6000,30,0,84702445,2.9506623e+16,3.0403246e+16,1.8145451e+21,0,8.3684507e+18,3.0133191e+18,4.32e+12,3.1936579e+16,1.1158972e+18,2.6420545e+18,6.5042875e+20,0,6388047.7,0,6388047.7,0,1.35e+21,619.9938,0,619.9938,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.4232531e+09,-8.3677682e+10,-3.0134277e+10,-1.1159522e+10,-2.6418672e+10,5.5797611e+08,1.3209336e+09,2.2917962e+10,2.2917962e+10,2.3261075e+11,1.4538172e+10,4444895.2
8000,40,0,1.0308191e+08,3.9796855e+16,4.4495671e+16,1.8055347e+21,0,9.6501198e+18,2.8056571e+18,4.32e+12,3.2383074e+16,1.0111891e+18,3.003067e+18,6.5808557e+20,0,10565743,0,10565743,0,1.35e+21,945.03314,-4.7224944e-08,945.03314,0,0,1.5323758e+08,-7.6779888e+11,8.1990496e+09,-9.6495199e+10,-2.8057564e+10,-1.0112389e+10,-3.0028933e+10,5.0561943e+08,1.5014466e+09,2.4987395e+10,2.4987395e+10,2.2592594e+11,1.4120371e+10,6113092.8
10000,50,0,1.2206799e+08,5.0444193e+16,6.0295138e+16,1.7989015e+21,0,1.077173e+19,2.6154932e+18,4.32e+12,3.2675116e+16,9.1634729e+17,3.3366659e+18,6.6352335e+20,0,15966044,0,15966044,0,1.35e+21,1335.7935,5.4373686e-08,1335.7935,0,0,1.4336773e+08,-5.7064778e+11,7.9501888e+09,-1.0771207e+11,-2.6155842e+10,-9.1639241e+09,-3.336506e+10,4.581962e+08,1.668253e+09,2.6797799e+10,2.6797799e+10,2.189044e+11,1.3681525e+10,8072346.7
12000,60,0,1.4141023e+08,6.1504517e+16,7.7654484e+16,1.7939305e+21,0,1.1744673e+19,2.4409868e+18,4.32e+12,3.2845935e+16,8.304395e+17,3.6428601e+18,6.6744838e+20,0,22685967,0,22685967,0,1.35e+21,1796.8363,-2.3280791e-08,1796.8363,0,0,1.3413441e+08,-4.3146053e+11,7.6881842e+09,-1.1744221e+11,-2.4410705e+10,-8.3048037e+09,-3.6427137e+10,4.1524018e+08,1.8213569e+09,2.836453e+10,2.836453e+10,2.118349e+11,1.3239681e+10,10316808
14000,70,0,1.608962e+08,7.3021314e+16,9.6427059e+16,1.7901431e+21,0,1.2581245e+19,2.2805628e+18,4.32e+12,3.2919428e+16,7.5262153e+17,3.9221929e+18,6.7032911e+20,0,30806598,0,30806598,0,1.35e+21,2332.9383,0,2332.9383,0,9.765625e-08,1.2549658e+08,-3.3142771e+11,7.4207598e+09,-1.2580859e+11,-2.2806397e+10,-7.5265855e+09,-3.9220599e+10,3.7632927e+08,1.9610299e+09,2.9705531e+10,2.9705531e+10,2.0489037e+11,1.2805648e+10,12836822
16000,80,0,1.8034791e+08,8.5027416e+16,1.16469e+17,1.7872133e+21,0,1.329384e+19,2.1328564e+18,4.32e+12,3.2913449e+16,6.8212917e+17,4.1755488e+18,6.724803e+20,0,40393953,0,40393953,0,1.35e+21,2948.9821,2.4331712e-08,2948.9821,0,0,1.1741582e+08,-2.5826234e+11,7.1531882e+09,-1.3293513e+11,-2.1329273e+10,-6.821627e+09,-4.1754284e+10,3.4108135e+08,2.0877142e+09,3.083966e+10,3.083966e+10,1.9817229e+11,1.2385768e+10,15619918
18000,90,0,1.996181e+08,9.7546541e+16,1.3764072e+17,1.784916e+21,0,1.3894477e+19,1.9966746e+18,4.32e+12,3.2841822e+16,6.1827056e+17,4.404026e+18,6.7411602e+20,0,51499916,0,51499916,0,1.35e+21,3649.8685,1.3147201e-08,3649.8685,0,0,1.0985622e+08,-2.0382011e+11,6.8891076e+09,-1.3894203e+11,-1.99674e+10,-6.1830094e+09,-4.4039178e+10,3.0915047e+08,2.2019589e+09,3.1785711e+10,3.1785711e+10,1.9173758e+11,1.1983599e+10,18651634
