iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971014,9.7001412e+15,7.9117357e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363566e+16,1.3591407e+18,1.8424335e+18,6.235428e+20,0,330884.26,0,330884.26,0,1.35e+21,40.571187,4.8313076e-08,40.571187,0,0,1.8712053e+08,-2.0950113e+12,8.7174546e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.842222e+10,6.7960387e+08,9.21111e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220927,1.950329e+16,1.8181987e+16,1.8270175e+21,0,6.9176239e+18,3.2406607e+18,4.32e+12,3.1286548e+16,1.2315018e+18,2.2544429e+18,6.3947308e+20,0,894359.71,0,894359.71,0,1.35e+21,95.940847,-2.9293815e-08,95.940847,0,0,1.7506546e+08,-1.4698533e+12,8.6049618e+09,-6.9168552e+10,-3.2407798e+10,-1.2315626e+10,-2.2542428e+10,6.1578128e+08,1.1271214e+09,2.0579494e+10,2.0579494e+10,2.3848026e+11,1.4905016e+10,3068629.9
6000,30,0,84702276,2.9506624e+16,3.0457878e+16,1.8145451e+21,0,8.3684503e+18,3.0133133e+18,4.32e+12,3.1934546e+16,1.1158972e+18,2.6420114e+18,6.5042875e+20,0,1722410.2,0,1722410.2,0,1.35e+21,166.86923,-3.3347817e-08,166.86923,0,0,1.6378786e+08,-1.0521478e+12,8.4227172e+09,-8.3677678e+10,-3.0134218e+10,-1.1159522e+10,-2.6418241e+10,5.5797611e+08,1.3209121e+09,2.291791e+10,2.291791e+10,2.3261075e+11,1.4538172e+10,4444886.3
8000,40,0,1.0308151e+08,3.979685e+16,4.4611178e+16,1.8055347e+21,0,9.6501187e+18,2.8056452e+18,4.32e+12,3.2379671e+16,1.011189e+18,3.0029767e+18,6.5808556e+20,0,2851114.9,0,2851114.9,0,1.35e+21,254.35243,-4.0358316e-08,254.35243,0,0,1.5323758e+08,-7.6779902e+11,8.1981882e+09,-9.6495188e+10,-2.8057445e+10,-1.0112389e+10,-3.002803e+10,5.0561943e+08,1.5014015e+09,2.4987287e+10,2.4987287e+10,2.2592594e+11,1.4120371e+10,6113069.1
10000,50,0,1.2206719e+08,5.0444173e+16,6.0506103e+16,1.7989015e+21,0,1.0771727e+19,2.6154723e+18,4.32e+12,3.2669923e+16,9.1634728e+17,3.3365028e+18,6.6352333e+20,0,4312239.9,0,4312239.9,0,1.35e+21,359.52415,-9.899054e-09,359.52415,0,0,1.4336773e+08,-5.7064808e+11,7.9489255e+09,-1.0771205e+11,-2.6155633e+10,-9.1639239e+09,-3.3363429e+10,4.581962e+08,1.6681715e+09,2.6797604e+10,2.6797604e+10,2.189044e+11,1.3681525e+10,8072293.5
12000,60,0,1.4140878e+08,6.1504464e+16,7.8004605e+16,1.7939305e+21,0,1.1744668e+19,2.4409537e+18,4.32e+12,3.2838493e+16,8.3043947e+17,3.6425926e+18,6.6744835e+20,0,6133377.3,0,6133377.3,0,1.35e+21,483.61199,2.2766642e-08,483.61199,0,0,1.3413441e+08,-4.3146106e+11,7.6864425e+09,-1.1744217e+11,-2.4410373e+10,-8.3048034e+09,-3.6424464e+10,4.1524017e+08,1.8212232e+09,2.8364212e+10,2.8364212e+10,2.1183489e+11,1.323968e+10,10316702
14000,70,0,1.6089377e+08,7.30212e+16,9.6969755e+16,1.7901431e+21,0,1.2581237e+19,2.2805136e+18,4.32e+12,3.2909245e+16,7.5262149e+17,3.9217836e+18,6.7032906e+20,0,8338151.4,0,8338151.4,0,1.35e+21,627.90146,0,627.90146,0,9.765625e-08,1.2549658e+08,-3.3142859e+11,7.4184647e+09,-1.2580851e+11,-2.2805905e+10,-7.5265851e+09,-3.9216506e+10,3.7632925e+08,1.9608253e+09,2.9705045e+10,2.9705045e+10,2.0489036e+11,1.2805647e+10,12836628
16000,80,0,1.8034409e+08,8.5027197e+16,1.172679e+17,1.7872133e+21,0,1.3293827e+19,2.132787e+18,4.32e+12,3.2900006e+16,6.8212912e+17,4.1749539e+18,6.7248022e+20,0,10946462,0,10946462,0,1.35e+21,793.7065,0,793.7065,0,9.765625e-08,1.1741582e+08,-2.582637e+11,7.1502669e+09,-1.32935e+11,-2.1328579e+10,-6.8216265e+09,-4.1748337e+10,3.4108132e+08,2.0874168e+09,3.0838955e+10,3.0838955e+10,1.9817227e+11,1.2385767e+10,15619587
18000,90,0,1.9961237e+08,9.7546156e+16,1.3877003e+17,1.784916e+21,0,1.3894458e+19,1.9965808e+18,4.32e+12,3.2824575e+16,6.1827049e+17,4.403196e+18,6.741159e+20,0,13974744,0,13974744,0,1.35e+21,982.34586,-3.3586957e-08,982.34586,0,0,1.0985622e+08,-2.0382209e+11,6.8854904e+09,-1.3894183e+11,-1.9966462e+10,-6.1830087e+09,-4.4030879e+10,3.0915043e+08,2.2015439e+09,3.178473e+10,3.178473e+10,1.9173754e+11,1.1983596e+10,18651098
20000,100,0,2.1857833e+08,1.1059404e+17,1.6135266e+17,1.7830931e+21,0,1.4394522e+19,1.8708439e+18,4.32e+12,3.2693979e+16,5.6041925e+17,4.6077325e+18,6.7538333e+20,0,17436231,0,17436231,0,1.35e+21,1195.1244,-3.5735411e-08,1195.1244,0,0,1.0278416e+08,-1.6262871e+11,6.6266553e+09,-1.4394296e+11,-1.8709043e+10,-5.6044677e+09,-4.607636e+10,2.8022339e+08,2.303818e+09,3.2560519e+10,3.2560519e+10,1.8561519e+11,1.1600949e+10,21915375
22000,110,0,2.3714545e+08,1.2418028e+17,1.8489834e+17,1.781632e+21,0,1.480466e+19,1.7546456e+18,4.32e+12,3.2517265e+16,5.0800831e+17,4.7898597e+18,6.7638482e+20,0,21341217,0,21341217,0,1.35e+21,1433.3186,3.2240905e-08,1433.3186,0,0,96168198,-1.3095213e+11,6.375493e+09,-1.4804475e+11,-1.7547014e+10,-5.0803324e+09,-4.789774e+10,2.5401662e+08,2.394887e+09,3.3183517e+10,3.3183517e+10,1.7981668e+11,1.1238543e+10,25395887
24000,120,0,2.5523785e+08,1.3830886e+17,2.0929595e+17,1.7804512e+21,0,1.51347e+19,1.6471571e+18,4.32e+12,3.2302017e+16,4.6052424e+17,4.9509077e+18,6.7719216e+20,0,25697319,0,25697319,0,1.35e+21,1698.1659,-4.79356e-08,1698.1659,0,0,89978920,-1.0621505e+11,6.1331669e+09,-1.5134553e+11,-1.6472088e+10,-4.6054683e+09,-4.9508322e+10,2.3027341e+08,2.4754161e+09,3.3669805e+10,3.3669805e+10,1.7434249e+11,1.0896406e+10,29075824
26000,130,0,2.7279758e+08,1.5297927e+17,2.3444079e+17,1.7794907e+21,0,1.5393661e+19,1.5476376e+18,4.32e+12,3.2054697e+16,4.175022e+17,5.0922132e+18,6.7785616e+20,0,30509718,0,30509718,0,1.35e+21,1990.8567,1.0402664e-07,1990.8567,0,0,84188806,-8.6613902e+10,5.9004245e+09,-1.5393548e+11,-1.5476854e+10,-4.1752267e+09,-5.0921472e+10,2.0876134e+08,2.5460736e+09,3.4034283e+10,3.4034283e+10,1.6918628e+11,1.0574142e+10,32938468
28000,140,0,2.8978213e+08,1.6818728e+17,2.6023465e+17,1.7787062e+21,0,1.5589771e+19,1.4554222e+18,4.32e+12,3.1780882e+16,3.7852132e+17,5.2150997e+18,6.7841304e+20,0,35781404,0,35781404,0,1.35e+21,2312.5291,-3.4278855e-09,2312.5291,0,0,78772115,-7.0870195e+10,5.6777043e+09,-1.5589688e+11,-1.4554665e+10,-3.7853987e+09,-5.2150426e+10,1.8926993e+08,2.6075213e+09,3.4290665e+10,3.4290665e+10,1.6433758e+11,1.0271099e+10,36967483
30000,150,0,3.061622e+08,1.8392573e+17,2.8658565e+17,1.7780636e+21,0,1.5730505e+19,1.3699123e+18,4.32e+12,3.1485422e+16,3.4320052e+17,5.3208636e+18,6.7888885e+20,0,41513397,0,41513397,0,1.35e+21,2664.266,-1.2844339e-08,2664.266,0,0,73704762,-5.8066067e+10,5.4652138e+09,-1.5730448e+11,-1.3699535e+10,-3.4321733e+09,-5.3208148e+10,1.7160866e+08,2.6604074e+09,3.4451512e+10,3.4451512e+10,1.5978354e+11,9.9864713e+09,41147155
32000,160,0,3.2191979e+08,2.001851e+17,3.1340819e+17,1.7775373e+21,0,1.5822632e+19,1.2905676e+18,4.32e+12,3.1172566e+16,3.1119477e+17,5.4107646e+18,6.7930242e+20,0,47704964,0,47704964,0,1.35e+21,3047.0937,0,3047.0937,0,9.765625e-08,68964219,-4.7534208e+10,5.2629864e+09,-1.5822597e+11,-1.2906058e+10,-3.1121e+09,-5.4107234e+10,1.55605e+08,2.7053617e+09,3.4528281e+10,3.4528281e+10,1.5551006e+11,9.7193787e+09,45462560
34000,170,0,3.3704647e+08,2.1695409e+17,3.406227e+17,1.7771071e+21,0,1.5872263e+19,1.2168985e+18,4.32e+12,3.0846044e+16,2.8219165e+17,5.4860179e+18,6.7966747e+20,0,54353818,0,54353818,0,1.35e+21,3461.9814,0,3461.9814,0,9.765625e-08,64529407,-3.878337e+10,5.0709257e+09,-1.5872248e+11,-1.216934e+10,-2.8220545e+09,-5.4859837e+10,1.4110272e+08,2.7429919e+09,3.4531389e+10,3.4531389e+10,1.515025e+11,9.468906e+09,49899702
