iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971028,9.7001405e+15,7.9057779e+15,1.844626e+21,0,5.2931978e+18,3.4903337e+18,4.32e+12,3.036413e+16,1.3591407e+18,1.8424381e+18,6.235428e+20,0,1693497.5,0,1693497.5,0,1.35e+21,207.80363,1.8590526e-08,207.80363,0,0,1.8712053e+08,-2.0950113e+12,8.7176165e+09,-5.2923424e+10,-3.4904646e+10,-1.3592077e+10,-1.8422266e+10,6.7960387e+08,9.2111329e+08,1.7972134e+10,1.7972134e+10,2.4274053e+11,1.5171283e+10,1978861.1
4000,20,0,67221009,1.9503288e+16,1.8151716e+16,1.8270175e+21,0,6.9176241e+18,3.2406641e+18,4.32e+12,3.1288124e+16,1.2315019e+18,2.2544669e+18,6.3947308e+20,0,4573242.4,0,4573242.4,0,1.35e+21,491.40429,-1.1996121e-08,491.40429,0,0,1.7506546e+08,-1.4698533e+12,8.605395e+09,-6.9168553e+10,-3.2407831e+10,-1.2315626e+10,-2.2542667e+10,6.1578128e+08,1.1271334e+09,2.0579523e+10,2.0579523e+10,2.3848026e+11,1.4905016e+10,3068633.7
6000,30,0,84702533,2.9506623e+16,3.0375e+16,1.8145451e+21,0,8.368451e+18,3.0133222e+18,4.32e+12,3.1937629e+16,1.1158972e+18,2.6420768e+18,6.5042875e+20,0,8798100.5,0,8798100.5,0,1.35e+21,854.69604,0,854.69604,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.42353e+09,-8.3677684e+10,-3.0134307e+10,-1.1159522e+10,-2.6418895e+10,5.5797611e+08,1.3209447e+09,2.2917988e+10,2.2917988e+10,2.3261076e+11,1.4538172e+10,4444899.8
8000,40,0,1.0308212e+08,3.9796857e+16,4.4436001e+16,1.8055347e+21,0,9.6501204e+18,2.8056633e+18,4.32e+12,3.238483e+16,1.0111891e+18,3.0031136e+18,6.5808557e+20,0,14545937,0,14545937,0,1.35e+21,1302.781,-2.2321728e-08,1302.781,0,0,1.5323758e+08,-7.677988e+11,8.199494e+09,-9.6495205e+10,-2.8057626e+10,-1.0112389e+10,-3.0029399e+10,5.0561943e+08,1.50147e+09,2.4987451e+10,2.4987451e+10,2.2592594e+11,1.4120372e+10,6113105.1
10000,50,0,1.2206841e+08,5.0444203e+16,6.0186254e+16,1.7989015e+21,0,1.0771731e+19,2.6155039e+18,4.32e+12,3.2677792e+16,9.163473e+17,3.3367501e+18,6.6352335e+20,0,21970341,0,21970341,0,1.35e+21,1841.4662,1.0902272e-07,1841.4662,0,0,1.4336773e+08,-5.7064762e+11,7.9508398e+09,-1.0771208e+11,-2.615595e+10,-9.1639242e+09,-3.3365901e+10,4.5819621e+08,1.6682951e+09,2.6797899e+10,2.6797899e+10,2.1890441e+11,1.3681525e+10,8072374.1
12000,60,0,1.4141098e+08,6.1504544e+16,7.7473962e+16,1.7939305e+21,0,1.1744675e+19,2.4410039e+18,4.32e+12,3.2849764e+16,8.3043951e+17,3.6429979e+18,6.674484e+20,0,31201178,0,31201178,0,1.35e+21,2477.0402,-4.7020421e-08,2477.0402,0,0,1.3413441e+08,-4.3146025e+11,7.6890803e+09,-1.1744224e+11,-2.4410876e+10,-8.3048038e+09,-3.6428516e+10,4.1524019e+08,1.8214258e+09,2.8364694e+10,2.8364694e+10,2.118349e+11,1.3239681e+10,10316862
14000,70,0,1.6089744e+08,7.3021373e+16,9.6147559e+16,1.7901431e+21,0,1.258125e+19,2.2805881e+18,4.32e+12,3.2924659e+16,7.5262155e+17,3.9224037e+18,6.7032914e+20,0,42345529,0,42345529,0,1.35e+21,3216.0883,0,3216.0883,0,1.953125e-07,1.2549658e+08,-3.3142726e+11,7.4219387e+09,-1.2580863e+11,-2.2806651e+10,-7.5265857e+09,-3.9222706e+10,3.7632928e+08,1.9611353e+09,2.9705781e+10,2.9705781e+10,2.0489038e+11,1.2805649e+10,12836922
16000,80,0,1.8034987e+08,8.5027528e+16,1.1605806e+17,1.7872133e+21,0,1.3293847e+19,2.1328921e+18,4.32e+12,3.2920342e+16,6.821292e+17,4.1758547e+18,6.7248035e+20,0,55488859,0,55488859,0,1.35e+21,4065.3418,0,4065.3418,0,9.765625e-08,1.1741582e+08,-2.5826165e+11,7.154686e+09,-1.329352e+11,-2.1329629e+10,-6.8216273e+09,-4.1757343e+10,3.4108136e+08,2.0878671e+09,3.0840022e+10,3.0840022e+10,1.981723e+11,1.2385769e+10,15620088
18000,90,0,1.9962105e+08,9.7546738e+16,1.3706059e+17,1.7849161e+21,0,1.3894488e+19,1.9967228e+18,4.32e+12,3.2850646e+16,6.182706e+17,4.4044522e+18,6.7411609e+20,0,70696299,0,70696299,0,1.35e+21,5031.5576,3.3710421e-08,5031.5576,0,0,1.0985622e+08,-2.038191e+11,6.8909585e+09,-1.3894213e+11,-1.9967882e+10,-6.1830098e+09,-4.4043439e+10,3.0915049e+08,2.202172e+09,3.1786215e+10,3.1786215e+10,1.9173759e+11,1.19836e+10,18651909
