iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971019,9.700141e+15,7.9098901e+15,1.844626e+21,0,5.2931978e+18,3.4903332e+18,4.32e+12,3.0363741e+16,1.3591407e+18,1.8424349e+18,6.235428e+20,0,753056.85,0,753056.85,0,1.35e+21,92.357171,-2.4645644e-08,92.357171,0,0,1.8712053e+08,-2.0950113e+12,8.7175048e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.8422234e+10,6.7960387e+08,9.2111171e+08,1.7972131e+10,1.7972131e+10,2.4274053e+11,1.5171283e+10,1978860.8
4000,20,0,67220953,1.9503289e+16,1.8172606e+16,1.8270175e+21,0,6.917624e+18,3.2406618e+18,4.32e+12,3.1287037e+16,1.2315018e+18,2.2544504e+18,6.3947308e+20,0,2034890.6,0,2034890.6,0,1.35e+21,218.40192,4.5982574e-08,218.40192,0,0,1.7506546e+08,-1.4698533e+12,8.6050961e+09,-6.9168552e+10,-3.2407808e+10,-1.2315626e+10,-2.2542502e+10,6.1578128e+08,1.1271251e+09,2.0579503e+10,2.0579503e+10,2.3848026e+11,1.4905016e+10,3068631.1
6000,30,0,84702356,2.9506624e+16,3.0432181e+16,1.8145451e+21,0,8.3684505e+18,3.013316e+18,4.32e+12,3.1935503e+16,1.1158972e+18,2.6420316e+18,6.5042875e+20,0,3917626.4,0,3917626.4,0,1.35e+21,379.86491,-4.2277577e-08,379.86491,0,0,1.6378786e+08,-1.0521478e+12,8.4229693e+09,-8.367768e+10,-3.0134246e+10,-1.1159522e+10,-2.6418444e+10,5.5797611e+08,1.3209222e+09,2.2917934e+10,2.2917934e+10,2.3261075e+11,1.4538172e+10,4444890.5
8000,40,0,1.030817e+08,3.9796852e+16,4.4556833e+16,1.8055347e+21,0,9.6501192e+18,2.8056508e+18,4.32e+12,3.2381272e+16,1.011189e+18,3.0030192e+18,6.5808556e+20,0,6482437.6,0,6482437.6,0,1.35e+21,579.0137,3.9053361e-08,579.0137,0,0,1.5323758e+08,-7.6779896e+11,8.1985936e+09,-9.6495193e+10,-2.8057501e+10,-1.0112389e+10,-3.0028455e+10,5.0561943e+08,1.5014227e+09,2.4987338e+10,2.4987338e+10,2.2592594e+11,1.4120371e+10,6113080.3
10000,50,0,1.2206757e+08,5.0444182e+16,6.0406813e+16,1.7989015e+21,0,1.0771728e+19,2.6154821e+18,4.32e+12,3.2672368e+16,9.1634729e+17,3.3365796e+18,6.6352334e+20,0,9800374.7,0,9800374.7,0,1.35e+21,818.4291,5.40158e-08,818.4291,0,0,1.4336773e+08,-5.7064794e+11,7.9495204e+09,-1.0771206e+11,-2.6155731e+10,-9.163924e+09,-3.3364197e+10,4.581962e+08,1.6682098e+09,2.6797696e+10,2.6797696e+10,2.189044e+11,1.3681525e+10,8072318.5
12000,60,0,1.4140946e+08,6.1504489e+16,7.7839764e+16,1.7939305e+21,0,1.174467e+19,2.4409693e+18,4.32e+12,3.2842e+16,8.3043949e+17,3.6427185e+18,6.6744837e+20,0,13932658,0,13932658,0,1.35e+21,1100.9058,-3.7538484e-08,1100.9058,0,0,1.3413441e+08,-4.3146081e+11,7.6872631e+09,-1.1744219e+11,-2.4410529e+10,-8.3048035e+09,-3.6425723e+10,4.1524018e+08,1.8212861e+09,2.8364362e+10,2.8364362e+10,2.1183489e+11,1.3239681e+10,10316752
14000,70,0,1.6089491e+08,7.3021254e+16,9.6714148e+16,1.7901431e+21,0,1.2581241e+19,2.2805368e+18,4.32e+12,3.2914046e+16,7.5262151e+17,3.9219764e+18,6.7032909e+20,0,18931130,0,18931130,0,1.35e+21,1429.3702,0,1429.3702,0,9.765625e-08,1.2549658e+08,-3.3142818e+11,7.4195467e+09,-1.2580855e+11,-2.2806137e+10,-7.5265853e+09,-3.9218434e+10,3.7632926e+08,1.9609217e+09,2.9705273e+10,2.9705273e+10,2.0489036e+11,1.2805648e+10,12836720
16000,80,0,1.8034589e+08,8.50273e+16,1.1689146e+17,1.7872133e+21,0,1.3293833e+19,2.1328197e+18,4.32e+12,3.2906348e+16,6.8212914e+17,4.1752342e+18,6.7248026e+20,0,24838793,0,24838793,0,1.35e+21,1806.8137,-4.9169557e-09,1806.8137,0,0,1.1741582e+08,-2.5826306e+11,7.151645e+09,-1.3293506e+11,-2.1328906e+10,-6.8216267e+09,-4.1751139e+10,3.4108134e+08,2.087557e+09,3.0839287e+10,3.0839287e+10,1.9817228e+11,1.2385767e+10,15619743
18000,90,0,1.9961507e+08,9.7546337e+16,1.3823766e+17,1.784916e+21,0,1.3894467e+19,1.996625e+18,4.32e+12,3.2832717e+16,6.1827052e+17,4.4035873e+18,6.7411596e+20,0,31690392,0,31690392,0,1.35e+21,2236.2386,1.3461886e-08,2236.2386,0,0,1.0985622e+08,-2.0382116e+11,6.887198e+09,-1.3894193e+11,-1.9966904e+10,-6.183009e+09,-4.4034791e+10,3.0915045e+08,2.2017396e+09,3.1785192e+10,3.1785192e+10,1.9173756e+11,1.1983597e+10,18651351
20000,100,0,2.1858224e+08,1.1059434e+17,1.6062406e+17,1.7830931e+21,0,1.4394536e+19,1.8709019e+18,4.32e+12,3.2704188e+16,5.6041929e+17,4.6082611e+18,6.7538341e+20,0,39513013,0,39513013,0,1.35e+21,2720.6157,-1.5781097e-08,2720.6157,0,0,1.0278416e+08,-1.626274e+11,6.6287243e+09,-1.4394309e+11,-1.8709623e+10,-5.6044681e+09,-4.6081645e+10,2.8022341e+08,2.3040822e+09,3.2561143e+10,3.2561143e+10,1.8561521e+11,1.1600951e+10,21915767
22000,110,0,2.3715093e+08,1.2418075e+17,1.8392793e+17,1.781632e+21,0,1.4804679e+19,1.7547196e+18,4.32e+12,3.2529817e+16,5.0800836e+17,4.7905545e+18,6.7638494e+20,0,48326677,0,48326677,0,1.35e+21,3262.8515,0,3262.8515,0,9.765625e-08,96168198,-1.3095035e+11,6.3779537e+09,-1.4804494e+11,-1.7547755e+10,-5.080333e+09,-4.7904688e+10,2.5401665e+08,2.3952344e+09,3.3184336e+10,3.3184336e+10,1.7981672e+11,1.1238545e+10,25396474
24000,120,0,2.5524533e+08,1.3830957e+17,2.0803278e+17,1.7804512e+21,0,1.5134726e+19,1.6472495e+18,4.32e+12,3.2317193e+16,4.6052431e+17,4.9518003e+18,6.7719233e+20,0,58144931,0,58144931,0,1.35e+21,3865.7633,3.6383881e-08,3865.7633,0,0,89978920,-1.0621271e+11,6.136048e+09,-1.513458e+11,-1.6473012e+10,-4.605469e+09,-4.9517247e+10,2.3027345e+08,2.4758623e+09,3.3670855e+10,3.3670855e+10,1.7434253e+11,1.0896408e+10,29076676
26000,130,0,2.7280755e+08,1.529803e+17,2.3282854e+17,1.7794908e+21,0,1.5393696e+19,1.5477508e+18,4.32e+12,3.2072781e+16,4.1750229e+17,5.0933373e+18,6.7785638e+20,0,68975419,0,68975419,0,1.35e+21,4532.062,0,4532.062,0,9.765625e-08,84188806,-8.6610876e+10,5.9037528e+09,-1.5393583e+11,-1.5477986e+10,-4.1752276e+09,-5.0932712e+10,2.0876138e+08,2.5466356e+09,3.4035603e+10,3.4035603e+10,1.6918633e+11,1.0574146e+10,32939671
28000,140,0,2.8979515e+08,1.6818874e+17,2.5821161e+17,1.7787063e+21,0,1.5589817e+19,1.4555585e+18,4.32e+12,3.1802158e+16,3.7852142e+17,5.2164914e+18,6.7841333e+20,0,80820427,0,80820427,0,1.35e+21,5264.3396,3.0804586e-08,5264.3396,0,0,78772115,-7.0866363e+10,5.6815052e+09,-1.5589734e+11,-1.4556029e+10,-3.7853997e+09,-5.2164342e+10,1.8926998e+08,2.6082171e+09,3.4292297e+10,3.4292297e+10,1.6433765e+11,1.0271103e+10,36969144
30000,150,0,3.0617891e+08,1.8392776e+17,2.8408476e+17,1.7780638e+21,0,1.5730564e+19,1.3700743e+18,4.32e+12,3.1510179e+16,3.4320065e+17,5.3225611e+18,6.7888923e+20,0,93677416,0,93677416,0,1.35e+21,6065.0626,3.923833e-08,6065.0626,0,0,73704762,-5.8061295e+10,5.4695107e+09,-1.5730507e+11,-1.3701154e+10,-3.4321745e+09,-5.3225121e+10,1.7160873e+08,2.661256e+09,3.44535e+10,3.44535e+10,1.5978363e+11,9.9864769e+09,41149400
32000,160,0,3.219409e+08,2.0018785e+17,3.103571e+17,1.7775376e+21,0,1.5822706e+19,1.2907575e+18,4.32e+12,3.1201087e+16,3.1119492e+17,5.4128076e+18,6.7930291e+20,0,1.0753951e+08,0,1.0753951e+08,0,1.35e+21,6936.5685,3.2466232e-08,6936.5685,0,0,68964219,-4.7528355e+10,5.2678015e+09,-1.5822671e+11,-1.2907957e+10,-3.1121015e+09,-5.4127663e+10,1.5560507e+08,2.7063831e+09,3.4530671e+10,3.4530671e+10,1.5551017e+11,9.7193857e+09,45465541
34000,170,0,3.3707276e+08,2.1695774e+17,3.3694385e+17,1.7771074e+21,0,1.5872355e+19,1.2171188e+18,4.32e+12,3.0878613e+16,2.8219182e+17,5.488448e+18,6.7966808e+20,0,1.2239598e+08,0,1.2239598e+08,0,1.35e+21,7881.0659,-3.0647243e-08,7881.0659,0,0,64529407,-3.8776284e+10,5.0762795e+09,-1.587234e+11,-1.2171542e+10,-2.8220562e+09,-5.4884137e+10,1.4110281e+08,2.7442068e+09,3.4534228e+10,3.4534228e+10,1.5150263e+11,9.4689145e+09,49903595
36000,180,0,3.5157417e+08,2.3422482e+17,3.637662e+17,1.7767574e+21,0,1.5885017e+19,1.1487138e+18,4.32e+12,3.0546036e+16,2.5590847e+17,5.5506499e+18,6.7999478e+20,0,1.3823268e+08,0,1.3823268e+08,0,1.35e+21,8900.6374,1.1890734e-08,8900.6374,0,0,60380610,-3.1438917e+10,4.8947497e+09,-1.5885019e+11,-1.1487467e+10,-2.5592097e+09,-5.550622e+10,1.2796049e+08,2.775311e+09,3.4473617e+10,3.4473617e+10,1.4774633e+11,9.2341455e+09,54450608
38000,190,0,3.6545154e+08,2.5197553e+17,3.9075109e+17,1.7764748e+21,0,1.586564e+19,1.0851383e+18,4.32e+12,3.0206241e+16,2.320887e+17,5.6005283e+18,6.8029039e+20,0,1.5503244e+08,0,1.5503244e+08,0,1.35e+21,9997.244,-1.7233106e-08,9997.244,0,0,56499381,-2.523994e+10,4.7229459e+09,-1.5865657e+11,-1.0851689e+10,-2.3210003e+09,-5.6005063e+10,1.1605002e+08,2.8002531e+09,3.4357381e+10,3.4357381e+10,1.4422682e+11,9.0141765e+09,59094702
40000,200,0,3.7871679e+08,2.7019574e+17,4.1783093e+17,1.7762495e+21,0,1.5818666e+19,1.0260238e+18,4.32e+12,2.9861768e+16,2.1050056e+17,5.6391438e+18,6.8056037e+20,0,1.7277551e+08,0,1.7277551e+08,0,1.35e+21,11172.731,0,11172.731,0,9.765625e-08,52868464,-1.9968277e+10,4.560551e+09,-1.5818695e+11,-1.0260523e+10,-2.1051083e+09,-5.6391271e+10,1.0525542e+08,2.8195636e+09,3.4193227e+10,3.4193227e+10,1.4093012e+11,8.8081327e+09,63825110
42000,210,0,3.9138639e+08,2.8887099e+17,4.4494346e+17,1.776073e+21,0,1.5748067e+19,9.7103366e+17,4.32e+12,2.9514842e+16,1.9093401e+17,5.667501e+18,6.8080879e+20,0,1.9143985e+08,0,1.9143985e+08,0,1.35e+21,12428.837,0,12428.837,0,9.765625e-08,49471716,-1.5460724e+10,4.4072128e+09,-1.5748108e+11,-9.7106018e+09,-1.9094332e+09,-5.6674892e+10,95471659,2.8337446e+09,3.3988097e+10,3.3988097e+10,1.3784279e+11,8.6151743e+09,68632181
44000,220,0,4.0348041e+08,3.0798678e+17,4.7203138e+17,1.7759382e+21,0,1.5657398e+19,9.1985971e+17,4.32e+12,2.9167413e+16,1.7319883e+17,5.6865489e+18,6.810387e+20,0,2.110015e+08,0,2.110015e+08,0,1.35e+21,13767.198,1.024091e-09,13767.198,0,0,46294034,-1.1589579e+10,4.2625562e+09,-1.5657448e+11,-9.1988439e+09,-1.7320727e+09,-5.6865415e+10,86603633,2.8432708e+09,3.3748226e+10,3.3748226e+10,1.34952e+11,8.4344999e+09,73507373
46000,230,0,4.1502178e+08,3.2752873e+17,4.9904222e+17,1.7758394e+21,0,1.5549825e+19,8.7221955e+17,4.32e+12,2.8821179e+16,1.5712277e+17,5.6971805e+18,6.812524e+20,0,2.3143489e+08,0,2.3143489e+08,0,1.35e+21,15189.363,0,15189.363,0,9.765625e-08,43321291,-8.2537427e+09,4.126193e+09,-1.5549883e+11,-8.7224253e+09,-1.5713042e+09,-5.6971771e+10,78565209,2.8485886e+09,3.3479205e+10,3.3479205e+10,1.3224558e+11,8.2653487e+09,78443234
48000,240,0,4.2603561e+08,3.4748274e+17,5.25928e+17,1.7757716e+21,0,1.542817e+19,8.278539e+17,4.32e+12,2.8477614e+16,1.4254984e+17,5.7002341e+18,6.8145164e+20,0,2.5271308e+08,0,2.5271308e+08,0,1.35e+21,16696.796,1.6920239e-08,16696.796,0,0,40540269,-5.3722589e+09,3.9977299e+09,-1.5428234e+11,-8.2787531e+09,-1.4255677e+09,-5.7002343e+10,71278386,2.8501172e+09,3.3186038e+10,3.3186038e+10,1.2971201e+11,8.1070008e+09,83433360
50000,250,0,4.3654859e+08,3.6783518e+17,5.5264501e+17,1.7757307e+21,0,1.5294938e+19,7.8652444e+17,4.32e+12,2.8137991e+16,1.2933876e+17,5.6964943e+18,6.8163777e+20,0,2.7480806e+08,0,2.7480806e+08,0,1.35e+21,18290.889,-2.8103386e-08,18290.889,0,0,37938603,-2.8795826e+09,3.8767738e+09,-1.5295007e+11,-7.8654438e+09,-1.2934504e+09,-5.6964978e+10,64672521,2.8482489e+09,3.2873188e+10,3.2873188e+10,1.2734044e+11,7.9587772e+09,88472358
52000,260,0,4.4658851e+08,3.8857294e+17,5.7915358e+17,1.7757129e+21,0,1.5152348e+19,7.4801176e+17,4.32e+12,2.7803402e+16,1.1736158e+17,5.6866935e+18,6.8181184e+20,0,2.9769096e+08,0,2.9769096e+08,0,1.35e+21,19972.97,0,19972.97,0,9.765625e-08,35504727,-7.2207718e+08,3.7629367e+09,-1.5152422e+11,-7.4803035e+09,-1.1736728e+09,-5.6866998e+10,58683640,2.8433499e+09,3.2544632e+10,3.2544632e+10,1.2512061e+11,7.8200381e+09,93555791
54000,270,0,4.5618381e+08,4.0968352e+17,6.0541782e+17,1.7757153e+21,0,1.5002365e+19,7.1211373e+17,4.32e+12,2.7474773e+16,1.0650243e+17,5.6715134e+18,6.8197472e+20,0,3.2133225e+08,0,3.2133225e+08,0,1.35e+21,21744.313,3.6496203e-08,21744.313,0,0,33227819,1.1445976e+09,3.6558391e+09,-1.5002442e+11,-7.1213106e+09,-1.065076e+09,-5.6715222e+10,53253799,2.8357611e+09,3.2203902e+10,3.2203902e+10,1.2304291e+11,7.6901818e+09,98680124
56000,280,0,4.6536324e+08,4.3115513e+17,6.3140541e+17,1.775735e+21,0,1.484672e+19,6.7864386e+17,4.32e+12,2.7152886e+16,9.6656349e+16,5.6515872e+18,6.8212708e+20,0,3.4570196e+08,0,3.4570196e+08,0,1.35e+21,23606.146,2.5873305e-08,23606.146,0,0,31097755,2.7574534e+09,3.5551125e+09,-1.4846799e+11,-6.7866002e+09,-9.6661035e+08,-5.6515983e+10,48330517,2.8257991e+09,3.1854127e+10,3.1854127e+10,1.2109829e+11,7.5686433e+09,1.0384267e+08
58000,290,0,4.7415554e+08,4.529767e+17,6.5708733e+17,1.7757697e+21,0,1.4686936e+19,6.4742997e+17,4.32e+12,2.683839e+16,8.7728277e+16,5.6275014e+18,6.822695e+20,0,3.7076981e+08,0,3.7076981e+08,0,1.35e+21,25559.657,-3.3014658e-08,25559.657,0,0,29105066,4.1476682e+09,3.460401e+09,-1.4687017e+11,-6.4744504e+09,-8.7732526e+08,-5.6275144e+10,43866263,2.8137572e+09,3.149807e+10,3.149807e+10,1.1927827e+11,7.4548921e+09,1.0904151e+08
