iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6418348e-310,-2.7543355e+39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971033,9.7000146e+15,7.9035467e+15,1.844626e+21,0,5.2931978e+18,3.4903339e+18,4.32e+12,3.0364341e+16,1.3591408e+18,1.8424398e+18,6.235428e+20,0,2203613.2,0,2203613.2,0,1.35e+21,27047.105,9.4012648e-08,27047.105,0,0,1.8712053e+08,-2.0950113e+12,8.7176771e+09,-5.2923424e+10,-3.4904649e+10,-1.3592079e+10,-1.8422283e+10,6.7960393e+08,9.2111415e+08,1.7972137e+10,1.7972137e+10,2.4274053e+11,1.5171283e+10,1978861.3
4000,20,0,67221042,1.9502721e+16,1.8140389e+16,1.8270175e+21,0,6.9176242e+18,3.2406654e+18,4.32e+12,3.1288713e+16,1.2315024e+18,2.2544759e+18,6.3947308e+20,0,5948760.9,0,5948760.9,0,1.35e+21,63958.7,-7.9671736e-09,63958.7,0,0,1.7506546e+08,-1.4698533e+12,8.605557e+09,-6.9168554e+10,-3.2407844e+10,-1.2315631e+10,-2.2542757e+10,6.1578155e+08,1.1271378e+09,2.0579535e+10,2.0579535e+10,2.3848026e+11,1.4905016e+10,3068635.1
6000,30,0,84702633,2.9505202e+16,3.034402e+16,1.8145451e+21,0,8.3684512e+18,3.0133255e+18,4.32e+12,3.1938781e+16,1.1158985e+18,2.6421012e+18,6.5042876e+20,0,11439819,0,11439819,0,1.35e+21,111240.8,-3.8940925e-08,111240.8,0,0,1.6378786e+08,-1.0521477e+12,8.4238336e+09,-8.3677687e+10,-3.0134341e+10,-1.1159535e+10,-2.6419139e+10,5.5797677e+08,1.320957e+09,2.2918019e+10,2.2918019e+10,2.3261076e+11,1.4538172e+10,4444905
8000,40,0,1.0308236e+08,3.9794068e+16,4.4370591e+16,1.8055347e+21,0,9.6501211e+18,2.8056701e+18,4.32e+12,3.2386754e+16,1.0111916e+18,3.0031648e+18,6.5808557e+20,0,18904942,0,18904942,0,1.35e+21,169556.44,-5.6170393e-09,169556.44,0,0,1.5323758e+08,-7.6779871e+11,8.1999811e+09,-9.6495211e+10,-2.8057693e+10,-1.0112414e+10,-3.0029911e+10,5.0562069e+08,1.5014955e+09,2.4987515e+10,2.4987515e+10,2.2592595e+11,1.4120372e+10,6113119.1
10000,50,0,1.2206888e+08,5.0439424e+16,6.0066975e+16,1.7989015e+21,0,1.0771732e+19,2.6155157e+18,4.32e+12,3.2680722e+16,9.163515e+17,3.3368423e+18,6.6352336e+20,0,28539652,0,28539652,0,1.35e+21,239660.2,7.4272975e-08,239660.2,0,0,1.4336773e+08,-5.7064744e+11,7.9515525e+09,-1.077121e+11,-2.6156068e+10,-9.1639661e+09,-3.3366824e+10,4.5819831e+08,1.6683412e+09,2.6798013e+10,2.6798013e+10,2.1890441e+11,1.3681526e+10,8072405.3
12000,60,0,1.4141183e+08,6.1497039e+16,7.7276349e+16,1.7939306e+21,0,1.1744678e+19,2.4410227e+18,4.32e+12,3.2853952e+16,8.3044596e+17,3.6431489e+18,6.6744841e+20,0,40507483,0,40507483,0,1.35e+21,322369.08,-1.2631062e-08,322369.08,0,0,1.3413441e+08,-4.3145993e+11,7.6900604e+09,-1.1744226e+11,-2.4411063e+10,-8.3048682e+09,-3.6430025e+10,4.1524341e+08,1.8215013e+09,2.836488e+10,2.836488e+10,2.1183491e+11,1.3239682e+10,10316924
14000,70,0,1.6089886e+08,7.3010287e+16,9.5841843e+16,1.7901431e+21,0,1.2581254e+19,2.2806159e+18,4.32e+12,3.2930373e+16,7.5263088e+17,3.9226344e+18,6.7032917e+20,0,54941170,0,54941170,0,1.35e+21,418538.42,0,418538.42,0,9.765625e-08,1.2549658e+08,-3.3142674e+11,7.4232265e+09,-1.2580868e+11,-2.2806928e+10,-7.5266789e+09,-3.9225012e+10,3.7633395e+08,1.9612506e+09,2.9706064e+10,2.9706064e+10,2.0489039e+11,1.2805649e+10,12837034
16000,80,0,1.8035209e+08,8.501188e+16,1.1560896e+17,1.7872133e+21,0,1.3293854e+19,2.1329311e+18,4.32e+12,3.2927862e+16,6.8214211e+17,4.1761892e+18,6.7248039e+20,0,71944145,0,71944145,0,1.35e+21,529042.36,0,529042.36,0,9.765625e-08,1.1741582e+08,-2.5826085e+11,7.1563201e+09,-1.3293527e+11,-2.1330019e+10,-6.8217564e+09,-4.1760687e+10,3.4108782e+08,2.0880343e+09,3.0840431e+10,3.0840431e+10,1.9817232e+11,1.238577e+10,15620280
18000,90,0,1.9962437e+08,9.7525414e+16,1.364272e+17,1.7849161e+21,0,1.3894499e+19,1.9967755e+18,4.32e+12,3.2860261e+16,6.1828787e+17,4.4049178e+18,6.7411616e+20,0,91592209,0,91592209,0,1.35e+21,654758,0,654758,0,9.765625e-08,1.0985622e+08,-2.0381795e+11,6.892975e+09,-1.3894225e+11,-1.9968409e+10,-6.1831824e+09,-4.4048094e+10,3.0915912e+08,2.2024047e+09,3.1786783e+10,3.1786783e+10,1.9173762e+11,1.1983601e+10,18652219
20000,100,0,2.1859566e+08,1.1056675e+17,1.5815117e+17,1.7830933e+21,0,1.4394583e+19,1.8710988e+18,4.32e+12,3.2738625e+16,5.6044187e+17,4.6100545e+18,6.7538371e+20,0,1.139353e+08,0,1.139353e+08,0,1.35e+21,796552.99,-4.3190084e-08,796552.99,0,0,1.0278416e+08,-1.6262291e+11,6.6357034e+09,-1.4394356e+11,-1.8711592e+10,-5.6046939e+09,-4.6099576e+10,2.8023469e+08,2.3049788e+09,3.2563282e+10,3.2563282e+10,1.856153e+11,1.1600956e+10,21917112
22000,110,0,2.3716968e+08,1.2414521e+17,1.806413e+17,1.7816322e+21,0,1.4804745e+19,1.7549704e+18,4.32e+12,3.2572021e+16,5.0803709e+17,4.7929064e+18,6.7638537e+20,0,1.3899933e+08,0,1.3899933e+08,0,1.35e+21,955275.91,2.2817403e-08,955275.91,0,0,96168198,-1.3094426e+11,6.3862276e+09,-1.4804561e+11,-1.7550262e+10,-5.0806202e+09,-4.7928203e+10,2.5403101e+08,2.3964102e+09,3.3187136e+10,3.3187136e+10,1.7981683e+11,1.1238552e+10,25398482
24000,120,0,2.5527084e+08,1.3826469e+17,2.0376435e+17,1.7804515e+21,0,1.5134816e+19,1.6475618e+18,4.32e+12,3.2368042e+16,4.605602e+17,4.9548138e+18,6.7719291e+20,0,1.6678797e+08,0,1.6678797e+08,0,1.35e+21,1131749.1,-1.8393621e-08,1131749.1,0,0,89978920,-1.0620467e+11,6.1457019e+09,-1.513467e+11,-1.6476134e+10,-4.6058279e+09,-4.9547378e+10,2.3029139e+08,2.4773689e+09,3.3674436e+10,3.3674436e+10,1.7434268e+11,1.0896418e+10,29079582
26000,130,0,2.7284146e+08,1.5292457e+17,2.2739368e+17,1.7794912e+21,0,1.5393817e+19,1.5481322e+18,4.32e+12,3.213315e+16,4.1754643e+17,5.0971225e+18,6.7785716e+20,0,1.9728451e+08,0,1.9728451e+08,0,1.35e+21,1326763.2,1.2037344e-07,1326763.2,0,0,84188806,-8.6600525e+10,5.9148644e+09,-1.5393704e+11,-1.54818e+10,-4.1756689e+09,-5.097056e+10,2.0878344e+08,2.548528e+09,3.4040094e+10,3.4040094e+10,1.6918653e+11,1.0574158e+10,32943765
