iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6868238e-310,1.8047069e+268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971023,9.7000716e+15,7.9078748e+15,1.844626e+21,0,5.2931978e+18,3.4903334e+18,4.32e+12,3.0363932e+16,1.3591408e+18,1.8424365e+18,6.235428e+20,0,1213995,0,1213995,0,1.35e+21,14892.487,1.2489181e-08,14892.487,0,0,1.8712053e+08,-2.0950113e+12,8.7175595e+09,-5.2923424e+10,-3.4904644e+10,-1.3592078e+10,-1.842225e+10,6.796039e+08,9.2111248e+08,1.7972133e+10,1.7972133e+10,2.4274053e+11,1.5171283e+10,1978860.9
4000,20,0,67220981,1.9502977e+16,1.8162366e+16,1.8270175e+21,0,6.917624e+18,3.2406629e+18,4.32e+12,3.128757e+16,1.2315021e+18,2.2544585e+18,6.3947308e+20,0,3279412.7,0,3279412.7,0,1.35e+21,35216.746,-1.5781552e-08,35216.746,0,0,1.7506546e+08,-1.4698533e+12,8.6052427e+09,-6.9168553e+10,-3.2407819e+10,-1.2315629e+10,-2.2542583e+10,6.1578143e+08,1.1271292e+09,2.0579513e+10,2.0579513e+10,2.3848026e+11,1.4905016e+10,3068632.4
6000,30,0,84702445,2.9505841e+16,3.0404144e+16,1.8145451e+21,0,8.3684507e+18,3.013319e+18,4.32e+12,3.1936546e+16,1.115898e+18,2.6420538e+18,6.5042875e+20,0,6311353.9,0,6311353.9,0,1.35e+21,61251.593,-1.5206751e-09,61251.593,0,0,1.6378786e+08,-1.0521477e+12,8.4232444e+09,-8.3677682e+10,-3.0134276e+10,-1.1159529e+10,-2.6418665e+10,5.5797647e+08,1.3209333e+09,2.2917961e+10,2.2917961e+10,2.3261075e+11,1.4538172e+10,4444895.2
8000,40,0,1.0308191e+08,3.9795318e+16,4.449757e+16,1.8055347e+21,0,9.6501198e+18,2.8056569e+18,4.32e+12,3.2383018e+16,1.0111904e+18,3.0030655e+18,6.5808557e+20,0,10439030,0,10439030,0,1.35e+21,93362.36,1.5861588e-08,93362.36,0,0,1.5323758e+08,-7.6779888e+11,8.1990356e+09,-9.6495199e+10,-2.8057562e+10,-1.0112402e+10,-3.0028918e+10,5.0562012e+08,1.5014459e+09,2.4987395e+10,2.4987395e+10,2.2592594e+11,1.4120371e+10,6113092.7
10000,50,0,1.2206799e+08,5.0441555e+16,6.0298604e+16,1.7989015e+21,0,1.077173e+19,2.6154928e+18,4.32e+12,3.2675032e+16,9.163496e+17,3.3366633e+18,6.6352335e+20,0,15774799,0,15774799,0,1.35e+21,131964.82,7.7183358e-08,131964.82,0,0,1.4336773e+08,-5.7064778e+11,7.9501683e+09,-1.0771207e+11,-2.6155838e+10,-9.1639471e+09,-3.3365033e+10,4.5819736e+08,1.6682517e+09,2.6797798e+10,2.6797798e+10,2.189044e+11,1.3681525e+10,8072346.4
12000,60,0,1.4141022e+08,6.1500367e+16,7.7660233e+16,1.7939305e+21,0,1.1744672e+19,2.4409863e+18,4.32e+12,3.2845815e+16,8.3044304e+17,3.6428557e+18,6.6744838e+20,0,22414600,0,22414600,0,1.35e+21,177509.16,1.5017577e-08,177509.16,0,0,1.3413441e+08,-4.3146053e+11,7.688156e+09,-1.1744221e+11,-2.4410699e+10,-8.3048391e+09,-3.6427094e+10,4.1524195e+08,1.8213547e+09,2.8364528e+10,2.8364528e+10,2.118349e+11,1.3239681e+10,10316807
14000,70,0,1.6089618e+08,7.3015173e+16,9.6435963e+16,1.7901431e+21,0,1.2581245e+19,2.280562e+18,4.32e+12,3.2919264e+16,7.5262665e+17,3.9221863e+18,6.7032911e+20,0,30438651,0,30438651,0,1.35e+21,230466.76,0,230466.76,0,9.765625e-08,1.2549658e+08,-3.3142771e+11,7.4207227e+09,-1.2580859e+11,-2.2806389e+10,-7.5266367e+09,-3.9220532e+10,3.7633183e+08,1.9610266e+09,2.9705528e+10,2.9705528e+10,2.0489037e+11,1.2805648e+10,12836821
16000,80,0,1.8034788e+08,8.5018728e+16,1.164821e+17,1.7872133e+21,0,1.329384e+19,2.1328553e+18,4.32e+12,3.2913233e+16,6.8213626e+17,4.1755392e+18,6.724803e+20,0,39912299,0,39912299,0,1.35e+21,291319.34,-4.6100467e-08,291319.34,0,0,1.1741582e+08,-2.5826235e+11,7.1531411e+09,-1.3293513e+11,-2.1329261e+10,-6.8216979e+09,-4.1754188e+10,3.410849e+08,2.0877094e+09,3.0839655e+10,3.0839655e+10,1.9817229e+11,1.2385768e+10,15619916
18000,90,0,1.9961807e+08,9.7534673e+16,1.3765922e+17,1.784916e+21,0,1.3894477e+19,1.9966731e+18,4.32e+12,3.2841544e+16,6.1828005e+17,4.4040126e+18,6.7411602e+20,0,50886951,0,50886951,0,1.35e+21,360550.37,6.1700121e-09,360550.37,0,0,1.0985622e+08,-2.0382013e+11,6.8890495e+09,-1.3894203e+11,-1.9967385e+10,-6.1831043e+09,-4.4039043e+10,3.0915521e+08,2.2019522e+09,3.1785705e+10,3.1785705e+10,1.9173758e+11,1.1983599e+10,18651631
20000,100,0,2.1858657e+08,1.1057891e+17,1.5983315e+17,1.7830932e+21,0,1.4394551e+19,1.8709649e+18,4.32e+12,3.2715242e+16,5.6043169e+17,4.608835e+18,6.7538351e+20,0,63401030,0,63401030,0,1.35e+21,438638.09,4.8312359e-09,438638.09,0,0,1.0278416e+08,-1.6262596e+11,6.6309646e+09,-1.4394324e+11,-1.8710253e+10,-5.6045921e+09,-4.6087383e+10,2.802296e+08,2.3043692e+09,3.2561832e+10,3.2561832e+10,1.8561524e+11,1.1600953e+10,21916200
22000,110,0,2.3715698e+08,1.2416081e+17,1.8287559e+17,1.7816321e+21,0,1.48047e+19,1.7547999e+18,4.32e+12,3.2543388e+16,5.0802414e+17,4.7913081e+18,6.7638508e+20,0,77480943,0,77480943,0,1.35e+21,526050.34,0,526050.34,0,9.765625e-08,96168198,-1.3094839e+11,6.3806141e+09,-1.4804516e+11,-1.7548558e+10,-5.0804907e+09,-4.7912222e+10,2.5402454e+08,2.3956111e+09,3.3185239e+10,3.3185239e+10,1.7981675e+11,1.1238547e+10,25397122
24000,120,0,2.5525357e+08,1.3828431e+17,2.0666444e+17,1.7804513e+21,0,1.5134755e+19,1.6473497e+18,4.32e+12,3.2333573e+16,4.6054402e+17,4.9527671e+18,6.7719252e+20,0,93142045,0,93142045,0,1.35e+21,623240.47,0,623240.47,0,9.765625e-08,89978920,-1.0621011e+11,6.1391578e+09,-1.5134609e+11,-1.6474013e+10,-4.6056661e+09,-4.9526914e+10,2.302833e+08,2.4763457e+09,3.3672012e+10,3.3672012e+10,1.7434258e+11,1.0896411e+10,29077615
26000,130,0,2.7281852e+08,1.5294881e+17,2.3108406e+17,1.7794909e+21,0,1.5393735e+19,1.5478733e+18,4.32e+12,3.2092266e+16,4.1752653e+17,5.0945534e+18,6.7785663e+20,0,1.1038957e+08,0,1.1038957e+08,0,1.35e+21,730644.56,6.1001629e-08,730644.56,0,0,84188806,-8.6607532e+10,5.9073392e+09,-1.5393622e+11,-1.5479211e+10,-4.1754699e+09,-5.0944872e+10,2.087735e+08,2.5472436e+09,3.4037056e+10,3.4037056e+10,1.691864e+11,1.057415e+10,32940995
28000,140,0,2.8980945e+08,1.6815005e+17,2.5602531e+17,1.7787064e+21,0,1.5589868e+19,1.4557059e+18,4.32e+12,3.1825043e+16,3.7855082e+17,5.217995e+18,6.7841366e+20,0,1.2921955e+08,0,1.2921955e+08,0,1.35e+21,848679.48,-3.1199306e-08,848679.48,0,0,78772115,-7.0862135e+10,5.6855931e+09,-1.5589784e+11,-1.4557503e+10,-3.7856937e+09,-5.2179377e+10,1.8928468e+08,2.6089688e+09,3.429409e+10,3.429409e+10,1.6433773e+11,1.0271108e+10,36970969
30000,150,0,3.0619723e+08,1.8388081e+17,2.8138554e+17,1.778064e+21,0,1.5730629e+19,1.3702491e+18,4.32e+12,3.1536753e+16,3.4323589e+17,5.3243924e+18,6.7888966e+20,0,1.4961967e+08,0,1.4961967e+08,0,1.35e+21,977741.72,0,977741.72,0,9.765625e-08,73704762,-5.8056039e+10,5.4741231e+09,-1.5730571e+11,-1.3702902e+10,-3.4325269e+09,-5.3243433e+10,1.7162634e+08,2.6621716e+09,3.4455681e+10,3.4455681e+10,1.5978373e+11,9.9864832e+09,41151863
32000,160,0,3.2196401e+08,2.0013152e+17,3.0706853e+17,1.7775378e+21,0,1.5822788e+19,1.2909622e+18,4.32e+12,3.123164e+16,3.1123672e+17,5.4150085e+18,6.7930345e+20,0,1.7157012e+08,0,1.7157012e+08,0,1.35e+21,1118206.9,4.5867637e-08,1118206.9,0,0,68964219,-4.7521916e+10,5.2729594e+09,-1.5822753e+11,-1.2910004e+10,-3.1125194e+09,-5.414967e+10,1.5562597e+08,2.7074835e+09,3.4533288e+10,3.4533288e+10,1.5551029e+11,9.7193934e+09,45468805
