iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6605268e-310,-2.060997e+270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971017,9.7001061e+15,7.9105013e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363683e+16,1.3591407e+18,1.8424345e+18,6.235428e+20,0,613250.79,0,613250.79,0,1.35e+21,7520.4855,-9.9917088e-09,7520.4855,0,0,1.8712053e+08,-2.0950113e+12,8.7174882e+09,-5.2923424e+10,-3.4904641e+10,-1.3592078e+10,-1.8422229e+10,6.7960388e+08,9.2111147e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220945,1.9503132e+16,1.8175713e+16,1.8270175e+21,0,6.917624e+18,3.2406614e+18,4.32e+12,3.1286875e+16,1.231502e+18,2.2544479e+18,6.3947308e+20,0,1657265.5,0,1657265.5,0,1.35e+21,17784.013,-3.9199222e-08,17784.013,0,0,1.7506546e+08,-1.4698533e+12,8.6050517e+09,-6.9168552e+10,-3.2407805e+10,-1.2315627e+10,-2.2542478e+10,6.1578135e+08,1.1271239e+09,2.0579501e+10,2.0579501e+10,2.3848026e+11,1.4905016e+10,3068630.7
6000,30,0,84702330,2.9506229e+16,3.0440689e+16,1.8145451e+21,0,8.3684505e+18,3.0133151e+18,4.32e+12,3.1935186e+16,1.1158976e+18,2.6420249e+18,6.5042875e+20,0,3190958.9,0,3190958.9,0,1.35e+21,30931.443,-4.5183697e-09,30931.443,0,0,1.6378786e+08,-1.0521478e+12,8.4228859e+09,-8.3677679e+10,-3.0134237e+10,-1.1159526e+10,-2.6418377e+10,5.5797629e+08,1.3209188e+09,2.2917926e+10,2.2917926e+10,2.3261075e+11,1.4538172e+10,4444889.2
8000,40,0,1.0308164e+08,3.9796075e+16,4.4574823e+16,1.8055347e+21,0,9.6501191e+18,2.8056489e+18,4.32e+12,3.2380743e+16,1.0111897e+18,3.0030051e+18,6.5808556e+20,0,5280687.2,0,5280687.2,0,1.35e+21,47147.338,4.3168257e-08,47147.338,0,0,1.5323758e+08,-7.6779898e+11,8.1984595e+09,-9.6495191e+10,-2.8057482e+10,-1.0112395e+10,-3.0028314e+10,5.0561977e+08,1.5014157e+09,2.4987322e+10,2.4987322e+10,2.2592594e+11,1.4120371e+10,6113076.7
10000,50,0,1.2206745e+08,5.0442847e+16,6.0439675e+16,1.7989015e+21,0,1.0771728e+19,2.6154788e+18,4.32e+12,3.267156e+16,9.1634845e+17,3.3365542e+18,6.6352334e+20,0,7984645.8,0,7984645.8,0,1.35e+21,66641.749,6.1074388e-08,66641.749,0,0,1.4336773e+08,-5.7064798e+11,7.9493237e+09,-1.0771205e+11,-2.6155699e+10,-9.1639356e+09,-3.3363943e+10,4.5819678e+08,1.6681971e+09,2.6797666e+10,2.6797666e+10,2.189044e+11,1.3681525e+10,8072310.6
12000,60,0,1.4140924e+08,6.1502385e+16,7.7894309e+16,1.7939305e+21,0,1.1744669e+19,2.4409641e+18,4.32e+12,3.2840841e+16,8.3044127e+17,3.6426769e+18,6.6744836e+20,0,11353113,0,11353113,0,1.35e+21,89642.12,5.0349627e-09,89642.12,0,0,1.3413441e+08,-4.3146089e+11,7.6869919e+09,-1.1744218e+11,-2.4410477e+10,-8.3048214e+09,-3.6425306e+10,4.1524107e+08,1.8212653e+09,2.8364314e+10,2.8364314e+10,2.1183489e+11,1.3239681e+10,10316736
14000,70,0,1.6089455e+08,7.3018135e+16,9.6798708e+16,1.7901431e+21,0,1.258124e+19,2.2805291e+18,4.32e+12,3.291246e+16,7.5262409e+17,3.9219127e+18,6.7032908e+20,0,15428825,0,15428825,0,1.35e+21,116386.61,0,116386.61,0,9.765625e-08,1.2549658e+08,-3.3142831e+11,7.4191892e+09,-1.2580854e+11,-2.280606e+10,-7.5266111e+09,-3.9217797e+10,3.7633055e+08,1.9608898e+09,2.97052e+10,2.97052e+10,2.0489036e+11,1.2805648e+10,12836690
16000,80,0,1.8034531e+08,8.502288e+16,1.1701596e+17,1.7872133e+21,0,1.3293831e+19,2.1328089e+18,4.32e+12,3.2904253e+16,6.8213271e+17,4.1751416e+18,6.7248025e+20,0,20247415,0,20247415,0,1.35e+21,147118.61,3.1024683e-08,147118.61,0,0,1.1741582e+08,-2.5826326e+11,7.1511899e+09,-1.3293504e+11,-2.1328798e+10,-6.8216625e+09,-4.1750213e+10,3.4108312e+08,2.0875107e+09,3.0839181e+10,3.0839181e+10,1.9817227e+11,1.2385767e+10,15619693
18000,90,0,1.9961421e+08,9.7540288e+16,1.3841368e+17,1.784916e+21,0,1.3894464e+19,1.9966104e+18,4.32e+12,3.2830029e+16,6.182753e+17,4.403458e+18,6.7411594e+20,0,25837890,0,25837890,0,1.35e+21,182082.43,-1.1350494e-09,182082.43,0,0,1.0985622e+08,-2.0382146e+11,6.8866343e+09,-1.389419e+11,-1.9966758e+10,-6.1830568e+09,-4.4033499e+10,3.0915284e+08,2.2016749e+09,3.1785044e+10,3.1785044e+10,1.9173755e+11,1.1983597e+10,18651270
20000,100,0,2.1858099e+08,1.1058628e+17,1.608649e+17,1.7830931e+21,0,1.4394532e+19,1.8708827e+18,4.32e+12,3.270082e+16,5.6042551e+17,4.6080865e+18,6.7538339e+20,0,32223121,0,32223121,0,1.35e+21,221519.72,-2.3865141e-09,221519.72,0,0,1.0278416e+08,-1.6262782e+11,6.6280417e+09,-1.4394305e+11,-1.8709431e+10,-5.6045303e+09,-4.6079899e+10,2.8022652e+08,2.303995e+09,3.2560943e+10,3.2560943e+10,1.8561521e+11,1.160095e+10,21915641
22000,110,0,2.3714917e+08,1.2417027e+17,1.8424859e+17,1.781632e+21,0,1.4804673e+19,1.7546952e+18,4.32e+12,3.2525678e+16,5.0801628e+17,4.7903252e+18,6.7638491e+20,0,39420325,0,39420325,0,1.35e+21,265666.91,1.0884833e-08,265666.91,0,0,96168198,-1.3095092e+11,6.3771423e+09,-1.4804488e+11,-1.754751e+10,-5.0804121e+09,-4.7902394e+10,2.5402061e+08,2.3951197e+09,3.3184073e+10,3.3184073e+10,1.798167e+11,1.1238544e+10,25396286
24000,120,0,2.5524293e+08,1.3829619e+17,2.0845004e+17,1.7804512e+21,0,1.5134718e+19,1.647219e+18,4.32e+12,3.2312191e+16,4.605342e+17,4.9515057e+18,6.7719228e+20,0,47441546,0,47441546,0,1.35e+21,314753.13,4.2608008e-08,314753.13,0,0,89978920,-1.0621346e+11,6.1350984e+09,-1.5134571e+11,-1.6472707e+10,-4.6055679e+09,-4.9514302e+10,2.302784e+08,2.4757151e+09,3.3670519e+10,3.3670519e+10,1.7434252e+11,1.0896407e+10,29076403
26000,130,0,2.7280436e+08,1.5296349e+17,2.3336092e+17,1.7794908e+21,0,1.5393685e+19,1.5477134e+18,4.32e+12,3.2066824e+16,4.1751445e+17,5.0929665e+18,6.7785631e+20,0,56294116,0,56294116,0,1.35e+21,368998.78,9.1735274e-08,368998.78,0,0,84188806,-8.6611843e+10,5.9026565e+09,-1.5393572e+11,-1.5477613e+10,-4.1753492e+09,-5.0929005e+10,2.0876746e+08,2.5464502e+09,3.403518e+10,3.403518e+10,1.6918631e+11,1.0574145e+10,32939285
28000,140,0,2.8979098e+08,1.6816792e+17,2.5887937e+17,1.7787062e+21,0,1.5589802e+19,1.4555136e+18,4.32e+12,3.1795155e+16,3.7853618e+17,5.2160325e+18,6.7841324e+20,0,65981103,0,65981103,0,1.35e+21,428614.58,2.339948e-08,428614.58,0,0,78772115,-7.0867588e+10,5.680254e+09,-1.5589719e+11,-1.4555579e+10,-3.7855472e+09,-5.2159754e+10,1.8927736e+08,2.6079877e+09,3.4291774e+10,3.4291774e+10,1.6433763e+11,1.0271102e+10,36968612
30000,150,0,3.0617355e+08,1.8390227e+17,2.8490991e+17,1.7780638e+21,0,1.5730545e+19,1.3700209e+18,4.32e+12,3.1502035e+16,3.4321833e+17,5.3220017e+18,6.7888911e+20,0,76501731,0,76501731,0,1.35e+21,493800.96,-1.9208528e-08,493800.96,0,0,73704762,-5.8062821e+10,5.4680972e+09,-1.5730488e+11,-1.3700621e+10,-3.4323514e+09,-5.3219528e+10,1.7161757e+08,2.6609764e+09,3.4452863e+10,3.4452863e+10,1.597836e+11,9.9864751e+09,41148680
32000,160,0,3.2193413e+08,2.00157e+17,3.1136334e+17,1.7775375e+21,0,1.5822682e+19,1.2906949e+18,4.32e+12,3.1191712e+16,3.112159e+17,5.4121347e+18,6.7930275e+20,0,87851787,0,87851787,0,1.35e+21,564747.81,0,564747.81,0,9.765625e-08,68964219,-4.7530227e+10,5.2662187e+09,-1.5822647e+11,-1.2907332e+10,-3.1123113e+09,-5.4120934e+10,1.5561556e+08,2.7060467e+09,3.4529905e+10,3.4529905e+10,1.5551013e+11,9.7193834e+09,45464586
34000,170,0,3.3706433e+08,2.1692074e+17,3.3815657e+17,1.7771073e+21,0,1.5872325e+19,1.2170462e+18,4.32e+12,3.0867915e+16,2.8221648e+17,5.4876481e+18,6.7966789e+20,0,1.0002399e+08,0,1.0002399e+08,0,1.35e+21,641634.51,0,641634.51,0,9.765625e-08,64529407,-3.877855e+10,5.0745209e+09,-1.587231e+11,-1.2170817e+10,-2.8223027e+09,-5.4876138e+10,1.4111514e+08,2.7438069e+09,3.4533318e+10,3.4533318e+10,1.5150259e+11,9.4689118e+09,49902348
36000,180,0,3.5156381e+08,2.3418084e+17,3.6521241e+17,1.7767573e+21,0,1.5884981e+19,1.1486305e+18,4.32e+12,3.0533926e+16,2.559372e+17,5.549709e+18,6.7999454e+20,0,1.1300838e+08,0,1.1300838e+08,0,1.35e+21,724630.1,-2.0372681e-08,724630.1,0,0,60380610,-3.1441628e+10,4.8928094e+09,-1.5884983e+11,-1.1486635e+10,-2.559497e+09,-5.5496811e+10,1.2797485e+08,2.7748405e+09,3.4472548e+10,3.4472548e+10,1.4774628e+11,9.2341422e+09,54449003
38000,190,0,3.6543894e+08,2.5192365e+17,3.9245939e+17,1.7764747e+21,0,1.5865597e+19,1.0850436e+18,4.32e+12,3.0192633e+16,2.3212193e+17,5.5994321e+18,6.8029009e+20,0,1.2679258e+08,0,1.2679258e+08,0,1.35e+21,813893.7,-9.1968104e-09,813893.7,0,0,56499381,-2.5243149e+10,4.7208183e+09,-1.5865614e+11,-1.0850743e+10,-2.3213326e+09,-5.5994101e+10,1.1606663e+08,2.7997051e+09,3.4356136e+10,3.4356136e+10,1.4422676e+11,9.0141726e+09,59092666
40000,200,0,3.7870164e+08,2.7013498e+17,4.1983146e+17,1.7762493e+21,0,1.5818613e+19,1.025917e+18,4.32e+12,2.9846577e+16,2.1053873e+17,5.6378777e+18,6.8056001e+20,0,1.413622e+08,0,1.413622e+08,0,1.35e+21,909574.96,-3.608875e-09,909574.96,0,0,52868464,-1.9972041e+10,4.5582311e+09,-1.5818643e+11,-1.0259455e+10,-2.10549e+09,-5.6378611e+10,1.052745e+08,2.8189306e+09,3.419179e+10,3.419179e+10,1.4093005e+11,8.8081281e+09,63822557
42000,210,0,3.9136834e+08,2.8880029e+17,4.4726781e+17,1.7760727e+21,0,1.5748005e+19,9.7091396e+17,4.32e+12,2.9497986e+16,1.9097758e+17,5.6660503e+18,6.8080837e+20,0,1.5670104e+08,0,1.5670104e+08,0,1.35e+21,1011814.7,0,1011814.7,0,9.765625e-08,49471716,-1.54651e+10,4.4046959e+09,-1.5748046e+11,-9.7094049e+09,-1.9098689e+09,-5.6660386e+10,95493443,2.8330193e+09,3.3986451e+10,3.3986451e+10,1.378427e+11,8.6151689e+09,68629016
44000,220,0,4.0345909e+08,3.07905e+17,4.7471259e+17,1.7759379e+21,0,1.5657325e+19,9.1972648e+17,4.32e+12,2.9148811e+16,1.7324828e+17,5.6848986e+18,6.810382e+20,0,1.7279141e+08,0,1.7279141e+08,0,1.35e+21,1120745.6,0,1120745.6,0,9.765625e-08,46294034,-1.1594627e+10,4.2598378e+09,-1.5657375e+11,-9.1975117e+09,-1.7325672e+09,-5.6848914e+10,86628358,2.8424457e+09,3.3746355e+10,3.3746355e+10,1.349519e+11,8.4344936e+09,73503489
46000,230,0,4.149968e+08,3.2743464e+17,5.0211465e+17,1.7758391e+21,0,1.554974e+19,8.7207214e+17,4.32e+12,2.8800756e+16,1.571786e+17,5.6953157e+18,6.8125181e+20,0,1.8961432e+08,0,1.8961432e+08,0,1.35e+21,1236492.9,0,1236492.9,0,9.765625e-08,43321291,-8.2595246e+09,4.1232693e+09,-1.5549798e+11,-8.7209512e+09,-1.5718624e+09,-5.6953125e+10,78593122,2.8476562e+09,3.3477092e+10,3.3477092e+10,1.3224546e+11,8.2653415e+09,78438512
48000,240,0,4.2600656e+08,3.4737506e+17,5.2942731e+17,1.7757712e+21,0,1.5428072e+19,8.2769169e+17,4.32e+12,2.8455297e+16,1.4261255e+17,5.6981399e+18,6.8145094e+20,0,2.0714978e+08,0,2.0714978e+08,0,1.35e+21,1359174.9,0,1359174.9,0,9.765625e-08,40540269,-5.378838e+09,3.9945972e+09,-1.5428136e+11,-8.277131e+09,-1.4261949e+09,-5.6981402e+10,71309743,2.8490701e+09,3.3183665e+10,3.3183665e+10,1.2971188e+11,8.1069926e+09,83427670
50000,250,0,4.3651503e+08,3.6771252e+17,5.5660806e+17,1.7757302e+21,0,1.5294825e+19,7.8634682e+17,4.32e+12,2.811371e+16,1.294089e+17,5.6941558e+18,6.8163696e+20,0,2.253769e+08,0,2.253769e+08,0,1.35e+21,1488904.3,1.2340024e-08,1488904.3,0,0,37938603,-2.8870238e+09,3.8734286e+09,-1.5294894e+11,-7.8636677e+09,-1.2941518e+09,-5.6941593e+10,64707590,2.8470797e+09,3.2870539e+10,3.2870539e+10,1.2734029e+11,7.9587679e+09,88465555
52000,260,0,4.4654998e+08,3.8843382e+17,5.8361838e+17,1.7757124e+21,0,1.515222e+19,7.4781818e+17,4.32e+12,2.7777091e+16,1.1743969e+17,5.6840958e+18,6.8181092e+20,0,2.4427418e+08,0,2.4427418e+08,0,1.35e+21,1625788.2,0,1625788.2,0,9.765625e-08,35504727,-7.3044656e+08,3.759376e+09,-1.5152293e+11,-7.4783677e+09,-1.1744539e+09,-5.6841023e+10,58722693,2.8420511e+09,3.2541691e+10,3.2541691e+10,1.2512044e+11,7.8200275e+09,93547719
54000,270,0,4.5613984e+08,4.095264e+17,6.1042344e+17,1.7757147e+21,0,1.500222e+19,7.1190362e+17,4.32e+12,2.7446371e+16,1.0658907e+17,5.668642e+18,6.8197366e+20,0,2.6381957e+08,0,2.6381957e+08,0,1.35e+21,1769929.3,-3.0035153e-08,1769929.3,0,0,33227819,1.1352327e+09,3.65206e+09,-1.5002296e+11,-7.1192096e+09,-1.0659423e+09,-5.668651e+10,53297117,2.8343255e+09,3.2200652e+10,3.2200652e+10,1.2304272e+11,7.6901699e+09,98670613
56000,280,0,4.6531334e+08,4.3097836e+17,6.369919e+17,1.7757343e+21,0,1.4846556e+19,6.7841672e+17,4.32e+12,2.7122333e+16,9.67521e+16,5.6484278e+18,6.8212587e+20,0,2.8399071e+08,0,2.8399071e+08,0,1.35e+21,1921426.6,9.1735274e-08,1921426.6,0,0,31097755,2.7470249e+09,3.5511124e+09,-1.4846635e+11,-6.7843288e+09,-9.6756781e+08,-5.648439e+10,48378391,2.8242195e+09,3.1850552e+10,3.1850552e+10,1.2109808e+11,7.5686299e+09,1.0383153e+08
58000,290,0,4.7409921e+08,4.5277854e+17,6.6329567e+17,1.7757689e+21,0,1.4686752e+19,6.4718529e+17,4.32e+12,2.6805633e+16,8.783373e+16,5.6240399e+18,6.8226814e+20,0,3.0476502e+08,0,3.0476502e+08,0,1.35e+21,2080375.9,-2.5611371e-09,2080375.9,0,0,29105066,4.1361072e+09,3.4561776e+09,-1.4686833e+11,-6.4720037e+09,-8.7837974e+08,-5.6240531e+10,43918987,2.8120265e+09,3.1494153e+10,3.1494153e+10,1.1927804e+11,7.4548772e+09,1.0902856e+08
60000,300,0,4.8252589e+08,4.7491656e+17,6.8930969e+17,1.7758163e+21,0,1.4524142e+19,6.1805028e+17,4.32e+12,2.6496805e+16,7.9747872e+16,5.5960205e+18,6.8240094e+20,0,3.2611979e+08,0,3.2611979e+08,0,1.35e+21,2246870.5,0,2246870.5,0,9.765625e-08,27240891,5.3289698e+09,3.3669143e+09,-1.4524224e+11,-6.1806434e+09,-7.975172e+08,-5.5960353e+10,39875860,2.7980177e+09,3.1133888e+10,3.1133888e+10,1.1757463e+11,7.3484141e+09,1.1426048e+08
