iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6690096e-310,2.0072931e-151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971014,9.7001261e+15,7.9120237e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363539e+16,1.3591407e+18,1.8424333e+18,6.235428e+20,0,264986.06,0,264986.06,0,1.35e+21,3248.9884,1.1289922e-07,3248.9884,0,0,1.8712053e+08,-2.0950113e+12,8.7174468e+09,-5.2923424e+10,-3.4904639e+10,-1.3592078e+10,-1.8422218e+10,6.7960388e+08,9.2111088e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220924,1.9503222e+16,1.8183452e+16,1.8270175e+21,0,6.9176239e+18,3.2406606e+18,4.32e+12,3.1286472e+16,1.2315019e+18,2.2544418e+18,6.3947308e+20,0,716272.56,0,716272.56,0,1.35e+21,7683.0411,-4.1826752e-08,7683.0411,0,0,1.7506546e+08,-1.4698533e+12,8.6049409e+09,-6.9168552e+10,-3.2407796e+10,-1.2315626e+10,-2.2542416e+10,6.1578131e+08,1.1271208e+09,2.0579493e+10,2.0579493e+10,2.3848026e+11,1.4905016e+10,3068629.8
6000,30,0,84702264,2.9506453e+16,3.046189e+16,1.8145451e+21,0,8.3684503e+18,3.0133128e+18,4.32e+12,3.1934397e+16,1.1158974e+18,2.6420082e+18,6.5042875e+20,0,1379510.2,0,1379510.2,0,1.35e+21,13363.028,0,13363.028,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4226778e+09,-8.3677678e+10,-3.0134214e+10,-1.1159524e+10,-2.641821e+10,5.5797619e+08,1.3209105e+09,2.2917906e+10,2.2917906e+10,2.3261075e+11,1.4538172e+10,4444885.7
8000,40,0,1.0308149e+08,3.9796514e+16,4.4619667e+16,1.8055347e+21,0,9.6501186e+18,2.8056443e+18,4.32e+12,3.2379421e+16,1.0111893e+18,3.00297e+18,6.5808556e+20,0,2283644.3,0,2283644.3,0,1.35e+21,20368.702,6.4719643e-09,20368.702,0,0,1.5323758e+08,-7.6779903e+11,8.1981248e+09,-9.6495187e+10,-2.8057436e+10,-1.0112392e+10,-3.0027964e+10,5.0561958e+08,1.5013982e+09,2.498728e+10,2.498728e+10,2.2592594e+11,1.4120371e+10,6113067.4
10000,50,0,1.2206713e+08,5.0443596e+16,6.0521617e+16,1.7989015e+21,0,1.0771727e+19,2.6154707e+18,4.32e+12,3.2669541e+16,9.1634778e+17,3.3364908e+18,6.6352333e+20,0,3454183.2,0,3454183.2,0,1.35e+21,28790.832,1.4839316e-08,28790.832,0,0,1.4336773e+08,-5.706481e+11,7.9488325e+09,-1.0771204e+11,-2.6155618e+10,-9.1639289e+09,-3.3363309e+10,4.5819645e+08,1.6681655e+09,2.679759e+10,2.679759e+10,2.189044e+11,1.3681525e+10,8072289.7
12000,60,0,1.4140868e+08,6.1503555e+16,7.8030371e+16,1.7939305e+21,0,1.1744668e+19,2.4409512e+18,4.32e+12,3.2837945e+16,8.3044024e+17,3.642573e+18,6.6744835e+20,0,4913310.5,0,4913310.5,0,1.35e+21,38727.705,9.1822585e-09,38727.705,0,0,1.3413441e+08,-4.314611e+11,7.6863142e+09,-1.1744216e+11,-2.4410348e+10,-8.3048111e+09,-3.6424267e+10,4.1524056e+08,1.8212134e+09,2.8364189e+10,2.8364189e+10,2.1183489e+11,1.323968e+10,10316694
14000,70,0,1.608936e+08,7.3019852e+16,9.7009725e+16,1.7901431e+21,0,1.2581237e+19,2.28051e+18,4.32e+12,3.2908495e+16,7.5262261e+17,3.9217535e+18,6.7032906e+20,0,6680052.1,0,6680052.1,0,1.35e+21,50282.237,0,50282.237,0,9.765625e-08,1.2549658e+08,-3.3142866e+11,7.4182954e+09,-1.2580851e+11,-2.2805869e+10,-7.5265962e+09,-3.9216205e+10,3.7632981e+08,1.9608102e+09,2.970501e+10,2.970501e+10,2.0489035e+11,1.2805647e+10,12836615
16000,80,0,1.8034382e+08,8.5025286e+16,1.1732679e+17,1.7872133e+21,0,1.3293826e+19,2.1327819e+18,4.32e+12,3.2899014e+16,6.8213066e+17,4.1749101e+18,6.7248022e+20,0,8770471.1,0,8770471.1,0,1.35e+21,63559.621,-6.9485395e-09,63559.621,0,0,1.1741582e+08,-2.5826379e+11,7.1500513e+09,-1.3293499e+11,-2.1328528e+10,-6.8216419e+09,-4.1747898e+10,3.410821e+08,2.0873949e+09,3.0838904e+10,3.0838904e+10,1.9817226e+11,1.2385766e+10,15619564
18000,90,0,1.9961196e+08,9.754354e+16,1.3885335e+17,1.784916e+21,0,1.3894456e+19,1.9965738e+18,4.32e+12,3.28233e+16,6.1827256e+17,4.4031347e+18,6.7411589e+20,0,11197876,0,11197876,0,1.35e+21,78665.425,-3.1068339e-08,78665.425,0,0,1.0985622e+08,-2.0382223e+11,6.8852229e+09,-1.3894182e+11,-1.9966392e+10,-6.1830293e+09,-4.4030267e+10,3.0915147e+08,2.2015133e+09,3.1784659e+10,3.1784659e+10,1.9173754e+11,1.1983596e+10,18651060
