iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6492697e-310,1.2853246e-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001376e+15,7.9128962e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363456e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,65379.4,0,65379.4,0,1.35e+21,801.52803,-1.5091587e-08,801.52803,0,0,1.8712053e+08,-2.0950113e+12,8.7174231e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111055e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220911,1.9503273e+16,1.8187888e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286241e+16,1.2315019e+18,2.2544383e+18,6.3947308e+20,0,176747.9,0,176747.9,0,1.35e+21,1895.4151,3.4843424e-08,1895.4151,0,0,1.7506546e+08,-1.4698533e+12,8.6048773e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542381e+10,6.1578129e+08,1.1271191e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702226,2.9506582e+16,3.0474047e+16,1.8145451e+21,0,8.3684502e+18,3.0133115e+18,4.32e+12,3.1933944e+16,1.1158973e+18,2.6419986e+18,6.5042875e+20,0,340461.65,0,340461.65,0,1.35e+21,3296.6801,3.6289748e-08,3296.6801,0,0,1.6378786e+08,-1.0521478e+12,8.4225584e+09,-8.3677677e+10,-3.0134201e+10,-1.1159523e+10,-2.6418114e+10,5.5797613e+08,1.3209057e+09,2.2917895e+10,2.2917895e+10,2.3261075e+11,1.4538172e+10,4444883.7
8000,40,0,1.030814e+08,3.9796766e+16,4.4645389e+16,1.8055347e+21,0,9.6501184e+18,2.8056416e+18,4.32e+12,3.2378662e+16,1.0111891e+18,3.0029499e+18,6.5808556e+20,0,563700.92,0,563700.92,0,1.35e+21,5025.0009,2.6823727e-08,5025.0009,0,0,1.5323758e+08,-7.6779907e+11,8.1979328e+09,-9.6495184e+10,-2.8057409e+10,-1.0112389e+10,-3.0027763e+10,5.0561946e+08,1.5013881e+09,2.4987255e+10,2.4987255e+10,2.2592594e+11,1.4120371e+10,6113062.1
10000,50,0,1.2206695e+08,5.0444025e+16,6.0568634e+16,1.7989015e+21,0,1.0771727e+19,2.6154661e+18,4.32e+12,3.2668381e+16,9.163474e+17,3.3364545e+18,6.6352333e+20,0,852810.66,0,852810.66,0,1.35e+21,7102.7733,1.3182489e-07,7102.7733,0,0,1.4336773e+08,-5.7064817e+11,7.9485505e+09,-1.0771204e+11,-2.6155571e+10,-9.1639251e+09,-3.3362946e+10,4.5819626e+08,1.6681473e+09,2.6797547e+10,2.6797547e+10,2.189044e+11,1.3681525e+10,8072277.8
12000,60,0,1.4140835e+08,6.1504225e+16,7.8108474e+16,1.7939305e+21,0,1.1744666e+19,2.4409438e+18,4.32e+12,3.2836281e+16,8.3043966e+17,3.6425133e+18,6.6744834e+20,0,1213329.3,0,1213329.3,0,1.35e+21,9554.2485,-4.4934495e-08,9554.2485,0,0,1.3413441e+08,-4.3146122e+11,7.6859249e+09,-1.1744215e+11,-2.4410274e+10,-8.3048052e+09,-3.6423671e+10,4.1524026e+08,1.8211835e+09,2.8364118e+10,2.8364118e+10,2.1183488e+11,1.323968e+10,10316670
14000,70,0,1.6089305e+08,7.3020835e+16,9.7130909e+16,1.7901431e+21,0,1.2581235e+19,2.280499e+18,4.32e+12,3.2906215e+16,7.5262176e+17,3.9216621e+18,6.7032905e+20,0,1650030.7,0,1650030.7,0,1.35e+21,12404.821,0,12404.821,0,9.765625e-08,1.2549658e+08,-3.3142885e+11,7.4177816e+09,-1.2580849e+11,-2.2805759e+10,-7.5265877e+09,-3.9215291e+10,3.7632939e+08,1.9607645e+09,2.97049e+10,2.97049e+10,2.0489035e+11,1.2805647e+10,12836571
16000,80,0,1.8034296e+08,8.5026664e+16,1.1750538e+17,1.7872133e+21,0,1.3293823e+19,2.1327664e+18,4.32e+12,3.2895999e+16,6.8212948e+17,4.1747771e+18,6.724802e+20,0,2166972.9,0,2166972.9,0,1.35e+21,15680.445,-1.0433723e-08,15680.445,0,0,1.1741582e+08,-2.582641e+11,7.1493961e+09,-1.3293496e+11,-2.1328373e+10,-6.8216302e+09,-4.1746568e+10,3.4108151e+08,2.0873284e+09,3.0838746e+10,3.0838746e+10,1.9817226e+11,1.2385766e+10,15619489
18000,90,0,1.9961066e+08,9.7545403e+16,1.3910611e+17,1.784916e+21,0,1.3894452e+19,1.9965528e+18,4.32e+12,3.2819426e+16,6.1827098e+17,4.4029489e+18,6.7411586e+20,0,2767550,0,2767550,0,1.35e+21,19407.171,0,19407.171,0,9.765625e-08,1.0985622e+08,-2.0382268e+11,6.8844103e+09,-1.3894178e+11,-1.9966182e+10,-6.1830136e+09,-4.4028408e+10,3.0915068e+08,2.2014204e+09,3.1784438e+10,3.1784438e+10,1.9173753e+11,1.1983596e+10,18650939
