iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6681965e-310,-3.0708726e+279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001347e+15,7.9126763e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363477e+16,1.3591407e+18,1.8424328e+18,6.235428e+20,0,115688.73,0,115688.73,0,1.35e+21,1418.3414,1.2146961e-07,1418.3414,0,0,1.8712053e+08,-2.0950113e+12,8.7174291e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422213e+10,6.7960387e+08,9.2111063e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220914,1.950326e+16,1.818677e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286299e+16,1.2315019e+18,2.2544392e+18,6.3947308e+20,0,312744.56,0,312744.56,0,1.35e+21,3354.0246,-3.1292984e-08,3354.0246,0,0,1.7506546e+08,-1.4698533e+12,8.6048934e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.254239e+10,6.1578129e+08,1.1271195e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702235,2.9506549e+16,3.0470983e+16,1.8145451e+21,0,8.3684502e+18,3.0133119e+18,4.32e+12,3.1934058e+16,1.1158973e+18,2.642001e+18,6.5042875e+20,0,602402.43,0,602402.43,0,1.35e+21,5833.6251,3.0867341e-08,5833.6251,0,0,1.6378786e+08,-1.0521478e+12,8.4225885e+09,-8.3677677e+10,-3.0134204e+10,-1.1159523e+10,-2.6418138e+10,5.5797614e+08,1.3209069e+09,2.2917898e+10,2.2917898e+10,2.3261075e+11,1.4538172e+10,4444884.2
8000,40,0,1.0308142e+08,3.9796702e+16,4.4638905e+16,1.8055347e+21,0,9.6501185e+18,2.8056423e+18,4.32e+12,3.2378853e+16,1.0111892e+18,3.002955e+18,6.5808556e+20,0,997350.59,0,997350.59,0,1.35e+21,8891.9627,7.6834112e-09,8891.9627,0,0,1.5323758e+08,-7.6779906e+11,8.1979812e+09,-9.6495185e+10,-2.8057416e+10,-1.011239e+10,-3.0027813e+10,5.0561949e+08,1.5013907e+09,2.4987261e+10,2.4987261e+10,2.2592594e+11,1.4120371e+10,6113063.4
10000,50,0,1.22067e+08,5.0443917e+16,6.055678e+16,1.7989015e+21,0,1.0771727e+19,2.6154673e+18,4.32e+12,3.2668674e+16,9.1634749e+17,3.3364636e+18,6.6352333e+20,0,1508793.5,0,1508793.5,0,1.35e+21,12568.666,1.3555473e-07,12568.666,0,0,1.4336773e+08,-5.7064815e+11,7.9486216e+09,-1.0771204e+11,-2.6155583e+10,-9.1639261e+09,-3.3363038e+10,4.581963e+08,1.6681519e+09,2.6797558e+10,2.6797558e+10,2.189044e+11,1.3681525e+10,8072280.8
12000,60,0,1.4140843e+08,6.1504056e+16,7.808878e+16,1.7939305e+21,0,1.1744667e+19,2.4409457e+18,4.32e+12,3.2836701e+16,8.3043981e+17,3.6425283e+18,6.6744834e+20,0,2146502.3,0,2146502.3,0,1.35e+21,16906.648,2.7110218e-08,16906.648,0,0,1.3413441e+08,-4.3146119e+11,7.6860231e+09,-1.1744215e+11,-2.4410293e+10,-8.3048067e+09,-3.6423821e+10,4.1524034e+08,1.8211911e+09,2.8364136e+10,2.8364136e+10,2.1183488e+11,1.323968e+10,10316676
14000,70,0,1.6089319e+08,7.3020587e+16,9.7100348e+16,1.7901431e+21,0,1.2581236e+19,2.2805017e+18,4.32e+12,3.290679e+16,7.5262197e+17,3.9216851e+18,6.7032905e+20,0,2918888.8,0,2918888.8,0,1.35e+21,21950.842,0,21950.842,0,9.765625e-08,1.2549658e+08,-3.314288e+11,7.4179112e+09,-1.2580849e+11,-2.2805787e+10,-7.5265899e+09,-3.9215521e+10,3.7632949e+08,1.9607761e+09,2.9704928e+10,2.9704928e+10,2.0489035e+11,1.2805647e+10,12836582
16000,80,0,1.8034318e+08,8.5026317e+16,1.1746034e+17,1.7872133e+21,0,1.3293824e+19,2.1327703e+18,4.32e+12,3.2896759e+16,6.8212978e+17,4.1748106e+18,6.724802e+20,0,3833091.3,0,3833091.3,0,1.35e+21,27747.176,2.1518645e-08,27747.176,0,0,1.1741582e+08,-2.5826402e+11,7.1495614e+09,-1.3293497e+11,-2.1328412e+10,-6.8216331e+09,-4.1746904e+10,3.4108166e+08,2.0873452e+09,3.0838786e+10,3.0838786e+10,1.9817226e+11,1.2385766e+10,15619508
18000,90,0,1.9961099e+08,9.7544934e+16,1.3904235e+17,1.784916e+21,0,1.3894453e+19,1.9965581e+18,4.32e+12,3.2820403e+16,6.1827138e+17,4.4029958e+18,6.7411587e+20,0,4895066.2,0,4895066.2,0,1.35e+21,34341.742,-2.9380317e-08,34341.742,0,0,1.0985622e+08,-2.0382256e+11,6.8846154e+09,-1.3894179e+11,-1.9966235e+10,-6.1830176e+09,-4.4028877e+10,3.0915088e+08,2.2014439e+09,3.1784494e+10,3.1784494e+10,1.9173753e+11,1.1983596e+10,18650970
