iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.689855e-310,-4.6716783e-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.70014e+15,7.9130797e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363439e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,23407.982,0,23407.982,0,1.35e+21,286.9669,-2.107879e-08,286.9669,0,0,1.8712053e+08,-2.0950113e+12,8.7174181e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111048e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.9503284e+16,1.8188821e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286192e+16,1.2315019e+18,2.2544375e+18,6.3947308e+20,0,63283.359,0,63283.359,0,1.35e+21,678.6058,2.2546828e-08,678.6058,0,0,1.7506546e+08,-1.4698533e+12,8.604864e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542374e+10,6.1578128e+08,1.1271187e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702218,2.9506609e+16,3.0476604e+16,1.8145451e+21,0,8.3684502e+18,3.0133112e+18,4.32e+12,3.1933849e+16,1.1158972e+18,2.6419966e+18,6.5042875e+20,0,121903.9,0,121903.9,0,1.35e+21,1180.294,-3.1786612e-08,1180.294,0,0,1.6378786e+08,-1.0521478e+12,8.4225333e+09,-8.3677677e+10,-3.0134198e+10,-1.1159522e+10,-2.6418094e+10,5.5797612e+08,1.3209047e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.2
8000,40,0,1.0308138e+08,3.9796819e+16,4.4650799e+16,1.8055347e+21,0,9.6501183e+18,2.8056411e+18,4.32e+12,3.2378502e+16,1.0111891e+18,3.0029457e+18,6.5808556e+20,0,201843.3,0,201843.3,0,1.35e+21,1799.0768,2.1844016e-08,1799.0768,0,0,1.5323758e+08,-7.6779907e+11,8.1978924e+09,-9.6495184e+10,-2.8057404e+10,-1.0112389e+10,-3.002772e+10,5.0561944e+08,1.501386e+09,2.498725e+10,2.498725e+10,2.2592594e+11,1.4120371e+10,6113061
10000,50,0,1.2206691e+08,5.0444115e+16,6.0578526e+16,1.7989015e+21,0,1.0771726e+19,2.6154651e+18,4.32e+12,3.2668137e+16,9.1634732e+17,3.3364468e+18,6.6352333e+20,0,305377.13,0,305377.13,0,1.35e+21,2542.9728,1.1668544e-07,2542.9728,0,0,1.4336773e+08,-5.7064818e+11,7.9484911e+09,-1.0771204e+11,-2.6155561e+10,-9.1639243e+09,-3.336287e+10,4.5819622e+08,1.6681435e+09,2.6797537e+10,2.6797537e+10,2.189044e+11,1.3681525e+10,8072275.2
12000,60,0,1.4140828e+08,6.1504366e+16,7.8124907e+16,1.7939305e+21,0,1.1744666e+19,2.4409423e+18,4.32e+12,3.2835931e+16,8.3043953e+17,3.6425007e+18,6.6744834e+20,0,434493.23,0,434493.23,0,1.35e+21,3420.6647,9.2140908e-09,3420.6647,0,0,1.3413441e+08,-4.3146125e+11,7.6858429e+09,-1.1744215e+11,-2.4410259e+10,-8.304804e+09,-3.6423545e+10,4.152402e+08,1.8211773e+09,2.8364103e+10,2.8364103e+10,2.1183488e+11,1.323968e+10,10316665
14000,70,0,1.6089294e+08,7.3021042e+16,9.7156412e+16,1.7901431e+21,0,1.2581235e+19,2.2804967e+18,4.32e+12,3.2905735e+16,7.5262158e+17,3.9216428e+18,6.7032904e+20,0,590906.82,0,590906.82,0,1.35e+21,4441.2446,0,4441.2446,0,9.765625e-08,1.2549658e+08,-3.314289e+11,7.4176734e+09,-1.2580848e+11,-2.2805736e+10,-7.5265859e+09,-3.9215098e+10,3.763293e+08,1.9607549e+09,2.9704877e+10,2.9704877e+10,2.0489035e+11,1.2805647e+10,12836562
16000,80,0,1.8034278e+08,8.5026954e+16,1.1754297e+17,1.7872133e+21,0,1.3293823e+19,2.1327632e+18,4.32e+12,3.2895364e+16,6.8212923e+17,4.1747491e+18,6.7248019e+20,0,776077.97,0,776077.97,0,1.35e+21,5614.0056,1.6475497e-08,5614.0056,0,0,1.1741582e+08,-2.5826416e+11,7.1492582e+09,-1.3293495e+11,-2.1328341e+10,-6.8216277e+09,-4.1746288e+10,3.4108138e+08,2.0873144e+09,3.0838712e+10,3.0838712e+10,1.9817226e+11,1.2385766e+10,15619473
18000,90,0,1.9961039e+08,9.7545795e+16,1.3915933e+17,1.784916e+21,0,1.3894451e+19,1.9965484e+18,4.32e+12,3.2818609e+16,6.1827065e+17,4.4029097e+18,6.7411586e+20,0,991230.26,0,991230.26,0,1.35e+21,6948.2743,-7.7598088e-09,6948.2743,0,0,1.0985622e+08,-2.0382277e+11,6.8842391e+09,-1.3894177e+11,-1.9966138e+10,-6.1830103e+09,-4.4028017e+10,3.0915051e+08,2.2014008e+09,3.1784391e+10,3.1784391e+10,1.9173753e+11,1.1983596e+10,18650914
