iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6729336e-310,1.3628247e+242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971105,9.6996013e+15,7.8722241e+15,1.844626e+21,0,5.2931979e+18,3.4903374e+18,4.32e+12,3.0367303e+16,1.3591412e+18,1.842464e+18,6.235428e+20,0,9355027.5,0,9355027.5,0,1.35e+21,115275.13,5.6839781e-08,115275.13,0,0,1.8712053e+08,-2.0950113e+12,8.7185267e+09,-5.2923425e+10,-3.4904684e+10,-1.3592083e+10,-1.8422524e+10,6.7960413e+08,9.2112621e+08,1.7972166e+10,1.7972166e+10,2.4274053e+11,1.5171283e+10,1978864.1
4000,20,0,67221476,1.9500864e+16,1.7981925e+16,1.8270175e+21,0,6.917625e+18,3.240683e+18,4.32e+12,3.1296933e+16,1.2315041e+18,2.2546012e+18,6.3947308e+20,0,25133360,0,25133360,0,1.35e+21,272578.51,-1.1234079e-08,272578.51,0,0,1.7506546e+08,-1.4698531e+12,8.6078169e+09,-6.9168563e+10,-3.240802e+10,-1.2315649e+10,-2.254401e+10,6.1578243e+08,1.1272005e+09,2.0579687e+10,2.0579687e+10,2.3848026e+11,1.4905016e+10,3068655
6000,30,0,84703985,2.9500565e+16,2.9912332e+16,1.8145451e+21,0,8.3684546e+18,3.013372e+18,4.32e+12,3.1954745e+16,1.1159028e+18,2.6424418e+18,6.5042878e+20,0,48065218,0,48065218,0,1.35e+21,474055.48,-1.5774276e-08,474055.48,0,0,1.6378786e+08,-1.0521472e+12,8.4280432e+09,-8.367772e+10,-3.0134806e+10,-1.1159578e+10,-2.6422544e+10,5.5797891e+08,1.3211272e+09,2.2918431e+10,2.2918431e+10,2.3261076e+11,1.4538173e+10,4444976
8000,40,0,1.0308553e+08,3.9785e+16,4.3463301e+16,1.8055348e+21,0,9.6501301e+18,2.8057638e+18,4.32e+12,3.2413248e+16,1.0111998e+18,3.003874e+18,6.5808563e+20,0,78929190,0,78929190,0,1.35e+21,722517.97,-2.7008355e-08,722517.97,0,0,1.5323758e+08,-7.6779754e+11,8.2066878e+09,-9.6495301e+10,-2.8058631e+10,-1.0112496e+10,-3.0037001e+10,5.056248e+08,1.50185e+09,2.4988371e+10,2.4988371e+10,2.2592597e+11,1.4120373e+10,6113307.3
10000,50,0,1.2207521e+08,5.0423956e+16,5.8420918e+16,1.7989015e+21,0,1.0771752e+19,2.6156787e+18,4.32e+12,3.2720759e+16,9.1636528e+17,3.3381144e+18,6.6352349e+20,0,1.1830858e+08,0,1.1830858e+08,0,1.35e+21,1021165.3,5.7276338e-08,1021165.3,0,0,1.4336773e+08,-5.7064506e+11,7.9612921e+09,-1.0771229e+11,-2.6157697e+10,-9.1641039e+09,-3.3379541e+10,4.582052e+08,1.668977e+09,2.6799544e+10,2.6799544e+10,2.1890445e+11,1.3681528e+10,8072824
12000,60,0,1.4142316e+08,6.1472876e+16,7.4564711e+16,1.7939306e+21,0,1.1744714e+19,2.4412795e+18,4.32e+12,3.2910698e+16,8.3046714e+17,3.6452184e+18,6.6744865e+20,0,1.6659315e+08,0,1.6659315e+08,0,1.35e+21,1373460.1,3.7951395e-08,1373460.1,0,0,1.3413441e+08,-4.314557e+11,7.7033406e+09,-1.1744263e+11,-2.4413631e+10,-8.30508e+09,-3.6450715e+10,4.15254e+08,1.8225358e+09,2.8367365e+10,2.8367365e+10,2.1183498e+11,1.3239686e+10,10317751
14000,70,0,1.6091762e+08,7.2974805e+16,9.1672885e+16,1.7901432e+21,0,1.2581317e+19,2.2809937e+18,4.32e+12,3.3007075e+16,7.5266152e+17,3.9257748e+18,6.7032957e+20,0,2.2398502e+08,0,2.2398502e+08,0,1.35e+21,1783025.5,0,1783025.5,0,9.765625e-08,1.2549658e+08,-3.3141985e+11,7.4405144e+09,-1.2580931e+11,-2.2810706e+10,-7.5269854e+09,-3.925641e+10,3.7634927e+08,1.9628205e+09,2.9709825e+10,2.9709825e+10,2.0489051e+11,1.2805657e+10,12838531
16000,80,0,1.8038134e+08,8.4962123e+16,1.0952627e+17,1.7872135e+21,0,1.3293955e+19,2.1334586e+18,4.32e+12,3.3027778e+16,6.8218453e+17,4.1807099e+18,6.7248103e+20,0,2.9050778e+08,0,2.9050778e+08,0,1.35e+21,2253562.1,-2.3748726e-08,2253562.1,0,0,1.1741582e+08,-2.5825036e+11,7.1780325e+09,-1.3293628e+11,-2.1335294e+10,-6.8221805e+09,-4.1805887e+10,3.4110903e+08,2.0902943e+09,3.0845833e+10,3.0845833e+10,1.981725e+11,1.2385782e+10,15622814
18000,90,0,1.9966786e+08,9.7458096e+16,1.2791138e+17,1.7849164e+21,0,1.3894652e+19,1.9974823e+18,4.32e+12,3.298659e+16,6.1834461e+17,4.4111604e+18,6.7411713e+20,0,3.6601798e+08,0,3.6601798e+08,0,1.35e+21,2788780.2,0,2788780.2,0,9.765625e-08,1.0985622e+08,-2.0380276e+11,6.9194717e+09,-1.3894377e+11,-1.9975476e+10,-6.1837497e+09,-4.4110511e+10,3.0918749e+08,2.2055256e+09,3.1794227e+10,3.1794227e+10,1.9173789e+11,1.1983618e+10,18656283
