iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6603777e-310,4.7661769e+55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971023,9.7000742e+15,7.9080745e+15,1.844626e+21,0,5.2931978e+18,3.4903334e+18,4.32e+12,3.0363913e+16,1.3591408e+18,1.8424363e+18,6.235428e+20,0,1168314.8,0,1168314.8,0,1.35e+21,14331.755,-4.2176907e-08,14331.755,0,0,1.8712053e+08,-2.0950113e+12,8.7175541e+09,-5.2923424e+10,-3.4904643e+10,-1.3592078e+10,-1.8422248e+10,6.796039e+08,9.2111241e+08,1.7972132e+10,1.7972132e+10,2.4274053e+11,1.5171283e+10,1978860.9
4000,20,0,67220979,1.9502989e+16,1.8163381e+16,1.8270175e+21,0,6.917624e+18,3.2406628e+18,4.32e+12,3.1287517e+16,1.2315021e+18,2.2544577e+18,6.3947308e+20,0,3156111.7,0,3156111.7,0,1.35e+21,33890.776,1.6538252e-08,33890.776,0,0,1.7506546e+08,-1.4698533e+12,8.6052282e+09,-6.9168553e+10,-3.2407818e+10,-1.2315628e+10,-2.2542575e+10,6.1578142e+08,1.1271288e+09,2.0579512e+10,2.0579512e+10,2.3848026e+11,1.4905016e+10,3068632.3
6000,30,0,84702436,2.9505871e+16,3.0406922e+16,1.8145451e+21,0,8.3684507e+18,3.0133187e+18,4.32e+12,3.1936443e+16,1.1158979e+18,2.6420516e+18,6.5042875e+20,0,6074271.9,0,6074271.9,0,1.35e+21,58945.391,0,58945.391,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.4232171e+09,-8.3677682e+10,-3.0134273e+10,-1.1159529e+10,-2.6418643e+10,5.5797646e+08,1.3209322e+09,2.2917959e+10,2.2917959e+10,2.3261075e+11,1.4538172e+10,4444894.7
8000,40,0,1.0308189e+08,3.9795375e+16,4.450344e+16,1.8055347e+21,0,9.6501198e+18,2.8056563e+18,4.32e+12,3.2382846e+16,1.0111904e+18,3.0030609e+18,6.5808556e+20,0,10047302,0,10047302,0,1.35e+21,89847.185,2.4563633e-08,89847.185,0,0,1.5323758e+08,-7.6779888e+11,8.1989918e+09,-9.6495198e+10,-2.8057556e+10,-1.0112402e+10,-3.0028872e+10,5.0562009e+08,1.5014436e+09,2.4987389e+10,2.4987389e+10,2.2592594e+11,1.4120371e+10,6113091.5
10000,50,0,1.2206795e+08,5.0441653e+16,6.0309319e+16,1.7989015e+21,0,1.077173e+19,2.6154918e+18,4.32e+12,3.2674768e+16,9.1634951e+17,3.336655e+18,6.6352335e+20,0,15183540,0,15183540,0,1.35e+21,126996.29,1.1881639e-07,126996.29,0,0,1.4336773e+08,-5.7064779e+11,7.9501042e+09,-1.0771207e+11,-2.6155828e+10,-9.1639462e+09,-3.3364951e+10,4.5819731e+08,1.6682475e+09,2.6797788e+10,2.6797788e+10,2.189044e+11,1.3681525e+10,8072343.7
12000,60,0,1.4141015e+08,6.1500521e+16,7.7678004e+16,1.7939305e+21,0,1.1744672e+19,2.4409846e+18,4.32e+12,3.2845438e+16,8.3044291e+17,3.6428421e+18,6.6744838e+20,0,21575575,0,21575575,0,1.35e+21,170825.97,0,170825.97,0,9.765625e-08,1.3413441e+08,-4.3146056e+11,7.6880677e+09,-1.1744221e+11,-2.4410682e+10,-8.3048377e+09,-3.6426958e+10,4.1524189e+08,1.8213479e+09,2.8364512e+10,2.8364512e+10,2.118349e+11,1.3239681e+10,10316802
14000,70,0,1.6089606e+08,7.3015398e+16,9.6463491e+16,1.7901431e+21,0,1.2581245e+19,2.2805595e+18,4.32e+12,3.2918748e+16,7.5262646e+17,3.9221655e+18,6.7032911e+20,0,29300927,0,29300927,0,1.35e+21,221789.84,0,221789.84,0,9.765625e-08,1.2549658e+08,-3.3142776e+11,7.4206065e+09,-1.2580859e+11,-2.2806364e+10,-7.5266347e+09,-3.9220325e+10,3.7633174e+08,1.9610162e+09,2.9705503e+10,2.9705503e+10,2.0489037e+11,1.2805648e+10,12836811
16000,80,0,1.8034769e+08,8.5019043e+16,1.1652259e+17,1.7872133e+21,0,1.3293839e+19,2.1328518e+18,4.32e+12,3.2912553e+16,6.8213599e+17,4.175509e+18,6.724803e+20,0,38422862,0,38422862,0,1.35e+21,280351.55,3.160676e-08,280351.55,0,0,1.1741582e+08,-2.5826242e+11,7.1529933e+09,-1.3293512e+11,-2.1329226e+10,-6.8216952e+09,-4.1753886e+10,3.4108476e+08,2.0876943e+09,3.0839619e+10,3.0839619e+10,1.9817229e+11,1.2385768e+10,15619899
18000,90,0,1.9961777e+08,9.75351e+16,1.3771641e+17,1.784916e+21,0,1.3894476e+19,1.9966683e+18,4.32e+12,3.2840673e+16,6.1827969e+17,4.4039705e+18,6.7411602e+20,0,48991287,0,48991287,0,1.35e+21,346976.35,-2.0081643e-08,346976.35,0,0,1.0985622e+08,-2.0382023e+11,6.8888667e+09,-1.3894202e+11,-1.9967337e+10,-6.1831006e+09,-4.4038623e+10,3.0915503e+08,2.2019312e+09,3.1785655e+10,3.1785655e+10,1.9173757e+11,1.1983598e+10,18651603
20000,100,0,2.1858614e+08,1.1057947e+17,1.5991132e+17,1.7830932e+21,0,1.439455e+19,1.8709587e+18,4.32e+12,3.2714152e+16,5.6043122e+17,4.6087783e+18,6.753835e+20,0,61043674,0,61043674,0,1.35e+21,422124.51,-2.2759195e-08,422124.51,0,0,1.0278416e+08,-1.626261e+11,6.6307435e+09,-1.4394323e+11,-1.8710191e+10,-5.6045874e+09,-4.6086816e+10,2.8022937e+08,2.3043408e+09,3.2561765e+10,3.2561765e+10,1.8561524e+11,1.1600952e+10,21916158
22000,110,0,2.3715639e+08,1.2416153e+17,1.8297955e+17,1.7816321e+21,0,1.4804698e+19,1.754792e+18,4.32e+12,3.254205e+16,5.0802354e+17,4.7912337e+18,6.7638507e+20,0,74605993,0,74605993,0,1.35e+21,506246.28,-1.5308615e-08,506246.28,0,0,96168198,-1.3094858e+11,6.3803519e+09,-1.4804514e+11,-1.7548479e+10,-5.0804847e+09,-4.7911478e+10,2.5402424e+08,2.3955739e+09,3.3185151e+10,3.3185151e+10,1.7981675e+11,1.1238547e+10,25397058
24000,120,0,2.5525276e+08,1.3828521e+17,2.0679955e+17,1.7804513e+21,0,1.5134752e+19,1.6473398e+18,4.32e+12,3.2331959e+16,4.6054327e+17,4.9526717e+18,6.771925e+20,0,89693630,0,89693630,0,1.35e+21,599777.97,-2.0954758e-09,599777.97,0,0,89978920,-1.0621037e+11,6.1388515e+09,-1.5134606e+11,-1.6473915e+10,-4.6056586e+09,-4.952596e+10,2.3028293e+08,2.476298e+09,3.3671899e+10,3.3671899e+10,1.7434258e+11,1.0896411e+10,29077523
