iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6617153e-310,-6.8067574e-273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.700139e+15,7.9130038e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363446e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,40761.785,0,40761.785,0,1.35e+21,499.71816,3.5340065e-08,499.71816,0,0,1.8712053e+08,-2.0950113e+12,8.7174202e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111051e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220910,1.950328e+16,1.8188435e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286213e+16,1.2315019e+18,2.2544378e+18,6.3947308e+20,0,110198,0,110198,0,1.35e+21,1181.7098,4.4951094e-08,1181.7098,0,0,1.7506546e+08,-1.4698533e+12,8.6048695e+09,-6.9168552e+10,-3.240779e+10,-1.2315626e+10,-2.2542377e+10,6.1578128e+08,1.1271188e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702221,2.9506598e+16,3.0475547e+16,1.8145451e+21,0,8.3684502e+18,3.0133114e+18,4.32e+12,3.1933888e+16,1.1158973e+18,2.6419974e+18,6.5042875e+20,0,212273.57,0,212273.57,0,1.35e+21,2055.3387,4.640151e-08,2055.3387,0,0,1.6378786e+08,-1.0521478e+12,8.4225437e+09,-8.3677677e+10,-3.0134199e+10,-1.1159522e+10,-2.6418102e+10,5.5797612e+08,1.3209051e+09,2.2917893e+10,2.2917893e+10,2.3261075e+11,1.4538172e+10,4444883.4
8000,40,0,1.0308138e+08,3.9796797e+16,4.4648562e+16,1.8055347e+21,0,9.6501184e+18,2.8056413e+18,4.32e+12,3.2378568e+16,1.0111891e+18,3.0029474e+18,6.5808556e+20,0,351468.14,0,351468.14,0,1.35e+21,3132.8734,-3.4994628e-08,3132.8734,0,0,1.5323758e+08,-7.6779907e+11,8.1979091e+09,-9.6495184e+10,-2.8057406e+10,-1.0112389e+10,-3.0027738e+10,5.0561945e+08,1.5013869e+09,2.4987252e+10,2.4987252e+10,2.2592594e+11,1.4120371e+10,6113061.4
10000,50,0,1.2206693e+08,5.0444078e+16,6.0574436e+16,1.7989015e+21,0,1.0771727e+19,2.6154655e+18,4.32e+12,3.2668238e+16,9.1634735e+17,3.33645e+18,6.6352333e+20,0,531741.52,0,531741.52,0,1.35e+21,4428.2769,1.3526824e-07,4428.2769,0,0,1.4336773e+08,-5.7064817e+11,7.9485157e+09,-1.0771204e+11,-2.6155565e+10,-9.1639246e+09,-3.3362901e+10,4.5819623e+08,1.6681451e+09,2.6797541e+10,2.6797541e+10,2.189044e+11,1.3681525e+10,8072276.3
12000,60,0,1.4140831e+08,6.1504307e+16,7.8118112e+16,1.7939305e+21,0,1.1744666e+19,2.4409429e+18,4.32e+12,3.2836076e+16,8.3043958e+17,3.6425059e+18,6.6744834e+20,0,756551.72,0,756551.72,0,1.35e+21,5956.6691,3.1384843e-08,5956.6691,0,0,1.3413441e+08,-4.3146124e+11,7.6858768e+09,-1.1744215e+11,-2.4410265e+10,-8.3048045e+09,-3.6423597e+10,4.1524022e+08,1.8211798e+09,2.8364109e+10,2.8364109e+10,2.1183488e+11,1.323968e+10,10316667
14000,70,0,1.6089298e+08,7.3020956e+16,9.7145866e+16,1.7901431e+21,0,1.2581235e+19,2.2804976e+18,4.32e+12,3.2905933e+16,7.5262165e+17,3.9216508e+18,6.7032905e+20,0,1028881.2,0,1028881.2,0,1.35e+21,7733.8824,0,7733.8824,0,9.765625e-08,1.2549658e+08,-3.3142888e+11,7.4177181e+09,-1.2580849e+11,-2.2805746e+10,-7.5265867e+09,-3.9215178e+10,3.7632933e+08,1.9607589e+09,2.9704887e+10,2.9704887e+10,2.0489035e+11,1.2805647e+10,12836566
16000,80,0,1.8034285e+08,8.5026834e+16,1.1752743e+17,1.7872133e+21,0,1.3293823e+19,2.1327645e+18,4.32e+12,3.2895626e+16,6.8212934e+17,4.1747606e+18,6.7248019e+20,0,1351267.4,0,1351267.4,0,1.35e+21,9776.0994,-2.2228051e-08,9776.0994,0,0,1.1741582e+08,-2.5826413e+11,7.1493152e+09,-1.3293496e+11,-2.1328354e+10,-6.8216287e+09,-4.1746404e+10,3.4108144e+08,2.0873202e+09,3.0838726e+10,3.0838726e+10,1.9817226e+11,1.2385766e+10,15619480
18000,90,0,1.9961051e+08,9.7545633e+16,1.3913732e+17,1.784916e+21,0,1.3894451e+19,1.9965502e+18,4.32e+12,3.2818947e+16,6.1827079e+17,4.4029259e+18,6.7411586e+20,0,1725834.9,0,1725834.9,0,1.35e+21,12099.561,-2.8372597e-08,12099.561,0,0,1.0985622e+08,-2.0382273e+11,6.8843099e+09,-1.3894177e+11,-1.9966156e+10,-6.1830116e+09,-4.4028179e+10,3.0915058e+08,2.2014089e+09,3.1784411e+10,3.1784411e+10,1.9173753e+11,1.1983596e+10,18650924
