iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6567942e-310,-1.3171596e-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971038,9.6999876e+15,7.9014925e+15,1.844626e+21,0,5.2931978e+18,3.4903342e+18,4.32e+12,3.0364536e+16,1.3591409e+18,1.8424414e+18,6.235428e+20,0,2673201.8,0,2673201.8,0,1.35e+21,32819.262,9.0920366e-08,32819.262,0,0,1.8712053e+08,-2.0950113e+12,8.7177328e+09,-5.2923424e+10,-3.4904651e+10,-1.3592079e+10,-1.8422299e+10,6.7960394e+08,9.2111494e+08,1.7972139e+10,1.7972139e+10,2.4274053e+11,1.5171283e+10,1978861.5
4000,20,0,67221070,1.95026e+16,1.8129965e+16,1.8270175e+21,0,6.9176242e+18,3.2406665e+18,4.32e+12,3.1289255e+16,1.2315025e+18,2.2544841e+18,6.3947308e+20,0,7214166.9,0,7214166.9,0,1.35e+21,77607.939,4.7148205e-08,77607.939,0,0,1.7506546e+08,-1.4698532e+12,8.6057061e+09,-6.9168555e+10,-3.2407856e+10,-1.2315632e+10,-2.2542839e+10,6.1578161e+08,1.127142e+09,2.0579545e+10,2.0579545e+10,2.3848026e+11,1.4905016e+10,3068636.5
6000,30,0,84702722,2.9504899e+16,3.0315523e+16,1.8145451e+21,0,8.3684514e+18,3.0133286e+18,4.32e+12,3.1939839e+16,1.1158988e+18,2.6421237e+18,6.5042876e+20,0,13868210,0,13868210,0,1.35e+21,134979.82,0,134979.82,0,9.765625e-08,1.6378786e+08,-1.0521476e+12,8.4241126e+09,-8.3677689e+10,-3.0134371e+10,-1.1159538e+10,-2.6419364e+10,5.5797691e+08,1.3209682e+09,2.2918046e+10,2.2918046e+10,2.3261076e+11,1.4538172e+10,4444909.7
8000,40,0,1.0308257e+08,3.9793475e+16,4.431046e+16,1.8055347e+21,0,9.6501217e+18,2.8056763e+18,4.32e+12,3.238852e+16,1.0111921e+18,3.0032118e+18,6.5808558e+20,0,22908451,0,22908451,0,1.35e+21,205739.2,3.5739504e-08,205739.2,0,0,1.5323758e+08,-7.6779864e+11,8.2004282e+09,-9.6495217e+10,-2.8057756e+10,-1.0112419e+10,-3.0030381e+10,5.0562095e+08,1.501519e+09,2.4987571e+10,2.4987571e+10,2.2592595e+11,1.4120372e+10,6113131.5
10000,50,0,1.220693e+08,5.0438412e+16,5.9957394e+16,1.7989015e+21,0,1.0771734e+19,2.6155266e+18,4.32e+12,3.2683409e+16,9.163524e+17,3.336927e+18,6.6352337e+20,0,34567263,0,34567263,0,1.35e+21,290801.36,1.4493708e-07,290801.36,0,0,1.4336773e+08,-5.7064729e+11,7.9522062e+09,-1.0771211e+11,-2.6156176e+10,-9.1639751e+09,-3.3367671e+10,4.5819876e+08,1.6683835e+09,2.6798115e+10,2.6798115e+10,2.1890441e+11,1.3681526e+10,8072433.2
12000,60,0,1.4141259e+08,6.1495459e+16,7.7094935e+16,1.7939306e+21,0,1.174468e+19,2.4410399e+18,4.32e+12,3.2857789e+16,8.3044735e+17,3.6432874e+18,6.6744843e+20,0,49036996,0,49036996,0,1.35e+21,391157.3,-4.6566129e-10,391157.3,0,0,1.3413441e+08,-4.3145965e+11,7.6909583e+09,-1.1744229e+11,-2.4411235e+10,-8.3048821e+09,-3.643141e+10,4.152441e+08,1.8215705e+09,2.8365046e+10,2.8365046e+10,2.1183491e+11,1.3239682e+10,10316980
14000,70,0,1.6090012e+08,7.3007967e+16,9.5561412e+16,1.7901431e+21,0,1.2581259e+19,2.2806413e+18,4.32e+12,3.2935601e+16,7.5263288e+17,3.9228458e+18,6.703292e+20,0,66471375,0,66471375,0,1.35e+21,507844.51,0,507844.51,0,9.765625e-08,1.2549658e+08,-3.3142628e+11,7.4244049e+09,-1.2580872e+11,-2.2807182e+10,-7.526699e+09,-3.9227126e+10,3.7633495e+08,1.9613563e+09,2.9706317e+10,2.9706317e+10,2.048904e+11,1.280565e+10,12837135
16000,80,0,1.8035407e+08,8.5008627e+16,1.1519737e+17,1.7872134e+21,0,1.3293861e+19,2.1329668e+18,4.32e+12,3.2934733e+16,6.8214488e+17,4.1764955e+18,6.7248044e+20,0,86987309,0,86987309,0,1.35e+21,641923.18,0,641923.18,0,9.765625e-08,1.1741582e+08,-2.5826015e+11,7.1578133e+09,-1.3293534e+11,-2.1330376e+10,-6.8217841e+09,-4.1763749e+10,3.4108921e+08,2.0881875e+09,3.0840797e+10,3.0840797e+10,1.9817233e+11,1.2385771e+10,15620451
18000,90,0,1.9962733e+08,9.7521015e+16,1.3584727e+17,1.7849161e+21,0,1.3894509e+19,1.9968237e+18,4.32e+12,3.2869033e+16,6.1829158e+17,4.4053437e+18,6.7411623e+20,0,1.1066693e+08,0,1.1066693e+08,0,1.35e+21,794457.1,4.6915375e-08,794457.1,0,0,1.0985622e+08,-2.0381692e+11,6.894815e+09,-1.3894235e+11,-1.996889e+10,-6.1832196e+09,-4.4052352e+10,3.0916098e+08,2.2026176e+09,3.178729e+10,3.178729e+10,1.9173763e+11,1.1983602e+10,18652496
