iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6588525e-310,1.7357779e-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971016,9.700113e+15,7.9110303e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363633e+16,1.3591407e+18,1.8424341e+18,6.235428e+20,0,492247.35,0,492247.35,0,1.35e+21,6036.1835,-3.8973667e-08,6036.1835,0,0,1.8712053e+08,-2.0950113e+12,8.7174738e+09,-5.2923424e+10,-3.490464e+10,-1.3592078e+10,-1.8422225e+10,6.7960388e+08,9.2111127e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220937,1.9503163e+16,1.8178401e+16,1.8270175e+21,0,6.9176239e+18,3.2406611e+18,4.32e+12,3.1286735e+16,1.231502e+18,2.2544458e+18,6.3947308e+20,0,1330370.4,0,1330370.4,0,1.35e+21,14274.033,2.5685949e-08,14274.033,0,0,1.7506546e+08,-1.4698533e+12,8.6050132e+09,-6.9168552e+10,-3.2407802e+10,-1.2315627e+10,-2.2542456e+10,6.1578134e+08,1.1271228e+09,2.0579498e+10,2.0579498e+10,2.3848026e+11,1.4905016e+10,3068630.4
6000,30,0,84702307,2.9506307e+16,3.0448054e+16,1.8145451e+21,0,8.3684504e+18,3.0133143e+18,4.32e+12,3.1934912e+16,1.1158975e+18,2.6420191e+18,6.5042875e+20,0,2561783.9,0,2561783.9,0,1.35e+21,24826.619,3.3091055e-08,24826.619,0,0,1.6378786e+08,-1.0521478e+12,8.4228136e+09,-8.3677679e+10,-3.0134229e+10,-1.1159525e+10,-2.6418319e+10,5.5797626e+08,1.3209159e+09,2.2917919e+10,2.2917919e+10,2.3261075e+11,1.4538172e+10,4444887.9
8000,40,0,1.0308159e+08,3.9796228e+16,4.4590399e+16,1.8055347e+21,0,9.6501189e+18,2.8056473e+18,4.32e+12,3.2380284e+16,1.0111896e+18,3.0029929e+18,6.5808556e+20,0,4239927.1,0,4239927.1,0,1.35e+21,37842.088,3.9974111e-08,37842.088,0,0,1.5323758e+08,-7.67799e+11,8.1983433e+09,-9.649519e+10,-2.8057466e+10,-1.0112394e+10,-3.0028193e+10,5.0561971e+08,1.5014096e+09,2.4987307e+10,2.4987307e+10,2.2592594e+11,1.4120371e+10,6113073.5
10000,50,0,1.2206734e+08,5.0443107e+16,6.0468132e+16,1.7989015e+21,0,1.0771728e+19,2.615476e+18,4.32e+12,3.2670859e+16,9.1634821e+17,3.3365322e+18,6.6352333e+20,0,6411745.9,0,6411745.9,0,1.35e+21,53489.048,1.3356475e-07,53489.048,0,0,1.4336773e+08,-5.7064802e+11,7.9491532e+09,-1.0771205e+11,-2.6155671e+10,-9.1639333e+09,-3.3363723e+10,4.5819666e+08,1.6681861e+09,2.679764e+10,2.679764e+10,2.189044e+11,1.3681525e+10,8072303.3
12000,60,0,1.4140905e+08,6.1502792e+16,7.7941553e+16,1.7939305e+21,0,1.1744669e+19,2.4409596e+18,4.32e+12,3.2839836e+16,8.3044091e+17,3.6426408e+18,6.6744836e+20,0,9117893.5,0,9117893.5,0,1.35e+21,71950.072,-2.1056621e-08,71950.072,0,0,1.3413441e+08,-4.3146096e+11,7.6867567e+09,-1.1744217e+11,-2.4410433e+10,-8.3048178e+09,-3.6424945e+10,4.1524089e+08,1.8212473e+09,2.8364271e+10,2.8364271e+10,2.1183489e+11,1.3239681e+10,10316721
14000,70,0,1.6089422e+08,7.3018732e+16,9.6871965e+16,1.7901431e+21,0,1.2581239e+19,2.2805225e+18,4.32e+12,3.2911084e+16,7.5262357e+17,3.9218574e+18,6.7032907e+20,0,12393033,0,12393033,0,1.35e+21,93416.328,0,93416.328,0,9.765625e-08,1.2549658e+08,-3.3142843e+11,7.4188791e+09,-1.2580853e+11,-2.2805994e+10,-7.5266059e+09,-3.9217244e+10,3.763303e+08,1.9608622e+09,2.9705134e+10,2.9705134e+10,2.0489036e+11,1.2805647e+10,12836664
16000,80,0,1.803448e+08,8.5023716e+16,1.1712385e+17,1.7872133e+21,0,1.329383e+19,2.1327996e+18,4.32e+12,3.2902436e+16,6.82132e+17,4.1750612e+18,6.7248024e+20,0,16266196,0,16266196,0,1.35e+21,118083.21,-3.3556717e-08,118083.21,0,0,1.1741582e+08,-2.5826345e+11,7.1507949e+09,-1.3293502e+11,-2.1328704e+10,-6.8216553e+09,-4.174941e+10,3.4108277e+08,2.0874705e+09,3.0839085e+10,3.0839085e+10,1.9817227e+11,1.2385767e+10,15619648
18000,90,0,1.9961343e+08,9.7541418e+16,1.3856625e+17,1.784916e+21,0,1.3894461e+19,1.9965977e+18,4.32e+12,3.2827696e+16,6.1827435e+17,4.4033458e+18,6.7411592e+20,0,20761164,0,20761164,0,1.35e+21,146146.8,3.0151568e-08,146146.8,0,0,1.0985622e+08,-2.0382172e+11,6.8861449e+09,-1.3894187e+11,-1.9966631e+10,-6.1830473e+09,-4.4032377e+10,3.0915236e+08,2.2016189e+09,3.1784911e+10,3.1784911e+10,1.9173755e+11,1.1983597e+10,18651197
