iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6737237e-310,-2.8503566e-206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971014,9.7001271e+15,7.9121002e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363532e+16,1.3591407e+18,1.8424332e+18,6.235428e+20,0,247502.06,0,247502.06,0,1.35e+21,3034.5884,3.0282081e-08,3034.5884,0,0,1.8712053e+08,-2.0950113e+12,8.7174447e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422217e+10,6.7960387e+08,9.2111085e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220922,1.9503226e+16,1.818384e+16,1.8270175e+21,0,6.9176239e+18,3.2406605e+18,4.32e+12,3.1286452e+16,1.2315019e+18,2.2544415e+18,6.3947308e+20,0,669020.14,0,669020.14,0,1.35e+21,7176.04,2.048273e-08,7176.04,0,0,1.7506546e+08,-1.4698533e+12,8.6049353e+09,-6.9168552e+10,-3.2407795e+10,-1.2315626e+10,-2.2542413e+10,6.1578131e+08,1.1271207e+09,2.0579493e+10,2.0579493e+10,2.3848026e+11,1.4905016e+10,3068629.7
6000,30,0,84702261,2.9506465e+16,3.0462955e+16,1.8145451e+21,0,8.3684503e+18,3.0133127e+18,4.32e+12,3.1934357e+16,1.1158974e+18,2.6420074e+18,6.5042875e+20,0,1288521.5,0,1288521.5,0,1.35e+21,12481.208,2.6395355e-08,12481.208,0,0,1.6378786e+08,-1.0521478e+12,8.4226673e+09,-8.3677678e+10,-3.0134213e+10,-1.1159524e+10,-2.6418201e+10,5.5797618e+08,1.3209101e+09,2.2917905e+10,2.2917905e+10,2.3261075e+11,1.4538172e+10,4444885.5
8000,40,0,1.0308148e+08,3.9796536e+16,4.462192e+16,1.8055347e+21,0,9.6501186e+18,2.8056441e+18,4.32e+12,3.2379354e+16,1.0111893e+18,3.0029683e+18,6.5808556e+20,0,2133054.6,0,2133054.6,0,1.35e+21,19024.585,-3.0071533e-08,19024.585,0,0,1.5323758e+08,-7.6779904e+11,8.198108e+09,-9.6495187e+10,-2.8057434e+10,-1.0112391e+10,-3.0027946e+10,5.0561957e+08,1.5013973e+09,2.4987278e+10,2.4987278e+10,2.2592594e+11,1.4120371e+10,6113066.9
10000,50,0,1.2206712e+08,5.0443634e+16,6.0525733e+16,1.7989015e+21,0,1.0771727e+19,2.6154703e+18,4.32e+12,3.2669439e+16,9.1634775e+17,3.3364876e+18,6.6352333e+20,0,3226461.6,0,3226461.6,0,1.35e+21,26890.949,1.2087912e-07,26890.949,0,0,1.4336773e+08,-5.706481e+11,7.9488078e+09,-1.0771204e+11,-2.6155614e+10,-9.1639286e+09,-3.3363278e+10,4.5819643e+08,1.6681639e+09,2.6797586e+10,2.6797586e+10,2.189044e+11,1.3681525e+10,8072288.7
12000,60,0,1.4140865e+08,6.1503613e+16,7.8037208e+16,1.7939305e+21,0,1.1744667e+19,2.4409506e+18,4.32e+12,3.2837799e+16,8.3044019e+17,3.6425677e+18,6.6744835e+20,0,4589484,0,4589484,0,1.35e+21,36172.104,0,36172.104,0,9.765625e-08,1.3413441e+08,-4.3146111e+11,7.6862801e+09,-1.1744216e+11,-2.4410342e+10,-8.3048106e+09,-3.6424215e+10,4.1524053e+08,1.8212107e+09,2.8364183e+10,2.8364183e+10,2.1183489e+11,1.323968e+10,10316692
14000,70,0,1.6089355e+08,7.3019938e+16,9.7020332e+16,1.7901431e+21,0,1.2581237e+19,2.280509e+18,4.32e+12,3.2908295e+16,7.5262253e+17,3.9217455e+18,6.7032906e+20,0,6239918.7,0,6239918.7,0,1.35e+21,46964.176,0,46964.176,0,9.765625e-08,1.2549658e+08,-3.3142867e+11,7.4182505e+09,-1.258085e+11,-2.2805859e+10,-7.5265955e+09,-3.9216125e+10,3.7632977e+08,1.9608062e+09,2.9705e+10,2.9705e+10,2.0489035e+11,1.2805647e+10,12836611
16000,80,0,1.8034374e+08,8.5025407e+16,1.1734242e+17,1.7872133e+21,0,1.3293826e+19,2.1327806e+18,4.32e+12,3.289875e+16,6.8213056e+17,4.1748984e+18,6.7248021e+20,0,8192800.3,0,8192800.3,0,1.35e+21,59365.415,0,59365.415,0,9.765625e-08,1.1741582e+08,-2.5826382e+11,7.1499939e+09,-1.3293499e+11,-2.1328515e+10,-6.8216409e+09,-4.1747782e+10,3.4108204e+08,2.0873891e+09,3.083889e+10,3.083889e+10,1.9817226e+11,1.2385766e+10,15619557
18000,90,0,1.9961184e+08,9.7543703e+16,1.3887547e+17,1.784916e+21,0,1.3894456e+19,1.996572e+18,4.32e+12,3.2822961e+16,6.1827242e+17,4.4031185e+18,6.7411589e+20,0,10460596,0,10460596,0,1.35e+21,73474.428,-2.9263902e-08,73474.428,0,0,1.0985622e+08,-2.0382227e+11,6.8851519e+09,-1.3894182e+11,-1.9966374e+10,-6.183028e+09,-4.4030104e+10,3.091514e+08,2.2015052e+09,3.178464e+10,3.178464e+10,1.9173754e+11,1.1983596e+10,18651049
