iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6744963e-310,-1.6108966e+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001289e+15,7.9122354e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363519e+16,1.3591407e+18,1.8424331e+18,6.235428e+20,0,216568,0,216568,0,1.35e+21,2655.2654,1.1537077e-07,2655.2654,0,0,1.8712053e+08,-2.0950113e+12,8.7174411e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422216e+10,6.7960387e+08,9.211108e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220921,1.9503234e+16,1.8184528e+16,1.8270175e+21,0,6.9176239e+18,3.2406605e+18,4.32e+12,3.1286416e+16,1.2315019e+18,2.2544409e+18,6.3947308e+20,0,585414.75,0,585414.75,0,1.35e+21,6279.0376,4.0172381e-08,6279.0376,0,0,1.7506546e+08,-1.4698533e+12,8.6049255e+09,-6.9168552e+10,-3.2407795e+10,-1.2315626e+10,-2.2542408e+10,6.1578131e+08,1.1271204e+09,2.0579492e+10,2.0579492e+10,2.3848026e+11,1.4905016e+10,3068629.6
6000,30,0,84702255,2.9506484e+16,3.0464839e+16,1.8145451e+21,0,8.3684503e+18,3.0133125e+18,4.32e+12,3.1934287e+16,1.1158974e+18,2.6420059e+18,6.5042875e+20,0,1127526,0,1127526,0,1.35e+21,10921.065,1.4257239e-08,10921.065,0,0,1.6378786e+08,-1.0521478e+12,8.4226488e+09,-8.3677677e+10,-3.0134211e+10,-1.1159523e+10,-2.6418186e+10,5.5797617e+08,1.3209093e+09,2.2917903e+10,2.2917903e+10,2.3261075e+11,1.4538172e+10,4444885.2
8000,40,0,1.0308146e+08,3.9796575e+16,4.4625905e+16,1.8055347e+21,0,9.6501186e+18,2.8056437e+18,4.32e+12,3.2379237e+16,1.0111893e+18,3.0029652e+18,6.5808556e+20,0,1866589.4,0,1866589.4,0,1.35e+21,16646.528,3.1115633e-08,16646.528,0,0,1.5323758e+08,-7.6779904e+11,8.1980783e+09,-9.6495186e+10,-2.805743e+10,-1.0112391e+10,-3.0027915e+10,5.0561955e+08,1.5013958e+09,2.4987274e+10,2.4987274e+10,2.2592594e+11,1.4120371e+10,6113066.1
10000,50,0,1.2206709e+08,5.04437e+16,6.0533018e+16,1.7989015e+21,0,1.0771727e+19,2.6154696e+18,4.32e+12,3.2669259e+16,9.1634769e+17,3.336482e+18,6.6352333e+20,0,2823493.6,0,2823493.6,0,1.35e+21,23529.612,9.4474672e-08,23529.612,0,0,1.4336773e+08,-5.7064811e+11,7.9487641e+09,-1.0771204e+11,-2.6155606e+10,-9.163928e+09,-3.3363221e+10,4.581964e+08,1.6681611e+09,2.679758e+10,2.679758e+10,2.189044e+11,1.3681525e+10,8072286.8
12000,60,0,1.414086e+08,6.1503717e+16,7.8049308e+16,1.7939305e+21,0,1.1744667e+19,2.4409494e+18,4.32e+12,3.2837542e+16,8.304401e+17,3.6425585e+18,6.6744835e+20,0,4016421,0,4016421,0,1.35e+21,31650.644,2.5294867e-08,31650.644,0,0,1.3413441e+08,-4.3146113e+11,7.6862198e+09,-1.1744216e+11,-2.441033e+10,-8.3048097e+09,-3.6424122e+10,4.1524048e+08,1.8212061e+09,2.8364172e+10,2.8364172e+10,2.1183489e+11,1.323968e+10,10316688
14000,70,0,1.6089347e+08,7.302009e+16,9.7039104e+16,1.7901431e+21,0,1.2581236e+19,2.2805073e+18,4.32e+12,3.2907942e+16,7.526224e+17,3.9217313e+18,6.7032906e+20,0,5460985.1,0,5460985.1,0,1.35e+21,41093.739,0,41093.739,0,9.765625e-08,1.2549658e+08,-3.314287e+11,7.4181709e+09,-1.258085e+11,-2.2805842e+10,-7.5265942e+09,-3.9215983e+10,3.7632971e+08,1.9607992e+09,2.9704983e+10,2.9704983e+10,2.0489035e+11,1.2805647e+10,12836604
16000,80,0,1.8034361e+08,8.502562e+16,1.1737008e+17,1.7872133e+21,0,1.3293826e+19,2.1327782e+18,4.32e+12,3.2898283e+16,6.8213037e+17,4.1748778e+18,6.7248021e+20,0,7170389.9,0,7170389.9,0,1.35e+21,51944.869,0,51944.869,0,9.765625e-08,1.1741582e+08,-2.5826387e+11,7.1498925e+09,-1.3293498e+11,-2.1328491e+10,-6.8216391e+09,-4.1747576e+10,3.4108195e+08,2.0873788e+09,3.0838866e+10,3.0838866e+10,1.9817226e+11,1.2385766e+10,15619546
18000,90,0,1.9961164e+08,9.7543992e+16,1.3891461e+17,1.784916e+21,0,1.3894455e+19,1.9965687e+18,4.32e+12,3.2822362e+16,6.1827217e+17,4.4030897e+18,6.7411588e+20,0,9155600.9,0,9155600.9,0,1.35e+21,64290.315,-1.8022547e-08,64290.315,0,0,1.0985622e+08,-2.0382234e+11,6.8850261e+09,-1.3894181e+11,-1.9966341e+10,-6.1830255e+09,-4.4029816e+10,3.0915128e+08,2.2014908e+09,3.1784606e+10,3.1784606e+10,1.9173754e+11,1.1983596e+10,18651031
20000,100,0,2.1857728e+08,1.1059115e+17,1.6155065e+17,1.7830931e+21,0,1.4394519e+19,1.8708281e+18,4.32e+12,3.2691201e+16,5.6042144e+17,4.6075889e+18,6.753833e+20,0,11425518,0,11425518,0,1.35e+21,78215.447,-3.7209247e-08,78215.447,0,0,1.0278416e+08,-1.6262906e+11,6.6260922e+09,-1.4394292e+11,-1.8708885e+10,-5.6044896e+09,-4.6074924e+10,2.8022448e+08,2.3037462e+09,3.2560351e+10,3.2560351e+10,1.8561518e+11,1.1600949e+10,21915269
22000,110,0,2.3714397e+08,1.2417651e+17,1.851622e+17,1.781632e+21,0,1.4804654e+19,1.7546254e+18,4.32e+12,3.2513846e+16,5.0801109e+17,4.7896708e+18,6.7638479e+20,0,13987150,0,13987150,0,1.35e+21,93803.775,1.8699211e-08,93803.775,0,0,96168198,-1.309526e+11,6.3748227e+09,-1.480447e+11,-1.7546813e+10,-5.0803603e+09,-4.7895851e+10,2.5401801e+08,2.3947926e+09,3.3183297e+10,3.3183297e+10,1.7981667e+11,1.1238542e+10,25395729
24000,120,0,2.5523584e+08,1.3830403e+17,2.0963963e+17,1.7804511e+21,0,1.5134693e+19,1.6471319e+18,4.32e+12,3.2297879e+16,4.6052772e+17,4.9506649e+18,6.7719212e+20,0,16845779,0,16845779,0,1.35e+21,111136.24,0,111136.24,0,9.765625e-08,89978920,-1.0621568e+11,6.1323814e+09,-1.5134546e+11,-1.6471836e+10,-4.6055031e+09,-4.9505894e+10,2.3027516e+08,2.4752947e+09,3.3669523e+10,3.3669523e+10,1.7434248e+11,1.0896405e+10,29075596
