iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6535256e-310,-2.2421873e-159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971045,9.6999482e+15,7.8985004e+15,1.844626e+21,0,5.2931978e+18,3.4903345e+18,4.32e+12,3.0364819e+16,1.3591409e+18,1.8424437e+18,6.235428e+20,0,3357022.8,0,3357022.8,0,1.35e+21,41230.061,1.3992394e-07,41230.061,0,0,1.8712053e+08,-2.0950113e+12,8.7178141e+09,-5.2923424e+10,-3.4904654e+10,-1.3592079e+10,-1.8422322e+10,6.7960396e+08,9.2111609e+08,1.7972141e+10,1.7972141e+10,2.4274053e+11,1.5171283e+10,1978861.8
4000,20,0,67221112,1.9502423e+16,1.811479e+16,1.8270175e+21,0,6.9176243e+18,3.2406682e+18,4.32e+12,3.1290044e+16,1.2315027e+18,2.2544961e+18,6.3947308e+20,0,9055440,0,9055440,0,1.35e+21,97496.527,4.1734893e-08,97496.527,0,0,1.7506546e+08,-1.4698532e+12,8.6059229e+09,-6.9168555e+10,-3.2407872e+10,-1.2315634e+10,-2.2542959e+10,6.1578169e+08,1.127148e+09,2.0579559e+10,2.0579559e+10,2.3848026e+11,1.4905016e+10,3068638.4
6000,30,0,84702852,2.9504457e+16,3.0274063e+16,1.8145451e+21,0,8.3684518e+18,3.0133331e+18,4.32e+12,3.1941377e+16,1.1158992e+18,2.6421564e+18,6.5042876e+20,0,17398552,0,17398552,0,1.35e+21,169570.1,4.976755e-09,169570.1,0,0,1.6378786e+08,-1.0521476e+12,8.4245183e+09,-8.3677692e+10,-3.0134416e+10,-1.1159542e+10,-2.6419691e+10,5.5797711e+08,1.3209845e+09,2.2918086e+10,2.2918086e+10,2.3261076e+11,1.4538172e+10,4444916.5
8000,40,0,1.0308287e+08,3.9792611e+16,4.4223036e+16,1.8055347e+21,0,9.6501225e+18,2.8056853e+18,4.32e+12,3.2391086e+16,1.0111929e+18,3.0032801e+18,6.5808558e+20,0,28722689,0,28722689,0,1.35e+21,258460.72,-3.2916432e-08,258460.72,0,0,1.5323758e+08,-7.6779852e+11,8.2010777e+09,-9.6495226e+10,-2.8057846e+10,-1.0112427e+10,-3.0031064e+10,5.0562135e+08,1.5015532e+09,2.4987654e+10,2.4987654e+10,2.2592595e+11,1.4120372e+10,6113149.7
10000,50,0,1.2206992e+08,5.0436938e+16,5.9798199e+16,1.7989015e+21,0,1.0771736e+19,2.6155424e+18,4.32e+12,3.2687307e+16,9.1635371e+17,3.3370501e+18,6.6352338e+20,0,43310923,0,43310923,0,1.35e+21,365317.67,6.792834e-08,365317.67,0,0,1.4336773e+08,-5.7064706e+11,7.9531545e+09,-1.0771213e+11,-2.6156334e+10,-9.1639883e+09,-3.3368901e+10,4.5819941e+08,1.668445e+09,2.6798263e+10,2.6798263e+10,2.1890441e+11,1.3681526e+10,8072473.7
12000,60,0,1.4141369e+08,6.1493156e+16,7.6831611e+16,1.7939306e+21,0,1.1744684e+19,2.4410648e+18,4.32e+12,3.2863348e+16,8.3044937e+17,3.6434885e+18,6.6744845e+20,0,61393876,0,61393876,0,1.35e+21,491385.25,3.905734e-08,491385.25,0,0,1.3413441e+08,-4.3145924e+11,7.6922592e+09,-1.1744232e+11,-2.4411484e+10,-8.3049023e+09,-3.643342e+10,4.1524511e+08,1.821671e+09,2.8365288e+10,2.8365288e+10,2.1183492e+11,1.3239682e+10,10317060
14000,70,0,1.6090195e+08,7.3004586e+16,9.515475e+16,1.7901431e+21,0,1.2581265e+19,2.2806782e+18,4.32e+12,3.2943165e+16,7.526358e+17,3.9231524e+18,6.7032923e+20,0,83151426,0,83151426,0,1.35e+21,637966.07,0,637966.07,0,9.765625e-08,1.2549658e+08,-3.3142561e+11,7.4261098e+09,-1.2580878e+11,-2.2807551e+10,-7.5267282e+09,-3.9230191e+10,3.7633641e+08,1.9615095e+09,2.9706684e+10,2.9706684e+10,2.0489041e+11,1.2805651e+10,12837281
16000,80,0,1.8035694e+08,8.5003887e+16,1.1460113e+17,1.7872134e+21,0,1.3293871e+19,2.1330185e+18,4.32e+12,3.2944659e+16,6.8214893e+17,4.1769391e+18,6.724805e+20,0,1.0871497e+08,0,1.0871497e+08,0,1.35e+21,806391.19,0,806391.19,0,9.765625e-08,1.1741582e+08,-2.5825913e+11,7.1599703e+09,-1.3293544e+11,-2.1330894e+10,-6.8218246e+09,-4.1768185e+10,3.4109123e+08,2.0884092e+09,3.0841327e+10,3.0841327e+10,1.9817235e+11,1.2385772e+10,15620700
18000,90,0,1.9963162e+08,9.7514605e+16,1.350081e+17,1.7849161e+21,0,1.3894524e+19,1.9968934e+18,4.32e+12,3.2881684e+16,6.1829699e+17,4.4059598e+18,6.7411632e+20,0,1.3817005e+08,0,1.3817005e+08,0,1.35e+21,997996.08,0,997996.08,0,9.765625e-08,1.0985622e+08,-2.0381543e+11,6.8974684e+09,-1.389425e+11,-1.9969587e+10,-6.1832737e+09,-4.4058513e+10,3.0916368e+08,2.2029256e+09,3.1788025e+10,3.1788025e+10,1.9173766e+11,1.1983604e+10,18652897
