iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6422195e-310,2.3279112e+174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001381e+15,7.9129403e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363452e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,55290.295,0,55290.295,0,1.35e+21,677.83547,1.0087319e-08,677.83547,0,0,1.8712053e+08,-2.0950113e+12,8.7174219e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111053e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220911,1.9503276e+16,1.8188112e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286229e+16,1.2315019e+18,2.2544381e+18,6.3947308e+20,0,149473.84,0,149473.84,0,1.35e+21,1602.913,3.7253585e-08,1602.913,0,0,1.7506546e+08,-1.4698533e+12,8.6048741e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542379e+10,6.1578129e+08,1.127119e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702224,2.9506588e+16,3.0474662e+16,1.8145451e+21,0,8.3684502e+18,3.0133115e+18,4.32e+12,3.1933921e+16,1.1158973e+18,2.6419981e+18,6.5042875e+20,0,287927.08,0,287927.08,0,1.35e+21,2787.9338,-2.5733243e-08,2787.9338,0,0,1.6378786e+08,-1.0521478e+12,8.4225524e+09,-8.3677677e+10,-3.01342e+10,-1.1159523e+10,-2.6418109e+10,5.5797613e+08,1.3209054e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.6
8000,40,0,1.0308139e+08,3.9796779e+16,4.4646689e+16,1.8055347e+21,0,9.6501184e+18,2.8056415e+18,4.32e+12,3.2378623e+16,1.0111891e+18,3.0029489e+18,6.5808556e+20,0,476723.92,0,476723.92,0,1.35e+21,4249.5391,-4.080448e-08,4249.5391,0,0,1.5323758e+08,-7.6779907e+11,8.1979231e+09,-9.6495184e+10,-2.8057408e+10,-1.0112389e+10,-3.0027753e+10,5.0561946e+08,1.5013876e+09,2.4987254e+10,2.4987254e+10,2.2592594e+11,1.4120371e+10,6113061.8
10000,50,0,1.2206694e+08,5.0444047e+16,6.0571012e+16,1.7989015e+21,0,1.0771727e+19,2.6154658e+18,4.32e+12,3.2668323e+16,9.1634738e+17,3.3364526e+18,6.6352333e+20,0,721232.38,0,721232.38,0,1.35e+21,6006.6689,6.4143023e-08,6006.6689,0,0,1.4336773e+08,-5.7064817e+11,7.9485362e+09,-1.0771204e+11,-2.6155569e+10,-9.1639249e+09,-3.3362928e+10,4.5819625e+08,1.6681464e+09,2.6797544e+10,2.6797544e+10,2.189044e+11,1.3681525e+10,8072277.1
12000,60,0,1.4140833e+08,6.1504259e+16,7.8112424e+16,1.7939305e+21,0,1.1744666e+19,2.4409434e+18,4.32e+12,3.2836197e+16,8.3043963e+17,3.6425103e+18,6.6744834e+20,0,1026139,0,1026139,0,1.35e+21,8079.8319,3.8735379e-08,8079.8319,0,0,1.3413441e+08,-4.3146123e+11,7.6859052e+09,-1.1744215e+11,-2.4410271e+10,-8.3048049e+09,-3.642364e+10,4.1524025e+08,1.821182e+09,2.8364114e+10,2.8364114e+10,2.1183488e+11,1.323968e+10,10316669
14000,70,0,1.6089302e+08,7.3020885e+16,9.7137038e+16,1.7901431e+21,0,1.2581235e+19,2.2804984e+18,4.32e+12,3.2906099e+16,7.5262171e+17,3.9216574e+18,6.7032905e+20,0,1395484.4,0,1395484.4,0,1.35e+21,10490.504,0,10490.504,0,9.765625e-08,1.2549658e+08,-3.3142886e+11,7.4177556e+09,-1.2580849e+11,-2.2805754e+10,-7.5265873e+09,-3.9215245e+10,3.7632937e+08,1.9607622e+09,2.9704895e+10,2.9704895e+10,2.0489035e+11,1.2805647e+10,12836569
16000,80,0,1.8034291e+08,8.5026734e+16,1.1751441e+17,1.7872133e+21,0,1.3293823e+19,2.1327656e+18,4.32e+12,3.2895846e+16,6.8212942e+17,4.1747703e+18,6.724802e+20,0,1832704.4,0,1832704.4,0,1.35e+21,13260.634,4.6145942e-08,13260.634,0,0,1.1741582e+08,-2.5826411e+11,7.149363e+09,-1.3293496e+11,-2.1328365e+10,-6.8216296e+09,-4.1746501e+10,3.4108148e+08,2.0873251e+09,3.0838738e+10,3.0838738e+10,1.9817226e+11,1.2385766e+10,15619485
18000,90,0,1.996106e+08,9.7545497e+16,1.391189e+17,1.784916e+21,0,1.3894452e+19,1.9965518e+18,4.32e+12,3.2819229e+16,6.182709e+17,4.4029395e+18,6.7411586e+20,0,2340674.1,0,2340674.1,0,1.35e+21,16412.253,3.2014214e-08,16412.253,0,0,1.0985622e+08,-2.038227e+11,6.8843691e+09,-1.3894177e+11,-1.9966172e+10,-6.1830128e+09,-4.4028314e+10,3.0915064e+08,2.2014157e+09,3.1784427e+10,3.1784427e+10,1.9173753e+11,1.1983596e+10,18650933
20000,100,0,2.1857577e+08,1.1059313e+17,1.6183048e+17,1.7830931e+21,0,1.4394513e+19,1.8708058e+18,4.32e+12,3.2687268e+16,5.6041978e+17,4.6073858e+18,6.7538327e+20,0,2921752.3,0,2921752.3,0,1.35e+21,19967.157,-1.9928848e-08,19967.157,0,0,1.0278416e+08,-1.6262956e+11,6.6252952e+09,-1.4394287e+11,-1.8708663e+10,-5.604473e+09,-4.6072893e+10,2.8022365e+08,2.3036446e+09,3.256011e+10,3.256011e+10,1.8561518e+11,1.1600948e+10,21915118
22000,110,0,2.3714185e+08,1.2417904e+17,1.8553524e+17,1.781632e+21,0,1.4804647e+19,1.7545969e+18,4.32e+12,3.2509004e+16,5.0800899e+17,4.7894036e+18,6.7638474e+20,0,3577825.8,0,3577825.8,0,1.35e+21,23946.67,-1.2405508e-08,23946.67,0,0,96168198,-1.3095329e+11,6.3738735e+09,-1.4804463e+11,-1.7546528e+10,-5.0803392e+09,-4.7893179e+10,2.5401696e+08,2.394659e+09,3.3182981e+10,3.3182981e+10,1.7981666e+11,1.1238541e+10,25395502
24000,120,0,2.5523294e+08,1.3830721e+17,2.1012569e+17,1.7804511e+21,0,1.5134682e+19,1.6470963e+18,4.32e+12,3.2292017e+16,4.6052509e+17,4.9503212e+18,6.7719205e+20,0,4310352.1,0,4310352.1,0,1.35e+21,28371.458,-4.6609784e-08,28371.458,0,0,89978920,-1.0621658e+11,6.1312683e+09,-1.5134536e+11,-1.647148e+10,-4.6054768e+09,-4.9502458e+10,2.3027384e+08,2.4751229e+09,3.3669117e+10,3.3669117e+10,1.7434246e+11,1.0896404e+10,29075265
26000,130,0,2.7279104e+08,1.529771e+17,2.355008e+17,1.7794907e+21,0,1.5393638e+19,1.5475631e+18,4.32e+12,3.2042764e+16,4.1750325e+17,5.0914738e+18,6.7785601e+20,0,5120401.3,0,5120401.3,0,1.35e+21,33261.403,0,33261.403,0,9.765625e-08,84188806,-8.6615886e+10,5.8982281e+09,-1.5393525e+11,-1.547611e+10,-4.1752371e+09,-5.0914079e+10,2.0876186e+08,2.545704e+09,3.4033416e+10,3.4033416e+10,1.6918624e+11,1.057414e+10,32937677
28000,140,0,2.8977357e+08,1.6818448e+17,2.6156602e+17,1.7787061e+21,0,1.5589741e+19,1.4553324e+18,4.32e+12,3.176682e+16,3.7852259e+17,5.2141832e+18,6.7841284e+20,0,6008695.1,0,6008695.1,0,1.35e+21,38635.514,3.3040124e-08,38635.514,0,0,78772115,-7.0872711e+10,5.6751925e+09,-1.5589658e+11,-1.4553768e+10,-3.7854113e+09,-5.2141263e+10,1.8927057e+08,2.6070631e+09,3.4289592e+10,3.4289592e+10,1.6433753e+11,1.0271096e+10,36966391
30000,150,0,3.061512e+08,1.8392216e+17,2.8823318e+17,1.7780635e+21,0,1.5730467e+19,1.3698056e+18,4.32e+12,3.1469035e+16,3.4320204e+17,5.3197446e+18,6.7888859e+20,0,6975645.1,0,6975645.1,0,1.35e+21,44511.873,1.1481461e-08,44511.873,0,0,73704762,-5.8069201e+10,5.4623696e+09,-1.5730409e+11,-1.3698468e+10,-3.4321885e+09,-5.3196959e+10,1.7160942e+08,2.659848e+09,3.4450204e+10,3.4450204e+10,1.5978348e+11,9.9864676e+09,41145676
32000,160,0,3.2190588e+08,2.001806e+17,3.1542035e+17,1.7775372e+21,0,1.5822583e+19,1.2904423e+18,4.32e+12,3.1153655e+16,3.1119657e+17,5.4094161e+18,6.793021e+20,0,8021387.6,0,8021387.6,0,1.35e+21,50907.614,0,50907.614,0,9.765625e-08,68964219,-4.7538057e+10,5.259794e+09,-1.5822548e+11,-1.2904805e+10,-3.112118e+09,-5.409375e+10,1.556059e+08,2.7046875e+09,3.4526706e+10,3.4526706e+10,1.5550999e+11,9.7193741e+09,45460596
