iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6423167e-310,-5.4356637e-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971123,9.6994955e+15,7.86423e+15,1.844626e+21,0,5.2931979e+18,3.4903383e+18,4.32e+12,3.0368057e+16,1.3591413e+18,1.8424701e+18,6.235428e+20,0,11177204,0,11177204,0,1.35e+21,137866.89,8.7311491e-09,137866.89,0,0,1.8712053e+08,-2.0950113e+12,8.7187432e+09,-5.2923425e+10,-3.4904693e+10,-1.3592084e+10,-1.8422586e+10,6.7960418e+08,9.2112929e+08,1.7972174e+10,1.7972174e+10,2.4274053e+11,1.5171283e+10,1978864.8
4000,20,0,67221586,1.9500389e+16,1.7941647e+16,1.8270175e+21,0,6.9176252e+18,3.2406875e+18,4.32e+12,3.1299015e+16,1.2315046e+18,2.2546331e+18,6.3947309e+20,0,29992043,0,29992043,0,1.35e+21,325994.4,4.1094609e-08,325994.4,0,0,1.7506546e+08,-1.4698531e+12,8.6083894e+09,-6.9168565e+10,-3.2408065e+10,-1.2315653e+10,-2.2544329e+10,6.1578265e+08,1.1272164e+09,2.0579725e+10,2.0579725e+10,2.3848026e+11,1.4905016e+10,3068660
6000,30,0,84704328,2.9499378e+16,2.9803121e+16,1.8145451e+21,0,8.3684554e+18,3.0133838e+18,4.32e+12,3.1958762e+16,1.1159039e+18,2.642528e+18,6.5042878e+20,0,57275888,0,57275888,0,1.35e+21,566944.82,-3.8649887e-08,566944.82,0,0,1.6378786e+08,-1.0521471e+12,8.4291022e+09,-8.3677729e+10,-3.0134923e+10,-1.1159589e+10,-2.6423405e+10,5.5797946e+08,1.3211703e+09,2.2918535e+10,2.2918535e+10,2.3261077e+11,1.4538173e+10,4444994
8000,40,0,1.0308633e+08,3.9782678e+16,4.3234999e+16,1.8055348e+21,0,9.6501323e+18,2.8057874e+18,4.32e+12,3.2419861e+16,1.0112019e+18,3.0040525e+18,6.5808565e+20,0,93903085,0,93903085,0,1.35e+21,864076.94,4.2957254e-08,864076.94,0,0,1.5323758e+08,-7.6779724e+11,8.2083617e+09,-9.6495324e+10,-2.8058867e+10,-1.0112517e+10,-3.0038785e+10,5.0562585e+08,1.5019392e+09,2.4988586e+10,2.4988586e+10,2.2592597e+11,1.4120373e+10,6113354.7
10000,50,0,1.220768e+08,5.0419994e+16,5.800921e+16,1.7989015e+21,0,1.0771757e+19,2.6157194e+18,4.32e+12,3.2730662e+16,9.1636881e+17,3.3384324e+18,6.6352352e+20,0,1.4049936e+08,0,1.4049936e+08,0,1.35e+21,1221212,1.4295802e-07,1221212,0,0,1.4336773e+08,-5.7064447e+11,7.9637011e+09,-1.0771234e+11,-2.6158104e+10,-9.1641392e+09,-3.338272e+10,4.5820696e+08,1.669136e+09,2.6799927e+10,2.6799927e+10,2.1890446e+11,1.3681529e+10,8072928.7
12000,60,0,1.4142598e+08,6.1466686e+16,7.3891011e+16,1.7939306e+21,0,1.1744723e+19,2.4413433e+18,4.32e+12,3.2924593e+16,8.3047256e+17,3.6457321e+18,6.6744871e+20,0,1.9744447e+08,0,1.9744447e+08,0,1.35e+21,1642485,2.165325e-08,1642485,0,0,1.3413441e+08,-4.3145464e+11,7.7065925e+09,-1.1744272e+11,-2.4414269e+10,-8.3051342e+09,-3.6455852e+10,4.1525671e+08,1.8227926e+09,2.8367982e+10,2.8367982e+10,2.11835e+11,1.3239687e+10,10317956
14000,70,0,1.6092224e+08,7.2965713e+16,9.0644734e+16,1.7901432e+21,0,1.2581333e+19,2.2810869e+18,4.32e+12,3.3025648e+16,7.5266937e+17,3.9265482e+18,6.7032967e+20,0,2.6488066e+08,0,2.6488066e+08,0,1.35e+21,2132222.7,0,2132222.7,0,1.953125e-07,1.2549658e+08,-3.3141814e+11,7.4447007e+09,-1.2580947e+11,-2.2811637e+10,-7.5270638e+09,-3.9264143e+10,3.7635319e+08,1.9632072e+09,2.9710752e+10,2.9710752e+10,2.0489054e+11,1.2805659e+10,12838900
16000,80,0,1.8038849e+08,8.4949369e+16,1.080382e+17,1.7872136e+21,0,1.329398e+19,2.1335875e+18,4.32e+12,3.3051676e+16,6.8219539e+17,4.1818138e+18,6.7248119e+20,0,3.4272553e+08,0,3.4272553e+08,0,1.35e+21,2694842.8,-2.7008355e-08,2694842.8,0,0,1.1741582e+08,-2.5824777e+11,7.1832258e+09,-1.3293653e+11,-2.1336583e+10,-6.8222891e+09,-4.1816924e+10,3.4111446e+08,2.0908462e+09,3.0847154e+10,3.0847154e+10,1.9817255e+11,1.2385784e+10,15623433
18000,90,0,1.9967839e+08,9.7440831e+16,1.2584622e+17,1.7849165e+21,0,1.3894689e+19,1.9976535e+18,4.32e+12,3.3016401e+16,6.1835913e+17,4.4126704e+18,6.7411737e+20,0,4.3068832e+08,0,4.3068832e+08,0,1.35e+21,3334774.3,1.3969839e-08,3334774.3,0,0,1.0985622e+08,-2.0379903e+11,6.9257243e+09,-1.3894415e+11,-1.9977188e+10,-6.1838949e+09,-4.4125609e+10,3.0919475e+08,2.2062804e+09,3.179603e+10,3.179603e+10,1.9173796e+11,1.1983622e+10,18657267
