iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.664598e-310,2.9315531e+255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971059,9.6998648e+15,7.8921693e+15,1.844626e+21,0,5.2931979e+18,3.4903352e+18,4.32e+12,3.0365418e+16,1.359141e+18,1.8424486e+18,6.235428e+20,0,4803405.5,0,4803405.5,0,1.35e+21,59040.94,3.1679519e-08,59040.94,0,0,1.8712053e+08,-2.0950113e+12,8.7179859e+09,-5.2923424e+10,-3.4904661e+10,-1.359208e+10,-1.8422371e+10,6.79604e+08,9.2111853e+08,1.7972147e+10,1.7972147e+10,2.4274053e+11,1.5171283e+10,1978862.3
4000,20,0,67221200,1.9502048e+16,1.8082711e+16,1.8270175e+21,0,6.9176245e+18,3.2406718e+18,4.32e+12,3.129171e+16,1.231503e+18,2.2545215e+18,6.3947308e+20,0,12944433,0,12944433,0,1.35e+21,139612.34,2.401066e-08,139612.34,0,0,1.7506546e+08,-1.4698532e+12,8.606381e+09,-6.9168557e+10,-3.2407908e+10,-1.2315637e+10,-2.2543213e+10,6.1578187e+08,1.1271606e+09,2.057959e+10,2.057959e+10,2.3848026e+11,1.4905016e+10,3068642.4
6000,30,0,84703126,2.9503521e+16,3.0186518e+16,1.8145451e+21,0,8.3684524e+18,3.0133425e+18,4.32e+12,3.1944622e+16,1.1159001e+18,2.6422255e+18,6.5042876e+20,0,24842694,0,24842694,0,1.35e+21,242816.68,2.5815098e-08,242816.68,0,0,1.6378786e+08,-1.0521475e+12,8.4253738e+09,-8.3677699e+10,-3.013451e+10,-1.1159551e+10,-2.6420381e+10,5.5797755e+08,1.3210191e+09,2.2918169e+10,2.2918169e+10,2.3261076e+11,1.4538172e+10,4444930.9
8000,40,0,1.0308352e+08,3.979078e+16,4.4038668e+16,1.8055348e+21,0,9.6501244e+18,2.8057044e+18,4.32e+12,3.2396486e+16,1.0111945e+18,3.0034243e+18,6.5808559e+20,0,40959442,0,40959442,0,1.35e+21,370098.72,2.0605512e-08,370098.72,0,0,1.5323758e+08,-7.6779828e+11,8.2024447e+09,-9.6495244e+10,-2.8058036e+10,-1.0112444e+10,-3.0032505e+10,5.0562218e+08,1.5016252e+09,2.4987828e+10,2.4987828e+10,2.2592595e+11,1.4120372e+10,6113187.9
10000,50,0,1.220712e+08,5.0433815e+16,5.9462952e+16,1.7989015e+21,0,1.077174e+19,2.6155755e+18,4.32e+12,3.2695495e+16,9.163565e+17,3.3373092e+18,6.6352341e+20,0,61673579,0,61673579,0,1.35e+21,523102.52,1.1478551e-07,523102.52,0,0,1.4336773e+08,-5.7064657e+11,7.9551463e+09,-1.0771217e+11,-2.6156665e+10,-9.1640161e+09,-3.3371491e+10,4.582008e+08,1.6685746e+09,2.6798575e+10,2.6798575e+10,2.1890442e+11,1.3681526e+10,8072559
12000,60,0,1.41416e+08,6.1488278e+16,7.627796e+16,1.7939306e+21,0,1.1744691e+19,2.4411173e+18,4.32e+12,3.2874996e+16,8.3045364e+17,3.6439112e+18,6.674485e+20,0,87282578,0,87282578,0,1.35e+21,703607.87,-8.9639798e-09,703607.87,0,0,1.3413441e+08,-4.3145838e+11,7.6949852e+09,-1.174424e+11,-2.4412009e+10,-8.304945e+09,-3.6437646e+10,4.1524725e+08,1.8218823e+09,2.8365795e+10,2.8365795e+10,2.1183493e+11,1.3239683e+10,10317229
14000,70,0,1.6090579e+08,7.2997425e+16,9.4301214e+16,1.7901431e+21,0,1.2581277e+19,2.2807556e+18,4.32e+12,3.2958974e+16,7.5264199e+17,3.9237956e+18,6.7032932e+20,0,1.1800487e+08,0,1.1800487e+08,0,1.35e+21,913477.8,0,913477.8,0,9.765625e-08,1.2549658e+08,-3.314242e+11,7.429673e+09,-1.2580891e+11,-2.2808324e+10,-7.5267901e+09,-3.9236622e+10,3.763395e+08,1.9618311e+09,2.9707454e+10,2.9707454e+10,2.0489043e+11,1.2805652e+10,12837588
16000,80,0,1.8036295e+08,8.4993847e+16,1.1335207e+17,1.7872134e+21,0,1.3293892e+19,2.1331269e+18,4.32e+12,3.2965345e+16,6.8215749e+17,4.177868e+18,6.7248063e+20,0,1.5398322e+08,0,1.5398322e+08,0,1.35e+21,1154615.8,2.3981556e-08,1154615.8,0,0,1.1741582e+08,-2.5825698e+11,7.1644655e+09,-1.3293564e+11,-2.1331977e+10,-6.8219102e+09,-4.1777473e+10,3.4109551e+08,2.0888736e+09,3.0842437e+10,3.0842437e+10,1.9817239e+11,1.2385774e+10,15621220
18000,90,0,1.9964058e+08,9.7501024e+16,1.3325377e+17,1.7849162e+21,0,1.3894556e+19,1.9970391e+18,4.32e+12,3.2907965e+16,6.1830845e+17,4.407247e+18,6.7411652e+20,0,1.952887e+08,0,1.952887e+08,0,1.35e+21,1428931.4,-2.3981556e-08,1428931.4,0,0,1.0985622e+08,-2.0381232e+11,6.9029807e+09,-1.3894281e+11,-1.9971044e+10,-6.1833882e+09,-4.4071383e+10,3.0916941e+08,2.2035691e+09,3.1789559e+10,3.1789559e+10,1.9173772e+11,1.1983607e+10,18653735
