iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6697497e-310,-3.7834446e+162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.7001403e+15,7.9131044e+15,1.844626e+21,0,5.2931978e+18,3.4903328e+18,4.32e+12,3.0363436e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,17757.835,0,17757.835,0,1.35e+21,217.69903,-2.8814384e-08,217.69903,0,0,1.8712053e+08,-2.0950113e+12,8.7174175e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422209e+10,6.7960387e+08,9.2111047e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220908,1.9503286e+16,1.8188947e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286186e+16,1.2315019e+18,2.2544374e+18,6.3947308e+20,0,48008.397,0,48008.397,0,1.35e+21,514.80444,4.3545128e-08,514.80444,0,0,1.7506546e+08,-1.4698533e+12,8.6048622e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542373e+10,6.1578128e+08,1.1271186e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702217,2.9506613e+16,3.0476948e+16,1.8145451e+21,0,8.3684502e+18,3.0133112e+18,4.32e+12,3.1933836e+16,1.1158972e+18,2.6419963e+18,6.5042875e+20,0,92479.866,0,92479.866,0,1.35e+21,895.39553,3.6543952e-08,895.39553,0,0,1.6378786e+08,-1.0521478e+12,8.4225299e+09,-8.3677676e+10,-3.0134198e+10,-1.1159522e+10,-2.6418091e+10,5.5797611e+08,1.3209045e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.2
8000,40,0,1.0308137e+08,3.9796826e+16,4.4651528e+16,1.8055347e+21,0,9.6501183e+18,2.805641e+18,4.32e+12,3.2378481e+16,1.0111891e+18,3.0029451e+18,6.5808556e+20,0,153125,0,153125,0,1.35e+21,1364.8171,-3.1658601e-08,1364.8171,0,0,1.5323758e+08,-7.6779908e+11,8.1978869e+09,-9.6495184e+10,-2.8057403e+10,-1.0112389e+10,-3.0027715e+10,5.0561943e+08,1.5013857e+09,2.498725e+10,2.498725e+10,2.2592594e+11,1.4120371e+10,6113060.8
10000,50,0,1.2206691e+08,5.0444127e+16,6.0579857e+16,1.7989015e+21,0,1.0771726e+19,2.615465e+18,4.32e+12,3.2668104e+16,9.1634731e+17,3.3364458e+18,6.6352333e+20,0,231670.5,0,231670.5,0,1.35e+21,1929.1522,1.211879e-07,1929.1522,0,0,1.4336773e+08,-5.7064818e+11,7.9484832e+09,-1.0771204e+11,-2.615556e+10,-9.1639242e+09,-3.3362859e+10,4.5819621e+08,1.668143e+09,2.6797536e+10,2.6797536e+10,2.189044e+11,1.3681525e+10,8072274.9
12000,60,0,1.4140827e+08,6.1504385e+16,7.812712e+16,1.7939305e+21,0,1.1744666e+19,2.4409421e+18,4.32e+12,3.2835884e+16,8.3043952e+17,3.6424991e+18,6.6744834e+20,0,329624.89,0,329624.89,0,1.35e+21,2594.9878,-2.1354481e-08,2594.9878,0,0,1.3413441e+08,-4.3146125e+11,7.6858319e+09,-1.1744215e+11,-2.4410257e+10,-8.3048038e+09,-3.6423528e+10,4.1524019e+08,1.8211764e+09,2.83641e+10,2.83641e+10,2.1183488e+11,1.323968e+10,10316665
14000,70,0,1.6089292e+08,7.302107e+16,9.7159846e+16,1.7901431e+21,0,1.2581235e+19,2.2804963e+18,4.32e+12,3.290567e+16,7.5262155e+17,3.9216402e+18,6.7032904e+20,0,448289.98,0,448289.98,0,1.35e+21,3369.2213,0,3369.2213,0,9.765625e-08,1.2549658e+08,-3.314289e+11,7.4176588e+09,-1.2580848e+11,-2.2805733e+10,-7.5265857e+09,-3.9215073e+10,3.7632929e+08,1.9607536e+09,2.9704874e+10,2.9704874e+10,2.0489035e+11,1.2805647e+10,12836561
16000,80,0,1.8034275e+08,8.5026993e+16,1.1754803e+17,1.7872133e+21,0,1.3293823e+19,2.1327627e+18,4.32e+12,3.2895278e+16,6.821292e+17,4.1747453e+18,6.7248019e+20,0,588774.16,0,588774.16,0,1.35e+21,4258.9027,0,4258.9027,0,9.765625e-08,1.1741582e+08,-2.5826417e+11,7.1492396e+09,-1.3293495e+11,-2.1328336e+10,-6.8216273e+09,-4.1746251e+10,3.4108137e+08,2.0873125e+09,3.0838708e+10,3.0838708e+10,1.9817226e+11,1.2385766e+10,15619471
18000,90,0,1.9961036e+08,9.7545848e+16,1.3916649e+17,1.784916e+21,0,1.3894451e+19,1.9965478e+18,4.32e+12,3.2818499e+16,6.182706e+17,4.4029045e+18,6.7411585e+20,0,752006.5,0,752006.5,0,1.35e+21,5271.1075,-3.601599e-10,5271.1075,0,0,1.0985622e+08,-2.0382278e+11,6.884216e+09,-1.3894176e+11,-1.9966132e+10,-6.1830098e+09,-4.4027964e+10,3.0915049e+08,2.2013982e+09,3.1784385e+10,3.1784385e+10,1.9173753e+11,1.1983595e+10,18650910
