iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6692831e-310,-2.722209e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971017,9.7001105e+15,7.9108363e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363651e+16,1.3591407e+18,1.8424342e+18,6.235428e+20,0,536617.16,0,536617.16,0,1.35e+21,6580.4278,9.9369572e-08,6580.4278,0,0,1.8712053e+08,-2.0950113e+12,8.7174791e+09,-5.2923424e+10,-3.490464e+10,-1.3592078e+10,-1.8422227e+10,6.7960388e+08,9.2111134e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220940,1.9503152e+16,1.8177415e+16,1.8270175e+21,0,6.917624e+18,3.2406613e+18,4.32e+12,3.1286786e+16,1.231502e+18,2.2544466e+18,6.3947308e+20,0,1450243.2,0,1450243.2,0,1.35e+21,15561.027,1.7083948e-08,15561.027,0,0,1.7506546e+08,-1.4698533e+12,8.6050273e+09,-6.9168552e+10,-3.2407803e+10,-1.2315627e+10,-2.2542464e+10,6.1578135e+08,1.1271232e+09,2.0579499e+10,2.0579499e+10,2.3848026e+11,1.4905016e+10,3068630.5
6000,30,0,84702316,2.9506278e+16,3.0445353e+16,1.8145451e+21,0,8.3684504e+18,3.0133146e+18,4.32e+12,3.1935013e+16,1.1158975e+18,2.6420213e+18,6.5042875e+20,0,2792516.8,0,2792516.8,0,1.35e+21,27065.058,5.9408194e-09,27065.058,0,0,1.6378786e+08,-1.0521478e+12,8.4228401e+09,-8.3677679e+10,-3.0134232e+10,-1.1159525e+10,-2.641834e+10,5.5797627e+08,1.320917e+09,2.2917922e+10,2.2917922e+10,2.3261075e+11,1.4538172e+10,4444888.4
8000,40,0,1.0308161e+08,3.9796172e+16,4.4584687e+16,1.8055347e+21,0,9.650119e+18,2.8056479e+18,4.32e+12,3.2380452e+16,1.0111897e+18,3.0029974e+18,6.5808556e+20,0,4621623.6,0,4621623.6,0,1.35e+21,41254.021,-4.5976776e-08,41254.021,0,0,1.5323758e+08,-7.6779899e+11,8.1983859e+09,-9.649519e+10,-2.8057472e+10,-1.0112395e+10,-3.0028237e+10,5.0561973e+08,1.5014119e+09,2.4987313e+10,2.4987313e+10,2.2592594e+11,1.4120371e+10,6113074.7
10000,50,0,1.2206738e+08,5.0443012e+16,6.0457696e+16,1.7989015e+21,0,1.0771728e+19,2.6154771e+18,4.32e+12,3.2671116e+16,9.163483e+17,3.3365403e+18,6.6352333e+20,0,6988647.9,0,6988647.9,0,1.35e+21,58311.721,7.9977326e-08,58311.721,0,0,1.4336773e+08,-5.7064801e+11,7.9492157e+09,-1.0771205e+11,-2.6155681e+10,-9.1639341e+09,-3.3363804e+10,4.5819671e+08,1.6681902e+09,2.679765e+10,2.679765e+10,2.189044e+11,1.3681525e+10,8072306
12000,60,0,1.4140912e+08,6.1502643e+16,7.7924226e+16,1.7939305e+21,0,1.1744669e+19,2.4409613e+18,4.32e+12,3.2840204e+16,8.3044104e+17,3.6426541e+18,6.6744836e+20,0,9937789.1,0,9937789.1,0,1.35e+21,78437.183,4.5882189e-08,78437.183,0,0,1.3413441e+08,-4.3146094e+11,7.6868429e+09,-1.1744218e+11,-2.4410449e+10,-8.3048191e+09,-3.6425078e+10,4.1524095e+08,1.8212539e+09,2.8364286e+10,2.8364286e+10,2.1183489e+11,1.3239681e+10,10316727
14000,70,0,1.6089434e+08,7.3018513e+16,9.6845096e+16,1.7901431e+21,0,1.2581239e+19,2.2805249e+18,4.32e+12,3.2911589e+16,7.5262376e+17,3.9218777e+18,6.7032907e+20,0,13506691,0,13506691,0,1.35e+21,101838.81,0,101838.81,0,9.765625e-08,1.2549658e+08,-3.3142839e+11,7.4189928e+09,-1.2580853e+11,-2.2806018e+10,-7.5266078e+09,-3.9217447e+10,3.7633039e+08,1.9608723e+09,2.9705158e+10,2.9705158e+10,2.0489036e+11,1.2805647e+10,12836674
16000,80,0,1.8034499e+08,8.502341e+16,1.1708427e+17,1.7872133e+21,0,1.329383e+19,2.132803e+18,4.32e+12,3.2903103e+16,6.8213226e+17,4.1750907e+18,6.7248024e+20,0,17726829,0,17726829,0,1.35e+21,128729.59,-4.4281478e-08,128729.59,0,0,1.1741582e+08,-2.5826338e+11,7.1509398e+09,-1.3293503e+11,-2.1328739e+10,-6.821658e+09,-4.1749704e+10,3.410829e+08,2.0874852e+09,3.083912e+10,3.083912e+10,1.9817227e+11,1.2385767e+10,15619665
18000,90,0,1.9961371e+08,9.7541003e+16,1.3851029e+17,1.784916e+21,0,1.3894462e+19,1.9966024e+18,4.32e+12,3.2828552e+16,6.182747e+17,4.403387e+18,6.7411593e+20,0,22623931,0,22623931,0,1.35e+21,159323.29,-1.6763806e-08,159323.29,0,0,1.0985622e+08,-2.0382163e+11,6.8863244e+09,-1.3894188e+11,-1.9966678e+10,-6.1830508e+09,-4.4032789e+10,3.0915254e+08,2.2016394e+09,3.178496e+10,3.178496e+10,1.9173755e+11,1.1983597e+10,18651224
