iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6779227e-310,1.898185e-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971014,9.7001276e+15,7.9121413e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363528e+16,1.3591407e+18,1.8424332e+18,6.235428e+20,0,238087.46,0,238087.46,0,1.35e+21,2919.1423,1.3989029e-07,2919.1423,0,0,1.8712053e+08,-2.0950113e+12,8.7174436e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422217e+10,6.7960387e+08,9.2111084e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220922,1.9503229e+16,1.818405e+16,1.8270175e+21,0,6.9176239e+18,3.2406605e+18,4.32e+12,3.1286441e+16,1.2315019e+18,2.2544413e+18,6.3947308e+20,0,643575.69,0,643575.69,0,1.35e+21,6903.0394,-4.1648491e-08,6903.0394,0,0,1.7506546e+08,-1.4698533e+12,8.6049323e+09,-6.9168552e+10,-3.2407795e+10,-1.2315626e+10,-2.2542412e+10,6.1578131e+08,1.1271206e+09,2.0579493e+10,2.0579493e+10,2.3848026e+11,1.4905016e+10,3068629.7
6000,30,0,84702259,2.9506471e+16,3.0463528e+16,1.8145451e+21,0,8.3684503e+18,3.0133127e+18,4.32e+12,3.1934336e+16,1.1158974e+18,2.6420069e+18,6.5042875e+20,0,1239525,0,1239525,0,1.35e+21,12006.382,3.8453436e-09,12006.382,0,0,1.6378786e+08,-1.0521478e+12,8.4226617e+09,-8.3677678e+10,-3.0134212e+10,-1.1159524e+10,-2.6418197e+10,5.5797618e+08,1.3209098e+09,2.2917905e+10,2.2917905e+10,2.3261075e+11,1.4538172e+10,4444885.4
8000,40,0,1.0308147e+08,3.9796548e+16,4.4623133e+16,1.8055347e+21,0,9.6501186e+18,2.8056439e+18,4.32e+12,3.2379318e+16,1.0111893e+18,3.0029673e+18,6.5808556e+20,0,2051961.5,0,2051961.5,0,1.35e+21,18300.829,-3.3182005e-08,18300.829,0,0,1.5323758e+08,-7.6779904e+11,8.198099e+09,-9.6495187e+10,-2.8057432e+10,-1.0112391e+10,-3.0027937e+10,5.0561956e+08,1.5013968e+09,2.4987276e+10,2.4987276e+10,2.2592594e+11,1.4120371e+10,6113066.7
10000,50,0,1.2206711e+08,5.0443654e+16,6.052795e+16,1.7989015e+21,0,1.0771727e+19,2.6154701e+18,4.32e+12,3.2669384e+16,9.1634773e+17,3.3364859e+18,6.6352333e+20,0,3103829.4,0,3103829.4,0,1.35e+21,25867.935,1.3444878e-07,25867.935,0,0,1.4336773e+08,-5.7064811e+11,7.9487945e+09,-1.0771204e+11,-2.6155611e+10,-9.1639284e+09,-3.3363261e+10,4.5819642e+08,1.668163e+09,2.6797584e+10,2.6797584e+10,2.189044e+11,1.3681525e+10,8072288.1
12000,60,0,1.4140863e+08,6.1503645e+16,7.8040891e+16,1.7939305e+21,0,1.1744667e+19,2.4409502e+18,4.32e+12,3.2837721e+16,8.3044017e+17,3.6425649e+18,6.6744835e+20,0,4415092.3,0,4415092.3,0,1.35e+21,34796.009,5.144102e-09,34796.009,0,0,1.3413441e+08,-4.3146112e+11,7.6862618e+09,-1.1744216e+11,-2.4410338e+10,-8.3048103e+09,-3.6424187e+10,4.1524052e+08,1.8212093e+09,2.836418e+10,2.836418e+10,2.1183489e+11,1.323968e+10,10316691
14000,70,0,1.6089352e+08,7.3019984e+16,9.7026045e+16,1.7901431e+21,0,1.2581237e+19,2.2805085e+18,4.32e+12,3.2908188e+16,7.5262249e+17,3.9217412e+18,6.7032906e+20,0,6002883.8,0,6002883.8,0,1.35e+21,45177.524,0,45177.524,0,9.765625e-08,1.2549658e+08,-3.3142868e+11,7.4182263e+09,-1.258085e+11,-2.2805854e+10,-7.5265951e+09,-3.9216082e+10,3.7632975e+08,1.9608041e+09,2.9704995e+10,2.9704995e+10,2.0489035e+11,1.2805647e+10,12836609
16000,80,0,1.803437e+08,8.5025472e+16,1.1735084e+17,1.7872133e+21,0,1.3293826e+19,2.1327798e+18,4.32e+12,3.2898608e+16,6.821305e+17,4.1748922e+18,6.7248021e+20,0,7881683,0,7881683,0,1.35e+21,57106.992,4.5140041e-08,57106.992,0,0,1.1741582e+08,-2.5826383e+11,7.1499631e+09,-1.3293499e+11,-2.1328507e+10,-6.8216403e+09,-4.1747719e+10,3.4108202e+08,2.087386e+09,3.0838883e+10,3.0838883e+10,1.9817226e+11,1.2385766e+10,15619554
18000,90,0,1.9961178e+08,9.7543791e+16,1.3888738e+17,1.784916e+21,0,1.3894456e+19,1.996571e+18,4.32e+12,3.2822779e+16,6.1827234e+17,4.4031097e+18,6.7411589e+20,0,10063501,0,10063501,0,1.35e+21,70679.269,4.4426997e-08,70679.269,0,0,1.0985622e+08,-2.0382229e+11,6.8851136e+09,-1.3894181e+11,-1.9966364e+10,-6.1830272e+09,-4.4030016e+10,3.0915136e+08,2.2015008e+09,3.1784629e+10,3.1784629e+10,1.9173754e+11,1.1983596e+10,18651044
