iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6490851e-310,5.1206945e+296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971057,9.6998756e+15,7.8929896e+15,1.844626e+21,0,5.2931979e+18,3.4903351e+18,4.32e+12,3.036534e+16,1.359141e+18,1.842448e+18,6.235428e+20,0,4616042.3,0,4616042.3,0,1.35e+21,56732.14,1.4406396e-08,56732.14,0,0,1.8712053e+08,-2.0950113e+12,8.7179636e+09,-5.2923424e+10,-3.490466e+10,-1.359208e+10,-1.8422364e+10,6.79604e+08,9.2111821e+08,1.7972147e+10,1.7972147e+10,2.4274053e+11,1.5171283e+10,1978862.3
4000,20,0,67221188,1.9502096e+16,1.8086865e+16,1.8270175e+21,0,6.9176244e+18,3.2406713e+18,4.32e+12,3.1291494e+16,1.231503e+18,2.2545182e+18,6.3947308e+20,0,12441083,0,12441083,0,1.35e+21,134152.98,2.4505425e-08,134152.98,0,0,1.7506546e+08,-1.4698532e+12,8.6063217e+09,-6.9168557e+10,-3.2407904e+10,-1.2315637e+10,-2.254318e+10,6.1578184e+08,1.127159e+09,2.0579586e+10,2.0579586e+10,2.3848026e+11,1.4905016e+10,3068641.8
6000,30,0,84703091,2.9503642e+16,3.0197847e+16,1.8145451e+21,0,8.3684523e+18,3.0133413e+18,4.32e+12,3.1944202e+16,1.1159e+18,2.6422165e+18,6.5042876e+20,0,23880149,0,23880149,0,1.35e+21,233322.02,0,233322.02,0,9.765625e-08,1.6378786e+08,-1.0521475e+12,8.4252632e+09,-8.3677698e+10,-3.0134498e+10,-1.115955e+10,-2.6420292e+10,5.5797749e+08,1.3210146e+09,2.2918158e+10,2.2918158e+10,2.3261076e+11,1.4538172e+10,4444929.1
8000,40,0,1.0308343e+08,3.9791018e+16,4.4062509e+16,1.8055348e+21,0,9.6501241e+18,2.8057019e+18,4.32e+12,3.2395789e+16,1.0111943e+18,3.0034056e+18,6.5808559e+20,0,39378980,0,39378980,0,1.35e+21,355627.71,-4.7672074e-08,355627.71,0,0,1.5323758e+08,-7.6779831e+11,8.2022681e+09,-9.6495242e+10,-2.8058012e+10,-1.0112441e+10,-3.0032319e+10,5.0562207e+08,1.5016159e+09,2.4987805e+10,2.4987805e+10,2.2592595e+11,1.4120372e+10,6113183
10000,50,0,1.2207104e+08,5.043422e+16,5.9506267e+16,1.7989015e+21,0,1.0771739e+19,2.6155713e+18,4.32e+12,3.2694439e+16,9.1635614e+17,3.3372757e+18,6.6352341e+20,0,59304926,0,59304926,0,1.35e+21,502650.03,8.8301022e-08,502650.03,0,0,1.4336773e+08,-5.7064664e+11,7.9548893e+09,-1.0771216e+11,-2.6156623e+10,-9.1640125e+09,-3.3371157e+10,4.5820062e+08,1.6685578e+09,2.6798535e+10,2.6798535e+10,2.1890442e+11,1.3681526e+10,8072547.9
12000,60,0,1.414157e+08,6.1488911e+16,7.6349426e+16,1.7939306e+21,0,1.174469e+19,2.4411105e+18,4.32e+12,3.2873495e+16,8.3045309e+17,3.6438566e+18,6.6744849e+20,0,83947863,0,83947863,0,1.35e+21,676099.43,0,676099.43,0,9.765625e-08,1.3413441e+08,-4.3145849e+11,7.694634e+09,-1.1744239e+11,-2.4411941e+10,-8.3049395e+09,-3.6437101e+10,4.1524698e+08,1.821855e+09,2.836573e+10,2.836573e+10,2.1183493e+11,1.3239683e+10,10317207
14000,70,0,1.609053e+08,7.2998353e+16,9.4411276e+16,1.7901431e+21,0,1.2581276e+19,2.2807456e+18,4.32e+12,3.2956941e+16,7.5264119e+17,3.9237127e+18,6.7032931e+20,0,1.1352248e+08,0,1.1352248e+08,0,1.35e+21,877766.37,0,877766.37,0,9.765625e-08,1.2549658e+08,-3.3142438e+11,7.4292147e+09,-1.258089e+11,-2.2808225e+10,-7.526782e+09,-3.9235793e+10,3.763391e+08,1.9617896e+09,2.9707355e+10,2.9707355e+10,2.0489043e+11,1.2805652e+10,12837548
16000,80,0,1.8036217e+08,8.4995148e+16,1.1351295e+17,1.7872134e+21,0,1.3293889e+19,2.1331129e+18,4.32e+12,3.2962689e+16,6.8215638e+17,4.1777484e+18,6.7248061e+20,0,1.4817151e+08,0,1.4817151e+08,0,1.35e+21,1109480.2,2.3515895e-08,1109480.2,0,0,1.1741582e+08,-2.5825725e+11,7.1638883e+09,-1.3293562e+11,-2.1331838e+10,-6.8218991e+09,-4.1776277e+10,3.4109496e+08,2.0888138e+09,3.0842294e+10,3.0842294e+10,1.9817238e+11,1.2385774e+10,15621153
18000,90,0,1.9963943e+08,9.7502785e+16,1.3347946e+17,1.7849162e+21,0,1.3894552e+19,1.9970203e+18,4.32e+12,3.2904597e+16,6.1830696e+17,4.4070815e+18,6.741165e+20,0,1.879695e+08,0,1.879695e+08,0,1.35e+21,1373076.2,4.33065e-08,1373076.2,0,0,1.0985622e+08,-2.0381272e+11,6.9022742e+09,-1.3894277e+11,-1.9970857e+10,-6.1833734e+09,-4.4069728e+10,3.0916867e+08,2.2034864e+09,3.1789362e+10,3.1789362e+10,1.9173771e+11,1.1983607e+10,18653627
