iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6635036e-310,-2.1324253e+198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971026,9.7000548e+15,7.9066001e+15,1.844626e+21,0,5.2931978e+18,3.4903336e+18,4.32e+12,3.0364052e+16,1.3591408e+18,1.8424375e+18,6.235428e+20,0,1505487.6,0,1505487.6,0,1.35e+21,18471.27,-1.0568328e-08,18471.27,0,0,1.8712053e+08,-2.0950113e+12,8.7175942e+09,-5.2923424e+10,-3.4904645e+10,-1.3592078e+10,-1.8422259e+10,6.7960391e+08,9.2111297e+08,1.7972134e+10,1.7972134e+10,2.4274053e+11,1.5171283e+10,1978861
4000,20,0,67220999,1.9502902e+16,1.8155891e+16,1.8270175e+21,0,6.9176241e+18,3.2406637e+18,4.32e+12,3.1287907e+16,1.2315022e+18,2.2544636e+18,6.3947308e+20,0,4066039.1,0,4066039.1,0,1.35e+21,43679.516,-1.033186e-09,43679.516,0,0,1.7506546e+08,-1.4698533e+12,8.6053353e+09,-6.9168553e+10,-3.2407827e+10,-1.2315629e+10,-2.2542634e+10,6.1578146e+08,1.1271317e+09,2.057952e+10,2.057952e+10,2.3848026e+11,1.4905016e+10,3068633.2
6000,30,0,84702500,2.9505653e+16,3.0386425e+16,1.8145451e+21,0,8.3684509e+18,3.013321e+18,4.32e+12,3.1937205e+16,1.1158981e+18,2.6420678e+18,6.5042875e+20,0,7823474.7,0,7823474.7,0,1.35e+21,75970.484,-1.1801603e-08,75970.484,0,0,1.6378786e+08,-1.0521477e+12,8.4234181e+09,-8.3677684e+10,-3.0134295e+10,-1.1159531e+10,-2.6418805e+10,5.5797656e+08,1.3209402e+09,2.2917978e+10,2.2917978e+10,2.3261076e+11,1.4538172e+10,4444898.1
8000,40,0,1.0308204e+08,3.979495e+16,4.4460132e+16,1.8055347e+21,0,9.6501202e+18,2.8056608e+18,4.32e+12,3.238412e+16,1.0111908e+18,3.0030948e+18,6.5808557e+20,0,12936742,0,12936742,0,1.35e+21,115797.21,1.9746949e-08,115797.21,0,0,1.5323758e+08,-7.6779883e+11,8.1993145e+09,-9.6495203e+10,-2.8057601e+10,-1.0112406e+10,-3.0029211e+10,5.0562029e+08,1.5014605e+09,2.498743e+10,2.498743e+10,2.2592594e+11,1.4120371e+10,6113100.5
10000,50,0,1.2206825e+08,5.0440928e+16,6.023028e+16,1.7989015e+21,0,1.0771731e+19,2.6154996e+18,4.32e+12,3.2676712e+16,9.1635016e+17,3.3367161e+18,6.6352335e+20,0,19543476,0,19543476,0,1.35e+21,163675.26,7.415656e-08,163675.26,0,0,1.4336773e+08,-5.7064768e+11,7.950577e+09,-1.0771208e+11,-2.6155906e+10,-9.1639527e+09,-3.3365561e+10,4.5819764e+08,1.6682781e+09,2.6797861e+10,2.6797861e+10,2.189044e+11,1.3681525e+10,8072363.8
12000,60,0,1.414107e+08,6.1499387e+16,7.7546938e+16,1.7939305e+21,0,1.1744674e+19,2.440997e+18,4.32e+12,3.2848219e+16,8.304439e+17,3.6429422e+18,6.6744839e+20,0,27760502,0,27760502,0,1.35e+21,220162.9,3.0209776e-08,220162.9,0,0,1.3413441e+08,-4.3146035e+11,7.6887187e+09,-1.1744223e+11,-2.4410806e+10,-8.3048476e+09,-3.6427959e+10,4.1524238e+08,1.821398e+09,2.8364632e+10,2.8364632e+10,2.118349e+11,1.3239681e+10,10316842
14000,70,0,1.6089697e+08,7.3013734e+16,9.6260522e+16,1.7901431e+21,0,1.2581248e+19,2.2805779e+18,4.32e+12,3.2922549e+16,7.526279e+17,3.9223186e+18,6.7032913e+20,0,37684689,0,37684689,0,1.35e+21,285844.61,0,285844.61,0,9.765625e-08,1.2549658e+08,-3.3142743e+11,7.4214631e+09,-1.2580862e+11,-2.2806548e+10,-7.5266491e+09,-3.9221855e+10,3.7633246e+08,1.9610928e+09,2.9705686e+10,2.9705686e+10,2.0489038e+11,1.2805649e+10,12836884
16000,80,0,1.8034913e+08,8.5016712e+16,1.162241e+17,1.7872133e+21,0,1.3293844e+19,2.1328777e+18,4.32e+12,3.2917563e+16,6.8213798e+17,4.1757312e+18,6.7248033e+20,0,49393991,0,49393991,0,1.35e+21,361317.75,-2.1827873e-08,361317.75,0,0,1.1741582e+08,-2.5826191e+11,7.1540821e+09,-1.3293517e+11,-2.1329485e+10,-6.8217151e+09,-4.1756108e+10,3.4108576e+08,2.0878054e+09,3.0839885e+10,3.0839885e+10,1.981723e+11,1.2385769e+10,15620023
18000,90,0,1.9961993e+08,9.7531947e+16,1.3729493e+17,1.784916e+21,0,1.3894484e+19,1.9967034e+18,4.32e+12,3.284709e+16,6.1828235e+17,4.4042803e+18,6.7411606e+20,0,62948590,0,62948590,0,1.35e+21,447181.76,0,447181.76,0,9.765625e-08,1.0985622e+08,-2.0381948e+11,6.8902126e+09,-1.3894209e+11,-1.9967688e+10,-6.1831273e+09,-4.404172e+10,3.0915636e+08,2.202086e+09,3.1786024e+10,3.1786024e+10,1.9173759e+11,1.1983599e+10,18651805
20000,100,0,2.1858926e+08,1.1057533e+17,1.5933546e+17,1.7830932e+21,0,1.4394561e+19,1.8710045e+18,4.32e+12,3.2722178e+16,5.6043469e+17,4.609196e+18,6.7538357e+20,0,78392090,0,78392090,0,1.35e+21,544029.63,2.4563633e-08,544029.63,0,0,1.0278416e+08,-1.6262505e+11,6.6323702e+09,-1.4394334e+11,-1.8710649e+10,-5.604622e+09,-4.6090992e+10,2.802311e+08,2.3045496e+09,3.2562261e+10,3.2562261e+10,1.8561526e+11,1.1600954e+10,21916470
22000,110,0,2.3716074e+08,1.2415622e+17,1.8221394e+17,1.7816321e+21,0,1.4804713e+19,1.7548504e+18,4.32e+12,3.2551891e+16,5.0802795e+17,4.7917816e+18,6.7638517e+20,0,95752726,0,95752726,0,1.35e+21,652441.4,3.3993274e-08,652441.4,0,0,96168198,-1.3094717e+11,6.3822812e+09,-1.4804529e+11,-1.7549063e+10,-5.0805288e+09,-4.7916956e+10,2.5402644e+08,2.3958478e+09,3.3185801e+10,3.3185801e+10,1.7981677e+11,1.1238548e+10,25397525
24000,120,0,2.5525869e+08,1.3827853e+17,2.058049e+17,1.7804514e+21,0,1.5134773e+19,1.6474125e+18,4.32e+12,3.2343823e+16,4.6054878e+17,4.9533739e+18,6.7719264e+20,0,1.1504457e+08,0,1.1504457e+08,0,1.35e+21,772979.16,3.6437996e-08,772979.16,0,0,89978920,-1.062085e+11,6.1411037e+09,-1.5134627e+11,-1.6474642e+10,-4.6057137e+09,-4.9532982e+10,2.3028569e+08,2.4766491e+09,3.3672731e+10,3.3672731e+10,1.7434261e+11,1.0896413e+10,29078198
