iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6556654e-310,-1.3299467e+236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971057,9.6998787e+15,7.893224e+15,1.844626e+21,0,5.2931979e+18,3.4903351e+18,4.32e+12,3.0365318e+16,1.359141e+18,1.8424478e+18,6.235428e+20,0,4562502.8,0,4562502.8,0,1.35e+21,56072.481,-2.9191142e-08,56072.481,0,0,1.8712053e+08,-2.0950113e+12,8.7179573e+09,-5.2923424e+10,-3.490466e+10,-1.359208e+10,-1.8422362e+10,6.79604e+08,9.2111812e+08,1.7972146e+10,1.7972146e+10,2.4274053e+11,1.5171283e+10,1978862.2
4000,20,0,67221185,1.950211e+16,1.8088052e+16,1.8270175e+21,0,6.9176244e+18,3.2406712e+18,4.32e+12,3.1291433e+16,1.231503e+18,2.2545173e+18,6.3947308e+20,0,12297226,0,12297226,0,1.35e+21,132593.15,6.5483619e-09,132593.15,0,0,1.7506546e+08,-1.4698532e+12,8.6063047e+09,-6.9168557e+10,-3.2407902e+10,-1.2315637e+10,-2.2543171e+10,6.1578184e+08,1.1271585e+09,2.0579585e+10,2.0579585e+10,2.3848026e+11,1.4905016e+10,3068641.7
6000,30,0,84703081,2.9503677e+16,3.0201085e+16,1.8145451e+21,0,8.3684523e+18,3.0133409e+18,4.32e+12,3.1944082e+16,1.1159e+18,2.642214e+18,6.5042876e+20,0,23605004,0,23605004,0,1.35e+21,230609.24,-4.1502062e-08,230609.24,0,0,1.6378786e+08,-1.0521475e+12,8.4252315e+09,-8.3677698e+10,-3.0134495e+10,-1.1159549e+10,-2.6420267e+10,5.5797747e+08,1.3210133e+09,2.2918155e+10,2.2918155e+10,2.3261076e+11,1.4538172e+10,4444928.5
8000,40,0,1.0308341e+08,3.9791085e+16,4.4069324e+16,1.8055348e+21,0,9.6501241e+18,2.8057012e+18,4.32e+12,3.2395589e+16,1.0111943e+18,3.0034003e+18,6.5808559e+20,0,38927103,0,38927103,0,1.35e+21,351493.1,3.3411197e-08,351493.1,0,0,1.5323758e+08,-7.6779832e+11,8.2022176e+09,-9.6495241e+10,-2.8058005e+10,-1.0112441e+10,-3.0032265e+10,5.0562204e+08,1.5016133e+09,2.4987799e+10,2.4987799e+10,2.2592595e+11,1.4120372e+10,6113181.6
10000,50,0,1.2207099e+08,5.0434336e+16,5.9518651e+16,1.7989015e+21,0,1.0771739e+19,2.61557e+18,4.32e+12,3.2694137e+16,9.1635603e+17,3.3372662e+18,6.6352341e+20,0,58627530,0,58627530,0,1.35e+21,496806.4,4.976755e-08,496806.4,0,0,1.4336773e+08,-5.7064665e+11,7.9548159e+09,-1.0771216e+11,-2.615661e+10,-9.1640115e+09,-3.3371061e+10,4.5820057e+08,1.668553e+09,2.6798523e+10,2.6798523e+10,2.1890442e+11,1.3681526e+10,8072544.8
12000,60,0,1.4141562e+08,6.1489091e+16,7.6369862e+16,1.7939306e+21,0,1.174469e+19,2.4411086e+18,4.32e+12,3.2873066e+16,8.3045293e+17,3.643841e+18,6.6744849e+20,0,82993930,0,82993930,0,1.35e+21,668239.77,-1.5599653e-08,668239.77,0,0,1.3413441e+08,-4.3145852e+11,7.6945336e+09,-1.1744238e+11,-2.4411921e+10,-8.3049379e+09,-3.6436945e+10,4.152469e+08,1.8218472e+09,2.8365711e+10,2.8365711e+10,2.1183493e+11,1.3239683e+10,10317201
14000,70,0,1.6090515e+08,7.2998618e+16,9.4442754e+16,1.7901431e+21,0,1.2581275e+19,2.2807427e+18,4.32e+12,3.2956359e+16,7.5264096e+17,3.923689e+18,6.703293e+20,0,1.1223986e+08,0,1.1223986e+08,0,1.35e+21,867562.94,0,867562.94,0,9.765625e-08,1.2549658e+08,-3.3142444e+11,7.4290836e+09,-1.2580889e+11,-2.2808196e+10,-7.5267798e+09,-3.9235556e+10,3.7633899e+08,1.9617778e+09,2.9707327e+10,2.9707327e+10,2.0489043e+11,1.2805652e+10,12837537
16000,80,0,1.8036195e+08,8.499552e+16,1.1355897e+17,1.7872134e+21,0,1.3293888e+19,2.1331089e+18,4.32e+12,3.2961929e+16,6.8215607e+17,4.1777142e+18,6.7248061e+20,0,1.4650796e+08,0,1.4650796e+08,0,1.35e+21,1096584.1,2.514571e-08,1096584.1,0,0,1.1741582e+08,-2.5825733e+11,7.1637231e+09,-1.3293561e+11,-2.1331798e+10,-6.821896e+09,-4.1775935e+10,3.410948e+08,2.0887967e+09,3.0842253e+10,3.0842253e+10,1.9817238e+11,1.2385774e+10,15621134
18000,90,0,1.996391e+08,9.7503288e+16,1.3354403e+17,1.7849162e+21,0,1.389455e+19,1.997015e+18,4.32e+12,3.2903632e+16,6.1830654e+17,4.4070341e+18,6.7411649e+20,0,1.8587368e+08,0,1.8587368e+08,0,1.35e+21,1357117.2,-3.1897798e-08,1357117.2,0,0,1.0985622e+08,-2.0381283e+11,6.9020719e+09,-1.3894276e+11,-1.9970803e+10,-6.1833691e+09,-4.4069254e+10,3.0916846e+08,2.2034627e+09,3.1789305e+10,3.1789305e+10,1.9173771e+11,1.1983607e+10,18653596
