iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6899364e-310,8.7455008e-295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971087,9.699701e+15,7.8797614e+15,1.844626e+21,0,5.2931979e+18,3.4903366e+18,4.32e+12,3.0366591e+16,1.3591411e+18,1.8424582e+18,6.235428e+20,0,7635863.1,0,7635863.1,0,1.35e+21,94002.145,-4.2316969e-08,94002.145,0,0,1.8712053e+08,-2.0950113e+12,8.7183224e+09,-5.2923425e+10,-3.4904675e+10,-1.3592082e+10,-1.8422466e+10,6.7960408e+08,9.2112331e+08,1.7972159e+10,1.7972159e+10,2.4274053e+11,1.5171283e+10,1978863.4
4000,20,0,67221372,1.9501312e+16,1.8019963e+16,1.8270175e+21,0,6.9176248e+18,3.2406788e+18,4.32e+12,3.1294964e+16,1.2315037e+18,2.2545711e+18,6.3947308e+20,0,20538356,0,20538356,0,1.35e+21,222279.43,1.9936124e-08,222279.43,0,0,1.7506546e+08,-1.4698532e+12,8.6072755e+09,-6.9168561e+10,-3.2407978e+10,-1.2315644e+10,-2.2543709e+10,6.1578222e+08,1.1271855e+09,2.057965e+10,2.057965e+10,2.3848026e+11,1.4905016e+10,3068650.2
6000,30,0,84703662,2.9501683e+16,3.001566e+16,1.8145451e+21,0,8.3684538e+18,3.0133609e+18,4.32e+12,3.1950937e+16,1.1159018e+18,2.6423603e+18,6.5042877e+20,0,39330178,0,39330178,0,1.35e+21,386583.49,-5.1804818e-09,386583.49,0,0,1.6378786e+08,-1.0521473e+12,8.427039e+09,-8.3677712e+10,-3.0134694e+10,-1.1159568e+10,-2.6421729e+10,5.579784e+08,1.3210864e+09,2.2918332e+10,2.2918332e+10,2.3261076e+11,1.4538173e+10,4444959
8000,40,0,1.0308477e+08,3.9787187e+16,4.3679763e+16,1.8055348e+21,0,9.6501279e+18,2.8057415e+18,4.32e+12,3.2406958e+16,1.0111978e+18,3.0037048e+18,6.5808562e+20,0,64683354,0,64683354,0,1.35e+21,589210.12,1.5017577e-08,589210.12,0,0,1.5323758e+08,-7.6779782e+11,8.2050956e+09,-9.649528e+10,-2.8058407e+10,-1.0112476e+10,-3.003531e+10,5.0562381e+08,1.5017655e+09,2.4988166e+10,2.4988166e+10,2.2592596e+11,1.4120373e+10,6113262.4
10000,50,0,1.2207371e+08,5.0427686e+16,5.8812201e+16,1.7989015e+21,0,1.0771747e+19,2.61564e+18,4.32e+12,3.2711305e+16,9.1636196e+17,3.3378121e+18,6.6352346e+20,0,97120876,0,97120876,0,1.35e+21,832771.52,3.8999133e-08,832771.52,0,0,1.4336773e+08,-5.7064563e+11,7.9589924e+09,-1.0771225e+11,-2.615731e+10,-9.1640707e+09,-3.3376519e+10,4.5820354e+08,1.6688259e+09,2.679918e+10,2.679918e+10,2.1890444e+11,1.3681527e+10,8072724.5
12000,60,0,1.4142048e+08,6.1478703e+16,7.5206673e+16,1.7939306e+21,0,1.1744706e+19,2.4412187e+18,4.32e+12,3.2897381e+16,8.3046203e+17,3.6447287e+18,6.6744859e+20,0,1.3701794e+08,0,1.3701794e+08,0,1.35e+21,1120095.1,3.9581209e-09,1120095.1,0,0,1.3413441e+08,-4.314567e+11,7.7002241e+09,-1.1744254e+11,-2.4413023e+10,-8.305029e+09,-3.644582e+10,4.1525145e+08,1.822291e+09,2.8366777e+10,2.8366777e+10,2.1183496e+11,1.3239685e+10,10317555
14000,70,0,1.609132e+08,7.2983363e+16,9.2655438e+16,1.7901432e+21,0,1.2581302e+19,2.2809047e+18,4.32e+12,3.2989197e+16,7.5265414e+17,3.9250352e+18,6.7032947e+20,0,1.8460616e+08,0,1.8460616e+08,0,1.35e+21,1454139.8,0,1454139.8,0,9.765625e-08,1.2549658e+08,-3.3142148e+11,7.4364849e+09,-1.2580916e+11,-2.2809816e+10,-7.5269115e+09,-3.9249015e+10,3.7634557e+08,1.9624508e+09,2.9708939e+10,2.9708939e+10,2.0489048e+11,1.2805655e+10,12838178
16000,80,0,1.8037449e+08,8.4974128e+16,1.1095283e+17,1.7872135e+21,0,1.3293931e+19,2.1333349e+18,4.32e+12,3.3004663e+16,6.821743e+17,4.1796509e+18,6.7248088e+20,0,2.3997999e+08,0,2.3997999e+08,0,1.35e+21,1837928.3,0,1837928.3,0,9.765625e-08,1.1741582e+08,-2.5825283e+11,7.1730096e+09,-1.3293604e+11,-2.1334057e+10,-6.8220783e+09,-4.1795298e+10,3.4110392e+08,2.0897649e+09,3.0844567e+10,3.0844567e+10,1.9817246e+11,1.2385779e+10,15622220
18000,90,0,1.9965772e+08,9.7474344e+16,1.2989794e+17,1.7849163e+21,0,1.3894616e+19,1.9973176e+18,4.32e+12,3.2957604e+16,6.1833093e+17,4.4097064e+18,6.741169e+20,0,3.0310468e+08,0,3.0310468e+08,0,1.35e+21,2274491.7,-1.2107193e-08,2274491.7,0,0,1.0985622e+08,-2.0380632e+11,6.9133922e+09,-1.3894342e+11,-1.9973829e+10,-6.183613e+09,-4.4095973e+10,3.0918065e+08,2.2047987e+09,3.1792492e+10,3.1792492e+10,1.9173783e+11,1.1983614e+10,18655336
