iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6431441e-310,1.9453697e+196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971028,9.7000432e+15,7.9057192e+15,1.844626e+21,0,5.2931978e+18,3.4903337e+18,4.32e+12,3.0364136e+16,1.3591408e+18,1.8424381e+18,6.235428e+20,0,1706925.3,0,1706925.3,0,1.35e+21,20945.076,1.2565943e-07,20945.076,0,0,1.8712053e+08,-2.0950113e+12,8.7176181e+09,-5.2923424e+10,-3.4904646e+10,-1.3592078e+10,-1.8422266e+10,6.7960392e+08,9.2111331e+08,1.7972135e+10,1.7972135e+10,2.4274053e+11,1.5171283e+10,1978861.1
4000,20,0,67221011,1.950285e+16,1.8151418e+16,1.8270175e+21,0,6.9176241e+18,3.2406641e+18,4.32e+12,3.128814e+16,1.2315023e+18,2.2544671e+18,6.3947308e+20,0,4609462.2,0,4609462.2,0,1.35e+21,49529.319,-8.5710781e-09,49529.319,0,0,1.7506546e+08,-1.4698533e+12,8.6053993e+09,-6.9168554e+10,-3.2407832e+10,-1.231563e+10,-2.254267e+10,6.1578149e+08,1.1271335e+09,2.0579524e+10,2.0579524e+10,2.3848026e+11,1.4905016e+10,3068633.8
6000,30,0,84702539,2.9505523e+16,3.0374184e+16,1.8145451e+21,0,8.368451e+18,3.0133223e+18,4.32e+12,3.193766e+16,1.1158982e+18,2.6420774e+18,6.5042875e+20,0,8867688.6,0,8867688.6,0,1.35e+21,86144.723,-2.9904186e-08,86144.723,0,0,1.6378786e+08,-1.0521477e+12,8.4235381e+09,-8.3677684e+10,-3.0134308e+10,-1.1159532e+10,-2.6418901e+10,5.5797662e+08,1.3209451e+09,2.291799e+10,2.291799e+10,2.3261076e+11,1.4538172e+10,4444900.1
8000,40,0,1.0308213e+08,3.9794696e+16,4.4434278e+16,1.8055347e+21,0,9.6501205e+18,2.8056635e+18,4.32e+12,3.2384881e+16,1.011191e+18,3.003115e+18,6.5808557e+20,0,14660813,0,14660813,0,1.35e+21,131304.92,-1.2223609e-08,131304.92,0,0,1.5323758e+08,-7.677988e+11,8.1995071e+09,-9.6495205e+10,-2.8057628e+10,-1.0112408e+10,-3.0029413e+10,5.056204e+08,1.5014706e+09,2.4987455e+10,2.4987455e+10,2.2592594e+11,1.4120372e+10,6113105.9
10000,50,0,1.2206843e+08,5.0440494e+16,6.0183111e+16,1.7989015e+21,0,1.0771731e+19,2.6155042e+18,4.32e+12,3.2677871e+16,9.1635054e+17,3.3367525e+18,6.6352336e+20,0,22143553,0,22143553,0,1.35e+21,185594.46,-3.2043317e-08,185594.46,0,0,1.4336773e+08,-5.7064761e+11,7.9508589e+09,-1.0771208e+11,-2.6155953e+10,-9.1639566e+09,-3.3365926e+10,4.5819783e+08,1.6682963e+09,2.6797905e+10,2.6797905e+10,2.1890441e+11,1.3681525e+10,8072375.8
12000,60,0,1.4141102e+08,6.149871e+16,7.7468753e+16,1.7939305e+21,0,1.1744675e+19,2.4410044e+18,4.32e+12,3.2849877e+16,8.3044449e+17,3.643002e+18,6.674484e+20,0,31446692,0,31446692,0,1.35e+21,249646.25,-3.8242433e-08,249646.25,0,0,1.3413441e+08,-4.3146023e+11,7.6891067e+09,-1.1744224e+11,-2.4410881e+10,-8.3048536e+09,-3.6428556e+10,4.1524268e+08,1.8214278e+09,2.8364704e+10,2.8364704e+10,2.118349e+11,1.3239681e+10,10316866
14000,70,0,1.6089752e+08,7.301274e+16,9.6139498e+16,1.7901431e+21,0,1.258125e+19,2.2805889e+18,4.32e+12,3.2924813e+16,7.5262876e+17,3.9224099e+18,6.7032914e+20,0,42678027,0,42678027,0,1.35e+21,324122.96,0,324122.96,0,9.765625e-08,1.2549658e+08,-3.3142723e+11,7.4219733e+09,-1.2580864e+11,-2.2806658e+10,-7.5266577e+09,-3.9222768e+10,3.7633289e+08,1.9611384e+09,2.9705795e+10,2.9705795e+10,2.0489038e+11,1.2805649e+10,12836927
16000,80,0,1.8034998e+08,8.5015318e+16,1.1604621e+17,1.7872133e+21,0,1.3293847e+19,2.1328931e+18,4.32e+12,3.2920545e+16,6.8213917e+17,4.1758637e+18,6.7248035e+20,0,55923538,0,55923538,0,1.35e+21,409701.81,0,409701.81,0,9.765625e-08,1.1741582e+08,-2.582616e+11,7.1547301e+09,-1.329352e+11,-2.132964e+10,-6.821727e+09,-4.1757433e+10,3.4108635e+08,2.0878716e+09,3.0840043e+10,3.0840043e+10,1.981723e+11,1.2385769e+10,15620098
18000,90,0,1.9962121e+08,9.7530063e+16,1.3704387e+17,1.7849161e+21,0,1.3894488e+19,1.9967242e+18,4.32e+12,3.2850906e+16,6.1828394e+17,4.4044647e+18,6.7411609e+20,0,71248691,0,71248691,0,1.35e+21,507062.37,1.6880222e-09,507062.37,0,0,1.0985622e+08,-2.0381904e+11,6.891013e+09,-1.3894214e+11,-1.9967896e+10,-6.1831432e+09,-4.4043564e+10,3.0915716e+08,2.2021782e+09,3.1786243e+10,3.1786243e+10,1.917376e+11,1.19836e+10,18651925
