iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6418938e-310,1.4354872e+110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.70014e+15,7.9130838e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363438e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,22466.293,0,22466.293,0,1.35e+21,275.42225,3.883207e-08,275.42225,0,0,1.8712053e+08,-2.0950113e+12,8.717418e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111048e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.9503285e+16,1.8188842e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286191e+16,1.2315019e+18,2.2544375e+18,6.3947308e+20,0,60737.546,0,60737.546,0,1.35e+21,651.30557,-3.1883815e-08,651.30557,0,0,1.7506546e+08,-1.4698533e+12,8.6048637e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542374e+10,6.1578128e+08,1.1271187e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702218,2.950661e+16,3.0476661e+16,1.8145451e+21,0,8.3684502e+18,3.0133112e+18,4.32e+12,3.1933847e+16,1.1158972e+18,2.6419966e+18,6.5042875e+20,0,116999.94,0,116999.94,0,1.35e+21,1132.8109,-5.679567e-09,1132.8109,0,0,1.6378786e+08,-1.0521478e+12,8.4225328e+09,-8.3677677e+10,-3.0134198e+10,-1.1159522e+10,-2.6418093e+10,5.5797612e+08,1.3209047e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.2
8000,40,0,1.0308138e+08,3.979682e+16,4.4650921e+16,1.8055347e+21,0,9.6501183e+18,2.8056411e+18,4.32e+12,3.2378499e+16,1.0111891e+18,3.0029456e+18,6.5808556e+20,0,193723.69,0,193723.69,0,1.35e+21,1726.7002,2.5383315e-08,1726.7002,0,0,1.5323758e+08,-7.6779907e+11,8.1978915e+09,-9.6495184e+10,-2.8057404e+10,-1.0112389e+10,-3.002772e+10,5.0561944e+08,1.501386e+09,2.498725e+10,2.498725e+10,2.2592594e+11,1.4120371e+10,6113060.9
10000,50,0,1.2206691e+08,5.0444117e+16,6.0578747e+16,1.7989015e+21,0,1.0771726e+19,2.6154651e+18,4.32e+12,3.2668132e+16,9.1634731e+17,3.3364466e+18,6.6352333e+20,0,293092.92,0,293092.92,0,1.35e+21,2440.6693,1.4349098e-07,2440.6693,0,0,1.4336773e+08,-5.7064818e+11,7.9484898e+09,-1.0771204e+11,-2.6155561e+10,-9.1639243e+09,-3.3362868e+10,4.5819621e+08,1.6681434e+09,2.6797537e+10,2.6797537e+10,2.189044e+11,1.3681525e+10,8072275.2
12000,60,0,1.4140828e+08,6.1504369e+16,7.8125276e+16,1.7939305e+21,0,1.1744666e+19,2.4409422e+18,4.32e+12,3.2835923e+16,8.3043953e+17,3.6425005e+18,6.6744834e+20,0,417015.59,0,417015.59,0,1.35e+21,3283.0519,-2.7986971e-08,3283.0519,0,0,1.3413441e+08,-4.3146125e+11,7.6858411e+09,-1.1744215e+11,-2.4410259e+10,-8.304804e+09,-3.6423542e+10,4.152402e+08,1.8211771e+09,2.8364102e+10,2.8364102e+10,2.1183488e+11,1.323968e+10,10316665
14000,70,0,1.6089293e+08,7.3021047e+16,9.7156985e+16,1.7901431e+21,0,1.2581235e+19,2.2804966e+18,4.32e+12,3.2905724e+16,7.5262157e+17,3.9216424e+18,6.7032904e+20,0,567138.04,0,567138.04,0,1.35e+21,4262.5741,-4.1587555e-08,4262.5741,0,0,1.2549658e+08,-3.314289e+11,7.417671e+09,-1.2580848e+11,-2.2805735e+10,-7.5265859e+09,-3.9215094e+10,3.763293e+08,1.9607547e+09,2.9704877e+10,2.9704877e+10,2.0489035e+11,1.2805647e+10,12836562
16000,80,0,1.8034277e+08,8.502696e+16,1.1754382e+17,1.7872133e+21,0,1.3293823e+19,2.1327631e+18,4.32e+12,3.289535e+16,6.8212923e+17,4.1747484e+18,6.7248019e+20,0,744861.79,0,744861.79,0,1.35e+21,5388.1552,3.6220626e-08,5388.1552,0,0,1.1741582e+08,-2.5826416e+11,7.1492551e+09,-1.3293495e+11,-2.132834e+10,-6.8216276e+09,-4.1746282e+10,3.4108138e+08,2.0873141e+09,3.0838711e+10,3.0838711e+10,1.9817226e+11,1.2385766e+10,15619473
18000,90,0,1.9961039e+08,9.7545804e+16,1.3916052e+17,1.784916e+21,0,1.3894451e+19,1.9965483e+18,4.32e+12,3.2818591e+16,6.1827064e+17,4.4029089e+18,6.7411586e+20,0,951361.34,0,951361.34,0,1.35e+21,6668.7466,-4.3564796e-10,6668.7466,0,0,1.0985622e+08,-2.0382277e+11,6.8842352e+09,-1.3894177e+11,-1.9966137e+10,-6.1830102e+09,-4.4028008e+10,3.0915051e+08,2.2014004e+09,3.178439e+10,3.178439e+10,1.9173753e+11,1.1983596e+10,18650913
