iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6850111e-310,2.5398777e+174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.700135e+15,7.9126998e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363475e+16,1.3591407e+18,1.8424328e+18,6.235428e+20,0,110308.19,0,110308.19,0,1.35e+21,1352.372,-1.3759291e-08,1352.372,0,0,1.8712053e+08,-2.0950113e+12,8.7174284e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422212e+10,6.7960387e+08,9.2111062e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220914,1.9503262e+16,1.818689e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286293e+16,1.2315019e+18,2.2544391e+18,6.3947308e+20,0,298200.26,0,298200.26,0,1.35e+21,3198.0236,1.1798875e-08,3198.0236,0,0,1.7506546e+08,-1.4698533e+12,8.6048916e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542389e+10,6.1578129e+08,1.1271195e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702234,2.9506553e+16,3.047131e+16,1.8145451e+21,0,8.3684502e+18,3.0133118e+18,4.32e+12,3.1934046e+16,1.1158973e+18,2.6420008e+18,6.5042875e+20,0,574389.89,0,574389.89,0,1.35e+21,5562.2943,0,5562.2943,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225853e+09,-8.3677677e+10,-3.0134204e+10,-1.1159523e+10,-2.6418135e+10,5.5797614e+08,1.3209068e+09,2.2917897e+10,2.2917897e+10,2.3261075e+11,1.4538172e+10,4444884.1
8000,40,0,1.0308142e+08,3.9796709e+16,4.4639598e+16,1.8055347e+21,0,9.6501184e+18,2.8056422e+18,4.32e+12,3.2378833e+16,1.0111892e+18,3.0029545e+18,6.5808556e+20,0,950976.96,0,950976.96,0,1.35e+21,8478.3845,4.0994564e-08,8478.3845,0,0,1.5323758e+08,-7.6779906e+11,8.197976e+09,-9.6495185e+10,-2.8057415e+10,-1.011239e+10,-3.0027808e+10,5.0561949e+08,1.5013904e+09,2.4987261e+10,2.4987261e+10,2.2592594e+11,1.4120371e+10,6113063.3
10000,50,0,1.2206699e+08,5.0443928e+16,6.0558048e+16,1.7989015e+21,0,1.0771727e+19,2.6154671e+18,4.32e+12,3.2668642e+16,9.1634748e+17,3.3364627e+18,6.6352333e+20,0,1438647.2,0,1438647.2,0,1.35e+21,11984.08,9.1631591e-08,11984.08,0,0,1.4336773e+08,-5.7064815e+11,7.948614e+09,-1.0771204e+11,-2.6155582e+10,-9.163926e+09,-3.3363028e+10,4.581963e+08,1.6681514e+09,2.6797556e+10,2.6797556e+10,2.189044e+11,1.3681525e+10,8072280.4
12000,60,0,1.4140842e+08,6.1504074e+16,7.8090886e+16,1.7939305e+21,0,1.1744667e+19,2.4409455e+18,4.32e+12,3.2836656e+16,8.3043979e+17,3.6425267e+18,6.6744834e+20,0,2046720.2,0,2046720.2,0,1.35e+21,16120.297,2.6355337e-08,16120.297,0,0,1.3413441e+08,-4.314612e+11,7.6860126e+09,-1.1744215e+11,-2.4410291e+10,-8.3048065e+09,-3.6423805e+10,4.1524033e+08,1.8211902e+09,2.8364134e+10,2.8364134e+10,2.1183488e+11,1.323968e+10,10316676
14000,70,0,1.6089317e+08,7.3020614e+16,9.7103616e+16,1.7901431e+21,0,1.2581235e+19,2.2805014e+18,4.32e+12,3.2906728e+16,7.5262195e+17,3.9216827e+18,6.7032905e+20,0,2783220.2,0,2783220.2,0,1.35e+21,20929.881,0,20929.881,0,9.765625e-08,1.2549658e+08,-3.3142881e+11,7.4178974e+09,-1.2580849e+11,-2.2805784e+10,-7.5265896e+09,-3.9215497e+10,3.7632948e+08,1.9607748e+09,2.9704925e+10,2.9704925e+10,2.0489035e+11,1.2805647e+10,12836581
16000,80,0,1.8034315e+08,8.5026354e+16,1.1746515e+17,1.7872133e+21,0,1.3293824e+19,2.1327699e+18,4.32e+12,3.2896678e+16,6.8212975e+17,4.174807e+18,6.724802e+20,0,3654957.8,0,3654957.8,0,1.35e+21,26456.621,-3.6146957e-08,26456.621,0,0,1.1741582e+08,-2.5826403e+11,7.1495438e+09,-1.3293497e+11,-2.1328408e+10,-6.8216328e+09,-4.1746868e+10,3.4108164e+08,2.0873434e+09,3.0838781e+10,3.0838781e+10,1.9817226e+11,1.2385766e+10,15619506
18000,90,0,1.9961096e+08,9.7544984e+16,1.3904917e+17,1.784916e+21,0,1.3894453e+19,1.9965576e+18,4.32e+12,3.2820299e+16,6.1827134e+17,4.4029908e+18,6.7411587e+20,0,4667617.5,0,4667617.5,0,1.35e+21,32744.469,1.895387e-08,32744.469,0,0,1.0985622e+08,-2.0382258e+11,6.8845934e+09,-1.3894179e+11,-1.996623e+10,-6.1830171e+09,-4.4028827e+10,3.0915086e+08,2.2014413e+09,3.1784488e+10,3.1784488e+10,1.9173753e+11,1.1983596e+10,18650966
