iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6843606e-310,-2.0176569e+95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971015,9.7001411e+15,7.9113418e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363603e+16,1.3591407e+18,1.8424338e+18,6.235428e+20,0,420982.2,0,420982.2,0,1.35e+21,51.621063,1.1548497e-07,51.621063,0,0,1.8712053e+08,-2.0950113e+12,8.7174653e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422223e+10,6.7960387e+08,9.2111115e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220933,1.950329e+16,1.8179985e+16,1.8270175e+21,0,6.9176239e+18,3.240661e+18,4.32e+12,3.1286653e+16,1.2315018e+18,2.2544445e+18,6.3947308e+20,0,1137820.2,0,1137820.2,0,1.35e+21,122.07108,-2.8153138e-08,122.07108,0,0,1.7506546e+08,-1.4698533e+12,8.6049905e+09,-6.9168552e+10,-3.24078e+10,-1.2315626e+10,-2.2542444e+10,6.1578128e+08,1.1271222e+09,2.0579496e+10,2.0579496e+10,2.3848026e+11,1.4905016e+10,3068630.2
6000,30,0,84702293,2.9506624e+16,3.0452392e+16,1.8145451e+21,0,8.3684504e+18,3.0133139e+18,4.32e+12,3.1934751e+16,1.1158972e+18,2.6420157e+18,6.5042875e+20,0,2191127.3,0,2191127.3,0,1.35e+21,212.31735,-1.9968525e-09,212.31735,0,0,1.6378786e+08,-1.0521478e+12,8.422771e+09,-8.3677678e+10,-3.0134224e+10,-1.1159522e+10,-2.6418284e+10,5.5797611e+08,1.3209142e+09,2.2917915e+10,2.2917915e+10,2.3261075e+11,1.4538172e+10,4444887.2
8000,40,0,1.0308155e+08,3.979685e+16,4.4599575e+16,1.8055347e+21,0,9.6501188e+18,2.8056464e+18,4.32e+12,3.2380013e+16,1.011189e+18,3.0029857e+18,6.5808556e+20,0,3626694.6,0,3626694.6,0,1.35e+21,323.62729,-4.8590096e-08,323.62729,0,0,1.5323758e+08,-7.6779901e+11,8.1982748e+09,-9.6495189e+10,-2.8057457e+10,-1.0112389e+10,-3.0028121e+10,5.0561943e+08,1.501406e+09,2.4987298e+10,2.4987298e+10,2.2592594e+11,1.4120371e+10,6113071.5
10000,50,0,1.2206727e+08,5.0444175e+16,6.0484898e+16,1.7989015e+21,0,1.0771728e+19,2.6154744e+18,4.32e+12,3.2670445e+16,9.1634728e+17,3.3365192e+18,6.6352333e+20,0,5484789.2,0,5484789.2,0,1.35e+21,457.44334,4.9882942e-08,457.44334,0,0,1.4336773e+08,-5.7064805e+11,7.9490526e+09,-1.0771205e+11,-2.6155654e+10,-9.1639239e+09,-3.3363593e+10,4.581962e+08,1.6681797e+09,2.6797624e+10,2.6797624e+10,2.189044e+11,1.3681525e+10,8072298.8
12000,60,0,1.4140892e+08,6.1504469e+16,7.7969393e+16,1.7939305e+21,0,1.1744668e+19,2.440957e+18,4.32e+12,3.2839243e+16,8.3043948e+17,3.6426195e+18,6.6744835e+20,0,7800327.6,0,7800327.6,0,1.35e+21,615.3275,-1.8446258e-08,615.3275,0,0,1.3413441e+08,-4.3146101e+11,7.6866179e+09,-1.1744217e+11,-2.4410406e+10,-8.3048034e+09,-3.6424733e+10,4.1524017e+08,1.8212366e+09,2.8364244e+10,2.8364244e+10,2.1183489e+11,1.323968e+10,10316712
14000,70,0,1.6089401e+08,7.3021211e+16,9.6915139e+16,1.7901431e+21,0,1.2581238e+19,2.2805185e+18,4.32e+12,3.2910272e+16,7.5262149e+17,3.9218248e+18,6.7032907e+20,0,10603137,0,10603137,0,1.35e+21,798.91539,0,798.91539,0,9.765625e-08,1.2549658e+08,-3.314285e+11,7.418696e+09,-1.2580852e+11,-2.2805955e+10,-7.5265851e+09,-3.9216918e+10,3.7632926e+08,1.9608459e+09,2.9705093e+10,2.9705093e+10,2.0489036e+11,1.2805647e+10,12836648
16000,80,0,1.8034448e+08,8.5027219e+16,1.1718744e+17,1.7872133e+21,0,1.3293829e+19,2.132794e+18,4.32e+12,3.2901363e+16,6.8212912e+17,4.1750138e+18,6.7248023e+20,0,13918261,0,13918261,0,1.35e+21,1009.8789,2.9911007e-09,1009.8789,0,0,1.1741582e+08,-2.5826356e+11,7.1505617e+09,-1.3293501e+11,-2.1328649e+10,-6.8216265e+09,-4.1748936e+10,3.4108133e+08,2.0874468e+09,3.0839026e+10,3.0839026e+10,1.9817227e+11,1.2385767e+10,15619621
18000,90,0,1.9961295e+08,9.7546195e+16,1.3865621e+17,1.784916e+21,0,1.389446e+19,1.9965902e+18,4.32e+12,3.2826318e+16,6.182705e+17,4.4032796e+18,6.7411591e+20,0,17766291,0,17766291,0,1.35e+21,1249.8958,-1.4182433e-08,1249.8958,0,0,1.0985622e+08,-2.0382189e+11,6.8858558e+09,-1.3894185e+11,-1.9966556e+10,-6.1830088e+09,-4.4031715e+10,3.0915044e+08,2.2015858e+09,3.1784829e+10,3.1784829e+10,1.9173754e+11,1.1983597e+10,18651152
20000,100,0,2.1857917e+08,1.105941e+17,1.6119683e+17,1.7830931e+21,0,1.4394525e+19,1.8708563e+18,4.32e+12,3.2696165e+16,5.6041926e+17,4.6078456e+18,6.7538335e+20,0,22163698,0,22163698,0,1.35e+21,1520.6266,2.9501962e-08,1520.6266,0,0,1.0278416e+08,-1.6262843e+11,6.6270983e+09,-1.4394299e+11,-1.8709167e+10,-5.6044678e+09,-4.607749e+10,2.8022339e+08,2.3038745e+09,3.2560652e+10,3.2560652e+10,1.856152e+11,1.160095e+10,21915459
22000,110,0,2.3714662e+08,1.2418038e+17,1.8469071e+17,1.781632e+21,0,1.4804664e+19,1.7546614e+18,4.32e+12,3.2519955e+16,5.0800832e+17,4.7900084e+18,6.7638485e+20,0,27123173,0,27123173,0,1.35e+21,1823.6955,3.4274308e-08,1823.6955,0,0,96168198,-1.3095175e+11,6.3760202e+09,-1.4804479e+11,-1.7547173e+10,-5.0803325e+09,-4.7899227e+10,2.5401663e+08,2.3949614e+09,3.3183692e+10,3.3183692e+10,1.7981669e+11,1.1238543e+10,25396012
