iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6466598e-310,-5.4511544e+189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001412e+15,7.9122589e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363517e+16,1.3591407e+18,1.8424331e+18,6.235428e+20,0,211188.06,0,211188.06,0,1.35e+21,25.892993,-3.06648e-08,25.892993,0,0,1.8712053e+08,-2.0950113e+12,8.7174404e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422216e+10,6.7960387e+08,9.2111079e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220920,1.950329e+16,1.8184647e+16,1.8270175e+21,0,6.9176239e+18,3.2406604e+18,4.32e+12,3.128641e+16,1.2315018e+18,2.2544408e+18,6.3947308e+20,0,570874.03,0,570874.03,0,1.35e+21,61.230541,-4.4684136e-08,61.230541,0,0,1.7506546e+08,-1.4698533e+12,8.6049237e+09,-6.9168552e+10,-3.2407795e+10,-1.2315626e+10,-2.2542407e+10,6.1578128e+08,1.1271203e+09,2.0579492e+10,2.0579492e+10,2.3848026e+11,1.4905016e+10,3068629.6
6000,30,0,84702253,2.9506624e+16,3.0465166e+16,1.8145451e+21,0,8.3684503e+18,3.0133125e+18,4.32e+12,3.1934275e+16,1.1158972e+18,2.6420056e+18,6.5042875e+20,0,1099524.8,0,1099524.8,0,1.35e+21,106.49784,2.8238375e-08,106.49784,0,0,1.6378786e+08,-1.0521478e+12,8.4226456e+09,-8.3677677e+10,-3.013421e+10,-1.1159522e+10,-2.6418184e+10,5.5797611e+08,1.3209092e+09,2.2917903e+10,2.2917903e+10,2.3261075e+11,1.4538172e+10,4444885.1
8000,40,0,1.0308146e+08,3.9796849e+16,4.4626598e+16,1.8055347e+21,0,9.6501186e+18,2.8056436e+18,4.32e+12,3.2379216e+16,1.011189e+18,3.0029646e+18,6.5808556e+20,0,1820242.8,0,1820242.8,0,1.35e+21,162.33062,4.0816701e-09,162.33062,0,0,1.5323758e+08,-7.6779904e+11,8.1980731e+09,-9.6495186e+10,-2.8057429e+10,-1.0112389e+10,-3.002791e+10,5.0561943e+08,1.5013955e+09,2.4987273e+10,2.4987273e+10,2.2592594e+11,1.4120371e+10,6113065.9
10000,50,0,1.2206708e+08,5.044417e+16,6.0534285e+16,1.7989015e+21,0,1.0771727e+19,2.6154695e+18,4.32e+12,3.2669228e+16,9.1634728e+17,3.336481e+18,6.6352333e+20,0,2753402.3,0,2753402.3,0,1.35e+21,229.45239,6.0553674e-08,229.45239,0,0,1.4336773e+08,-5.7064812e+11,7.9487565e+09,-1.0771204e+11,-2.6155605e+10,-9.1639239e+09,-3.3363212e+10,4.5819619e+08,1.6681606e+09,2.6797578e+10,2.6797578e+10,2.189044e+11,1.3681525e+10,8072286.4
12000,60,0,1.4140858e+08,6.1504457e+16,7.8051412e+16,1.7939305e+21,0,1.1744667e+19,2.4409492e+18,4.32e+12,3.2837497e+16,8.3043947e+17,3.6425569e+18,6.6744835e+20,0,3916739.8,0,3916739.8,0,1.35e+21,308.64664,3.2570028e-08,308.64664,0,0,1.3413441e+08,-4.3146114e+11,7.6862093e+09,-1.1744216e+11,-2.4410328e+10,-8.3048034e+09,-3.6424106e+10,4.1524017e+08,1.8212053e+09,2.8364169e+10,2.8364169e+10,2.1183489e+11,1.323968e+10,10316688
14000,70,0,1.6089345e+08,7.3021184e+16,9.7042369e+16,1.7901431e+21,0,1.2581236e+19,2.280507e+18,4.32e+12,3.290788e+16,7.5262149e+17,3.9217289e+18,6.7032905e+20,0,5325487.6,0,5325487.6,0,1.35e+21,400.73377,0,400.73377,0,9.765625e-08,1.2549658e+08,-3.3142871e+11,7.418157e+09,-1.258085e+11,-2.2805839e+10,-7.526585e+09,-3.9215959e+10,3.7632925e+08,1.9607979e+09,2.9704979e+10,2.9704979e+10,2.0489035e+11,1.2805647e+10,12836603
16000,80,0,1.8034358e+08,8.5027167e+16,1.1737489e+17,1.7872133e+21,0,1.3293825e+19,2.1327778e+18,4.32e+12,3.2898201e+16,6.8212911e+17,4.1748742e+18,6.7248021e+20,0,6992530.2,0,6992530.2,0,1.35e+21,506.55235,0,506.55235,0,9.765625e-08,1.1741582e+08,-2.5826388e+11,7.1498747e+09,-1.3293498e+11,-2.1328486e+10,-6.8216264e+09,-4.174754e+10,3.4108132e+08,2.087377e+09,3.083886e+10,3.083886e+10,1.9817226e+11,1.2385766e+10,15619543
18000,90,0,1.996116e+08,9.7546105e+16,1.3892142e+17,1.784916e+21,0,1.3894455e+19,1.9965682e+18,4.32e+12,3.2822256e+16,6.1827048e+17,4.4030847e+18,6.7411588e+20,0,8928570.1,0,8928570.1,0,1.35e+21,626.94398,-2.8718091e-08,626.94398,0,0,1.0985622e+08,-2.0382235e+11,6.885004e+09,-1.3894181e+11,-1.9966336e+10,-6.1830086e+09,-4.4029766e+10,3.0915043e+08,2.2014883e+09,3.1784598e+10,3.1784598e+10,1.9173754e+11,1.1983596e+10,18651027
20000,100,0,2.1857722e+08,1.1059395e+17,1.6155997e+17,1.7830931e+21,0,1.4394519e+19,1.8708274e+18,4.32e+12,3.2691069e+16,5.6041924e+17,4.6075821e+18,6.753833e+20,0,11142298,0,11142298,0,1.35e+21,762.74141,-4.5789648e-09,762.74141,0,0,1.0278416e+08,-1.6262908e+11,6.6260655e+09,-1.4394292e+11,-1.8708878e+10,-5.6044676e+09,-4.6074855e+10,2.8022338e+08,2.3037428e+09,3.2560341e+10,3.2560341e+10,1.8561518e+11,1.1600949e+10,21915263
