iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6672355e-310,-6.9891653e+189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9130156e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363445e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,38071.295,0,38071.295,0,1.35e+21,4.6673358,3.6560174e-08,4.6673357,0,0,1.8712053e+08,-2.0950113e+12,8.7174199e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.211105e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220910,1.950329e+16,1.8188495e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286209e+16,1.2315018e+18,2.2544378e+18,6.3947308e+20,0,102924.54,0,102924.54,0,1.35e+21,11.037098,-1.6402151e-09,11.037098,0,0,1.7506546e+08,-1.4698533e+12,8.6048687e+09,-6.9168552e+10,-3.240779e+10,-1.2315626e+10,-2.2542376e+10,6.1578128e+08,1.1271188e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702221,2.9506624e+16,3.0475711e+16,1.8145451e+21,0,8.3684502e+18,3.0133113e+18,4.32e+12,3.1933882e+16,1.1158972e+18,2.6419973e+18,6.5042875e+20,0,198263.18,0,198263.18,0,1.35e+21,19.196745,0,19.196745,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225421e+09,-8.3677677e+10,-3.0134199e+10,-1.1159522e+10,-2.6418101e+10,5.5797611e+08,1.320905e+09,2.2917893e+10,2.2917893e+10,2.3261075e+11,1.4538172e+10,4444883.4
8000,40,0,1.0308138e+08,3.9796848e+16,4.4648909e+16,1.8055347e+21,0,9.6501184e+18,2.8056413e+18,4.32e+12,3.2378558e+16,1.011189e+18,3.0029472e+18,6.5808556e+20,0,328271.47,0,328271.47,0,1.35e+21,29.260868,3.2170959e-09,29.260868,0,0,1.5323758e+08,-7.6779907e+11,8.1979065e+09,-9.6495184e+10,-2.8057406e+10,-1.0112388e+10,-3.0027735e+10,5.0561942e+08,1.5013868e+09,2.4987252e+10,2.4987252e+10,2.2592594e+11,1.4120371e+10,6113061.3
10000,50,0,1.2206693e+08,5.0444166e+16,6.057507e+16,1.7989015e+21,0,1.0771727e+19,2.6154654e+18,4.32e+12,3.2668222e+16,9.1634727e+17,3.3364495e+18,6.6352333e+20,0,496648.26,0,496648.26,0,1.35e+21,41.359886,7.3355139e-08,41.359886,0,0,1.4336773e+08,-5.7064817e+11,7.9485119e+09,-1.0771204e+11,-2.6155565e+10,-9.1639239e+09,-3.3362896e+10,4.5819619e+08,1.6681448e+09,2.679754e+10,2.679754e+10,2.189044e+11,1.3681525e+10,8072276.1
12000,60,0,1.414083e+08,6.1504446e+16,7.8119166e+16,1.7939305e+21,0,1.1744666e+19,2.4409428e+18,4.32e+12,3.2836053e+16,8.3043947e+17,3.6425051e+18,6.6744834e+20,0,706623.84,0,706623.84,0,1.35e+21,55.635022,0,55.635022,0,9.765625e-08,1.3413441e+08,-4.3146124e+11,7.6858715e+09,-1.1744215e+11,-2.4410264e+10,-8.3048033e+09,-3.6423589e+10,4.1524017e+08,1.8211794e+09,2.8364108e+10,2.8364108e+10,2.1183488e+11,1.323968e+10,10316667
14000,70,0,1.6089298e+08,7.3021162e+16,9.7147501e+16,1.7901431e+21,0,1.2581235e+19,2.2804975e+18,4.32e+12,3.2905902e+16,7.5262148e+17,3.9216496e+18,6.7032905e+20,0,960984.44,0,960984.44,0,1.35e+21,72.234155,0,72.234155,0,9.765625e-08,1.2549658e+08,-3.3142888e+11,7.4177112e+09,-1.2580849e+11,-2.2805744e+10,-7.526585e+09,-3.9215166e+10,3.7632925e+08,1.9607583e+09,2.9704885e+10,2.9704885e+10,2.0489035e+11,1.2805647e+10,12836565
16000,80,0,1.8034284e+08,8.5027125e+16,1.1752984e+17,1.7872133e+21,0,1.3293823e+19,2.1327643e+18,4.32e+12,3.2895586e+16,6.821291e+17,4.1747588e+18,6.7248019e+20,0,1262100.7,0,1262100.7,0,1.35e+21,91.308435,-4.2680242e-08,91.308435,0,0,1.1741582e+08,-2.5826414e+11,7.1493064e+09,-1.3293496e+11,-2.1328352e+10,-6.8216263e+09,-4.1746386e+10,3.4108132e+08,2.0873193e+09,3.0838724e+10,3.0838724e+10,1.9817226e+11,1.2385766e+10,15619479
18000,90,0,1.9961049e+08,9.754603e+16,1.3914073e+17,1.784916e+21,0,1.3894451e+19,1.9965499e+18,4.32e+12,3.2818894e+16,6.1827047e+17,4.4029234e+18,6.7411586e+20,0,1611957.9,0,1611957.9,0,1.35e+21,113.00956,-6.60647e-09,113.00956,0,0,1.0985622e+08,-2.0382274e+11,6.8842989e+09,-1.3894177e+11,-1.9966153e+10,-6.1830085e+09,-4.4028154e+10,3.0915042e+08,2.2014077e+09,3.1784407e+10,3.1784407e+10,1.9173753e+11,1.1983596e+10,18650922
