iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6902745e-310,2.7719295e+54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.7001413e+15,7.9130979e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363437e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,19237.639,0,19237.639,0,1.35e+21,2.3584064,-2.4954109e-08,2.3584064,0,0,1.8712053e+08,-2.0950113e+12,8.7174176e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422209e+10,6.7960387e+08,9.2111047e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.950329e+16,1.8188914e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286188e+16,1.2315018e+18,2.2544375e+18,6.3947308e+20,0,52009.002,0,52009.002,0,1.35e+21,5.5770494,3.5340213e-08,5.5770493,0,0,1.7506546e+08,-1.4698533e+12,8.6048627e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542373e+10,6.1578128e+08,1.1271187e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702217,2.9506624e+16,3.0476858e+16,1.8145451e+21,0,8.3684502e+18,3.0133112e+18,4.32e+12,3.193384e+16,1.1158972e+18,2.6419964e+18,6.5042875e+20,0,100186.22,0,100186.22,0,1.35e+21,9.700122,3.0831123e-08,9.700122,0,0,1.6378786e+08,-1.0521478e+12,8.4225308e+09,-8.3677676e+10,-3.0134198e+10,-1.1159522e+10,-2.6418092e+10,5.5797611e+08,1.3209046e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.2
8000,40,0,1.0308137e+08,3.9796848e+16,4.4651337e+16,1.8055347e+21,0,9.6501183e+18,2.805641e+18,4.32e+12,3.2378486e+16,1.011189e+18,3.0029453e+18,6.5808556e+20,0,165884.71,0,165884.71,0,1.35e+21,14.785527,-1.4641662e-08,14.785527,0,0,1.5323758e+08,-7.6779908e+11,8.1978884e+09,-9.6495184e+10,-2.8057403e+10,-1.0112388e+10,-3.0027716e+10,5.0561942e+08,1.5013858e+09,2.498725e+10,2.498725e+10,2.2592594e+11,1.4120371e+10,6113060.8
10000,50,0,1.2206691e+08,5.0444166e+16,6.0579508e+16,1.7989015e+21,0,1.0771726e+19,2.615465e+18,4.32e+12,3.2668113e+16,9.1634727e+17,3.3364461e+18,6.6352333e+20,0,250974.93,0,250974.93,0,1.35e+21,20.899165,1.4461871e-07,20.899165,0,0,1.4336773e+08,-5.7064818e+11,7.9484852e+09,-1.0771204e+11,-2.615556e+10,-9.1639239e+09,-3.3362862e+10,4.5819619e+08,1.6681431e+09,2.6797536e+10,2.6797536e+10,2.189044e+11,1.3681525e+10,8072275
12000,60,0,1.4140827e+08,6.1504445e+16,7.812654e+16,1.7939305e+21,0,1.1744666e+19,2.4409421e+18,4.32e+12,3.2835896e+16,8.3043946e+17,3.6424995e+18,6.6744834e+20,0,357090.98,0,357090.98,0,1.35e+21,28.112396,0,28.112396,0,9.765625e-08,1.3413441e+08,-4.3146125e+11,7.6858348e+09,-1.1744215e+11,-2.4410257e+10,-8.3048033e+09,-3.6423533e+10,4.1524017e+08,1.8211766e+09,2.8364101e+10,2.8364101e+10,2.1183488e+11,1.323968e+10,10316665
14000,70,0,1.6089293e+08,7.302116e+16,9.7158947e+16,1.7901431e+21,0,1.2581235e+19,2.2804964e+18,4.32e+12,3.2905687e+16,7.5262148e+17,3.9216409e+18,6.7032904e+20,0,485642.98,0,485642.98,0,1.35e+21,36.499943,0,36.499943,0,9.765625e-08,1.2549658e+08,-3.314289e+11,7.4176626e+09,-1.2580848e+11,-2.2805734e+10,-7.526585e+09,-3.9215079e+10,3.7632925e+08,1.960754e+09,2.9704875e+10,2.9704875e+10,2.0489035e+11,1.2805647e+10,12836561
16000,80,0,1.8034276e+08,8.502712e+16,1.1754671e+17,1.7872133e+21,0,1.3293823e+19,2.1327628e+18,4.32e+12,3.2895301e+16,6.821291e+17,4.1747463e+18,6.7248019e+20,0,637831.48,0,637831.48,0,1.35e+21,46.138182,3.6755225e-08,46.138182,0,0,1.1741582e+08,-2.5826417e+11,7.1492444e+09,-1.3293495e+11,-2.1328337e+10,-6.8216263e+09,-4.174626e+10,3.4108132e+08,2.087313e+09,3.0838709e+10,3.0838709e+10,1.9817226e+11,1.2385766e+10,15619472
18000,90,0,1.9961036e+08,9.7546022e+16,1.3916462e+17,1.784916e+21,0,1.3894451e+19,1.996548e+18,4.32e+12,3.2818528e+16,6.1827047e+17,4.4029059e+18,6.7411585e+20,0,814662.72,0,814662.72,0,1.35e+21,57.103766,-4.4213692e-08,57.103766,0,0,1.0985622e+08,-2.0382278e+11,6.884222e+09,-1.3894176e+11,-1.9966134e+10,-6.1830084e+09,-4.4027978e+10,3.0915042e+08,2.2013989e+09,3.1784386e+10,3.1784386e+10,1.9173753e+11,1.1983595e+10,18650911
20000,100,0,2.1857543e+08,1.1059382e+17,1.6189311e+17,1.7830931e+21,0,1.4394512e+19,1.8708008e+18,4.32e+12,3.2686387e+16,5.6041922e+17,4.6073403e+18,6.7538326e+20,0,1016964.2,0,1016964.2,0,1.35e+21,69.472539,-2.3923974e-09,69.472539,0,0,1.0278416e+08,-1.6262968e+11,6.6251167e+09,-1.4394286e+11,-1.8708613e+10,-5.6044674e+09,-4.6072438e+10,2.8022337e+08,2.3036219e+09,3.2560056e+10,3.2560056e+10,1.8561517e+11,1.1600948e+10,21915084
22000,110,0,2.3714138e+08,1.2417993e+17,1.8561876e+17,1.781632e+21,0,1.4804645e+19,1.7545906e+18,4.32e+12,3.2507919e+16,5.0800827e+17,4.7893437e+18,6.7638473e+20,0,1245400,0,1245400,0,1.35e+21,83.318695,3.8198209e-09,83.318695,0,0,96168198,-1.3095344e+11,6.3736607e+09,-1.4804461e+11,-1.7546464e+10,-5.080332e+09,-4.7892581e+10,2.540166e+08,2.394629e+09,3.3182909e+10,3.3182909e+10,1.7981666e+11,1.1238541e+10,25395451
24000,120,0,2.5523229e+08,1.3830834e+17,2.1023454e+17,1.7804511e+21,0,1.513468e+19,1.6470884e+18,4.32e+12,3.2290702e+16,4.6052419e+17,4.9502443e+18,6.7719204e+20,0,1500485.7,0,1500485.7,0,1.35e+21,98.714148,0,98.714148,0,9.765625e-08,89978920,-1.0621679e+11,6.1310188e+09,-1.5134534e+11,-1.6471401e+10,-4.6054678e+09,-4.9501689e+10,2.3027339e+08,2.4750844e+09,3.3669025e+10,3.3669025e+10,1.7434246e+11,1.0896404e+10,29075191
26000,130,0,2.7279017e+08,1.529785e+17,2.3563991e+17,1.7794907e+21,0,1.5393635e+19,1.5475533e+18,4.32e+12,3.2041195e+16,4.1750214e+17,5.0913767e+18,6.7785599e+20,0,1782603.1,0,1782603.1,0,1.35e+21,115.72808,8.2692296e-08,115.72808,0,0,84188806,-8.661615e+10,5.8979393e+09,-1.5393522e+11,-1.5476012e+10,-4.1752261e+09,-5.0913108e+10,2.087613e+08,2.5456554e+09,3.4033301e+10,3.4033301e+10,1.6918623e+11,1.057414e+10,32937572
28000,140,0,2.8977243e+08,1.6818619e+17,2.6174082e+17,1.7787061e+21,0,1.5589737e+19,1.4553206e+18,4.32e+12,3.176497e+16,3.7852124e+17,5.2140628e+18,6.7841281e+20,0,2092013.6,0,2092013.6,0,1.35e+21,134.42663,1.3064289e-07,134.42663,0,0,78772115,-7.0873045e+10,5.6748619e+09,-1.5589654e+11,-1.455365e+10,-3.7853979e+09,-5.2140059e+10,1.892699e+08,2.6070029e+09,3.428945e+10,3.428945e+10,1.6433752e+11,1.0271095e+10,36966246
30000,150,0,3.0614974e+08,1.8392422e+17,2.8844958e+17,1.7780635e+21,0,1.5730462e+19,1.3697916e+18,4.32e+12,3.1466877e+16,3.4320043e+17,5.3195975e+18,6.7888856e+20,0,2428871.4,0,2428871.4,0,1.35e+21,154.87273,1.7404261e-08,154.87273,0,0,73704762,-5.8069618e+10,5.4619951e+09,-1.5730404e+11,-1.3698328e+10,-3.4321724e+09,-5.3195488e+10,1.7160862e+08,2.6597744e+09,3.445003e+10,3.445003e+10,1.5978347e+11,9.9864671e+09,41145480
32000,160,0,3.2190403e+08,2.0018306e+17,3.1568477e+17,1.7775372e+21,0,1.5822577e+19,1.2904258e+18,4.32e+12,3.1151163e+16,3.1119466e+17,5.4092387e+18,6.7930206e+20,0,2793236,0,2793236,0,1.35e+21,177.12599,0,177.12599,0,9.765625e-08,68964219,-4.7538568e+10,5.2593733e+09,-1.5822542e+11,-1.290464e+10,-3.1120989e+09,-5.4091977e+10,1.5560495e+08,2.7045988e+09,3.4526497e+10,3.4526497e+10,1.5550998e+11,9.7193735e+09,45460335
34000,170,0,3.3702681e+08,2.1695137e+17,3.4337098e+17,1.7771069e+21,0,1.5872194e+19,1.2167338e+18,4.32e+12,3.0821559e+16,2.8219152e+17,5.4842004e+18,6.7966701e+20,0,3185083.4,0,3185083.4,0,1.35e+21,201.24274,3.534339e-08,201.24274,0,0,64529407,-3.8788654e+10,5.0669008e+09,-1.5872179e+11,-1.2167693e+10,-2.8220532e+09,-5.4841664e+10,1.4110266e+08,2.7420832e+09,3.4529265e+10,3.4529265e+10,1.5150239e+11,9.4688996e+09,49896792
36000,180,0,3.5151762e+08,2.3421647e+17,3.7143861e+17,1.7767567e+21,0,1.588482e+19,1.1482715e+18,4.32e+12,3.0481348e+16,2.5590812e+17,5.5456476e+18,6.7999346e+20,0,3604317,0,3604317,0,1.35e+21,227.27604,2.9694576e-08,227.27604,0,0,60380610,-3.1453725e+10,4.8843848e+09,-1.5884822e+11,-1.1483045e+10,-2.5592062e+09,-5.54562e+10,1.2796031e+08,2.77281e+09,3.4467778e+10,3.4467778e+10,1.4774604e+11,9.2341276e+09,54441849
38000,190,0,3.6538271e+08,2.5196477e+17,3.9982365e+17,1.776474e+21,0,1.5865402e+19,1.0846346e+18,4.32e+12,3.0133424e+16,2.320883e+17,5.594693e+18,6.8028878e+20,0,4050777.9,0,4050777.9,0,1.35e+21,255.27587,1.9901194e-08,255.27587,0,0,56499381,-2.5257483e+10,4.7115612e+09,-1.5865419e+11,-1.0846652e+10,-2.3209963e+09,-5.5946714e+10,1.1604981e+08,2.7973357e+09,3.4350575e+10,3.4350575e+10,1.4422648e+11,9.0141551e+09,59083574
