iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6545862e-310,-3.4552316e+172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971107,9.7001368e+15,7.870531e+15,1.844626e+21,0,5.2931979e+18,3.4903376e+18,4.32e+12,3.0367462e+16,1.3591407e+18,1.8424653e+18,6.235428e+20,0,9741053.1,0,9741053.1,0,1.35e+21,1200.6427,1.4407669e-07,1200.6427,0,0,1.8712053e+08,-2.0950113e+12,8.7185725e+09,-5.2923425e+10,-3.4904686e+10,-1.3592077e+10,-1.8422537e+10,6.7960387e+08,9.2112686e+08,1.7972167e+10,1.7972167e+10,2.4274053e+11,1.5171283e+10,1978864.2
4000,20,0,67221493,1.9503278e+16,1.7973389e+16,1.8270175e+21,0,6.917625e+18,3.240684e+18,4.32e+12,3.1297373e+16,1.2315019e+18,2.254608e+18,6.3947308e+20,0,26163666,0,26163666,0,1.35e+21,2839.2233,-4.1450676e-08,2839.2233,0,0,1.7506546e+08,-1.4698531e+12,8.607938e+09,-6.9168563e+10,-3.240803e+10,-1.2315626e+10,-2.2544077e+10,6.1578129e+08,1.1272039e+09,2.0579693e+10,2.0579693e+10,2.3848026e+11,1.4905016e+10,3068655.7
6000,30,0,84704040,2.9506618e+16,2.9889169e+16,1.8145451e+21,0,8.3684547e+18,3.0133745e+18,4.32e+12,3.1955596e+16,1.1158973e+18,2.64246e+18,6.5042878e+20,0,50020585,0,50020585,0,1.35e+21,4938.243,0,4938.243,0,9.765625e-08,1.6378786e+08,-1.0521472e+12,8.4282673e+09,-8.3677722e+10,-3.013483e+10,-1.1159523e+10,-2.6422726e+10,5.5797614e+08,1.3211363e+09,2.2918448e+10,2.2918448e+10,2.3261076e+11,1.4538173e+10,4444978.9
8000,40,0,1.0308566e+08,3.9796898e+16,4.3414838e+16,1.8055348e+21,0,9.6501304e+18,2.8057688e+18,4.32e+12,3.2414649e+16,1.0111892e+18,3.0039118e+18,6.5808563e+20,0,82112146,0,82112146,0,1.35e+21,7527.1869,-4.6022251e-08,7527.1869,0,0,1.5323758e+08,-7.6779749e+11,8.2070423e+09,-9.6495305e+10,-2.8058681e+10,-1.011239e+10,-3.0037379e+10,5.0561948e+08,1.5018689e+09,2.4988406e+10,2.4988406e+10,2.2592597e+11,1.4120373e+10,6113315
10000,50,0,1.2207547e+08,5.0444377e+16,5.8333438e+16,1.7989015e+21,0,1.0771753e+19,2.6156873e+18,4.32e+12,3.2722858e+16,9.1634746e+17,3.3381818e+18,6.6352349e+20,0,1.2303247e+08,0,1.2303247e+08,0,1.35e+21,10639.619,1.3129829e-07,10639.619,0,0,1.4336773e+08,-5.7064497e+11,7.9618029e+09,-1.077123e+11,-2.6157783e+10,-9.1639257e+09,-3.3380214e+10,4.5819629e+08,1.6690107e+09,2.6799607e+10,2.6799607e+10,2.1890445e+11,1.3681528e+10,8072841.2
12000,60,0,1.4142363e+08,6.1505003e+16,7.442141e+16,1.7939306e+21,0,1.1744716e+19,2.4412931e+18,4.32e+12,3.2913648e+16,8.3043975e+17,3.6453273e+18,6.6744866e+20,0,1.7317133e+08,0,1.7317133e+08,0,1.35e+21,14311.895,3.7569407e-08,14311.895,0,0,1.3413441e+08,-4.3145553e+11,7.7040309e+09,-1.1744264e+11,-2.4413766e+10,-8.3048062e+09,-3.6451804e+10,4.1524031e+08,1.8225902e+09,2.8367468e+10,2.8367468e+10,2.1183498e+11,1.3239686e+10,10317785
14000,70,0,1.609184e+08,7.302236e+16,9.1453933e+16,1.7901432e+21,0,1.258132e+19,2.2810135e+18,4.32e+12,3.3011023e+16,7.5262189e+17,3.9259389e+18,6.7032959e+20,0,2.3272056e+08,0,2.3272056e+08,0,1.35e+21,18582.094,0,18582.094,0,9.765625e-08,1.2549658e+08,-3.3141957e+11,7.4414044e+09,-1.2580934e+11,-2.2810903e+10,-7.5265891e+09,-3.925805e+10,3.7632946e+08,1.9629025e+09,2.9709981e+10,2.9709981e+10,2.0489052e+11,1.2805657e+10,12838593
16000,80,0,1.8038256e+08,8.5029405e+16,1.0920897e+17,1.7872136e+21,0,1.3293959e+19,2.133486e+18,4.32e+12,3.3032866e+16,6.8212967e+17,4.1809444e+18,6.7248106e+20,0,3.0168387e+08,0,3.0168387e+08,0,1.35e+21,23489.16,-1.1004886e-08,23489.16,0,0,1.1741582e+08,-2.5824993e+11,7.1791383e+09,-1.3293632e+11,-2.1335567e+10,-6.8216321e+09,-4.1808231e+10,3.410816e+08,2.0904115e+09,3.0846058e+10,3.0846058e+10,1.9817251e+11,1.2385782e+10,15622919
18000,90,0,1.9966966e+08,9.7550014e+16,1.2747042e+17,1.7849164e+21,0,1.3894658e+19,1.9975187e+18,4.32e+12,3.2992948e+16,6.1827124e+17,4.4114815e+18,6.7411717e+20,0,3.7988922e+08,0,3.7988922e+08,0,1.35e+21,29072.198,-2.9911462e-08,29072.198,0,0,1.0985622e+08,-2.0380214e+11,6.9208052e+09,-1.3894384e+11,-1.997584e+10,-6.1830162e+09,-4.4113721e+10,3.0915081e+08,2.2056861e+09,3.1794535e+10,3.1794535e+10,1.917379e+11,1.1983619e+10,18656451
20000,100,0,2.186604e+08,1.1060036e+17,1.4603057e+17,1.7830938e+21,0,1.4394813e+19,1.8720616e+18,4.32e+12,3.2902184e+16,5.6042022e+17,4.6188127e+18,6.7538518e+20,0,4.6700323e+08,0,4.6700323e+08,0,1.35e+21,35369.93,1.7898856e-08,35369.93,0,0,1.0278416e+08,-1.6260095e+11,6.6688514e+09,-1.4394587e+11,-1.8721219e+10,-5.6044774e+09,-4.6187146e+10,2.8022387e+08,2.3093573e+09,3.2573609e+10,3.2573609e+10,1.856157e+11,1.1600981e+10,21923603
22000,110,0,2.3725924e+08,1.2419013e+17,1.6469217e+17,1.781633e+21,0,1.4805067e+19,1.7561838e+18,4.32e+12,3.2769439e+16,5.0800954e+17,4.804267e+18,6.7638742e+20,0,5.625472e+08,0,5.625472e+08,0,1.35e+21,42420.273,2.5916961e-08,42420.273,0,0,96168198,-1.3091475e+11,6.4249306e+09,-1.4804882e+11,-1.7562395e+10,-5.0803448e+09,-4.8041795e+10,2.5401724e+08,2.4020897e+09,3.3200511e+10,3.3200511e+10,1.7981737e+11,1.1238586e+10,25408073
24000,120,0,2.5539132e+08,1.383236e+17,1.8326992e+17,1.7804526e+21,0,1.5135253e+19,1.6490556e+18,4.32e+12,3.2602045e+16,4.6052578e+17,4.9692004e+18,6.7719571e+20,0,6.6591421e+08,0,6.6591421e+08,0,1.35e+21,50260.02,0,50260.02,0,9.765625e-08,89978920,-1.0616611e+11,6.1901282e+09,-1.5135106e+11,-1.6491071e+10,-4.6054837e+09,-4.9691228e+10,2.3027419e+08,2.4845614e+09,3.369135e+10,3.369135e+10,1.743434e+11,1.0896463e+10,29093308
26000,130,0,2.7299968e+08,1.5300058e+17,2.0159182e+17,1.7794927e+21,0,1.5394393e+19,1.5499348e+18,4.32e+12,3.2406158e+16,4.175041e+17,5.1149674e+18,6.7786087e+20,0,7.7638702e+08,0,7.7638702e+08,0,1.35e+21,58924.614,5.2656105e-08,58924.614,0,0,84188806,-8.6551313e+10,5.965114e+09,-1.539428e+11,-1.5499824e+10,-4.1752457e+09,-5.1148991e+10,2.0876229e+08,2.5574495e+09,3.4061048e+10,3.4061048e+10,1.6918745e+11,1.0574216e+10,32962869
