iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6525222e-310,1.902768e+123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971018,9.700141e+15,7.9103661e+15,1.844626e+21,0,5.2931978e+18,3.4903332e+18,4.32e+12,3.0363696e+16,1.3591407e+18,1.8424346e+18,6.235428e+20,0,644171.3,0,644171.3,0,1.35e+21,78.998367,4.2460513e-08,78.998367,0,0,1.8712053e+08,-2.0950113e+12,8.7174918e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.842223e+10,6.7960387e+08,9.2111152e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220946,1.950329e+16,1.8175025e+16,1.8270175e+21,0,6.917624e+18,3.2406615e+18,4.32e+12,3.1286911e+16,1.2315018e+18,2.2544484e+18,6.3947308e+20,0,1740789.9,0,1740789.9,0,1.35e+21,186.81165,-2.1213395e-09,186.81165,0,0,1.7506546e+08,-1.4698533e+12,8.6050615e+09,-6.9168552e+10,-3.2407805e+10,-1.2315626e+10,-2.2542483e+10,6.1578128e+08,1.1271241e+09,2.0579501e+10,2.0579501e+10,2.3848026e+11,1.4905016e+10,3068630.8
6000,30,0,84702335,2.9506624e+16,3.0438807e+16,1.8145451e+21,0,8.3684505e+18,3.0133153e+18,4.32e+12,3.1935256e+16,1.1158972e+18,2.6420264e+18,6.5042875e+20,0,3351699.2,0,3351699.2,0,1.35e+21,324.92017,2.7912336e-08,324.92017,0,0,1.6378786e+08,-1.0521478e+12,8.4229043e+09,-8.3677679e+10,-3.0134239e+10,-1.1159522e+10,-2.6418392e+10,5.5797611e+08,1.3209196e+09,2.2917928e+10,2.2917928e+10,2.3261075e+11,1.4538172e+10,4444889.4
8000,40,0,1.0308165e+08,3.9796852e+16,4.4570844e+16,1.8055347e+21,0,9.6501191e+18,2.8056493e+18,4.32e+12,3.238086e+16,1.011189e+18,3.0030082e+18,6.5808556e+20,0,5546542.5,0,5546542.5,0,1.35e+21,495.2635,8.5607326e-09,495.2635,0,0,1.5323758e+08,-7.6779897e+11,8.1984891e+09,-9.6495192e+10,-2.8057486e+10,-1.0112389e+10,-3.0028345e+10,5.0561943e+08,1.5014173e+09,2.4987325e+10,2.4987325e+10,2.2592594e+11,1.4120371e+10,6113077.4
10000,50,0,1.2206747e+08,5.044418e+16,6.0432405e+16,1.7989015e+21,0,1.0771728e+19,2.6154796e+18,4.32e+12,3.2671738e+16,9.1634728e+17,3.3365598e+18,6.6352334e+20,0,8386371.5,0,8386371.5,0,1.35e+21,700.04914,8.2844053e-08,700.04914,0,0,1.4336773e+08,-5.7064797e+11,7.9493671e+09,-1.0771206e+11,-2.6155706e+10,-9.163924e+09,-3.3363999e+10,4.581962e+08,1.6681999e+09,2.6797672e+10,2.6797672e+10,2.189044e+11,1.3681525e+10,8072312.1
12000,60,0,1.4140929e+08,6.1504482e+16,7.7882242e+16,1.7939305e+21,0,1.1744669e+19,2.4409653e+18,4.32e+12,3.2841096e+16,8.3043948e+17,3.6426861e+18,6.6744836e+20,0,11923901,0,11923901,0,1.35e+21,941.66753,2.6702423e-08,941.66753,0,0,1.3413441e+08,-4.3146088e+11,7.6870518e+09,-1.1744218e+11,-2.4410489e+10,-8.3048035e+09,-3.6425398e+10,4.1524017e+08,1.8212699e+09,2.8364323e+10,2.8364323e+10,2.1183489e+11,1.3239681e+10,10316739
14000,70,0,1.6089462e+08,7.302124e+16,9.6779999e+16,1.7901431e+21,0,1.258124e+19,2.2805308e+18,4.32e+12,3.291281e+16,7.526215e+17,3.9219268e+18,6.7032908e+20,0,16203901,0,16203901,0,1.35e+21,1222.6218,0,1222.6218,0,1.953125e-07,1.2549658e+08,-3.3142828e+11,7.4192681e+09,-1.2580854e+11,-2.2806077e+10,-7.5265852e+09,-3.9217937e+10,3.7632926e+08,1.9608969e+09,2.9705214e+10,2.9705214e+10,2.0489036e+11,1.2805648e+10,12836696
16000,80,0,1.8034543e+08,8.5027273e+16,1.1698841e+17,1.7872133e+21,0,1.3293832e+19,2.1328113e+18,4.32e+12,3.2904716e+16,6.8212913e+17,4.1751621e+18,6.7248025e+20,0,21263659,0,21263659,0,1.35e+21,1545.4706,0,1545.4706,0,9.765625e-08,1.1741582e+08,-2.5826322e+11,7.1512904e+09,-1.3293504e+11,-2.1328822e+10,-6.8216267e+09,-4.1750418e+10,3.4108133e+08,2.0875209e+09,3.0839201e+10,3.0839201e+10,1.9817227e+11,1.2385767e+10,15619703
18000,90,0,1.9961438e+08,9.7546291e+16,1.3837473e+17,1.784916e+21,0,1.3894465e+19,1.9966136e+18,4.32e+12,3.2830622e+16,6.1827052e+17,4.4034865e+18,6.7411594e+20,0,27133479,0,27133479,0,1.35e+21,1912.7818,4.7285766e-08,1912.7818,0,0,1.0985622e+08,-2.038214e+11,6.8867587e+09,-1.389419e+11,-1.996679e+10,-6.1830089e+09,-4.4033784e+10,3.0915045e+08,2.2016892e+09,3.1785073e+10,3.1785073e+10,1.9173755e+11,1.1983597e+10,18651286
20000,100,0,2.1858124e+08,1.1059426e+17,1.6081159e+17,1.7830931e+21,0,1.4394533e+19,1.870887e+18,4.32e+12,3.2701564e+16,5.6041928e+17,4.6081251e+18,6.7538339e+20,0,33837195,0,33837195,0,1.35e+21,2327.0965,-4.4652552e-08,2327.0965,0,0,1.0278416e+08,-1.6262774e+11,6.6281924e+09,-1.4394306e+11,-1.8709474e+10,-5.604468e+09,-4.6080285e+10,2.802234e+08,2.3040142e+09,3.2560982e+10,3.2560982e+10,1.8561521e+11,1.1600951e+10,21915666
