iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6722942e-310,-11532927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971034,9.7001402e+15,7.9031358e+15,1.844626e+21,0,5.2931978e+18,3.490334e+18,4.32e+12,3.036438e+16,1.3591407e+18,1.8424401e+18,6.235428e+20,0,2297550.4,0,2297550.4,0,1.35e+21,282.0192,1.4527814e-08,282.0192,0,0,1.8712053e+08,-2.0950113e+12,8.7176882e+09,-5.2923424e+10,-3.4904649e+10,-1.3592077e+10,-1.8422286e+10,6.7960387e+08,9.2111431e+08,1.7972137e+10,1.7972137e+10,2.4274053e+11,1.5171283e+10,1978861.3
4000,20,0,67221046,1.9503287e+16,1.8138304e+16,1.8270175e+21,0,6.9176242e+18,3.2406656e+18,4.32e+12,3.1288821e+16,1.2315019e+18,2.2544775e+18,6.3947308e+20,0,6201958.6,0,6201958.6,0,1.35e+21,666.9058,-1.6736976e-08,666.9058,0,0,1.7506546e+08,-1.4698533e+12,8.6055868e+09,-6.9168554e+10,-3.2407846e+10,-1.2315626e+10,-2.2542773e+10,6.1578128e+08,1.1271387e+09,2.0579536e+10,2.0579536e+10,2.3848026e+11,1.4905016e+10,3068635.3
6000,30,0,84702647,2.9506623e+16,3.0338317e+16,1.8145451e+21,0,8.3684512e+18,3.0133261e+18,4.32e+12,3.1938992e+16,1.1158972e+18,2.6421057e+18,6.5042876e+20,0,11925863,0,11925863,0,1.35e+21,1159.9446,0,1159.9446,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.4238893e+09,-8.3677687e+10,-3.0134347e+10,-1.1159522e+10,-2.6419184e+10,5.5797612e+08,1.3209592e+09,2.2918023e+10,2.2918023e+10,2.3261076e+11,1.4538172e+10,4444905.8
8000,40,0,1.0308239e+08,3.979686e+16,4.4358556e+16,1.8055347e+21,0,9.6501212e+18,2.8056713e+18,4.32e+12,3.2387106e+16,1.0111891e+18,3.0031742e+18,6.5808557e+20,0,19706515,0,19706515,0,1.35e+21,1768.0601,2.0100288e-08,1768.0601,0,0,1.5323758e+08,-7.677987e+11,8.2000703e+09,-9.6495212e+10,-2.8057706e+10,-1.0112389e+10,-3.0030005e+10,5.0561944e+08,1.5015002e+09,2.4987523e+10,2.4987523e+10,2.2592595e+11,1.4120372e+10,6113121
10000,50,0,1.2206895e+08,5.0444217e+16,6.0045037e+16,1.7989015e+21,0,1.0771733e+19,2.6155179e+18,4.32e+12,3.2681258e+16,9.1634732e+17,3.3368592e+18,6.6352337e+20,0,29746941,0,29746941,0,1.35e+21,2499.1334,1.0690428e-07,2499.1334,0,0,1.4336773e+08,-5.7064742e+11,7.951683e+09,-1.077121e+11,-2.6156089e+10,-9.1639243e+09,-3.3366993e+10,4.5819621e+08,1.6683496e+09,2.6798029e+10,2.6798029e+10,2.1890441e+11,1.3681526e+10,8072409.7
12000,60,0,1.4141195e+08,6.1504579e+16,7.724002e+16,1.7939306e+21,0,1.1744678e+19,2.4410261e+18,4.32e+12,3.2854718e+16,8.3043953e+17,3.6431766e+18,6.6744842e+20,0,42216607,0,42216607,0,1.35e+21,3361.6994,2.8005161e-08,3361.6994,0,0,1.3413441e+08,-4.3145989e+11,7.6902396e+09,-1.1744227e+11,-2.4411097e+10,-8.304804e+09,-3.6430302e+10,4.152402e+08,1.8215151e+09,2.8364907e+10,2.8364907e+10,2.1183491e+11,1.3239682e+10,10316933
14000,70,0,1.6089906e+08,7.3021449e+16,9.5785667e+16,1.7901431e+21,0,1.2581255e+19,2.2806209e+18,4.32e+12,3.2931416e+16,7.5262157e+17,3.9226766e+18,6.7032917e+20,0,57252646,0,57252646,0,1.35e+21,4364.6958,0,4364.6958,0,9.765625e-08,1.2549658e+08,-3.3142667e+11,7.4234618e+09,-1.2580869e+11,-2.2806979e+10,-7.5265859e+09,-3.9225434e+10,3.763293e+08,1.9612717e+09,2.9706105e+10,2.9706105e+10,2.0489039e+11,1.2805649e+10,12837051
16000,80,0,1.8035241e+08,8.5027674e+16,1.1552648e+17,1.7872133e+21,0,1.3293856e+19,2.1329382e+18,4.32e+12,3.2929234e+16,6.8212923e+17,4.1762503e+18,6.724804e+20,0,74961420,0,74961420,0,1.35e+21,5517.2591,0,5517.2591,0,9.765625e-08,1.1741582e+08,-2.5826074e+11,7.1566183e+09,-1.3293528e+11,-2.1330091e+10,-6.8216277e+09,-4.1761298e+10,3.4108138e+08,2.0880649e+09,3.0840491e+10,3.0840491e+10,1.9817232e+11,1.238577e+10,15620308
18000,90,0,1.9962485e+08,9.7546994e+16,1.3631095e+17,1.7849161e+21,0,1.3894501e+19,1.9967851e+18,4.32e+12,3.2862013e+16,6.1827065e+17,4.4050028e+18,6.7411617e+20,0,95420259,0,95420259,0,1.35e+21,6828.5604,-1.4109901e-08,6828.5604,0,0,1.0985622e+08,-2.0381778e+11,6.8933426e+09,-1.3894227e+11,-1.9968505e+10,-6.1830102e+09,-4.4048944e+10,3.0915051e+08,2.2024472e+09,3.1786867e+10,3.1786867e+10,1.9173762e+11,1.1983601e+10,18652265
20000,100,0,2.1859636e+08,1.1059542e+17,1.5799264e+17,1.7830933e+21,0,1.4394585e+19,1.8711113e+18,4.32e+12,3.274081e+16,5.6041945e+17,4.6101689e+18,6.7538373e+20,0,1.1867932e+08,0,1.1867932e+08,0,1.35e+21,8307.6757,2.264278e-08,8307.6757,0,0,1.0278416e+08,-1.6262268e+11,6.6361462e+09,-1.4394359e+11,-1.8711717e+10,-5.6044697e+09,-4.610072e+10,2.8022349e+08,2.305036e+09,3.2563395e+10,3.2563395e+10,1.856153e+11,1.1600956e+10,21917183
22000,110,0,2.3717067e+08,1.2418244e+17,1.8043097e+17,1.7816322e+21,0,1.4804748e+19,1.7549863e+18,4.32e+12,3.2574691e+16,5.0800856e+17,4.7930561e+18,6.7638539e+20,0,1.4476348e+08,0,1.4476348e+08,0,1.35e+21,9963.486,-4.6613422e-08,9963.486,0,0,96168198,-1.3094395e+11,6.386751e+09,-1.4804564e+11,-1.7550422e+10,-5.080335e+09,-4.79297e+10,2.5401675e+08,2.396485e+09,3.3187284e+10,3.3187284e+10,1.7981683e+11,1.1238552e+10,25398588
24000,120,0,2.5527219e+08,1.3831212e+17,2.034917e+17,1.7804515e+21,0,1.5134821e+19,1.6475816e+18,4.32e+12,3.2371249e+16,4.6052456e+17,4.9550052e+18,6.7719294e+20,0,1.7367428e+08,0,1.7367428e+08,0,1.35e+21,11804.602,-5.5752025e-09,11804.602,0,0,89978920,-1.0620426e+11,6.1463107e+09,-1.5134675e+11,-1.6476332e+10,-4.6054715e+09,-4.9549292e+10,2.3027358e+08,2.4774646e+09,3.3674626e+10,3.3674626e+10,1.7434269e+11,1.0896418e+10,29079736
26000,130,0,2.7284325e+08,1.5298401e+17,2.2704722e+17,1.7794912e+21,0,1.5393823e+19,1.5481563e+18,4.32e+12,3.2136944e+16,4.175026e+17,5.0973623e+18,6.778572e+20,0,2.0539179e+08,0,2.0539179e+08,0,1.35e+21,13839.311,1.3223325e-07,13839.311,0,0,84188806,-8.6599988e+10,5.9155627e+09,-1.539371e+11,-1.5482042e+10,-4.1752307e+09,-5.0972958e+10,2.0876153e+08,2.5486479e+09,3.4040332e+10,3.4040332e+10,1.6918654e+11,1.0574159e+10,32943982
28000,140,0,2.8984165e+08,1.68194e+17,2.5097678e+17,1.7787067e+21,0,1.5589982e+19,1.4560457e+18,4.32e+12,3.1877342e+16,3.785218e+17,5.2214597e+18,6.7841441e+20,0,2.3987653e+08,0,2.3987653e+08,0,1.35e+21,16075.539,0,16075.539,0,1.953125e-07,78772115,-7.0852607e+10,5.6949358e+09,-1.5589899e+11,-1.45609e+10,-3.7854035e+09,-5.221402e+10,1.8927017e+08,2.610701e+09,3.4298126e+10,3.4298126e+10,1.6433791e+11,1.0271119e+10,36975076
30000,150,0,3.0623839e+08,1.8393501e+17,2.7516655e+17,1.7780644e+21,0,1.5730775e+19,1.370651e+18,4.32e+12,3.1597275e+16,3.432011e+17,5.3286014e+18,6.7889061e+20,0,2.7707125e+08,0,2.7707125e+08,0,1.35e+21,18520.832,0,18520.832,0,9.765625e-08,73704762,-5.8044212e+10,5.4846277e+09,-1.5730718e+11,-1.3706921e+10,-3.432179e+09,-5.3285518e+10,1.7160895e+08,2.6642759e+09,3.4460578e+10,3.4460578e+10,1.5978396e+11,9.9864972e+09,41157395
32000,160,0,3.2201579e+08,2.0019766e+17,2.9950962e+17,1.7775384e+21,0,1.5822972e+19,1.2914316e+18,4.32e+12,3.1300962e+16,3.1119545e+17,5.4200531e+18,6.7930466e+20,0,3.1690278e+08,0,3.1690278e+08,0,1.35e+21,21182.345,0,21182.345,0,9.765625e-08,68964219,-4.7507456e+10,5.2846626e+09,-1.5822937e+11,-1.2914698e+10,-3.1121068e+09,-5.4200111e+10,1.5560534e+08,2.7100055e+09,3.4539151e+10,3.4539151e+10,1.5551057e+11,9.7194107e+09,45476118
34000,170,0,3.3716572e+08,2.1697075e+17,3.2390595e+17,1.7771084e+21,0,1.5872684e+19,1.2178978e+18,4.32e+12,3.09921e+16,2.8219245e+17,5.4970352e+18,6.7967026e+20,0,3.5928369e+08,0,3.5928369e+08,0,1.35e+21,24066.841,0,24066.841,0,9.765625e-08,64529407,-3.8751056e+10,5.094935e+09,-1.5872669e+11,-1.2179332e+10,-2.8220625e+09,-5.4970001e+10,1.4110313e+08,2.7485001e+09,3.4544269e+10,3.4544269e+10,1.5150312e+11,9.4689449e+09,49917358
36000,180,0,3.516881e+08,2.342418e+17,3.4826231e+17,1.7767587e+21,0,1.5885418e+19,1.1496051e+18,4.32e+12,3.0673932e+16,2.559092e+17,5.560718e+18,6.7999747e+20,0,4.0411394e+08,0,4.0411394e+08,0,1.35e+21,27180.702,1.648732e-08,27180.702,0,0,60380610,-3.1408821e+10,4.9152427e+09,-1.588542e+11,-1.149638e+10,-2.5592171e+09,-5.5606893e+10,1.2796085e+08,2.7803446e+09,3.448538e+10,3.448538e+10,1.4774691e+11,9.234182e+09,54468252
38000,190,0,3.6558955e+08,2.5199736e+17,3.7249209e+17,1.7764765e+21,0,1.5866125e+19,1.0861488e+18,4.32e+12,3.0349301e+16,2.3208955e+17,5.612218e+18,6.8029366e+20,0,4.512825e+08,0,4.512825e+08,0,1.35e+21,30529.943,2.3766916e-08,30529.943,0,0,56499381,-2.5204418e+10,4.7453128e+09,-1.5866142e+11,-1.0861794e+10,-2.3210088e+09,-5.6121951e+10,1.1605044e+08,2.8060976e+09,3.4371028e+10,3.4371028e+10,1.4422752e+11,9.0142198e+09,59117019
40000,200,0,3.7888221e+08,2.7022342e+17,3.9651521e+17,1.7762515e+21,0,1.5819244e+19,1.0271603e+18,4.32e+12,3.0020697e+16,2.1050154e+17,5.6525962e+18,6.8056431e+20,0,5.006688e+08,0,5.006688e+08,0,1.35e+21,34120.228,-8.4764906e-09,34120.228,0,0,52868464,-1.992675e+10,4.5848217e+09,-1.5819274e+11,-1.0271887e+10,-2.1051181e+09,-5.6525786e+10,1.052559e+08,2.8262893e+09,3.4208922e+10,3.4208922e+10,1.4093094e+11,8.8081837e+09,63852989
42000,210,0,3.9158277e+08,2.8890568e+17,4.2025786e+17,1.7760754e+21,0,1.5748751e+19,9.7230222e+17,4.32e+12,2.9690299e+16,1.9093512e+17,5.682857e+18,6.8081349e+20,0,5.5214417e+08,0,5.5214417e+08,0,1.35e+21,37956.897,0,37956.897,0,9.765625e-08,49471716,-1.5412597e+10,4.433411e+09,-1.5748792e+11,-9.7232867e+09,-1.9094443e+09,-5.6828442e+10,95472215,2.8414221e+09,3.4006004e+10,3.4006004e+10,1.3784374e+11,8.6152337e+09,68666618
44000,220,0,4.0371149e+08,3.0802976e+17,4.4365236e+17,1.7759412e+21,0,1.5658198e+19,9.2126627e+17,4.32e+12,2.9360001e+16,1.7320009e+17,5.7039477e+18,6.8104425e+20,0,6.055732e+08,0,6.055732e+08,0,1.35e+21,42044.99,-3.6292477e-08,42044.99,0,0,46294034,-1.1534244e+10,4.2906998e+09,-1.5658248e+11,-9.2129088e+09,-1.7320853e+09,-5.7039393e+10,86604265,2.8519697e+09,3.3768507e+10,3.3768507e+10,1.349531e+11,8.4345686e+09,73549473
46000,230,0,4.1529148e+08,3.2758144e+17,4.6663694e+17,1.775843e+21,0,1.5550755e+19,8.7376955e+17,4.32e+12,2.9031446e+16,1.5712419e+17,5.7167592e+18,6.812589e+20,0,6.6081497e+08,0,6.6081497e+08,0,1.35e+21,46389.27,0,46389.27,0,9.765625e-08,43321291,-8.1905786e+09,4.1562946e+09,-1.5550812e+11,-8.7379246e+09,-1.5713184e+09,-5.7167547e+10,78565922,2.8583774e+09,3.350202e+10,3.350202e+10,1.3224684e+11,8.2654275e+09,78494210
48000,240,0,4.2634802e+08,3.4754679e+17,4.8915548e+17,1.7757759e+21,0,1.5429241e+19,8.2955237e+17,4.32e+12,2.8706051e+16,1.4255144e+17,5.7221266e+18,6.814592e+20,0,7.1772426e+08,0,7.1772426e+08,0,1.35e+21,50994.256,0,50994.256,0,9.765625e-08,40540269,-5.3006378e+09,4.0297968e+09,-1.5429305e+11,-8.295737e+09,-1.4255837e+09,-5.7221257e+10,71279187,2.8610628e+09,3.3211544e+10,3.3211544e+10,1.2971345e+11,8.1070908e+09,83494541
50000,250,0,4.3690794e+08,3.6791233e+17,5.1115734e+17,1.7757357e+21,0,1.5296163e+19,7.8837595e+17,4.32e+12,2.8385028e+16,1.2934055e+17,5.7208305e+18,6.816465e+20,0,7.7615263e+08,0,7.7615263e+08,0,1.35e+21,55864.249,-4.5576598e-08,55864.249,0,0,37938603,-2.7988701e+09,3.9108083e+09,-1.5296232e+11,-7.8839582e+09,-1.2934683e+09,-5.7208327e+10,64673417,2.8604164e+09,3.2901537e+10,3.2901537e+10,1.2734207e+11,7.9588792e+09,88545185
52000,260,0,4.4699916e+08,3.8866511e+17,5.3259708e+17,1.7757188e+21,0,1.515374e+19,7.5002049e+17,4.32e+12,2.8069407e+16,1.1736358e+17,5.7135985e+18,6.8182187e+20,0,8.359495e+08,0,8.359495e+08,0,1.35e+21,61003.358,2.6899215e-08,61003.358,0,0,35504727,-6.3163633e+08,3.7989366e+09,-1.5153813e+11,-7.5003899e+09,-1.1736928e+09,-5.7136034e+10,58684638,2.8568017e+09,3.2575973e+10,3.2575973e+10,1.2512245e+11,7.820153e+09,93641819
